,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
150,990025,0.09039225433383256,0.650463266620062,0.4635710462130579,0.5933189702540649,0.3752353920062741,-0.19019050207028365,0.6614911397465153,-0.04011738270409512,-0.6403020737403807,0.14611637023490742,0.3347976964080914,0.7926675660320353,0.281866141814932,0.9739086943593208,-0.6841516604871992,-0.23168568539224998,0.6443098488422164,-0.1722242073254524,0.558017118789289,0.6869525418157246,0.4068919415420186,0.24910835396915743,-0.3677722275984286,-0.3395295337280912,-0.5100726334352145,-0.5260263741890125,-0.20703112112634398,-0.5081529537404861,-0.9815472653191405,-1.4127854282018983,0.5830716482244575,0.4700884537865908,-0.8668052478219209,-0.6899611053458035,-0.6738754327886167,-0.5523523995580036,-0.40705689884388674,-0.3400506474652795,-0.7743067316554628,1.0378959231441134,1.2131426272683856,-0.11313329210359614,0.35028052048981734,0.1562630037391527,2.037229005140929,-0.37780529517956674,-0.09720088009247305,-0.08011342614826708,-0.1766670092248087,-0.19207032242066588,-0.4531752894104612,-0.44382485952123113,0.5741737916790804,0.010582057920944776,-0.07981630808299674,1.2176784294160488,-0.4083450487983732,-0.5571435794956876,0.9266796655545821,0.4629294017547939,-0.47775517833934195,0.11405278606556761,0.03793640358232541,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.1695742625261017,0.29479563907741024,-0.24618131970094925,-0.46264440464749496,-0.5319896322117379,-0.3353727934060979,-0.38772220934942037,0.1408369167254877
220,991020,0.4480042904401266,0.4672320031137936,-0.011232156626585492,0.5815027796743579,0.25160212052157926,0.1932926536654026,0.08925042216693783,-0.09107165579215913,-0.8416254135051776,0.14611637023490742,0.3347976964080914,0.7198097074541616,0.4389077595232319,0.9756067347500084,-0.5540042638452978,-0.2726716036365752,0.7387688204059255,0.015815050470127417,0.03235637348978839,0.7015132317528149,0.3220086591227335,-0.04047891895949424,-0.4012420186795179,-0.43739337486196606,-0.7351766447944059,-0.5346214968635867,-0.4149351703896734,-0.4325072473197029,-0.9346693815501622,-1.3038856088386928,0.6707762211527554,0.27783927985213713,-0.7885690141276134,-0.7456533126728323,-0.5864526173914584,-0.6393670429762072,-0.32743466133952226,-0.3387140066483108,-0.6891149768224814,1.1973074769511214,0.6339523728314946,0.16077909619556827,0.3484165484341721,1.4253835181280954,2.2372616846557833,-0.37780529517956674,-0.14384210492220806,-0.1929636138028326,-0.04711622906475641,-0.008794833582565529,-0.4197753971045384,-0.4577054772908407,0.5741737916790804,0.010582057920944776,-0.005170613523663055,1.2176784294160488,-0.4354089271857488,-0.4982292913747788,0.5900492313653668,0.15103717719655882,-0.34317373899245235,0.11405278606556761,-0.1129992050403389,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.1695742625261017,0.29479563907741024,-0.24618131970094925,-0.46264440464749496,-0.5319896322117379,0.05739777776831621,-0.38772220934942037,0.14186425800246585
524,992016,0.8254879768105035,0.649227223165585,-0.033047250821791906,0.7171900666023857,0.2521401839386862,-0.049549037083059945,0.38489620111353323,0.47078011596708197,-0.6008464873576925,0.14611637023490742,0.3347976964080914,0.7198097074541616,0.4389077595232319,0.9756067347500084,-0.5540042638452978,-0.2726716036365752,0.7387688204059255,0.015815050470127417,0.03235637348978839,0.7015132317528149,0.3220086591227335,-0.04047891895949424,-0.4012420186795179,-0.43739337486196606,-0.5100726334352145,-0.5260263741890125,-0.20703112112634398,-0.5081529537404861,-0.9346693815501622,-1.3038856088386928,0.5830716482244575,0.27783927985213713,-0.8668052478219209,-0.7456533126728323,-0.6738754327886167,-0.5523523995580036,-0.40705689884388674,-0.3387140066483108,-0.6891149768224814,1.1973074769511214,0.6339523728314946,0.16077909619556827,0.3484165484341721,1.4253835181280954,2.2372616846557833,-0.37780529517956674,-0.14384210492220806,-0.1929636138028326,-0.04711622906475641,-0.008794833582565529,-0.4197753971045384,-0.4577054772908407,0.5741737916790804,0.010582057920944776,-0.005170613523663055,1.2176784294160488,-0.4354089271857488,-0.4982292913747788,0.5900492313653668,0.15103717719655882,-0.34317373899245235,0.11405278606556761,-0.1129992050403389,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.1695742625261017,0.29479563907741024,-0.24618131970094925,-0.46264440464749496,-0.5319896322117379,0.05739777776831621,-0.38772220934942037,0.1421295835625892
664,993012,0.3727280909377749,0.6671426559930087,0.8627253522603748,0.8186142821500287,0.4640833681990103,-0.1462718794514866,0.6624667615152435,0.3175685246414113,-0.7477683912915933,0.14611637023490742,0.3347976964080914,0.7312452919256338,0.5197645125870229,0.9804018023849665,-0.38654547508774134,-0.3162970780873626,0.9624090994098927,0.2807680524369953,-0.45028939437246834,0.7218838998510938,0.11465507012493248,-1.1797685671935105,-0.47972770987116964,-0.6745973921146793,-0.5100726334352145,-0.5260263741890125,-0.20703112112634398,-0.5081529537404861,-0.86819670835569,-1.2288585620789214,0.5830716482244575,-0.02099296885528534,-0.8668052478219209,-0.8037925488278254,-0.6738754327886167,-0.5523523995580036,-0.40705689884388674,-0.22164049242258999,-0.5469869835695514,1.548392127893629,0.14034005211217238,0.49567636917902097,0.5559091142318318,1.9070901462177554,2.6882921072374817,-0.37780529517956674,-0.18317532541396567,-0.32373720203910844,0.07481252356904791,0.2944383956811671,-0.3487578995896909,-0.48962412647376014,0.5741737916790804,0.010582057920944776,0.012970991031576623,1.2176784294160488,-0.46819232299921515,-0.5278436794729046,0.4203552676851615,-0.126208581118263,-0.03640129404586969,0.11405278606556761,-0.3625924690509723,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.1695742625261017,0.29479563907741024,-0.24618131970094925,-0.46264440464749496,-0.5319896322117379,0.754513071948427,-0.38772220934942037,0.1423020763479932
748,994009,0.5634521877419667,0.8672885851064922,1.10621649040121,0.5842530734187215,0.14833547528955593,0.15016185888139727,0.3816564595524834,0.07066866186771308,-0.6888392823358345,0.14611637023490742,0.3347976964080914,0.7312452919256338,0.5197645125870229,0.9804018023849665,-0.38654547508774134,-0.3162970780873626,0.9624090994098927,0.2807680524369953,-0.45028939437246834,0.7218838998510938,0.11465507012493248,-1.1797685671935105,-0.47972770987116964,-0.6745973921146793,-0.2003328627624442,-0.4822346386814005,0.1133927702094062,-0.6467631272622221,-0.86819670835569,-1.2288585620789214,0.4679593962560658,-0.02099296885528534,-0.9147343943456847,-0.8037925488278254,-0.7270249733328906,-0.44090244140997037,-0.4722722459059423,-0.22164049242258999,-0.5469869835695514,1.548392127893629,0.14034005211217238,0.49567636917902097,0.5559091142318318,1.9070901462177554,2.6882921072374817,-0.37780529517956674,-0.18317532541396567,-0.32373720203910844,0.07481252356904791,0.2944383956811671,-0.3487578995896909,-0.48962412647376014,0.5741737916790804,0.010582057920944776,0.012970991031576623,1.2176784294160488,-0.46819232299921515,-0.5278436794729046,0.4203552676851615,-0.126208581118263,-0.03640129404586969,0.11405278606556761,-0.3625924690509723,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.1695742625261017,0.29479563907741024,-0.24618131970094925,-0.46264440464749496,-0.5319896322117379,0.754513071948427,-0.38772220934942037,0.1422778242948738
963,995006,0.4631666815421494,0.14541149695200026,0.7956734701375666,0.8692103273625372,0.09089307636899942,-0.11184677765375098,0.13185857573692927,-0.06463876787403297,-0.4357066258647614,0.14611637023490742,0.3347976964080914,0.8335089391444376,0.5928536535987436,0.9872283266786501,-0.28544025868349376,-0.37710393356154176,1.1102270967671481,0.5249022075871462,-0.7826655697169784,0.7276938780122835,-0.007815236453583015,-1.7853374464487273,-0.524743609981732,-0.7787962323442261,-0.13952323965446398,-0.4535256903680088,0.2816385064271745,-0.7338337114973895,-0.8370414540268113,-1.2153458314656584,0.39669943075182323,-0.20907574782118718,-0.9729118853728573,-0.811084514002038,-0.7193264687521417,-0.38607168354885874,-0.5448191515463742,0.11023209955672388,-0.400285696779333,2.0704978376808985,-0.15800270806306388,0.6842411673808148,0.8013513157021218,1.360529573963303,3.017729923796798,-0.2692578958050969,-0.23767666756303577,-0.516025386935853,0.16202397031353677,0.6502442033119241,-0.24430029671973294,-0.5278213047394398,0.3815662872443953,-0.0857220801492014,-0.03207524346394496,1.2176784294160488,-0.4903035383320397,-0.627654027348368,0.21962148355372563,-0.35249929917115275,0.18914144110975087,-0.3959867878175708,-0.5860467564442579,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.21319518609573235,0.2824816810771509,-0.08904480710986616,-0.5438451566598139,-0.447049326794541,0.9555814550755894,-0.317764230038291,0.14239535945640747
1120,996004,0.8965981026688759,0.5539034550130018,-0.45858815828323934,0.533468540475625,-0.021447939980101898,0.00854874992361986,0.21036639202650292,0.2846177559297712,-0.6842464222033611,0.14611637023490742,0.3347976964080914,0.5875168334683559,0.5651086030225495,0.9632078714577517,-0.3086436840778683,-0.32036270274417816,0.9495819414954366,0.43423646181286246,-0.8028796346297495,0.7401996684791783,0.09418308936477832,-1.1512882283247325,-0.47234318993373003,-0.6885878686854194,-0.12031785155923877,-0.49634499723348896,0.14367121236397135,-0.7181196034915552,-0.8598213193228128,-1.135176895413209,0.48089147524830894,-0.16630026480419183,-0.9708510842523183,-0.8421524524714958,-0.8539957607300518,-0.4363725015141497,-0.5088721923789021,-0.3033792698998636,-0.6287315013889463,1.5409288746550722,-0.08035086575340684,0.6759513711145062,0.4477223608846115,2.2265161636916564,2.947167767672677,-0.37780529517956674,-0.20341036558874342,-0.3025265374262293,0.07491171517979485,0.2913878354465628,-0.35173172767726035,-0.48361912371317173,0.5741737916790804,0.010582057920944776,0.0843907317004175,1.2176784294160488,-0.490479306744694,-0.43487381554549054,0.3494716425121068,-0.33419111028972437,-0.003686186392250799,0.11405278606556761,-0.36070714683087507,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.1695742625261017,0.29479563907741024,-0.24618131970094925,-0.46264440464749496,-0.5319896322117379,1.0937722341675913,-0.38772220934942037,0.1434063776995429
1284,997002,0.7095327376556284,0.5957228122174534,0.3570740844038961,0.40754461130535546,0.4131946307461612,-0.1330810389317863,0.2613581733022386,0.27674961018370764,-0.34387056619695705,0.14611637023490742,0.3347976964080914,0.5875168334683559,0.5651086030225495,0.9632078714577517,-0.3086436840778683,-0.32036270274417816,0.9495819414954366,0.43423646181286246,-0.8028796346297495,0.7401996684791783,0.09418308936477832,-1.1512882283247325,-0.47234318993373003,-0.6885878686854194,-0.12031785155923877,-0.49634499723348896,0.14367121236397135,-0.7181196034915552,-0.8598213193228128,-1.135176895413209,0.48089147524830894,-0.16630026480419183,-0.9708510842523183,-0.8421524524714958,-0.8539957607300518,-0.4363725015141497,-0.5088721923789021,-0.3033792698998636,-0.6287315013889463,1.5409288746550722,-0.08035086575340684,0.6759513711145062,0.4477223608846115,2.2265161636916564,2.947167767672677,-0.6748018471350579,-0.20341036558874342,-0.3025265374262293,0.07491171517979485,0.2913878354465628,-0.35173172767726035,-0.48361912371317173,0.5741737916790804,0.010582057920944776,0.0843907317004175,1.2176784294160488,-0.490479306744694,-0.43487381554549054,0.3494716425121068,-0.33419111028972437,-0.003686186392250799,0.11405278606556761,-0.36070714683087507,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.1695742625261017,0.29479563907741024,-0.24618131970094925,-0.46264440464749496,-0.5319896322117379,1.0937722341675913,-0.38772220934942037,0.14377929482597376
1538,998001,0.7707877508365957,0.7648303064073578,0.7637962166264277,0.6022617935853797,0.2085177543350364,-0.21973887833670408,0.3425658567647567,-0.05580084566616352,-0.6923945656129543,0.14611637023490742,0.3347976964080914,0.3105112296584032,0.592652192761099,0.9380898425863081,-0.29289621396730636,-0.2974332191385656,0.7664234120240594,0.4647008530120583,-0.9402146918984713,0.7800150660528211,0.2542655254042055,-0.2473951832868887,-0.39907241428857515,-0.5197529531425886,0.27816441049404167,-0.5618232667058385,0.0037102264146666175,-0.7414110886185264,-0.8086896388129017,-0.9711636199430822,0.6330970116724249,-0.25139364155547733,-0.9828174938118974,-0.9026891992649214,-0.9807705114908479,-0.5173664661423986,-0.5125090484586292,-0.8163797572697485,-0.9362111002407597,1.0018420466048432,-0.31337963556411763,0.8142423678247356,0.10563940941689909,3.198750873951499,2.9650351343847503,-0.5662000776799111,-0.14420672207188645,0.013024814162053313,-0.029910914970305645,-0.01772222956084648,-0.43332795666526797,-0.4538747307625976,0.8148402481792164,0.12344594578948097,0.2785987065669383,1.2176784294160488,-0.4482957590025998,-0.12951433837545095,0.23695232358686014,-0.42381192378723404,-0.20041083049394448,0.7657531737204721,-0.07553800189407983,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.0588320554737872,0.3600158392675526,-0.6639732100978771,-0.34478244493275334,-0.6365832588690239,1.6735878643164872,-0.5283750231739822,0.14460217206135395
1787,999000,0.35362304429416214,0.6391957107459808,0.7856551190043258,0.5002852701071401,0.5314578708668177,0.12594984464185158,0.4309000437872453,0.101833382374186,-0.47316670656371773,0.14611637023490742,0.3347976964080914,0.3105112296584032,0.592652192761099,0.9380898425863081,-0.29289621396730636,-0.2974332191385656,0.7664234120240594,0.4647008530120583,-0.9402146918984713,0.7800150660528211,0.2542655254042055,-0.2473951832868887,-0.39907241428857515,-0.5197529531425886,0.3234212093930494,-0.5476029612324728,0.10456895243716613,-0.7950355705521639,-0.8086896388129017,-0.9711636199430822,0.6385284070225719,-0.25139364155547733,-0.989454589628389,-0.9026891992649214,-0.9807705114908479,-0.5173664661423986,-0.5354314412985577,-0.8163797572697485,-0.9362111002407597,1.0018420466048432,-0.31337963556411763,0.8142423678247356,0.10563940941689909,3.198750873951499,2.9650351343847503,-0.4887804171910441,-0.14420672207188645,0.013024814162053313,-0.029910914970305645,-0.01772222956084648,-0.43332795666526797,-0.4538747307625976,0.8148402481792164,0.12344594578948097,0.2785987065669383,1.2176784294160488,-0.4482957590025998,-0.12951433837545095,0.23695232358686014,-0.42381192378723404,-0.20041083049394448,0.7657531737204721,-0.07553800189407983,-0.4563030440477183,-0.47706477525252494,-0.0033757899992986353,0.24024087647019016,0.0588320554737872,0.3600158392675526,-0.6639732100978771,-0.34478244493275334,-0.6365832588690239,1.6735878643164872,-0.5283750231739822,0.14466671178792134
