,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",y
135,990025,-0.6734197153854955,-0.5574036964589015,-0.07017308642920517,-0.6776164370489378,-2.249491662325561,-1.0254486486241863,-1.3965381387717515,-1.254758160859875,0.7132118928043125,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,0.9372075279181652,0.4558048258207749,0.9537420842289865,1.2889363539809164,-0.5808893898301066,-1.0055686320540864,0.1828689504482102,-0.9700713618327068,-1.054579361705536,-0.7611568812645095,1.0851828575422005,0.08816221564726713,-0.011825682844443715,0.2353324319067076,0.714917811269632,0.9825634153781305,0.19869048685422108,-0.1857178148709537,-0.5719062101093416,0.49758598055081454,0.0159539786321689,-1.0108107038120862,-0.6392177901318647,-0.5642306042380346,0.6354243093418364,0.8987292059586842,0.8558561883650849,-0.2145838862229067,0.051572582372147305,0.031224546098583175,0.21287608830351704,-0.0025228557814992846,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.8491656230921978,-2.700902350952836,1.0279917665787064,0.26766628308139734,-0.695639073533838,-0.7526422978372181,-0.5097069224040662,-0.26605409883962716,1.344141804300985,0.484206474180178,0.3375666814593156,-4.659675654481905,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.160545573422963,0.04845839910701767
241,991020,-1.2017571915324277,-0.8210312991221592,-0.890846933365437,-0.9545205454166856,-1.6267885734718253,-1.0254486486241863,-1.3965381387717515,-1.254758160859875,0.7132118928043125,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,0.88681513961145,0.4581082059051526,0.9200657916982284,1.4653908926858,-0.5098699892407681,-0.5589784680378067,-0.004390726144050665,-0.9373639442565599,-1.0528612605291987,-0.3719294535666037,0.9469651478757187,-0.013860379432050415,-0.1591146766041596,0.27788568549979326,0.3823687771998931,1.0278515605093268,0.055178962135492116,-0.13143464964447527,-0.5253506841090978,0.5288090286534277,0.17976774444865362,-0.9899170838361822,-0.6135473727652633,-0.7188497509345434,0.6740396153863205,0.8658211688659608,0.8937635217938269,0.8108143015074145,1.1940595833630652,0.031224546098583175,0.21287608830351704,-0.0025228557814992846,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.876185242888926,-2.549725173129682,0.9377425963611727,0.20170292206517626,-0.695639073533838,-0.7526422978372181,-0.5097069224040662,-0.15980965622018325,1.344141804300985,0.484206474180178,0.3375666814593156,-4.73645090715619,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.29717458825584403,0.04760293097127655
362,992016,-0.45128754633023094,-0.9266053344507116,-0.555849264975502,-1.0196921538412633,-1.84881949243575,-1.0254486486241863,-1.3965381387717515,-1.254758160859875,0.7132118928043125,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,0.88681513961145,0.4581082059051526,0.9200657916982284,1.4653908926858,-0.5098699892407681,-0.5589784680378067,-0.004390726144050665,-0.9373639442565599,-1.0528612605291987,-0.3719294535666037,0.9469651478757187,-0.013860379432050415,-0.011825682844443715,0.2353324319067076,0.714917811269632,0.9825634153781305,0.055178962135492116,-0.13143464964447527,-0.5719062101093416,0.5288090286534277,0.0159539786321689,-0.9899170838361822,-0.6392177901318647,-0.5642306042380346,0.6354243093418364,0.8658211688659608,0.8937635217938269,0.8108143015074145,1.1940595833630652,0.031224546098583175,0.21287608830351704,-0.0025228557814992846,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.876185242888926,-2.549725173129682,0.9377425963611727,0.20170292206517626,-0.695639073533838,-0.7526422978372181,-0.5097069224040662,-0.15980965622018325,1.344141804300985,0.484206474180178,0.3375666814593156,-4.73645090715619,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.29717458825584403,0.04748956468561882
707,993012,-1.0948202935431082,-0.9934639764917199,-0.30729475512379045,-0.5235684842154408,-1.9675231743177228,-1.0254486486241863,-1.3965381387717515,-1.254758160859875,0.7132118928043125,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,1.0251739580502075,0.4297005839181711,0.8575960552184684,1.7660632818268565,-0.3260055795063587,0.3207232684943752,-0.32636612395576414,-0.8855676857491476,-1.0388200076642051,0.07741083016325616,0.8367699891604172,-0.0269291553838331,-0.011825682844443715,0.2353324319067076,0.714917811269632,0.9825634153781305,-0.1383229292847991,-0.06521272307165908,-0.5719062101093416,0.6367816095082725,0.0159539786321689,-0.977535289767422,-0.6392177901318647,-0.5642306042380346,0.6354243093418364,0.7978259788929438,0.8575213460271445,1.8807177510691122,3.2880679083970366,0.031224546098583175,0.21287608830351704,-0.0025228557814992846,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.8754286590697464,-2.3804787248748025,0.9205856872562284,0.09463640883261734,-0.695639073533838,-0.7526422978372181,-0.5097069224040662,0.054541197935897234,1.344141804300985,0.484206474180178,0.3375666814593156,-4.862388402105857,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.33166140402352184,0.047135939058119185
840,994009,-0.6865492291880473,-0.7813390851870736,0.5326516428080764,-0.5763446765379766,-1.657117735961513,-1.0254486486241863,-1.3965381387717515,-1.254758160859875,0.7132118928043125,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,1.0251739580502075,0.4297005839181711,0.8575960552184684,1.7660632818268565,-0.3260055795063587,0.3207232684943752,-0.32636612395576414,-0.8855676857491476,-1.0388200076642051,0.07741083016325616,0.8367699891604172,-0.0269291553838331,0.22893556056860168,0.19861403274513129,0.9863701980791287,0.9693699710197099,-0.1383229292847991,-0.06521272307165908,-0.6842252773111452,0.6367816095082725,-0.28514055456541465,-0.977535289767422,-0.7385506730112928,-0.45492463741110184,0.5950919360891382,0.7978259788929438,0.8575213460271445,1.8807177510691122,3.2880679083970366,0.031224546098583175,0.21287608830351704,-0.0025228557814992846,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.8754286590697464,-2.3804787248748025,0.9205856872562284,0.09463640883261734,-0.695639073533838,-0.7526422978372181,-0.5097069224040662,0.054541197935897234,1.344141804300985,0.484206474180178,0.3375666814593156,-4.862388402105857,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.33166140402352184,0.04677125546070982
946,995006,-0.4406703229704414,-0.6619026531233297,-0.18858832246344032,-1.0418866877227737,-1.891318390697344,-1.1386002231841579,-1.4998597219222012,-1.200862566839531,0.7999441067311637,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,1.251659388006251,0.39124204857763495,0.8117654104113492,2.0406173268335586,-0.18118415127704274,0.9068264473637011,-0.7115071545843269,-0.8664788448178827,-1.0194762295430504,0.26007103630335365,0.7790851944441409,0.05549027576781044,0.44278843192845413,0.19046092559127853,1.230657485979572,0.9991701597301519,-0.18831329598636135,-0.035213436296371296,-0.7927770345895838,0.7429782097663699,-0.44751253304631194,-0.9838937601843469,-0.8294884225031505,-0.4152220653041737,0.5299954251981127,0.7627388260126506,0.7604820416106575,2.9321909654291476,4.239589232440088,0.031224546098583175,0.21287608830351704,-0.32281043182658886,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.8469403765652017,-2.2979346170126425,0.982842005776223,0.0,-0.6962058388797641,-1.0127653823961285,-0.5097069224040662,0.24430507772246962,1.344141804300985,0.6580727180164994,0.11412891403406909,-5.053230326199605,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.24676261284215772,0.04646828052274177
1237,996004,-0.8753670202070531,-1.0256390688008779,0.04137604506076369,-1.091096904277766,-2.404991457828985,-0.8353928733655718,-1.473878854393401,-1.4932459100726365,0.5596947569374915,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,0.8355193263373285,0.4464516722825696,0.8878634667556201,1.758165492267357,-0.31661050880021546,0.43820088947690733,-0.2954811577823479,-0.8819885903686249,-1.059383297433158,0.1533570816306863,0.752204529154928,-0.09707507341682714,0.23900890947974265,0.15661174871207842,1.0987721059193218,0.950422314469218,-0.18055742924482554,-0.055357657320046626,-0.6540731767740349,0.6134326913614074,-0.43357271117418067,-0.9503578112540031,-0.6682364181516589,-0.4333599307707006,0.635095915801962,0.8452567856510071,0.9183184746769487,2.163297996745888,3.7441932269070803,0.031224546098583175,0.21287608830351704,-0.0025228557814992846,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.9300531804435845,-2.368723429153449,0.8966339171443358,0.03921370246070535,-0.695639073533838,-0.7526422978372181,-0.5097069224040662,-0.02162089332818543,1.344141804300985,0.484206474180178,0.3375666814593156,-4.897661280974033,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.49040625234612617,0.04539151204082603
1406,997002,-0.7358330639177042,-0.8077907456090554,0.017984050030402904,-0.8824353113401745,-2.1492044024189014,-0.6713716536138885,-0.9173734596325928,-1.2246694454028604,0.6113799434205137,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,0.8355193263373285,0.4464516722825696,0.8878634667556201,1.758165492267357,-0.31661050880021546,0.43820088947690733,-0.2954811577823479,-0.8819885903686249,-1.059383297433158,0.1533570816306863,0.752204529154928,-0.09707507341682714,0.23900890947974265,0.15661174871207842,1.0987721059193218,0.950422314469218,-0.18055742924482554,-0.055357657320046626,-0.6540731767740349,0.6134326913614074,-0.43357271117418067,-0.9503578112540031,-0.6682364181516589,-0.4333599307707006,0.635095915801962,0.8452567856510071,0.9183184746769487,2.163297996745888,3.7441932269070803,0.031224546098583175,0.21287608830351704,-0.0025228557814992846,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-1.9300531804435845,-2.368723429153449,0.8966339171443358,0.03921370246070535,-0.695639073533838,-0.7526422978372181,-0.5097069224040662,-0.02162089332818543,1.344141804300985,0.484206474180178,0.3375666814593156,-4.897661280974033,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.49040625234612617,0.04509249627122902
1616,998001,-0.8884871366659515,-1.0251047696547995,-0.3356024446967409,-0.4921220456108123,-1.9477580419318146,-0.7603047474183464,-1.0809055375536452,-1.4445634472240638,0.18671625508244438,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,0.11715466298936164,0.5548122178993382,1.0771003669247592,1.4093195885611431,-0.4169864523642387,-0.0006020424360427024,0.046128867112115605,-0.9044676755779409,-1.1374930389995064,0.0678393017132283,0.6821444327329133,-0.31601720896700936,-0.0230423188528695,0.08007878905129345,1.084238365601695,0.9077587132080541,-0.20309003282566085,-0.10021984631536306,-0.445302927111107,0.4361332410973089,-0.5164566933800828,-0.8731689708301933,-0.28332769483893794,-0.47207140323029756,0.7483000630383772,1.1063451463759575,1.1824355218456892,1.8937872171999113,2.8179604493447257,0.031224546098583175,0.21287608830351704,0.3843770923887941,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-2.0344277473687153,-2.444361124381972,0.8294788444402649,0.027769608053061404,-0.7058995053431049,-0.21969027779895722,-0.5097069224040662,-0.6320684113691658,1.344141804300985,0.22129034618373347,0.6656298492702901,-4.838573847953773,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.8082631482934245,0.044698471050115374
1774,999000,-1.0450109423825902,-0.8011427933352027,-0.8046210854990503,-0.6126534957619167,-1.7307301652368026,-0.9524514583561573,-0.8413579965869088,-1.60739539628425,0.9792684169267394,-0.32795764222664864,-0.6237795330421692,0.9946819543209823,0.11715466298936164,0.5548122178993382,1.0771003669247592,1.4093195885611431,-0.4169864523642387,-0.0006020424360427024,0.046128867112115605,-0.9044676755779409,-1.1374930389995064,0.0678393017132283,0.6821444327329133,-0.31601720896700936,-0.036725177272140266,0.07778867096805572,1.1338193913054533,0.8801813365784273,-0.20309003282566085,-0.10021984631536306,-0.4421981859536437,0.4361332410973089,-0.5407679865400689,-0.8731689708301933,-0.28332769483893794,-0.46325864559478397,0.7280909628929798,1.1063451463759575,1.1824355218456892,1.8937872171999113,2.8179604493447257,0.031224546098583175,0.21287608830351704,0.3843770923887941,0.35711188365530583,-1.1465136727804022,-0.17486181760786523,-2.0344277473687153,-2.444361124381972,0.8294788444402649,0.027769608053061404,-0.7058995053431049,-0.21969027779895722,-0.5097069224040662,-0.6320684113691658,1.344141804300985,0.22129034618373347,0.6656298492702901,-4.838573847953773,3.4751656955821586,-0.845199421549745,-0.36945138492102025,-0.6158984113053024,-0.1916685033143712,0.8082631482934245,0.044364913497939584
