,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
103,990025,-0.2912847509711514,-0.3916741976325748,0.10903196426570738,0.030217767556363226,-0.3838516847917707,-0.17455025298850416,-0.12398010989472143,-0.42960000141817145,-0.3376353105656246,-0.5531380059861525,0.08989090929616411,15.552764566543608,-0.45637457845525586,1.051056249666867,1.012129196353002,-0.07946975131033367,14.342025981361346,11.296914039482077,-0.309578575382531,-0.5082617965803367,18.401066321548498,-0.06261958882153569,0.48948888158287684,0.11175235913127599,0.39218845396373225,-0.582580612371273,0.6483997976986897,0.0683245472366407,0.03969285281247345,-0.35365009304360195,0.17235828583691312,0.10908439242108353,-0.08814222410225034,-0.315008769854802,-0.4350308651925118,-0.3673878946812277,0.31506267040059976,0.10145361990011012,0.8787702433325435,0.1725994925382847,-0.3942357505318482,13.966984728886246,0.10212790262810402,-0.26929793764505755,-0.3628712174766425,-0.6145931586547277,-0.1858946775870223,-0.6091284260044727,-0.7270754339586066,-0.9910085253059282,0.2949908441880457,-0.10693699261807248,0.30503182728348677,0.22782808523815007,0.056018557954518426,1.4692962060240429,-0.5508004232659953,-0.2609090016784263,0.5589908559142527,-0.47872059484915025,-0.3514903328745909,11.256017636110899,0.2523535603844952,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.17369876901305162,-0.17891280502769163,-0.6267609231248765,-0.08628627450652285,-0.09517794883676776,0.7535539868941605,0.09901771677670641,0.059185239038441424
203,991020,-0.2694809723414539,-0.15704549634624215,-0.20081032717660044,-0.02335760875286146,-0.21668957693601706,-0.42272765461157125,-0.5493405591315387,-0.33150042749532543,-0.3376353105656246,-0.5531380059861525,0.11778802643311684,14.710272350961796,-0.04731547536803471,1.2615756593773124,1.0315031969100754,0.0744408960879387,15.669536809510191,11.573423056658791,-0.5017819214400621,-0.27667029308282826,18.00432084183462,0.0523007925445858,0.3430230380351549,0.17431118302809614,0.39433516578299266,-0.6497236468122375,0.6410309442239027,-0.015101099072205243,0.01556391779115725,-0.25252007430390383,0.24105663314893785,0.10619666791149433,-0.036011487340571254,-0.4040323157958988,-0.4350308651925118,-0.3673878946812277,0.3500969182965179,-0.13737182585542856,0.8709291135042447,0.7575850553198681,-0.35228516810635085,15.217149774682012,0.3101373914530793,-0.4344333361093208,-0.3628712174766425,-0.28495603773418077,-0.2286619484681147,-0.3537662866297109,-0.8919096830857676,-0.8094161002235095,0.6038340504144801,-0.09545409853095599,0.06116757039740598,0.40372458253688204,-0.13856375805042298,1.4231518859346894,-0.4003871808997946,-0.25301979320260226,0.49486005662551813,-0.588846591271334,-0.2706854823080747,11.256017636110899,0.05085327592268197,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.17369876901305162,-0.17891280502769163,-0.6267609231248765,0.06372944200797834,-0.2966287650772276,0.6280527042751624,0.09901771677670641,0.05725478128489201
502,992016,-0.2749864120914932,-0.1507866195404981,0.3293790368232564,0.3641185203325694,-0.23495681950027475,-0.0635448613450218,0.0058748993074683184,-0.709889294287887,-0.3376353105656246,-0.5531380059861525,0.11778802643311684,15.790133377766166,-0.28336408316770006,0.480732963499491,1.0315031969100754,0.29844839941198875,14.700826018870233,11.243963240518411,-0.0679507892457595,-0.8281335954536274,18.884176630189,0.020097768944052893,0.3430230380351549,0.11175235913127599,0.39218845396373225,-0.582580612371273,0.6483997976986897,-0.015101099072205243,0.01556391779115725,-0.35365009304360195,0.24105663314893785,0.10908439242108353,-0.036011487340571254,-0.315008769854802,-0.4350308651925118,-0.3673878946812277,0.18253627260061223,0.5060445800338492,0.8709291135042447,0.7575850553198681,-0.35228516810635085,15.217149774682012,0.3101373914530793,-0.4344333361093208,-0.3628712174766425,-0.28495603773418077,-0.35262860656275735,-0.5018711491822503,-0.11874820199045096,-0.6206617955975311,0.6038340504144801,-0.09545409853095599,0.06116757039740598,0.40372458253688204,-0.13856375805042298,1.4231518859346894,-0.1713447679074585,-0.22328322838501574,0.49486005662551813,-0.588846591271334,-0.2706854823080747,11.256017636110899,0.05085327592268197,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.17369876901305162,-0.17891280502769163,-0.6267609231248765,0.06372944200797834,0.05332791891381653,0.6280527042751624,0.09901771677670641,0.057196098205463015
636,993012,-0.17816340800013805,0.0162897648098393,0.10704607524236633,-0.10117503201352203,-0.6174572450278991,-0.16592131659487505,-0.11122757278710013,-0.4072913250075068,-0.3376353105656246,-0.5531380059861525,0.17995031944883824,15.367444624227923,-0.22403319041093434,0.6469521394174677,1.0726187219911993,0.3386899389060451,15.504970512782243,12.577033253948475,-0.5866750830055417,0.0013192233037164337,17.94034365787898,-0.21629725783104414,0.2181393067208464,0.11175235913127599,0.39218845396373225,-0.582580612371273,0.6483997976986897,-0.09088281619000868,0.009369217297854913,-0.35365009304360195,0.27329311485764185,0.10908439242108353,-0.03147262854107641,-0.315008769854802,-0.4350308651925118,-0.3673878946812277,0.0703462371432037,-0.4694252168582833,0.8481686418333125,1.465844607504583,-0.39085028410467204,16.023050489566252,0.5150201142751487,-0.6882977000088774,-0.3628712174766425,0.028500434419742402,-0.0045511254651808665,-0.06197223178193634,-0.4968138470754261,-0.46544544745202293,1.1593016878299511,-0.06654958754626776,-0.2786515273344336,0.5786282486656884,-0.3057618419930499,1.3515668443629463,-0.1270000771889624,0.012928572000909124,0.4106922379877985,-0.7849891055769486,-0.20725426457850615,11.256017636110899,-0.09837894722093715,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.17369876901305162,-0.17891280502769163,-0.6267609231248765,0.17658368158079873,0.38816524369074457,0.5347837446292606,0.09901771677670641,0.05703064505434064
721,994009,-0.4051432789061744,-0.3792061555215892,-0.48166578305061203,0.3010249539448565,-0.4961942385920163,-0.24338655210908458,-0.4864183107661674,-0.48023620591310323,-0.3376353105656246,-0.5531380059861525,0.17995031944883824,15.871453638000625,-0.24522267772927678,0.7090905952392931,1.0726187219911993,0.004634731263708355,15.414634208357402,13.678292623764039,-0.060274970139947766,-0.3259551987022575,18.411414585259323,-0.4108756243594714,0.2181393067208464,0.08487435879674136,0.37498687402291914,-0.5267428255003014,0.7151631841369835,-0.09088281619000868,0.009369217297854913,-0.5043716402795255,0.27329311485764185,0.10849763304607465,-0.03147262854107641,-0.1288754045381732,-0.4350308651925118,-0.3673878946812277,0.7473103474908691,0.026299501162275595,0.8481686418333125,1.465844607504583,-0.39085028410467204,16.023050489566252,0.5150201142751487,-0.6882977000088774,-0.3628712174766425,0.028500434419742402,0.10507481366819911,0.08864816845955753,-0.8152226742670411,-0.2910926304207852,1.1593016878299511,-0.06654958754626776,-0.2786515273344336,0.5786282486656884,-0.3057618419930499,1.3515668443629463,-0.16992305804099622,0.0013335467237876894,0.4106922379877985,-0.7849891055769486,-0.20725426457850615,11.256017636110899,-0.09837894722093715,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.17369876901305162,-0.17891280502769163,-0.6267609231248765,0.17658368158079873,0.14237741455934094,0.5347837446292606,0.09901771677670641,0.05678358497723745
976,995006,-0.44327205408563203,0.09808027680127682,-0.5179601468583227,0.013423616153018623,-0.4594169415470877,-0.628972055761859,-0.2844375535511014,-0.4162412125388697,-0.3376353105656246,-0.5531380059861525,0.2534758909164837,15.469021398053911,-0.34474359437757646,0.9419513448347654,1.126338988245013,0.2760768884840874,15.81147715712403,14.745508741717936,-0.2757507443520437,-0.3688611572201183,17.14992655581537,0.16231868394076326,0.14258962793201993,0.10357960320037353,0.35993200590136626,-0.5167765352146861,0.8079394103196373,-0.1842811764893707,0.0224853514421892,-0.6293239423937131,0.29634475394731263,0.1044709050438214,-0.07395829035382889,-0.016254471386255322,-0.5921341594411872,-0.4617357149244806,0.24664425765741432,0.5084290471626728,0.8270418986258803,1.9432483730000718,-0.4683994351440044,15.98173651609686,0.7047241462224261,-0.9039588473939489,-0.39101074923301565,0.16904802173008018,-0.21266033623184363,0.02723936473600138,-0.5917641552880106,-0.9796518826328094,1.3631978392178,-0.021923725016048147,-0.5445159170461126,0.7422506326758169,-0.43574051246497336,1.2988556308532238,-0.33801335551848705,0.12457910748308508,0.3585912877292061,-0.92449903645282,-0.19291228855066964,10.952794010104752,-0.18656474297909062,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.25187141327685403,-0.2025767065008143,-0.7905901857435959,0.31676458111069306,0.05741087911789049,0.4944735434333234,0.0839895320652137,0.0566557521208283
1142,996004,-0.11465741399127322,0.11291354506305082,0.6207633127990895,0.1637445006348727,-0.9167138644682458,0.05865003786962346,0.048857975681219114,-0.3524786222595998,-0.3376353105656246,-0.5531380059861525,0.1512648126794962,16.750680066471357,-0.14603467360892453,0.8160949034459889,1.0329148899631218,0.42278661946947604,15.175557684403792,13.611282507914597,-0.08224844803154377,-0.48315223493709286,16.92069226669216,-0.02185775083127395,0.1589384436902677,0.022208823733587405,0.3763222518107284,-0.4962755740570717,0.694770503387244,-0.10397880266834669,-0.004410310419917868,-0.5444145073290342,0.32725102037076326,0.09716109142903023,0.04058796689563173,-0.11588193393976014,-0.4350308651925118,-0.3673878946812277,0.41051721056344515,0.1876534428920425,0.8565675409478508,1.6188505230183932,-0.32543341126567293,16.246664539761912,0.6649506031790964,-0.7067627413445472,-0.3628712174766425,0.13807490554931243,-0.3779339306133293,-0.4052389038909823,-0.7918164114068764,-0.2715743528100896,1.182040598938858,-0.09777060302706056,-0.44384964272001703,0.5674821359982952,-0.4932750095795063,1.3692750575660348,-0.1021088466883476,-0.2636509862323969,0.3989538422941185,-0.7904890197449435,-0.11624676918896101,11.918950348550897,-0.30956696282925833,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.17369876901305162,-0.17891280502769163,-0.6267609231248765,0.22043387522695881,-0.5389307818692775,0.5521750410694881,0.09901771677670641,0.05570923669944605
1417,997002,0.04011648597179833,-0.3647276006382183,-0.24914811566029932,0.30890329732333216,-0.17645327989944593,0.1296922645370283,-0.3110155212630155,-0.15147273651729806,-0.3376353105656246,-0.5531380059861525,0.1512648126794962,16.968356946230244,-0.30090118539379324,0.7942907490996833,1.0329148899631218,0.5303558152238778,17.19020028606894,14.751019913363203,-0.7711392224619801,-0.30698088794417006,16.855029697526994,-0.27179341742402546,0.1589384436902677,0.022208823733587405,0.3763222518107284,-0.4962755740570717,0.694770503387244,-0.10397880266834669,-0.004410310419917868,-0.5444145073290342,0.32725102037076326,0.09716109142903023,0.04058796689563173,-0.11588193393976014,-0.4350308651925118,-0.3673878946812277,0.6829863106859914,0.4601347322626658,0.8565675409478508,1.6188505230183932,-0.32543341126567293,16.246664539761912,0.6649506031790964,-0.7067627413445472,-0.3139175259605239,0.13807490554931243,-0.27709528597142463,0.18964952684307615,-0.762253993437444,-0.5888501249678549,1.182040598938858,-0.09777060302706056,-0.44384964272001703,0.5674821359982952,-0.4932750095795063,1.3692750575660348,0.015037962504396474,0.4493608272858561,0.3989538422941185,-0.7904890197449435,-0.11624676918896101,12.245948860963166,-0.30956696282925833,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.17369876901305162,-0.17891280502769163,-0.6267609231248765,0.22043387522695881,0.21921964314598857,0.5521750410694881,0.09901771677670641,0.05548885509987378
1499,998001,-0.22049593064501088,-0.23310274813310333,-0.4523011346604314,0.3829916592162049,-0.5523963932964234,-0.38386329480354103,-0.5990579083510827,-0.36013854265777373,-0.3376353105656246,-0.5531380059861525,-0.010019035159774689,15.21716378270259,0.07450848357253338,0.4595711663089181,0.8564791509715327,0.08925417615672974,17.16253882520366,14.886954879000589,0.10007115849624022,-0.12970204087540743,16.33949303515397,0.11005685940125289,0.06488130137170302,-0.11258094227954814,0.3963560273806111,-0.41041287263969856,0.557239495948796,-0.04619573310737203,-0.11194314490560046,-0.47650336926831666,0.42840045208898614,0.07365769986781966,0.17167335804949246,-0.257466257204687,-0.19054655427929884,-0.25324268100654296,0.42498383190625283,-0.08759520967037392,0.9178804790413423,1.367139870556643,-0.0752474103068194,18.097647068339473,0.7261012209135608,-0.5608462606424731,-0.051968313796635544,0.14588497781799664,-0.20488850480801607,-0.39074891776290416,-0.2284128591895384,-0.4792771327519915,0.7110317742136125,-0.18369432854486065,-0.3960539477254054,0.2665345752380116,-0.6175344643899122,1.554893274873684,0.05307071679604589,-0.1584420215121084,0.4319769620809613,-0.6854256752004848,0.022664296183654238,11.465621869834653,-0.48787877080204045,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.05515879667417563,-0.1620501752677875,-0.35817145274752976,0.18540757871874805,0.10901484905593872,0.6665569896192093,0.13196686348626335,0.055344933829390534
1712,999000,-0.19698103417917942,-0.07860838409029891,-0.5440394369898565,0.1810761107073854,-0.13045513513381152,-0.3113550011125495,-0.012718105541859577,-0.3526860187561015,-0.3376353105656246,-0.5531380059861525,-0.010019035159774689,16.84813928696517,-0.07261013416182335,0.5908051356114377,0.8460061092072079,0.22519088659408115,16.721280891316486,12.457192670783868,-0.5544720540053402,0.021914567007596593,17.46598412329778,-0.2908733632115331,0.015301180437268993,-0.11663292580600051,0.3963560273806111,-0.3117954285391199,0.4973658507816144,-0.04619573310737203,-0.11194314490560046,-0.4783020447665695,0.42840045208898614,0.07888583817941483,0.17167335804949246,-0.2224952549295206,-0.19054655427929884,-0.25324268100654296,-0.14914827058308847,-0.1627797581767585,0.8898354918069167,1.4153193751635431,-0.0752474103068194,18.097647068339473,0.7261012209135608,-0.5608462606424731,-0.2716683912012799,0.14588497781799664,-0.08670962806178045,0.09397636512552099,-0.6196488855217634,3.604388369199994,0.7110317742136125,-0.18369432854486065,-0.3960539477254054,0.2665345752380116,-0.6175344643899122,1.554893274873684,-0.524179085964261,0.35910046764491,0.4319769620809613,-0.6854256752004848,0.022664296183654238,13.724272476308162,-0.48787877080204045,0.5501492378075145,-1.0522656733536098,-0.3638282259681918,0.7323539223984672,-0.05515879667417563,-0.1620501752677875,-0.35817145274752976,0.18540757871874805,0.03584447795276206,0.6665569896192093,0.13196686348626335,0.05521664979048968
