,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),y
55,990025,-1.5715511149338137,-1.6420028299119627,-0.31566762556584055,-0.4500310065268098,-1.8805129646177372,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,0.8218548208752626,0.6389047574719963,-0.7787359920820902,3.069297779308828,2.8346134909759693,-0.4671660339060331,1.1868756463908092,0.4566157140779913,-1.684473964066658,-1.2320482502261274,-0.8359627030593251,0.9188352433333181,1.4408817838651775,-0.2081655257724831,1.156288828273911,-0.4046661362932621,1.1799854005045567,0.5018977802965037,0.6815637921027726,-0.8292280185618983,1.1879146003338577,0.6875372648110843,1.2383752462539246,-0.0491291286497464,0.28932891752065953,-0.4390817054421,1.6162963750029309,1.0438884618779194,2.0344389392216025,1.5016599691355539,-0.05292458697007634,-0.2999912576399278,-1.0718106014411348,-0.7293153655329412,-0.060034205253130954,-0.3102169618743411,2.3229145865410192,1.374290128059042,-0.4038894043385893,-0.45825643944141853,-1.4590792900720926,0.5729785956769006,0.4950039713034443,0.2789076822413127,0.2908601397630692,-3.03326860595958,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,0.025331118284607962,-1.8370159460345912,0.29508866210415097,0.06708108302788651
213,991020,-1.391398778726813,-1.931539750211472,-0.4777249184329233,-0.9347791505838867,-1.739557865644624,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,0.3169448128712285,0.19069575012067935,-0.6923587720112789,2.8335811867218634,2.5095776825343954,-0.30834594187052167,0.4714508941806587,0.5928418494140348,-1.6779372128290229,-1.3353413543992836,-0.2959634541595595,0.9666475313603509,1.3717122762928093,-0.39540570417918125,1.1487753661145803,-0.37306172322753495,1.1822795494673222,0.5887509510550727,0.7392573021160471,-0.8948270427026112,0.9414945299763251,0.6023166453410201,1.1557052590084003,-0.15872759342335555,0.3571147400643054,-0.42168573904036716,1.3727827314228114,0.9313489027015778,2.0153311631742916,1.9329122510521624,-0.26684154358526546,-0.01065017079524774,-0.6427375842430172,-0.6726356405214498,-0.060034205253130954,-0.2090368462782854,2.141527237981734,1.3296371740325628,-0.4038894043385893,-0.45825643944141853,-1.4590792900720926,-0.026531777890116858,-0.0327046713944517,0.0636133940696261,0.2908601397630692,-3.03326860595958,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.15154642021254464,-0.8105376518112523,0.29508866210415097,0.06637610695417663
523,992016,-1.3980501276834079,-1.5435385122670737,-0.34057386959683417,-0.6470993801627886,-2.082673768575016,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,0.3169448128712285,0.19069575012067935,-0.6923587720112789,2.8335811867218634,2.5095776825343954,-0.30834594187052167,0.4714508941806587,0.5928418494140348,-1.6779372128290229,-1.3353413543992836,-0.2959634541595595,0.9666475313603509,1.3717122762928093,-0.2081655257724831,1.156288828273911,-0.4046661362932621,1.1799854005045567,0.5887509510550727,0.7392573021160471,-0.8292280185618983,0.9414945299763251,0.6875372648110843,1.1557052590084003,-0.0491291286497464,0.28932891752065953,-0.4390817054421,1.3727827314228114,0.9313489027015778,2.0153311631742916,1.9329122510521624,-0.26684154358526546,-0.01065017079524774,-0.6427375842430172,-0.6726356405214498,-0.060034205253130954,-0.2090368462782854,2.141527237981734,1.3296371740325628,-0.4038894043385893,-0.45825643944141853,-1.4590792900720926,-0.026531777890116858,-0.0327046713944517,0.0636133940696261,0.2908601397630692,-3.03326860595958,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.15154642021254464,-0.8105376518112523,0.29508866210415097,0.06604232935121424
631,993012,-1.7004486127465948,-1.6056790289734912,-0.5591636049056083,-0.6174363377107149,-1.79982495201047,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,-0.04833720920361287,-0.1204734187008105,-0.636751191273002,2.5368433499013485,2.189687983000596,-0.07585695292841768,-0.5365178410816066,0.7319633974421558,-1.7266046653513607,-1.494622073986265,0.372869862704789,0.9757513002336836,1.294121628196558,-0.2081655257724831,1.156288828273911,-0.4046661362932621,1.1799854005045567,0.707879987110934,0.7952643553052283,-0.8292280185618983,0.6820560484653727,0.6875372648110843,1.0393020781417852,-0.0491291286497464,0.28932891752065953,-0.4390817054421,1.0888573254936167,0.7521431234921372,2.2216174115897434,2.5029055804202844,-0.7282045728615942,0.5623534375153639,-0.2760444285560272,-0.6329427803220855,-0.060034205253130954,-0.07895515374358948,1.957187409751528,1.2655302616921529,-0.4038894043385893,-0.45825643944141853,-1.4590792900720926,-0.6904899425581654,-0.32071842895845704,-0.10238160730726552,0.2908601397630692,-3.03326860595958,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.4301886888894583,0.049848049056277086,0.29508866210415097,0.06569333593328985
881,994009,-1.469320146352035,-1.7371056712060917,-0.0017659619013700985,-0.614528028911044,-1.3918678721400721,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,-0.04833720920361287,-0.1204734187008105,-0.636751191273002,2.5368433499013485,2.189687983000596,-0.07585695292841768,-0.5365178410816066,0.7319633974421558,-1.7266046653513607,-1.494622073986265,0.372869862704789,0.9757513002336836,1.294121628196558,0.2710244856473039,1.2069187649825839,-0.439304548759238,1.172341569271935,0.707879987110934,0.7952643553052283,-0.6966055721486442,0.6820560484653727,0.8032182947792309,1.0393020781417852,0.10772880187162441,0.07772325376567144,-0.4055821244352702,1.0888573254936167,0.7521431234921372,2.2216174115897434,2.5029055804202844,-0.7282045728615942,0.5623534375153639,-0.2760444285560272,-0.6329427803220855,-0.060034205253130954,-0.07895515374358948,1.957187409751528,1.2655302616921529,-0.4038894043385893,-0.45825643944141853,-1.4590792900720926,-0.6904899425581654,-0.32071842895845704,-0.10238160730726552,0.2908601397630692,-3.03326860595958,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.4301886888894583,0.049848049056277086,0.29508866210415097,0.06533404308723167
995,995006,-1.5711612241962407,-1.6109273359215177,-0.18061021674828823,-0.7879052149382402,-1.7334186786602603,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,-0.13941365826905663,-0.3983258052663033,-0.6578499469988792,2.451093952599421,2.1075914465809733,0.08637917786088144,-1.1039623882961573,0.8657967376901119,-1.7745988761450588,-1.6744946935232972,1.0219076215638656,0.9427925298420898,1.2561421455407724,0.6463117119507906,1.2391859673800658,-0.47493940695099335,1.1549801522079597,0.8328117693405633,0.7982451529135663,-0.5790593131472426,0.6239179013970031,0.942554968776744,0.9612248156191269,0.21474366972276532,-0.17189941932316466,-0.3379367865232927,0.9710113615274912,0.7120259077863639,2.40280723996348,3.0016424148411387,-0.9401611817322477,1.0643030478615287,0.006698679991187851,-0.5970058315350593,0.13338251889463068,0.01498726946239896,1.8620650159655054,1.2055877271632287,-0.47604237892264023,-0.5055932937535397,-1.4590792900720926,-1.174279732396912,-0.26292696965446427,-0.3139316083904431,0.2908601397630692,-3.762592241628097,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.4906730829689366,0.42715695098522344,0.29508866210415097,0.06503714924093418
1097,996004,-1.5376571971735014,-1.1992554995637745,-0.8014256573044007,-0.6961295650656797,-1.3304473931381466,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,-0.3569397729082507,-0.23788280393467276,-0.5485368284584484,2.5013450489915012,2.1579408567350655,-0.06820208744686719,-0.621037866493789,0.7580725829894369,-1.6936493754827584,-1.5301512312191965,0.5214662701906135,1.0013853759836062,1.2563363186021457,0.27041933352973585,1.2013232162586018,-0.4517434308259509,1.1799610607516637,0.7057907183930804,0.8580421704236,-0.7674492998321853,0.643534384416099,0.8108783172008597,1.0513383792570083,0.09643942816566822,0.08747913291264632,-0.4566775739934599,1.0330089139393754,0.7082863952329795,2.1542841907388843,2.668356373709659,-0.7713749552160399,0.5166459817445606,-0.1720489096588716,-0.6262284219019831,-0.060034205253130954,-0.05582405366835153,1.8655304642650778,1.2732814163651969,-0.4038894043385893,-0.45825643944141853,-1.4590792900720926,-0.8027101531062648,-0.6321194488027179,-0.19032082699187036,0.2908601397630692,-3.03326860595958,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.4301886888894583,0.6076545233142938,0.29508866210415097,0.0641411450510202
1266,997002,-1.2340065051774647,-1.2274715764681352,-0.3123772653008105,-0.5612248992926754,-1.0651710029245527,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,-0.3569397729082507,-0.23788280393467276,-0.5485368284584484,2.5013450489915012,2.1579408567350655,-0.06820208744686719,-0.621037866493789,0.7580725829894369,-1.6936493754827584,-1.5301512312191965,0.5214662701906135,1.0013853759836062,1.2563363186021457,0.27041933352973585,1.2013232162586018,-0.4517434308259509,1.1799610607516637,0.7057907183930804,0.8580421704236,-0.7674492998321853,0.643534384416099,0.8108783172008597,1.0513383792570083,0.09643942816566822,0.08747913291264632,-0.4566775739934599,1.0330089139393754,0.7082863952329795,2.1542841907388843,2.668356373709659,-0.7713749552160399,0.5166459817445606,-0.1720489096588716,-0.6262284219019831,-0.4101270777976639,-0.05582405366835153,1.8655304642650778,1.2732814163651969,-0.4038894043385893,-0.45825643944141853,-1.4590792900720926,-0.8027101531062648,-0.6321194488027179,-0.19032082699187036,0.2908601397630692,-3.03326860595958,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.4301886888894583,0.6076545233142938,0.29508866210415097,0.06381906098737145
1481,998001,-1.0648648653911228,-1.4385477585014539,-0.6780931444966601,-0.593931061089991,-1.059886308375346,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,-1.0145214601724466,-0.23694204199007823,-0.33341030171031505,2.5566584228898814,2.329635999094513,-0.28672752977218824,0.11496932876410655,0.6534066089558886,-1.449913956847748,-1.4283062795999868,0.10936347108025257,1.1143904278201218,1.193891759423024,-0.14761241540573736,1.1310674937760532,-0.43012909897766405,1.2061198026148663,0.5191727255802641,0.9778868079042056,-1.1618906341724873,0.593910642858418,0.69371612312953,1.230921797656695,-0.1373352605155428,0.27095403358496406,-0.6092411667762971,1.0520223986484154,0.5960955461852431,1.6388061121566213,2.407638789421583,-0.6453778302802782,-0.33495675537298625,-0.22889713194313896,-0.6691951907583714,-0.4246186163622929,-0.08900205520799757,1.7191868164248234,1.382420015677884,-0.35929799771917686,-0.4316293086635932,-1.4590792900720926,-0.5872488661272867,-1.1312161306915802,-0.13303025693256643,0.2908601397630692,-2.683928844636297,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.578020788739328,1.0646545029434948,0.29508866210415097,0.06341453630515614
1697,999000,-1.396009761838308,-1.1451002225274143,0.06237133765000843,-1.0139533824302824,-1.0996987830806306,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.5461721201286194,-1.40288027726091,-1.0145214601724466,-0.23694204199007823,-0.33341030171031505,2.5566584228898814,2.329635999094513,-0.28672752977218824,0.11496932876410655,0.6534066089558886,-1.449913956847748,-1.4283062795999868,0.10936347108025257,1.1143904278201218,1.193891759423024,-0.10268705964904995,1.1236401085841718,-0.4455590259931249,1.1863489168594217,0.5191727255802641,0.9778868079042056,-1.1582595950408807,0.593910642858418,0.7075334498069378,1.230921797656695,-0.12142675883025693,0.23675610883102458,-0.6102401320977069,1.0520223986484154,0.5960955461852431,1.6388061121566213,2.407638789421583,-0.6453778302802782,-0.33495675537298625,-0.22889713194313896,-0.6691951907583714,-0.4881180770301532,-0.08900205520799757,1.7191868164248234,1.382420015677884,-0.35929799771917686,-0.4316293086635932,-1.4590792900720926,-0.5872488661272867,-1.1312161306915802,-0.13303025693256643,0.2908601397630692,-2.683928844636297,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.578020788739328,1.0646545029434948,0.29508866210415097,0.06306436877272736
