,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
92,990025,-0.31220044095494637,-0.267477347928836,-0.316982317327939,-0.10769497962021415,0.2568126488934002,-0.33376960165081904,-0.3004029038005297,-0.13482642990561394,-0.1529159073217431,0.01472160245113203,0.38014603665372076,1.232633013559245,-1.1560563206847152,0.007049886616556373,0.005926712616639911,-0.5223645896599607,1.085871875952201,-0.8997472393217747,-0.18206204638191711,-0.5978495016157489,1.280489724818429,0.7726024044846569,-0.7203678581441036,-0.4141185424897085,-0.014922189257893383,-0.3630510032181115,0.3366189256305943,-1.5980802819620437,-1.1796681324279668,-0.14511087691404376,-2.4119968284544053,-1.5305346234309065,0.40515073798314355,0.6642450612796543,0.4871363064130474,-0.44934392708066556,0.0989008380374442,0.3219873178887146,0.42538151538346336,-0.8255563035789536,-0.5202271216514536,-0.39324417322877525,-0.5617934373308541,0.19851797060414234,-0.5650851102826905,0.7233134666906912,0.06363922900009994,-0.4615816831575008,0.09692065908966913,0.571670157422148,-0.4042759036837706,-0.27913249360206793,-0.2282733244862843,-0.5929658601149611,0.28028972427114607,-0.1652140563357712,5.677709369320308,0.4234333479666022,0.25477523246232336,-0.5300930861212592,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.04952656471472061
269,991020,-0.3510459625295424,-0.2523156600641824,-0.432240090068475,-0.32016043804117356,0.05938404311827296,0.15843060086821534,-0.42762227995453095,0.21594028503015503,-0.019043655425215928,0.01472160245113203,0.38014603665372076,0.7230398397837936,-1.0308894435641596,0.10000302842455801,-0.08094811723221032,-0.2711488304565968,0.8362245936078913,-0.7222322320492046,-0.28567154221716456,-0.386878835062144,0.26166563522230474,0.6695568191237367,-0.5228762178342543,-0.7799797010989211,0.010315604790467062,-0.4366323674462168,0.2804269536149635,-1.7273887814576676,-1.1034612917357003,-0.12581302854744386,-2.495889889421409,-1.4324515488210252,0.48894974340593755,0.6017819524938516,0.12632478630950378,-0.4628794630922413,0.14850553409779127,0.2626020729863079,0.3086896650782507,-0.5927263426633875,-0.51430129034214,-0.5650232551795267,-0.22227537684400442,0.19851797060414234,-0.5650851102826905,0.35467496491245853,0.06363922900009994,-0.4615816831575008,-0.016814203135422496,0.45766589265045715,-0.4042759036837706,-0.27913249360206793,-0.2282733244862843,-0.5149695936321576,0.28028972427114607,-0.1652140563357712,4.37635004585695,0.4234333479666022,0.25477523246232336,-0.5300930861212592,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.04878507811957955
498,992016,-0.30047035054592447,0.1595936029927545,-0.09576981532043337,-0.5664842241573093,0.3729861990492488,0.09806591438320673,-0.43688093305860337,0.027038694347736546,0.05005864371641333,0.01472160245113203,0.38014603665372076,0.7230398397837936,-1.0308894435641596,0.10000302842455801,-0.08094811723221032,-0.2711488304565968,0.8362245936078913,-0.7222322320492046,-0.28567154221716456,-0.386878835062144,0.26166563522230474,0.6695568191237367,-0.5228762178342543,-0.4141185424897085,-0.014922189257893383,-0.3630510032181115,0.3366189256305943,-1.7273887814576676,-1.1034612917357003,-0.14511087691404376,-2.495889889421409,-1.5305346234309065,0.48894974340593755,0.6642450612796543,0.4871363064130474,-0.44934392708066556,0.14850553409779127,0.2626020729863079,0.3086896650782507,-0.5927263426633875,-0.51430129034214,-0.5650232551795267,-0.22227537684400442,0.19851797060414234,-0.5650851102826905,0.35467496491245853,0.06363922900009994,-0.4615816831575008,-0.016814203135422496,0.45766589265045715,-0.4042759036837706,-0.27913249360206793,-0.2282733244862843,-0.5149695936321576,0.28028972427114607,-0.1652140563357712,4.37635004585695,0.4234333479666022,0.25477523246232336,-0.5300930861212592,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.048741342355956514
600,993012,-0.18434174831628333,-0.13222933272339785,-0.7353324292097153,0.01877817531395254,0.25876721266599584,0.18582845249554777,-0.2758432130759096,0.022068318307915814,-0.2548538208457719,0.01472160245113203,0.38014603665372076,0.06316294011425484,-0.8858476434733789,0.23570815771449186,-0.1743417586759606,0.0184020135650488,0.5663134406268905,-0.22662351094162378,-0.4380918248939151,-0.17952802816559793,-0.7086081036409867,0.4753302990535234,-0.27330976833514914,-0.4141185424897085,-0.014922189257893383,-0.3630510032181115,0.3366189256305943,-1.7992737855438057,-0.9135373209906338,-0.14511087691404376,-2.614842419489971,-1.5305346234309065,0.5836755530041237,0.6642450612796543,0.4871363064130474,-0.44934392708066556,0.21034304587942246,0.15021013948351838,-0.027238130870120027,-0.08970380910545185,-0.4768446661719223,-0.8279329947433152,0.22157460053253633,0.19851797060414234,-0.5650851102826905,0.35467496491245853,0.06363922900009994,-0.4615816831575008,-0.07030485066958092,0.230527653347405,-0.4042759036837706,-0.27913249360206793,-0.2282733244862843,-0.4146383005192679,0.28028972427114607,-0.1652140563357712,3.6381586198543845,0.4234333479666022,0.25477523246232336,-0.5300930861212592,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.04845015500614047
753,994009,-0.8375742168702799,-0.16822290960777928,-0.5741154192909147,-0.555614748369062,0.08885208153450186,0.08343699886960067,0.17025762860640833,-0.061979548337205474,-0.19544380633107808,0.01472160245113203,0.38014603665372076,0.06316294011425484,-0.8858476434733789,0.23570815771449186,-0.1743417586759606,0.0184020135650488,0.5663134406268905,-0.22662351094162378,-0.4380918248939151,-0.17952802816559793,-0.7086081036409867,0.4753302990535234,-0.27330976833514914,-0.12930350749072714,-0.0194362823711339,-0.3125892388242501,0.4414198056347472,-1.7992737855438057,-0.9135373209906338,-0.17015209476768545,-2.614842419489971,-1.6224061333532065,0.5836755530041237,0.8661151418822645,0.8018656776865144,-0.4967146337242706,0.21034304587942246,0.15021013948351838,-0.027238130870120027,-0.08970380910545185,-0.4768446661719223,-0.8279329947433152,0.22157460053253633,0.19851797060414234,-0.5650851102826905,0.35467496491245853,0.06363922900009994,-0.4615816831575008,-0.07030485066958092,0.230527653347405,-0.4042759036837706,-0.27913249360206793,-0.2282733244862843,-0.4146383005192679,0.28028972427114607,-0.1652140563357712,3.6381586198543845,0.4234333479666022,0.25477523246232336,-0.5300930861212592,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.048049446718784194
1031,995006,-0.5415827229257634,-0.2533484711644002,-0.09546122203006102,-0.45113821947958604,0.4122860960956698,-0.005986921292819212,-0.1550557795839321,0.03494225419167632,0.03722926963013264,0.01472160245113203,0.38014603665372076,-0.33850246184441873,-0.7743673730773961,0.40618261982224385,-0.23984602802480795,0.16704218182014757,0.44322627361648576,0.1327709296523504,-0.5134104869835499,-0.1041571042430194,-1.5732565659559574,0.38414936434423086,-0.06361404367277444,0.110067283272896,-0.0004322359553437007,-0.2684264861333442,0.5186107718062205,-1.8376969622491708,-0.7839931933757431,-0.18543497581801902,-2.695217138141461,-1.7026618721219073,0.6544291842941602,0.9756154350912772,1.0005730398469126,-0.6022050708675504,0.2534946174915218,0.04100748413174026,-0.3380907481355605,0.14179472249400055,-0.4216570580456164,-0.9907663086010218,0.4949922230894811,0.19851797060414234,-0.5548131639592477,0.35467496491245853,0.0069385843369916414,-0.6657937616868833,-0.09411736781803948,0.11739367881604347,-0.5854313450650817,-0.1865114032356742,-0.2352403807890926,-0.36494019394930316,0.28028972427114607,-0.1652140563357712,3.0413114193111417,0.4234333479666022,0.7648389285320717,-0.6408861809968616,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.047811447311130066
1128,996004,-0.08153637640813712,-0.3591640431716101,-1.1482974911906783,-0.46689464297648564,0.1656241396969689,-0.38048224642485934,-0.3504819500775961,-0.010844424432971038,0.10977123277966022,0.01472160245113203,0.38014603665372076,-0.18070040220423447,-0.8325466792815825,0.23165285176968692,-0.17971939731401965,0.09704477617418585,0.32863582722452095,-0.3267797132711125,-0.49573343010962373,-0.1421617172424333,-1.236734486382589,0.4512740262732235,-0.12754381523821734,0.04764044128932456,-0.10251676069214216,-0.27003110460450935,0.4522862644783599,-1.8884056640735067,-0.9597116770824122,-0.16477078295494685,-2.623894925975673,-1.6479608298911232,0.6654849182969726,0.8456091623261268,0.9401121241767441,-0.42873297856960163,0.20655354310089544,0.1250874436086745,-0.22303229704982688,0.060176755648182916,-0.5258727050627279,-0.9225122262813558,0.2665393252540344,0.19851797060414234,-0.5650851102826905,0.35467496491245853,0.06363922900009994,-0.4615816831575008,-0.15038606970594018,0.24649863501422353,-0.4042759036837706,-0.27913249360206793,-0.2282733244862843,-0.35118945460567774,0.28028972427114607,-0.1652140563357712,3.1753197393283954,0.4234333479666022,0.25477523246232336,-0.5300930861212592,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.04700758561592888
1410,997002,0.031487465391505966,-0.2590965149846601,-0.6186589935940204,-0.6021388087962931,-0.12323303193900405,0.41915678624950636,-0.384800929713112,0.056151048078444454,-0.07071562324737635,0.01472160245113203,0.38014603665372076,-0.18070040220423447,-0.8325466792815825,0.23165285176968692,-0.17971939731401965,0.09704477617418585,0.32863582722452095,-0.3267797132711125,-0.49573343010962373,-0.1421617172424333,-1.236734486382589,0.4512740262732235,-0.12754381523821734,0.04764044128932456,-0.10251676069214216,-0.27003110460450935,0.4522862644783599,-1.8884056640735067,-0.9597116770824122,-0.16477078295494685,-2.623894925975673,-1.6479608298911232,0.6654849182969726,0.8456091623261268,0.9401121241767441,-0.42873297856960163,0.20655354310089544,0.1250874436086745,-0.22303229704982688,0.060176755648182916,-0.5258727050627279,-0.9225122262813558,0.2665393252540344,0.19851797060414234,-0.6916916006401623,0.35467496491245853,0.06363922900009994,-0.4615816831575008,-0.15038606970594018,0.24649863501422353,-0.4042759036837706,-0.27913249360206793,-0.2282733244862843,-0.35118945460567774,0.28028972427114607,-0.1652140563357712,3.1753197393283954,0.4234333479666022,0.25477523246232336,-0.5300930861212592,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.046718168107670384
1471,998001,-0.367042943009616,-0.060648720852941755,-0.19430918775259337,-0.5679347154971928,-0.3219023384263777,0.012181352930352477,0.2840769680662972,0.4398097884281972,-0.18731979266407303,0.01472160245113203,0.38014603665372076,-0.38383259962276056,-0.860778442427944,0.05534026623207732,-0.10606407414663091,0.12146030592708781,0.09485517432239826,-0.9479985373995047,-0.5506692082719884,-0.1334241160488564,-1.2648749408758875,0.5798487473155413,-0.09277983654515369,0.09040891980508736,-0.263948667406002,-0.23091812158030667,0.40209206635023537,-1.9340789199719814,-1.1914101925863296,-0.1311989303588779,-2.564297965961475,-1.586339785185165,0.7354118130914783,0.6024739854994299,0.8785089091491194,-0.22193239067132509,0.08452164048215245,0.12802738177472173,-0.2450137371863239,0.03573877279635326,-0.7223670583055124,-0.8603577097328963,-0.09710806215192756,0.19851797060414234,-0.5744182139350498,0.1270693593142525,0.16044771804583377,-0.2556227502467366,-0.31280130730083444,0.4736128436709781,-0.1605237260469667,-0.3203976928602485,-0.24076236305708068,-0.23067674887992934,0.28028972427114607,-0.1652140563357712,2.8881289170410316,0.4234333479666022,-0.387528453167629,-0.5237029132568397,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.04640720221642214
1660,999000,-0.04171376147614336,0.034866489626509865,0.010127168514161226,-0.6200023291065266,-0.14299386041660062,0.2439793481602732,-0.13747161177411202,-0.21187633245559823,0.314920664161381,0.01472160245113203,0.38014603665372076,-0.38383259962276056,-0.860778442427944,0.05534026623207732,-0.10606407414663091,0.12146030592708781,0.09485517432239826,-0.9479985373995047,-0.5506692082719884,-0.1334241160488564,-1.2648749408758875,0.5798487473155413,-0.09277983654515369,0.1922095846163286,-0.2753700302747775,-0.20791079747313324,0.42394591903924805,-1.9340789199719814,-1.1914101925863296,-0.15221864921319464,-2.564297965961475,-1.586339785185165,0.7354118130914783,0.6165414892384657,0.8805411733854572,-0.20993978283520698,0.08452164048215245,0.12802738177472173,-0.2450137371863239,0.03573877279635326,-0.7223670583055124,-0.8603577097328963,-0.09710806215192756,0.19851797060414234,-0.4380800149404549,0.1270693593142525,0.16044771804583377,-0.2556227502467366,-0.31280130730083444,0.4736128436709781,-0.1605237260469667,-0.3203976928602485,-0.24076236305708068,-0.23067674887992934,0.28028972427114607,-0.1652140563357712,2.8881289170410316,0.4234333479666022,-0.387528453167629,-0.5237029132568397,-0.2358309400651244,-1.0521643431367895,-0.29670175386855147,-0.31142385675632744,-0.22697092350000803,0.26566281068362574,0.04613548835725279
