,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
180,990025,0.01804304778801388,0.6914316094433091,1.356899387734425,0.7166566818866684,0.3764980626911045,-0.23011874745974828,0.321030262316615,0.5458493070854565,-0.9381851241525107,0.402994070298663,0.26899776380280893,0.6315243382825586,-0.47996391067880706,0.5899860604761098,-0.7418849646457129,0.033674096012845746,1.689381778377906,0.3785905207331156,0.4297637480920172,0.06010718979469686,0.26243262653568894,1.1285120993260482,-0.11847147641272639,-0.2479817457680801,-1.0624333980392766,-0.6057052551886559,0.4459277767975325,-0.6104383252618355,0.010337726141251382,-0.13859238794843048,0.7691985469517023,0.2023699867851289,0.041117620492127235,-0.2287801958694479,0.2965126221107514,-0.08060238259682354,-0.025257469385388146,-0.5956139135527327,-0.610649217850274,-0.1567955391202929,0.7500004150476361,0.7293608976257507,-0.3941353322295475,0.060454422130132204,-0.7948650871250975,-0.23134175907600515,-0.37776284967209756,-0.02349418695130393,-0.35141796263960295,-0.19367561903090938,0.2632943883932282,-0.8173542000281423,-0.3860107224725402,1.2620957727496664,1.1239176200241863,0.039327541198363576,0.7426796954832112,0.07738199370979044,0.27117174637862806,0.5567411184276401,0.24431528169754654,-0.3220771729072966,0.5895901042274192,0.5373766362113197,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6088439572168151,0.29874417368673906,0.37466591124558735,-0.9955957963200274,-0.666407905572446,-0.35693897347803816,0.19336437102460638,-0.8962322191227787,0.13988709246236095
226,991020,0.5981637371083117,0.6025303561340012,0.4007813948394362,1.0656618822809873,0.6100109699010052,0.2717089609670196,0.12276311364369603,0.18526069518493324,-0.9821785314714658,0.402994070298663,0.26899776380280893,0.24628874248752392,-0.3327810667826557,0.5754602119221042,-0.6368265947618906,-0.13273991487307796,1.5841776914849346,0.2985442239049442,0.4789383058486796,0.2851368114028392,0.4262760352394927,0.8623353335495542,-0.2286476788508933,-0.2593892069633392,-1.1124913616622345,-0.7276162734700576,0.6262842058801219,-0.6969560265076234,-0.0014676614223797595,-0.05425404375977439,0.838635970646037,-0.04550436492635532,0.1403598781161453,-0.32332185081011794,0.2935242374292749,0.04828008564507907,-0.06750775688277504,-0.44276331636772825,-0.6159562016066507,-0.05564008625336183,0.15878993672442374,0.7737259202144832,-0.17816523559878533,-0.16418215564843489,-0.5324780719164506,-0.23134175907600515,-0.5164910007210463,0.21433931089970845,0.016985533378298553,0.18724577851694377,0.43532321046809963,-0.8257572047423548,-0.4562483057872142,1.2620957727496664,1.1239176200241863,0.18091278640206113,0.7429199861532344,0.24726204395152737,0.1564756093207115,0.1298831042811663,0.08075588382807392,-0.22824125281833585,0.5895901042274192,0.4070183924823091,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6088439572168151,0.29874417368673906,0.37466591124558735,-0.9955957963200274,-0.666407905572446,-0.2689453980587275,0.21548081923398424,-0.8962322191227787,0.14243398568743126
437,992016,0.5592221361028868,0.3479246321565992,0.9498131405202025,0.7392049482711757,0.8397007691426931,0.35892164187156744,0.512586949400882,0.39743144060882263,-0.9620530191049019,0.402994070298663,0.26899776380280893,0.24628874248752392,-0.3327810667826557,0.5754602119221042,-0.6368265947618906,-0.13273991487307796,1.5841776914849346,0.2985442239049442,0.4789383058486796,0.2851368114028392,0.4262760352394927,0.8623353335495542,-0.2286476788508933,-0.2593892069633392,-1.0624333980392766,-0.6057052551886559,0.4459277767975325,-0.6104383252618355,-0.0014676614223797595,-0.05425404375977439,0.7691985469517023,-0.04550436492635532,0.041117620492127235,-0.32332185081011794,0.2965126221107514,-0.08060238259682354,-0.025257469385388146,-0.44276331636772825,-0.6159562016066507,-0.05564008625336183,0.15878993672442374,0.7737259202144832,-0.17816523559878533,-0.16418215564843489,-0.5324780719164506,-0.23134175907600515,-0.5164910007210463,0.21433931089970845,0.016985533378298553,0.18724577851694377,0.43532321046809963,-0.8257572047423548,-0.4562483057872142,1.2620957727496664,1.1239176200241863,0.18091278640206113,0.7429199861532344,0.24726204395152737,0.1564756093207115,0.1298831042811663,0.08075588382807392,-0.22824125281833585,0.5895901042274192,0.4070183924823091,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6088439572168151,0.29874417368673906,0.37466591124558735,-0.9955957963200274,-0.666407905572446,-0.2689453980587275,0.21548081923398424,-0.8962322191227787,0.14458696579797914
690,993012,0.7209501979775675,0.5634643536934312,1.039619481790814,1.0312273723840106,0.8516812600862186,0.6137912335352318,0.3172922898372026,0.36574252905845034,-0.5146251161765893,0.402994070298663,0.26899776380280893,-0.17388310453542308,-0.145714139284286,0.5428987918705528,-0.5364178802280066,-0.39195042161087834,1.4846937324101483,0.10957890975671587,0.568670820885761,0.5784103526716077,0.5960647704187467,0.645012812805461,-0.3057495589102645,-0.21175281615971803,-1.0624333980392766,-0.6057052551886559,0.4459277767975325,-0.6104383252618355,-0.01844707679992842,0.07517442572857175,0.7691985469517023,-0.25957699983086413,0.041117620492127235,-0.43697828922147475,0.2965126221107514,-0.08060238259682354,-0.025257469385388146,-0.17578723551703457,-0.6483656772991049,0.014027446953421414,-0.3108905499568899,0.6662602853695455,-0.06306444153530842,-0.5126584361369511,-0.22455178767086892,-0.23134175907600515,-0.7587257832901543,0.5377230175509614,0.35413405670893255,0.6233460580978881,0.641277290753179,-0.930864524948924,-0.48600986108357075,1.2620957727496664,1.1239176200241863,0.40183233126289714,0.6900193345914425,0.37181087796834733,-0.013488420964359524,-0.201857580286148,-0.08148024264895982,-0.12020107804582113,0.5895901042274192,0.4070183924823091,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6088439572168151,0.29874417368673906,0.37466591124558735,-0.9955957963200274,-0.666407905572446,-0.12579445131925415,0.18139715517826893,-0.8962322191227787,0.14668471030736685
755,994009,0.3219136253457367,0.3630677898897165,1.2414936567068438,0.4306657808193114,0.6322230347819792,0.5855453311436515,0.5659189300596601,0.5607215747733019,-1.1967889382240695,0.402994070298663,0.26899776380280893,-0.17388310453542308,-0.145714139284286,0.5428987918705528,-0.5364178802280066,-0.39195042161087834,1.4846937324101483,0.10957890975671587,0.568670820885761,0.5784103526716077,0.5960647704187467,0.645012812805461,-0.3057495589102645,-0.21175281615971803,-1.0285066086274577,-0.472775797508385,0.1596105162311716,-0.46131231397496586,-0.01844707679992842,0.07517442572857175,0.6721653708625586,-0.25957699983086413,-0.055923442106935034,-0.43697828922147475,0.27418618832274355,-0.34770667867346183,0.0879128592706119,-0.17578723551703457,-0.6483656772991049,0.014027446953421414,-0.3108905499568899,0.6662602853695455,-0.06306444153530842,-0.5126584361369511,-0.22455178767086892,-0.23134175907600515,-0.7587257832901543,0.5377230175509614,0.35413405670893255,0.6233460580978881,0.641277290753179,-0.930864524948924,-0.48600986108357075,1.2620957727496664,1.1239176200241863,0.40183233126289714,0.6900193345914425,0.37181087796834733,-0.013488420964359524,-0.201857580286148,-0.08148024264895982,-0.12020107804582113,0.5895901042274192,0.4070183924823091,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6088439572168151,0.29874417368673906,0.37466591124558735,-0.9955957963200274,-0.666407905572446,-0.12579445131925415,0.18139715517826893,-0.8962322191227787,0.1489001573667702
1021,995006,0.5689234983204138,0.7137843326563427,1.3651988412416474,0.6773957999176075,0.6026150302851704,1.141860415354442,0.6417238947478143,0.5323557947065252,-0.9773451076754809,0.402994070298663,0.26899776380280893,-0.47419104861993366,0.0702329349046336,0.5159828330862213,-0.5136833407050673,-0.6863550893699327,1.413037447614611,-0.21192608598009668,0.6248344329552378,0.697658366465933,0.7092450875337257,0.5852057974658128,-0.34524171188146485,-0.1345617676642199,-1.0353850220899192,-0.35836777991375046,0.13263375662777552,-0.3418940948722206,-0.02825185426226833,0.1427738500697133,0.5960530304231778,-0.42725540999283784,-0.1291986291034721,-0.4655644425597747,0.23150636579591963,-0.5587751327109174,0.17851469671722492,-0.015231129094703142,-0.7263973453233238,0.0367253864541049,-0.5546676035115684,0.3935307887353204,-0.03444535078118219,-0.7315371244346769,0.06048570244596474,-0.2943246227030938,-1.0902180925224154,0.7114687827106343,0.640195341274027,0.8446583799713404,0.7313718435865915,-1.0939524110980616,-0.4568715684162465,1.130915013225165,0.7920243871731685,0.519587421330616,0.6368783923596278,0.4925447737658565,-0.13350451620487452,-0.41896677735857896,-0.1612750344950378,-0.021965576316977476,0.7211209885932287,0.4070183924823091,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.5681993330130934,0.2519283419948884,0.3015558438071547,-1.0339593899015185,-0.5166693345610772,0.0009383933706458721,0.10815521088531779,-1.0539390566175693,0.15123919574285194
1188,996004,0.09899933716076778,0.42385854071154583,0.9364264829211235,0.5299941236395503,0.9240878558731626,0.7027243190608247,0.7896751800418575,0.42870963550251395,-0.8001931489595867,0.402994070298663,0.26899776380280893,-0.4766382822893697,-0.016711328645906395,0.5480613377998553,-0.4518188116301587,-0.404614781479061,1.417572245793634,0.14384339845459454,0.6249891223256211,0.6818595607220159,0.6517005602438988,0.5712829118611379,-0.3499645385422758,-0.3047006518455096,-0.8461815942255673,-0.40420037002984577,0.014248342449933185,-0.4411717537531562,-0.03439594672837257,0.11290443248380776,0.6716496022463073,-0.2797210822826974,-0.1344105734201949,-0.4655745410766463,0.2585121645452415,-0.39851249196137084,0.06711957106358034,-0.10901459521406094,-0.5905957294812856,0.0900571191760961,-0.4333990624477186,0.7600735533258574,9.61012527655053e-05,-0.5702077297556487,-0.22211901160640524,-0.23134175907600515,-0.7513455117937194,0.6442001068759766,0.5260826786601429,0.7101558298834918,0.7241679038494686,-0.8785284709270685,-0.5235777485495705,1.2620957727496664,1.1239176200241863,0.3993396124269186,0.6833921566075546,0.43240184707050544,-0.0287430398442534,-0.3962676527015152,-0.15210757718874107,-0.02532783589776599,0.5895901042274192,0.27143414605649957,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6088439572168151,0.29874417368673906,0.37466591124558735,-0.9955957963200274,-0.666407905572446,-0.12242963951825227,0.20963878906795663,-0.8962322191227787,0.15248559826732433
1340,997002,0.7054062019572584,0.4852057170947961,0.8936820640305394,0.7156418276984468,0.8124130708696687,0.8305284848192951,0.495056342057266,0.7439236250664073,-0.9542911305426706,0.402994070298663,0.26899776380280893,-0.4766382822893697,-0.016711328645906395,0.5480613377998553,-0.4518188116301587,-0.404614781479061,1.417572245793634,0.14384339845459454,0.6249891223256211,0.6818595607220159,0.6517005602438988,0.5712829118611379,-0.3499645385422758,-0.3047006518455096,-0.8461815942255673,-0.40420037002984577,0.014248342449933185,-0.4411717537531562,-0.03439594672837257,0.11290443248380776,0.6716496022463073,-0.2797210822826974,-0.1344105734201949,-0.4655745410766463,0.2585121645452415,-0.39851249196137084,0.06711957106358034,-0.10901459521406094,-0.5905957294812856,0.0900571191760961,-0.4333990624477186,0.7600735533258574,9.61012527655053e-05,-0.5702077297556487,-0.22211901160640524,-0.18515509953125336,-0.7513455117937194,0.6442001068759766,0.5260826786601429,0.7101558298834918,0.7241679038494686,-0.8785284709270685,-0.5235777485495705,1.2620957727496664,1.1239176200241863,0.3993396124269186,0.6833921566075546,0.43240184707050544,-0.0287430398442534,-0.3962676527015152,-0.15210757718874107,-0.02532783589776599,0.5895901042274192,0.27143414605649957,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6088439572168151,0.29874417368673906,0.37466591124558735,-0.9955957963200274,-0.666407905572446,-0.12242963951825227,0.20963878906795663,-0.8962322191227787,0.15309453822054586
1467,998001,0.7786883826850768,0.20514526937566632,1.3469999834409188,0.6465300175872293,1.0253852194046726,0.9789422854130141,0.864992765400836,0.9333243573450267,-0.886927143017626,0.402994070298663,0.26899776380280893,-0.682852930349224,-0.033792755954698175,0.5686076506776861,-0.3135692364240424,-0.21715272450865863,1.3672375338438802,0.31959143137986135,0.7209566674627319,0.7188661238405608,0.6164896900718978,0.5262774544513128,-0.3746643198127294,-0.5323102956181365,-0.5123741012507128,-0.39927540654023636,-0.19271895852610776,-0.5298760843745968,-0.09866266805156589,0.11258292659756691,0.7916516508171086,-0.143703079072909,-0.2043326401188953,-0.515548097772346,0.2434153582153077,-0.3116568263694013,-0.09858972406951422,-0.12554444251067726,-0.4674346905635267,0.1638151653917593,-0.41799863770448675,1.0822759351647782,0.2702145340785343,-0.3147158532655613,-0.47270415091983403,-0.14935599504300792,-0.555479569618494,0.6218545731685531,0.5296966475289548,0.7103224583394843,0.8032998483521818,-0.6540165663484556,-0.6487633524310249,1.397824326865229,1.367040695939175,0.24691822634639468,0.7377823114238471,0.4343788618961675,0.17296050560580603,-0.4968040511427692,-0.23481653222969057,0.06965299394763122,0.20232161634121937,0.2567540688442413,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6678555006253188,0.44439342783916247,0.47834576331235007,-0.9498564937549552,-0.7524013469414821,-0.24391444667007758,0.3865009578090283,-0.7450459805356912,0.15363460507047064
1779,999000,0.305193785859127,0.44419486826800264,1.3454965792411502,0.8151530051103112,1.020662152817017,1.2001523964142247,0.5273365211327572,1.0611033721123784,-0.6889976076926398,0.402994070298663,0.26899776380280893,-0.7439846736346007,-0.033792755954698175,0.5686076506776861,-0.3135692364240424,-0.21715272450865863,1.3672375338438802,0.31959143137986135,0.7209566674627319,0.7188661238405608,0.6164896900718978,0.5262774544513128,-0.3746643198127294,-0.5323102956181365,-0.4898213006409946,-0.3870836700179071,-0.1991141937281155,-0.5307864538965575,-0.09866266805156589,0.11258292659756691,0.8018187565195519,-0.143703079072909,-0.21865717570817916,-0.515548097772346,0.2764731669837586,-0.35324598402267354,-0.10841616885184718,-0.12554444251067726,-0.4674346905635267,0.1638151653917593,-0.41799863770448675,1.0822759351647782,0.2702145340785343,-0.3147158532655613,-0.47270415091983403,-0.09464971893252477,-0.555479569618494,0.6218545731685531,0.5296966475289548,0.7103224583394843,0.8032998483521818,-0.6540165663484556,-0.6487633524310249,1.397824326865229,1.367040695939175,0.24691822634639468,0.7377823114238471,0.4343788618961675,0.17296050560580603,-0.4968040511427692,-0.23481653222969057,0.06965299394763122,0.20232161634121937,0.2567540688442413,-0.11213811287735942,-0.009326398744025745,-0.027476143105088672,0.1667358719782889,0.6678555006253188,0.44439342783916247,0.47834576331235007,-0.9498564937549552,-0.7524013469414821,-0.24391444667007758,0.3865009578090283,-0.7450459805356912,0.1545327476512337
