,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Jungle area (% of total land area),"Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),"Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Current health expenditure (% of GGP),y
50,990025,-0.4749462544703492,-0.6638449036090799,0.4189170702802606,-0.40973682162257946,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,0.13058966427807522,-0.9234953543285117,0.5664488060629836,0.1919408999320721,-0.10740967415976667,0.69856123786027,-0.25038424983930985,-0.2992527349652962,-0.5478340451989206,0.8049344199444914,0.8329576682379516,0.07453456825335919,1.7929368645981412,0.4943469511221443,-0.20884652855578004,0.3285655946385091,0.18292017195053534,-0.21704429727054902,-0.5656163394792209,-0.8849771695019751,0.027899335048792908,-0.9255451934760767,0.4383858115657179,-0.3807624471752857,-0.960526799166673,-0.9186503281867231,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04902270820084542
302,991020,-0.8775165535692431,-0.1074057151632772,0.14489007743614082,-0.6149099705932723,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,0.3958879625669289,-0.9021001224968174,0.5208439475036932,0.3018352101983915,-0.235158907430388,0.2734694682462266,-0.004622993867896632,-0.3059360319133628,-0.5523286263760936,0.2673213848558312,0.7517062074780543,0.04960001344599193,1.7929368645981412,0.40614660727357527,-0.11084361401892964,0.010700049249196595,0.16638282775558547,-0.1980899221511903,-0.5607341498581991,-0.8849771695019751,0.027899335048792908,-0.9255451934760767,0.4628835234925021,-0.3807624471752857,-0.960526799166673,-0.9186503281867231,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04805465801321407
472,992016,-0.6245105520630817,-0.5637890335007072,-0.10617443045172718,-0.36447356778457585,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,0.3958879625669289,-0.9021001224968174,0.5208439475036932,0.3018352101983915,-0.235158907430388,0.2734694682462266,-0.004622993867896632,-0.3059360319133628,-0.5523286263760936,0.2673213848558312,0.7517062074780543,0.04960001344599193,1.7929368645981412,0.40614660727357527,-0.11084361401892964,0.010700049249196595,0.16638282775558547,-0.1980899221511903,-0.5607341498581991,-0.8849771695019751,0.027899335048792908,-0.9255451934760767,0.4628835234925021,-0.3807624471752857,-0.960526799166673,-0.9186503281867231,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04797724962872785
607,993012,0.061421534035168625,-0.1440669522229884,0.2253976973147708,-0.18215729491663235,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,0.8301598805301507,-0.8305786082128264,0.5054462407994544,0.45273173518599363,-0.33627137955496006,-0.38246120303252307,0.5674240625280744,-0.3441528088492978,-0.5527103285587722,-0.13031571874733458,0.6201969735632907,0.0673976288071462,1.7929368645981412,0.27186226697358246,0.12048593999515524,-0.20718294221768932,0.05458041613504494,-0.14460369962855185,-0.4724580745311329,-0.8849771695019751,0.027899335048792908,-0.9255451934760767,0.5456498271410057,-0.3807624471752857,-0.960526799166673,-0.9186503281867231,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.047625845179306785
822,994009,-0.41163049431789367,-0.3276434979139493,-0.2689546966565847,-0.4508597042927685,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,0.8301598805301507,-0.8305786082128264,0.5054462407994544,0.45273173518599363,-0.33627137955496006,-0.38246120303252307,0.5674240625280744,-0.3441528088492978,-0.5527103285587722,-0.13031571874733458,0.6201969735632907,0.0673976288071462,1.7929368645981412,0.27186226697358246,0.12048593999515524,-0.20718294221768932,0.05458041613504494,-0.14460369962855185,-0.4724580745311329,-0.8849771695019751,0.027899335048792908,-0.9255451934760767,0.5456498271410057,-0.3807624471752857,-0.960526799166673,-0.9186503281867231,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.047263713524417834
1010,995006,-0.5365332944000558,-0.33940959570948337,-1.0539519249393148,-0.5626044066193655,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,1.2162694591861298,-0.7680138015372264,0.5236773985512087,0.5199768238181638,-0.4233861495490541,-0.7273750040500554,0.893709862952632,-0.3998232005861779,-0.5485680878579179,-0.43768152881540207,0.5340730457043983,0.11012979897566776,1.846685016414804,0.18915526862216067,0.294043806257448,-0.31226673320527304,-0.032084465781273434,-0.11007185222527241,-0.38906418882508786,-0.8849771695019751,0.027899335048792908,-0.7182598194231099,0.6818161164142573,-0.3328164498674516,-0.960526799166673,-0.8066222523186554,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04696368844694298
1092,996004,-0.4357516835326225,-0.04606441421900982,-0.23521448704891673,-0.3392714714178753,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,0.7244500102089155,-0.8331258193904243,0.4750609402513898,0.5000636299731372,-0.427462078893773,-0.44454799617716134,0.5567855366642278,-0.2898282829754283,-0.5701014191402646,-0.17460377991167855,0.6258815185121174,0.030236554491540626,1.7929368645981412,0.22201446681167286,0.19664824892186497,-0.2627320368133898,0.12107088792537216,-0.15266651365836095,-0.5174464663742975,-0.8849771695019751,0.027899335048792908,-0.9255451934760767,0.4757275170749432,-0.3807624471752857,-0.960526799166673,-0.9186503281867231,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.045798157567952136
1424,997002,-0.2828760090882275,-0.5338619824940061,-0.39692287567662254,-0.4163031338050734,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,0.7244500102089155,-0.8331258193904243,0.4750609402513898,0.5000636299731372,-0.427462078893773,-0.44454799617716134,0.5567855366642278,-0.2898282829754283,-0.5701014191402646,-0.17460377991167855,0.6258815185121174,0.030236554491540626,1.7929368645981412,0.22201446681167286,0.19664824892186497,-0.2627320368133898,0.12107088792537216,-0.15266651365836095,-0.5174464663742975,-0.8849771695019751,0.027899335048792908,-1.4284398644861105,0.4757275170749432,-0.3807624471752857,-0.960526799166673,-0.9186503281867231,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04547099299640267
1500,998001,-0.49083142370919036,-0.23572958414514558,0.11582074043798606,-0.4299920239320314,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,-0.10978781999601216,-0.9168002794059048,0.38414082251075804,0.5174467992031186,-0.453937354842695,-0.2673997163300473,0.18377061470137546,-0.12083146037562892,-0.6533158369895264,0.04333184701976272,0.7944138765931029,-0.13467339890405575,1.4638029029210877,0.22022247261262368,0.13648368584145307,-0.19968752816840968,0.3595490280676973,-0.2516311877487342,-0.7970650346594471,-0.8849771695019751,0.027899335048792908,-1.3254763451535998,-0.03189934827662315,-0.46793698773498416,-0.960526799166673,-1.229088381898084,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04506167867402777
1741,999000,-0.3781517596767409,-0.6315906923500448,0.25254598397780076,-0.29390207072775953,-0.47368296711597835,-0.5546330646012226,-0.5218741270870809,-0.20490191747273506,0.5853725935311127,0.1650207688174785,-0.9890592320842252,-0.10978781999601216,-0.9168002794059048,0.38414082251075804,0.5174467992031186,-0.453937354842695,-0.2673997163300473,0.18377061470137546,-0.12083146037562892,-0.6533158369895264,0.04333184701976272,0.7944138765931029,-0.13467339890405575,1.4638029029210877,0.22022247261262368,0.13648368584145307,-0.19968752816840968,0.3595490280676973,-0.2516311877487342,-0.7970650346594471,-0.8849771695019751,0.027899335048792908,-1.2101035558349245,-0.03189934827662315,-0.46793698773498416,-0.960526799166673,-1.229088381898084,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04470711106511016
1914,1000000,0.2044144940054929,-0.46588994504757364,0.09995525234039541,-0.8799942783697685,-0.6147262077422427,-0.6124548279197768,-0.3946955149880988,-0.20846352344175217,0.6207115717358833,0.4590014063757546,-1.0754628731708464,-0.6244808380164611,-0.9376465275373888,0.37654067763757954,0.45489587097175804,-0.48737092140482113,0.07769330641388854,-0.3168750364883518,0.002550186556201209,-0.6565283613332489,0.36205380830105127,0.8735615607295704,-0.1909016768581094,1.2792126686957457,0.2451079503125962,0.10849642530551051,-0.13434352699232782,0.5523116818967975,-0.28423441418562506,-0.940519604838924,-0.8849771695019751,0.027899335048792908,-1.140007891189423,-0.1443001056514702,-0.5507528012666981,-1.0737949714945783,-1.403618509455886,0.8484431539219277,-0.06622812816215594,0.516961625694659,-0.47451415506634625,0.21068046333340823,0.04437183586198379
2130,1001000,-0.2510797497501384,-0.43701998341135523,-0.2048421177713156,-0.45998003662021925,-0.14809039507716276,-0.5622132242031302,-0.7809021887456904,-0.12178750932900945,0.7131168326300931,-0.03311888521327179,-0.5553425991264475,-0.13712034675071527,-0.9414669392663414,0.3258776744378346,0.5808372696676849,-0.4146925849590252,-0.27834366716431475,0.1545205900433029,-0.040279632196156594,-0.7516784294130232,-0.013166426165740382,0.7909937611274712,-0.2153876406055592,1.5102253546512503,0.16704059675421998,0.08940183378843686,-0.2595227247294019,0.25845954351468153,-0.34414636131042153,-0.7967603865959256,-0.8849771695019751,0.027899335048792908,-1.2270743703879774,-0.10414735107143688,-0.5607948739192047,-0.960526799166673,-1.2370887397411554,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.042437248785606514
2318,1002001,-0.4111038941018995,-0.2455568108935319,-0.4621503863144684,-0.4728763741975824,-0.3242197518757897,-0.43826136024150136,-0.48900059808564034,-0.49819671120687564,0.35142947749378844,-0.3380695596959942,-1.1861002136134162,-0.13712034675071527,-0.9414669392663414,0.3258776744378346,0.5808372696676849,-0.4146925849590252,-0.27834366716431475,0.1545205900433029,-0.040279632196156594,-0.7516784294130232,-0.013166426165740382,0.7909937611274712,-0.2153876406055592,1.5102253546512503,0.16704059675421998,0.08940183378843686,-0.2595227247294019,0.25845954351468153,-0.34414636131042153,-0.7967603865959256,-0.8849771695019751,0.027899335048792908,-1.1074210923512515,-0.10414735107143688,-0.5607948739192047,-0.960526799166673,-1.2370887397411554,0.8484431539219277,-0.3064528599492753,0.516961625694659,-0.2486490245090995,0.6549945878959993,0.04215710839763887
2348,1003002,-0.5010642738537748,-0.11669486205494162,-0.7149171641002922,-0.39964328400312493,-0.06881807821787088,-0.2912658521312909,-0.24431481424936122,-0.2879718451611822,0.3287830180803222,0.06200791942504926,-0.7698664709126495,0.31722892254295293,-0.9899804238997543,0.2627006404163682,0.6383670080656436,-0.22045187489238596,-0.5845179550764856,0.49619341673878137,-0.0486727900832761,-0.9433718946430445,-0.3836654259517057,0.6367678126859322,-0.3583495464801914,1.8292669739487988,0.076174315884257,-0.028595808750284796,-0.40140509327649254,-0.28167706962190076,-0.5129367041750679,-0.5138950771122962,-0.8849771695019751,0.027899335048792908,-1.0780909122452074,-0.11934633069837176,-0.5918012143584052,-0.818509619081637,-1.0431724830747706,0.8484431539219277,-0.5149025109771487,0.516961625694659,0.18175262156195873,1.116049072849408,0.04182829976536029
2669,1004004,-0.4234961279585148,-0.8977938411292656,-0.09995263088421502,-0.3676380496253781,-0.3435534887946145,-0.33757625609642444,-0.5460826422451239,-0.2152060929515786,0.7065523623754456,-0.4847423612990069,-0.6949683303098084,0.30696509410544637,-0.9854617567734312,0.2627006404163682,0.6383670080656436,-0.21671772178398388,-0.5845179550764856,0.49619341673878137,-0.04242873183034211,-0.9361614952492264,-0.3836654259517057,0.6367678126859322,-0.3583495464801914,1.8292669739487988,0.07738535802178585,-0.028595808750284796,-0.3942570674030139,-0.28167706962190076,-0.5294562919817674,-0.5138950771122962,-0.8849771695019751,0.027899335048792908,-1.0641665457642555,-0.11934633069837176,-0.5918012143584052,-0.818509619081637,-1.0564365070276198,0.8484431539219277,-0.5149025109771487,0.516961625694659,0.18175262156195873,1.116049072849408,0.041666282924382125
2774,1005006,-0.3034289639186339,0.1126592664861684,-0.16769124957400172,-0.32745400180696443,-0.19732059373891456,-0.10876046534379466,-0.12674993965243742,-0.3154084468610761,0.7583905725982149,0.005798498978513468,-0.8629909535055985,0.9526282051500097,-0.9797641427135668,0.23919929933004389,0.872146104176866,-0.08749326263475886,-0.7771202351149072,0.7962097807590569,-0.0641905831717097,-1.107045579375749,-0.69449186147678,0.5864336676945098,-0.4664004988922144,2.1782739573445338,0.00192564262243007,-0.09830496085102022,-0.6114427160102333,-0.575682022789153,-0.6882916869858174,-0.3871601384280793,-0.9134052063133967,0.07135261911302553,-1.00110672864066,-0.12413645086877086,-0.6059278798210407,-0.7650619713097168,-0.8732919010109135,0.8484431539219277,-0.8106911675474165,0.516961625694659,0.35318131814722714,1.4239817395265868,0.04137911827462215
