,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)","Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",y
88,990025,-1.2325559438648426,-1.5429326239872014,0.23532311347968746,-0.5268156281051125,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.6482757989935158,-0.7131971096545134,2.200429791380499,2.262307382628025,0.0537991981473025,0.7278640683105772,-0.06031825678323172,-1.7871865006926295,-2.078586135433974,0.6800867669342676,0.5898016814193967,2.1635640669609977,-0.2947008496439058,0.7645439941141813,-0.1378302370588263,0.7309296325146647,-0.14996502568250192,-0.2795530273570979,-0.4901489552706603,-0.5822029223740118,-0.35798385993679843,0.8775120310303839,0.04394737724899375,0.2271601293099967,0.14767217149819475,1.3030141940951854,1.5199134378368644,-0.3654224356428089,0.24303207505913874,-0.8761314398205947,-0.8424252692922443,0.873288143226185,0.8405125849304824,-0.21106996806305287,-0.20994163461661847,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,3.7457761637459934,1.2623931203867533,-0.028719103878137534,-0.7912294701631695,-1.5720262796726459,-0.5306239562643372,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.34537959714486705,0.04585983147367912
304,991020,-1.7748689177129784,-1.4109378365738274,0.7111687902288235,-0.6347810054999113,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.5538169046666662,-0.495617469863515,2.2622363627232533,2.238003203070295,-0.10470222353246608,0.0928455881031775,0.11101418151068655,-1.6290548831591534,-1.8916285771045518,0.5959004164174494,0.5947544433756987,2.1084434669463894,-0.34790490566283067,0.7265212275281995,-0.2559909617008235,0.6245412063483928,-0.2113261173260457,-0.2678645638650751,-0.46747044657870257,-0.6236404424573324,-0.4736943592952282,0.8747982345479258,0.24159501848071133,0.2167735133368581,0.20064088418503584,1.4091581618735567,1.283906819010782,0.24437972014206674,0.3852805381543781,-0.6211912225567319,-0.7130473918810509,2.2008077040711695,0.8405125849304824,-0.21106996806305287,0.9504988936609757,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,3.346467659784811,1.1292580663614948,-0.028719103878137534,-0.7912294701631695,-1.5720262796726459,-0.3200465487339798,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.3721031575470139,0.045050562415709705
506,992016,-1.483822318169184,-1.6965323949981097,-0.34920864792019185,-0.5530814932527534,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.5538169046666662,-0.495617469863515,2.2622363627232533,2.238003203070295,-0.10470222353246608,0.0928455881031775,0.11101418151068655,-1.6290548831591534,-1.8916285771045518,0.5959004164174494,0.5947544433756987,2.1084434669463894,-0.2947008496439058,0.7645439941141813,-0.1378302370588263,0.7309296325146647,-0.2113261173260457,-0.2678645638650751,-0.4901489552706603,-0.6236404424573324,-0.35798385993679843,0.8747982345479258,0.04394737724899375,0.2271601293099967,0.14767217149819475,1.4091581618735567,1.283906819010782,0.24437972014206674,0.3852805381543781,-0.6211912225567319,-0.7130473918810509,2.2008077040711695,0.8405125849304824,-0.21106996806305287,0.9504988936609757,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,3.346467659784811,1.1292580663614948,-0.028719103878137534,-0.7912294701631695,-1.5720262796726459,-0.3200465487339798,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.3721031575470139,0.0449847991044241
566,993012,-1.3341454127234824,-1.2928677036548286,-0.7370437435988881,-0.5317316693561391,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.4521488118180372,-0.26239726479716474,2.3864797743271766,2.2764267233088304,-0.31078132032570166,-0.6472930789948466,0.3065690460799929,-1.428648466760722,-1.6028023630617967,0.5371851738557788,0.6696099501034385,1.9895978397024996,-0.2947008496439058,0.7645439941141813,-0.1378302370588263,0.7309296325146647,-0.31133039996835654,-0.26078283836274435,-0.4901489552706603,-0.6845064773728967,-0.35798385993679843,0.8600233864217031,0.04394737724899375,0.2271601293099967,0.14767217149819475,1.5552128332081336,1.0074198189819106,0.5244947532161917,-0.006868836102314857,-0.40577734638265034,-0.5080113092857168,7.071647742913043,0.8405125849304824,-0.21106996806305287,0.8816623979892217,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,2.9760787018131736,1.1650371886964788,-0.028719103878137534,-0.7912294701631695,-1.5720262796726459,-0.16684159770115736,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.4385086704956265,0.04463370947216283
877,994009,-1.3551035745337734,-1.1061267279442004,-0.01187010685038476,-0.46115071615479963,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.4521488118180372,-0.26239726479716474,2.3864797743271766,2.2764267233088304,-0.31078132032570166,-0.6472930789948466,0.3065690460799929,-1.428648466760722,-1.6028023630617967,0.5371851738557788,0.6696099501034385,1.9895978397024996,-0.1665186141143436,0.8322541796457391,-0.004932130914782219,0.8963399614561112,-0.31133039996835654,-0.26078283836274435,-0.5423226907430821,-0.6845064773728967,-0.26766588328266594,0.8600233864217031,-0.13242085312994492,0.24625844224348112,-0.034635362766486974,1.5552128332081336,1.0074198189819106,0.5244947532161917,-0.006868836102314857,-0.40577734638265034,-0.5080113092857168,7.071647742913043,0.8405125849304824,-0.21106996806305287,0.8816623979892217,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,2.9760787018131736,1.1650371886964788,-0.028719103878137534,-0.7912294701631695,-1.5720262796726459,-0.16684159770115736,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.4385086704956265,0.0442723799227206
956,995006,-1.526345694462073,-1.59195343795838,0.0987934350622122,-0.8050191845679661,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.2851754673912701,-0.09945972790095947,2.4828011813894135,2.410090152776238,-0.39419883835973146,-1.2198692661579074,0.5148431095970816,-1.3100283664106467,-1.5437227760955397,0.5626562818109256,0.7337545789727412,1.8805982878088827,-0.010583233216613185,0.904705926295458,0.09374089657297657,1.0380670287020108,-0.3999757322882787,-0.2609169076141219,-0.5916936262749448,-0.7343680096629236,-0.2360154733633001,0.8467310974340866,-0.27713507086910816,0.256561665281617,-0.12490828414475272,1.6507634115584648,0.7923160693398331,0.3348651470425024,-0.6906569112663211,-0.3865544485158636,-0.39669465495456097,11.462070836360699,0.8405125849304824,-0.1364803287975896,-0.3663882156887874,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,2.819803768816902,1.367625833136706,-0.18485452867872654,-0.9821259722653704,-1.5720262796726459,-0.08002115910897703,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.5113933795163977,0.04397341764700735
1219,996004,-1.7499513643031663,-0.9554140632211607,0.13231214284840326,-0.36452529720085897,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.387914831037052,-0.18310190771363183,2.3226248289995723,2.169635379118808,-0.3877738927812983,-0.8844223174658202,0.3268422015294523,-1.356542555900802,-1.510899777557466,0.5128263292750852,0.6339207743842278,2.023351585109676,-0.24004210583169489,0.8318628631289894,-0.013616347246407302,0.8943450304032777,-0.31500879186190883,-0.2381336903523977,-0.5665581340575175,-0.6882556721493033,-0.12586639473851485,0.8608601160372897,-0.40049556597379943,0.2576731544323666,-0.05713072691533104,1.6011723630510182,0.8110234270069779,0.8655244072672297,0.17915993075476244,-0.17929119847104819,-0.5075676350710048,7.255415922220837,0.8405125849304824,-0.21106996806305287,2.563225693088122,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,2.698945929044382,1.0149312264071932,-0.028719103878137534,-0.7912294701631695,-1.5720262796726459,-0.11037385286694072,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.38092902045328436,0.0427356052552067
1338,997002,-1.144198250690611,-1.2741172204121054,0.022860525247014,-0.02386571137465637,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.387914831037052,-0.18310190771363183,2.3226248289995723,2.169635379118808,-0.3877738927812983,-0.8844223174658202,0.3268422015294523,-1.356542555900802,-1.510899777557466,0.5128263292750852,0.6339207743842278,2.023351585109676,-0.24004210583169489,0.8318628631289894,-0.013616347246407302,0.8943450304032777,-0.31500879186190883,-0.2381336903523977,-0.5665581340575175,-0.6882556721493033,-0.12586639473851485,0.8608601160372897,-0.40049556597379943,0.2576731544323666,-0.05713072691533104,1.6011723630510182,0.8110234270069779,0.8655244072672297,0.17915993075476244,-0.17929119847104819,-0.5075676350710048,7.255415922220837,0.8405125849304824,-0.26811848958339907,2.563225693088122,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,2.698945929044382,1.0149312264071932,-0.028719103878137534,-0.7912294701631695,-1.5720262796726459,-0.11037385286694072,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.38092902045328436,0.04240936636048465
1601,998001,-1.0908909692708304,-1.1821540893919729,-0.5221561393961981,0.062257543575286935,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.4542553086392865,-0.19890602172259222,2.0622435263274213,2.012128642317474,-0.45195408972297096,-0.9832336805686162,0.17425504334084696,-1.1714047167724677,-1.3613704239157338,0.4191852944703123,0.3850704870666125,2.3221859555650686,-0.46800622297766337,0.7705409121275953,-0.1913799597988483,0.6792699065063286,-0.21858720950577099,-0.21597454806073688,-0.5715588566418153,-0.5987701700954672,0.09094014138434532,0.87818186075407,-0.5204482977486359,0.27980693428408115,0.025303271003691345,1.5982844417973001,0.7886449459842114,1.6674653358045994,2.603189438401331,0.25720331140735775,-0.7131845385086767,3.16051744160627,0.8405125849304824,-0.33765269195403974,7.686944383938833,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,2.343633558485676,0.46206494672531506,-0.07785957471158719,-0.45142251603100175,-1.5720262796726459,-0.12262576618093746,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.3313201576717539,0.0420000474741784
1795,999000,-1.1721783301904167,-1.0443690869409044,0.8669615430597463,0.3212987769468124,-0.5286154733303925,-0.30436990689936627,-0.5102221154900056,-0.7951277962446015,0.44496754820090667,-1.1857329497895115,-0.36913886014675545,1.6004090249268144,-0.4542553086392865,-0.19890602172259222,2.0622435263274213,2.012128642317474,-0.45195408972297096,-0.9832336805686162,0.17425504334084696,-1.1714047167724677,-1.3613704239157338,0.4191852944703123,0.3850704870666125,2.3221859555650686,-0.4499542584061041,0.7683005704074316,-0.15073059631195684,0.6887395548693714,-0.21858720950577099,-0.21597454806073688,-0.5592465115778128,-0.5987701700954672,0.08532852858128118,0.87818186075407,-0.5204482977486359,0.257839940302372,0.03186126276384518,1.5982844417973001,0.7886449459842114,1.6674653358045994,2.603189438401331,0.25720331140735775,-0.7131845385086767,3.16051744160627,0.8405125849304824,-0.5008521002494714,7.686944383938833,-0.6857520177622962,-0.2378371539253164,-0.9259842106988397,-0.6994560669614901,2.343633558485676,0.46206494672531506,-0.07785957471158719,-0.45142251603100175,-1.5720262796726459,-0.12262576618093746,2.4405313239581004,-0.2669636133473095,-0.45687440555058983,0.0685249798346233,-1.0125637081359975,-0.5199460146626238,-0.7566391784806005,0.3313201576717539,0.04164428119335184
