,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Gender Inequality Index (GII),y
166,990025,-1.810166264547655,-0.9013043505973237,-0.3227703352054441,-0.6375633730010927,-1.3424606714633602,-1.2691483578060943,-0.9808851531637848,-1.2631945442020034,0.5269653304513594,-0.47450521669282614,-0.5155123931726846,-0.131522128051473,0.2031789509369498,-0.06735731037094965,2.6016923783020274,2.044618339399945,-0.3575200918649302,-1.4386144939390229,-0.15011001155975842,-1.2733212869496888,-1.6281546808692304,-0.9830764610867155,0.9232228962422986,1.8229748745048857,0.5467989099491632,0.7095237133098432,0.2983968970790706,0.4519566398427801,-0.19024682382222804,-0.21521038524144076,0.11366340714517156,-0.5811854730281517,-0.4447297634796961,0.13725231823893505,-0.6320998783683003,0.4557063171725465,0.21808037825042784,1.2105458272684102,0.7423342068711775,0.3343631409583518,-0.07891468145563647,-0.7331531393205349,0.25106459260107833,-0.35697581330762573,1.6571445491467585,-1.1424520670992449,0.3184292934644851,-1.1702336943925136,-1.6107857672895478,-1.6234092315487725,-1.64906019451145,2.2977997973230537,0.9767150150572861,-0.5726245043502459,-0.5266338387184595,-1.1200959890162867,-0.2775256631301157,-1.128723475161589,-1.1188361391541592,0.09882914143045174,1.4482202072271548,-0.8091142042449024,0.16423834579816837,-2.481694739749483,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.4130855055401537,-1.3705554085337115,-2.0039900910816506,0.48344910832959065,0.2827818461584386,-0.3853130379853649,-0.9200759741169678,0.8542376242299394,0.048488604371734745
262,991020,-1.007183698034013,-1.3650931365457901,-0.24326009030512238,-0.6805223529261012,-1.7622721926829457,-1.1634770896638353,-1.467451593948209,-1.4465366527118133,0.915580953199461,-0.47450521669282614,-0.5155123931726846,-0.5056339865536339,-0.06747878730540341,-0.08287047793434826,2.3463913124681994,1.7162626787250057,-0.42035497189156296,-0.6950820517284793,-0.15806159334605147,-1.2427342926407698,-1.4632625747597876,-0.305543075095145,0.9044933057272181,1.6339173445386037,0.4640849672271897,0.6404369539747111,0.33574161274025033,0.5933000759954391,-0.30847994627384556,-0.2698418758712886,0.09576102743029719,-0.5134169870047602,-0.3888411556110514,0.24593757641841585,-0.5550292244097826,0.4459772007668052,0.20340563830700598,1.099285890001042,0.7127772213765796,0.29521780455167645,-0.15698344773504563,-0.6543294351200017,0.38515004457905033,-0.31898851461487343,0.9046613196883909,-1.1424520670992449,0.06949908981063573,-1.014193209876803,-1.4533650315794426,-1.614380326022286,-1.4402743162283576,2.312289021440526,0.9057596765282057,-0.5726245043502459,-0.5266338387184595,-1.1200959890162867,-0.3436058049183639,-0.9724529668798064,-0.9863261215801786,-0.32039975290449724,1.4482202072271548,-0.7893087533040685,0.16423834579816837,-2.4783602168739214,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.4130855055401537,-1.3705554085337115,-2.0039900910816506,0.48344910832959065,0.2827818461584386,-0.9463221513898155,-0.39438556341443115,0.8542376242299394,0.04778674859266818
517,992016,-1.3089398311642615,-1.3959836051768733,-0.7677124551547415,-0.6677541648397528,-1.4032285924639771,-1.182631872986643,-1.2143395209971297,-1.1786476851997665,0.32130898986493933,-0.47450521669282614,-0.5155123931726846,-0.5056339865536339,-0.06747878730540341,-0.08287047793434826,2.3463913124681994,1.7162626787250057,-0.42035497189156296,-0.6950820517284793,-0.15806159334605147,-1.2427342926407698,-1.4632625747597876,-0.305543075095145,0.9044933057272181,1.6339173445386037,0.5467989099491632,0.7095237133098432,0.2983968970790706,0.4519566398427801,-0.30847994627384556,-0.2698418758712886,0.11366340714517156,-0.5134169870047602,-0.4447297634796961,0.24593757641841585,-0.6320998783683003,0.4557063171725465,0.21808037825042784,1.099285890001042,0.7127772213765796,0.29521780455167645,-0.15698344773504563,-0.6543294351200017,0.38515004457905033,-0.31898851461487343,0.9046613196883909,-1.1424520670992449,0.06949908981063573,-1.014193209876803,-1.4533650315794426,-1.614380326022286,-1.4402743162283576,2.312289021440526,0.9057596765282057,-0.5726245043502459,-0.5266338387184595,-1.1200959890162867,-0.3436058049183639,-0.9724529668798064,-0.9863261215801786,-0.32039975290449724,1.4482202072271548,-0.7893087533040685,0.16423834579816837,-2.4783602168739214,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.4130855055401537,-1.3705554085337115,-2.0039900910816506,0.48344910832959065,0.2827818461584386,-0.9463221513898155,-0.39438556341443115,0.8542376242299394,0.047726303902186684
711,993012,-1.487448759514552,-0.9150801795763674,-0.44845047444574127,-1.152894106997783,-1.549003808656296,-1.1461256175860708,-1.0442556734743114,-0.9634375950113548,0.5949692769723379,-0.47450521669282614,-0.5155123931726846,-1.4561383777587564,-0.4917604441530242,-0.12104612773217889,1.9467099506930754,1.3803032042185814,-0.5047740700281614,0.3452786466533664,-0.19070220767325213,-1.3743984577819335,-1.3149984916715562,0.39233068486829764,0.860447622964442,1.4504133759434996,0.5467989099491632,0.7095237133098432,0.2983968970790706,0.4519566398427801,-0.4366076431643153,-0.30550634138393984,0.11366340714517156,-0.4408212011059753,-0.4447297634796961,0.35072645272043607,-0.6320998783683003,0.4557063171725465,0.21808037825042784,0.9910121775846065,0.7058005524754752,0.24549966395191544,-0.2866551145611123,-0.4768692805262525,0.501026279721565,-0.38045506712108385,0.21561311879191572,-1.1424520670992449,-0.3635651768928372,-0.8073805794848536,-1.2989257598344852,-1.6567925571405113,-1.34853721271746,2.3280891335830876,0.8113932013511601,-0.5726245043502459,-0.5266338387184595,-1.1200959890162867,-0.48512505833383235,-0.8614035219434513,-0.9042310512041902,-0.9034997371148908,1.4482202072271548,-0.7476802133304769,0.16423834579816837,-2.684432385094344,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.4130855055401537,-1.3705554085337115,-2.0039900910816506,0.48344910832959065,0.2827818461584386,-1.4741567469366865,-0.11166046785439457,0.8542376242299394,0.047409604093511686
861,994009,-1.0350557063892405,-1.0687550238417516,-0.12180723378279658,-0.5802341807238856,-1.2996126567239403,-1.0997145212800565,-1.5109316014886374,-1.30027706694079,0.5106865679388847,-0.47450521669282614,-0.5155123931726846,-1.4561383777587564,-0.4917604441530242,-0.12104612773217889,1.9467099506930754,1.3803032042185814,-0.5047740700281614,0.3452786466533664,-0.19070220767325213,-1.3743984577819335,-1.3149984916715562,0.39233068486829764,0.860447622964442,1.4504133759434996,0.6919861254130077,0.7830105598547794,0.2129495618777562,0.22475933311456764,-0.4366076431643153,-0.30550634138393984,0.12477303695191043,-0.4408212011059753,-0.501985749285511,0.35072645272043607,-0.7793675938726494,0.4874931124384498,0.2668597072403133,0.9910121775846065,0.7058005524754752,0.24549966395191544,-0.2866551145611123,-0.4768692805262525,0.501026279721565,-0.38045506712108385,0.21561311879191572,-1.1424520670992449,-0.3635651768928372,-0.8073805794848536,-1.2989257598344852,-1.6567925571405113,-1.34853721271746,2.3280891335830876,0.8113932013511601,-0.5726245043502459,-0.5266338387184595,-1.1200959890162867,-0.48512505833383235,-0.8614035219434513,-0.9042310512041902,-0.9034997371148908,1.4482202072271548,-0.7476802133304769,0.16423834579816837,-2.684432385094344,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.4130855055401537,-1.3705554085337115,-2.0039900910816506,0.48344910832959065,0.2827818461584386,-1.4741567469366865,-0.11166046785439457,0.8542376242299394,0.04708028583705304
986,995006,-0.9777492573430012,-1.1069909709546564,-0.6761155695986394,-1.132655444624426,-1.5890355102938396,-1.4172029025525414,-0.9204434748206148,-1.236936006903908,0.41185329739253806,-0.47450521669282614,-0.5155123931726846,-2.1978360219756534,-0.8575251911821011,-0.14370860996661106,1.8879756608464504,1.344702767511561,-0.5796756132770313,0.8230391981954249,-0.2360063650523917,-1.5595477329087384,-1.1339410705751238,0.6785277293024332,0.8073132047613091,1.3860606635641601,0.7665583327768657,0.8445670832662013,0.14154312364635416,0.0993928874558475,-0.5906458766049464,-0.3043715490230693,0.11890608952766991,-0.35432364209444966,-0.5572411138634483,0.4647175566827482,-0.9231985131706549,0.5342738542832028,0.31954689780673323,0.8920937319259542,0.7239745518682714,0.24864220888979863,-0.3490639873432755,-0.4271873555382091,0.591877048902593,-0.5277162369359888,-0.15614019005449364,-1.2936652570850629,-0.7126761034485455,-0.6532021184126415,-1.1565130272820825,-1.7559474537932296,-1.3214276819725277,2.3354191119482,0.7407988271146723,-0.5563652799814583,-0.662549298447398,-1.1486574556710354,-0.5991603299834529,-0.8202527947828259,-0.9609610038157206,-1.5208930369317513,1.4482202072271548,-0.7186173782153544,0.5511957031413688,-2.8779873709426083,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.532743885854593,-1.4076896253006836,-2.3085376143310046,0.34883782705238314,0.11340874593960151,-1.7743514473192363,0.16732823957548051,0.7916332472323878,0.04681544766087198
1146,996004,-1.0407219338100477,-1.225743389839591,-0.6259543024869906,-1.0670062921101424,-1.5626111681130044,-1.2250554294678346,-0.6955884641279793,-0.8147039012346293,0.05241040359881449,-0.47450521669282614,-0.5155123931726846,-1.7232466131943482,-0.501752576720965,-0.13520166185397722,1.7173820453746709,1.2457822887709031,-0.4817384285090136,0.5043212540093928,-0.09862695705509747,-1.2906643960484803,-1.2337478752393516,0.6177280742590764,0.911079807459832,1.349335010444751,0.6678954050504958,0.8210171038349092,0.24641329158493894,0.16786490250554664,-0.53835573085854,-0.3455810859982693,0.14761656160713038,-0.41407710936011033,-0.5150286082372856,0.42384625924479313,-0.7854817890904237,0.4434590522420125,0.22887284274447858,0.9364089550699345,0.657702374488023,0.2199394623307459,-0.30486039478479987,-0.4510903053094873,0.4546280262268552,-0.07888749766273392,-0.1521978470256609,-1.1424520670992449,-0.48777182552260606,-0.8022600150152313,-1.2080921882344173,-1.6460082512693959,-1.2671381812459719,2.3751711567324443,0.7737830861730971,-0.5726245043502459,-0.5266338387184595,-1.1200959890162867,-0.5031577229858581,-0.7869352978342908,-0.8254901619417538,-1.2050035497275393,1.4482202072271548,-0.7500866164644211,0.16423834579816837,-2.4258237386382255,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.4130855055401537,-1.3705554085337115,-2.0039900910816506,0.48344910832959065,0.2827818461584386,-1.4741567469366865,0.482318398062285,0.8542376242299394,0.04630354905012879
1408,997002,-0.7386269047732154,-1.629213870397117,-0.7868063099335504,-0.6392457806886893,-1.7177635446376567,-1.27874113706663,-1.3443679962450044,-1.0384121956829178,0.8153055748188804,-0.47450521669282614,-0.5155123931726846,-1.7232466131943482,-0.501752576720965,-0.13520166185397722,1.7173820453746709,1.2457822887709031,-0.4817384285090136,0.5043212540093928,-0.09862695705509747,-1.2906643960484803,-1.2337478752393516,0.6177280742590764,0.911079807459832,1.349335010444751,0.6678954050504958,0.8210171038349092,0.24641329158493894,0.16786490250554664,-0.53835573085854,-0.3455810859982693,0.14761656160713038,-0.41407710936011033,-0.5150286082372856,0.42384625924479313,-0.7854817890904237,0.4434590522420125,0.22887284274447858,0.9364089550699345,0.657702374488023,0.2199394623307459,-0.30486039478479987,-0.4510903053094873,0.4546280262268552,-0.07888749766273392,-0.1521978470256609,-0.8262167869195198,-0.48777182552260606,-0.8022600150152313,-1.2080921882344173,-1.6460082512693959,-1.2671381812459719,2.3751711567324443,0.7737830861730971,-0.5726245043502459,-0.5266338387184595,-1.1200959890162867,-0.5031577229858581,-0.7869352978342908,-0.8254901619417538,-1.2050035497275393,1.4482202072271548,-0.7500866164644211,0.16423834579816837,-2.4258237386382255,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.4130855055401537,-1.3705554085337115,-2.0039900910816506,0.48344910832959065,0.2827818461584386,-1.4741567469366865,0.482318398062285,0.8542376242299394,0.04603086023120373
1503,998001,-0.7948970296430234,-0.8440754946480121,-0.15308755340639882,-0.7176936416207427,-1.147304113883774,-0.8374152243918848,-1.3714980940814105,-1.2375467973399188,0.2289333285132392,-0.47450521669282614,-0.5155123931726846,-1.573422819058595,-0.2044409912792635,-0.14956226373594414,1.2612455409854484,1.0033236072421852,-0.29957584752514543,0.06817254744118649,0.14895922638892822,-0.9717122747412351,-1.2191035809940156,0.7201957887482782,1.1733643429769374,1.208866311483395,0.4685576432117307,0.8142503473273064,0.4642205634573846,0.237023401122152,-0.5485552700803159,-0.4187986959079637,0.21784797181950366,-0.36421956663230615,-0.4849339362271117,0.40486177885941993,-0.6930942298684848,0.2662157640774232,0.07330681120105313,0.9277852872858665,0.547275261511007,0.17345053273678449,-0.2799869325419247,-0.4730151588028154,0.13271002972741042,0.5378474516058249,-0.2890272793172232,-0.9174548276396992,-0.5152959902325653,-1.0077492447407312,-1.1968720897837972,-1.5023448499347507,-1.1204121684289734,2.4757039339183318,0.7451364095202253,-0.6390264147092687,-0.17294473847006014,-1.0783833019687854,-0.4739070825768224,-0.6939997918075848,-0.5367457313210191,-1.1912134626813802,1.4482202072271548,-0.7946744739767787,-0.4618548970870994,-1.5097650543957872,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.167325025249947,-1.363177918563502,-1.7535215384132805,0.6447434843640697,0.7520527854681248,-1.5630387876388285,0.8261137001514893,0.9796662788090724,0.04567531488891519
1753,999000,-1.073938053376273,-0.8296646153068347,-0.008438597705843367,-1.0708624446932062,-1.4418711203955743,-0.9406023697830903,-0.9450183777987503,-0.9334754456895551,0.7007858985794778,-0.47450521669282614,-0.5155123931726846,-1.5846244166997547,-0.2044409912792635,-0.14956226373594414,1.2612455409854484,1.0033236072421852,-0.29957584752514543,0.06817254744118649,0.14895922638892822,-0.9717122747412351,-1.2191035809940156,0.7201957887482782,1.1733643429769374,1.208866311483395,0.47062312403848616,0.8164348599575254,0.4642205634573846,0.21127709136944592,-0.5485552700803159,-0.4187986959079637,0.21270911904870643,-0.36421956663230615,-0.4881428294766536,0.40486177885941993,-0.7202500725553795,0.2724250465815992,0.048262521423424715,0.9277852872858665,0.547275261511007,0.17345053273678449,-0.2799869325419247,-0.4730151588028154,0.13271002972741042,0.5378474516058249,-0.2890272793172232,-0.9899949295532567,-0.5152959902325653,-1.0077492447407312,-1.1968720897837972,-1.5023448499347507,-1.1204121684289734,2.4757039339183318,0.7451364095202253,-0.6390264147092687,-0.17294473847006014,-1.0783833019687854,-0.4739070825768224,-0.6939997918075848,-0.5367457313210191,-1.1912134626813802,1.4482202072271548,-0.7946744739767787,-0.4618548970870994,-1.5097650543957872,0.7862473406292422,-1.1448785601448277,-0.3841899756822345,-0.277751594339096,-1.167325025249947,-1.363177918563502,-1.7535215384132805,0.6447434843640697,0.7520527854681248,-1.5630387876388285,0.8261137001514893,0.9796662788090724,0.045377131808881366
