,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Gender Inequality Index (GII),y
172,990025,-1.7935140019568512,-1.606276300731444,-0.11279626531379194,-1.030529694254928,-1.7694601893272162,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-1.5832889983811957,-1.3689337782690998,-0.8509468319522852,2.9181075736986877,2.4267631278235218,-0.08093246206953349,0.07466594342864419,-0.6401447086397865,-1.9461684204392085,-1.70152549362572,0.2140562186624875,1.4750904300731345,2.3593832877696657,-0.45435494694609324,1.2071541665875207,-0.9794072326522248,1.391413077930173,1.0841559222793904,0.701163908478855,-1.3335812961129536,0.4212299853552019,1.2359830832193275,-0.6713590537576305,-0.49836175697019997,-0.9834706969408085,-0.5137356493223705,2.044500465590106,1.412974658397344,2.8273667256442025,5.404682504467915,-0.053111365547365896,-0.07453718046525735,-0.03142773029537795,-0.681711429359945,-1.2249143332463595,-0.12274569737355892,-0.9648216378504145,-1.1089773434300276,-1.7379004837586567,-1.7168302094446402,3.5662043877120957,1.453529386939588,-0.7460730191051836,-0.7630329648937858,-1.5412379896813388,-0.3916956909364629,-0.7361257405571713,-1.1343008031963555,-2.056136591536362,-1.0289776008060156,-0.2519425748301846,-3.6716752743727286,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809662,0.44268371086710434,0.7729317379731926,0.050080122890906464
330,991020,-1.693755638606817,-1.407693778435582,-0.4100448461515929,-1.1443133892165935,-1.8078787341375255,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-1.336791454993148,-0.8498042581398828,-0.8292623191294995,2.869697601833819,2.2167346655956046,-0.12868929288422845,0.13798891917740677,-0.6366461189762418,-1.807696082204158,-1.721224990992426,0.021638498518701938,1.3913546658338425,2.4198189585959238,-0.5519089872255327,1.1786391204181694,-0.9985120597907479,1.3115951581441727,0.9540332508171133,0.6023800135241443,-1.3261272812110168,0.5410874038228565,1.3514596138831279,-0.6863982265606772,-0.6566825697116822,-1.241217939545728,-0.35356895291206836,1.976112345852701,1.3072816309735031,3.085903459831033,5.421374438382517,-0.14511274112640588,-0.16608213922480014,0.010324327596551185,-0.537322879578822,-1.2249143332463595,0.05174587482972688,-0.9648216378504145,-1.1089773434300276,-1.7379004837586567,-1.7168302094446402,3.628217382907433,1.4727843478948908,-0.7460730191051836,-0.7630329648937858,-1.5412379896813388,-0.27045167353600214,-0.7361257405571713,-1.1343008031963555,-1.5455913307564457,-1.0289776008060156,-0.2519425748301846,-3.483550280544749,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,0.34132774986271536,0.7729317379731926,0.04918119797613885
528,992016,-1.4227593563311307,-1.8993525266854308,-1.0143094106680024,-0.9058672273524426,-1.7529667293512738,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-1.336791454993148,-0.8498042581398828,-0.8292623191294995,2.869697601833819,2.2167346655956046,-0.12868929288422845,0.13798891917740677,-0.6366461189762418,-1.807696082204158,-1.721224990992426,0.021638498518701938,1.3913546658338425,2.4198189585959238,-0.45435494694609324,1.2071541665875207,-0.9794072326522248,1.391413077930173,0.9540332508171133,0.6023800135241443,-1.3335812961129536,0.5410874038228565,1.2359830832193275,-0.6863982265606772,-0.49836175697019997,-0.9834706969408085,-0.5137356493223705,1.976112345852701,1.3072816309735031,3.085903459831033,5.421374438382517,-0.14511274112640588,-0.16608213922480014,0.010324327596551185,-0.537322879578822,-1.2249143332463595,0.05174587482972688,-0.9648216378504145,-1.1089773434300276,-1.7379004837586567,-1.7168302094446402,3.628217382907433,1.4727843478948908,-0.7460730191051836,-0.7630329648937858,-1.5412379896813388,-0.27045167353600214,-0.7361257405571713,-1.1343008031963555,-1.5455913307564457,-1.0289776008060156,-0.2519425748301846,-3.483550280544749,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,0.34132774986271536,0.7729317379731926,0.04908695869888602
610,993012,-1.9861991711857145,-1.7887258795904384,-0.00507261361688122,-1.017167288668313,-1.9532763315470978,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-1.0103841033087784,-0.25711471264548225,-0.7887788097805736,2.8574287580506716,2.0963566956503636,-0.15306147877838283,0.18884294235598603,-0.6079273974806179,-1.6548816310124417,-1.7640870166951712,-0.05399475957947824,1.2124525458213489,2.493207501139169,-0.45435494694609324,1.2071541665875207,-0.9794072326522248,1.391413077930173,0.7474811186056181,0.5126968250266892,-1.3335812961129536,0.6369283195777934,1.2359830832193275,-0.7001164014057578,-0.49836175697019997,-0.9834706969408085,-0.5137356493223705,1.8604575912173618,1.1367494734041554,3.3793077397228317,5.41157833556504,-0.15956215704633994,-0.32330973303466265,0.09559962841067066,-0.26726846852372765,-1.2249143332463595,0.10344579504295698,-0.9648216378504145,-1.1089773434300276,-1.7379004837586567,-1.7168302094446402,3.9401966465383276,1.45689357288542,-0.7460730191051836,-0.7630329648937858,-1.5412379896813388,-0.06379931035241375,-0.7361257405571713,-1.1343008031963555,-0.8938718065550462,-1.0289776008060156,-0.2519425748301846,-3.6029936672220146,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,-0.2773467455521173,0.7729317379731926,0.04873238875192165
869,994009,-1.9499387637304617,-1.4187115334928435,-0.5608104915387025,-0.6628717220145831,-1.9003693958073251,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-1.0103841033087784,-0.25711471264548225,-0.7887788097805736,2.8574287580506716,2.0963566956503636,-0.15306147877838283,0.18884294235598603,-0.6079273974806179,-1.6548816310124417,-1.7640870166951712,-0.05399475957947824,1.2124525458213489,2.493207501139169,-0.21341760347275723,1.231096461855226,-0.9566468400927046,1.504098470172798,0.7474811186056181,0.5126968250266892,-1.3639325493927976,0.6369283195777934,1.1926187365775656,-0.7001164014057578,-0.13706684760337257,-0.6347122147443961,-0.7789292614822415,1.8604575912173618,1.1367494734041554,3.3793077397228317,5.41157833556504,-0.15956215704633994,-0.32330973303466265,0.09559962841067066,-0.26726846852372765,-1.2249143332463595,0.10344579504295698,-0.9648216378504145,-1.1089773434300276,-1.7379004837586567,-1.7168302094446402,3.9401966465383276,1.45689357288542,-0.7460730191051836,-0.7630329648937858,-1.5412379896813388,-0.06379931035241375,-0.7361257405571713,-1.1343008031963555,-0.8938718065550462,-1.0289776008060156,-0.2519425748301846,-3.6029936672220146,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,-0.2773467455521173,0.7729317379731926,0.048367546665038064
1007,995006,-1.577054796371095,-1.6294390007536361,-0.5308949429213143,-1.1826152528610778,-1.8859236889354545,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-0.9555825528343288,0.11279008546690042,-0.7160018007891983,2.877211427754865,2.1401489136681815,-0.15709554298876607,0.22423659983623026,-0.5444156369877073,-1.564132292459917,-1.835469323946803,0.024973073417036855,1.1666384990171133,2.6040117629138138,-0.0043241156952246226,1.2356445853412759,-0.9386162898972733,1.5798937111028035,0.6147192581623572,0.4520439404303687,-1.3921082666019806,0.7031150316932516,1.2680666395720495,-0.6977401592289394,0.09601515813587601,-0.36932173405469737,-0.8839561772318107,1.7816487505097873,0.986644264473976,3.4652021167133302,5.3824186344282,-0.0911361442840346,-0.41633629744321876,0.192980956057568,-0.1994714096187056,-1.3436878008511173,0.00034935075317888933,-0.9648216378504145,-1.1089773434300276,-1.737119782913388,-1.7766438936697182,4.166164510079197,1.4038707150349894,-0.7526455276057331,-0.7162044512692929,-1.5412379896813388,0.10033374521493815,-0.7361257405571713,-1.1343008031963555,-0.5749558547150004,-1.0289776008060156,-0.2519425748301846,-4.003462459587351,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,-0.6239964536412278,0.7729317379731926,0.04806508201723925
1173,996004,-1.385129393619612,-1.936722663960993,-1.164334027805693,-0.8461138850083233,-1.9877641481483839,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-0.7056546962110738,-0.15665546673866834,-0.8211377341326912,2.7841037000073565,1.964137616324248,-0.16359681706506746,0.23058165359673796,-0.6124930524353921,-1.5224915967517658,-1.7365732043132345,-0.14717244665516105,1.197535867766089,2.530541311446798,-0.19331786506109025,1.2521189878767793,-0.9345807352802321,1.4918589422703534,0.6713705911668455,0.48665452309301327,-1.369412760322747,0.6830391366246737,1.1131453210698898,-0.707268506690527,-0.011473128094306086,-0.5064589344661362,-0.7840444335217421,1.7720924987231055,1.1355973625147715,3.419279152066571,5.422852230355841,-0.37183550736213994,-0.3420500514515723,0.2118735450109773,-0.24826232387532637,-1.2249143332463595,0.2235767475815736,-0.9648216378504145,-1.1089773434300276,-1.7379004837586567,-1.7168302094446402,3.9219942757450434,1.5237918023265857,-0.7460730191051836,-0.7630329648937858,-1.5412379896813388,-0.08986055085108947,-0.7361257405571713,-1.1343008031963555,-0.523061797743159,-1.0289776008060156,-0.2519425748301846,-3.4065614654939362,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,-0.21255224221140703,0.7729317379731926,0.04692453786754125
1304,997002,-1.167995427309478,-1.7343799203038228,-0.37855528337130084,-1.1449414596288998,-1.9380946705822548,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-0.7056546962110738,-0.15665546673866834,-0.8211377341326912,2.7841037000073565,1.964137616324248,-0.16359681706506746,0.23058165359673796,-0.6124930524353921,-1.5224915967517658,-1.7365732043132345,-0.14717244665516105,1.197535867766089,2.530541311446798,-0.19331786506109025,1.2521189878767793,-0.9345807352802321,1.4918589422703534,0.6713705911668455,0.48665452309301327,-1.369412760322747,0.6830391366246737,1.1131453210698898,-0.707268506690527,-0.011473128094306086,-0.5064589344661362,-0.7840444335217421,1.7720924987231055,1.1355973625147715,3.419279152066571,5.422852230355841,-0.37183550736213994,-0.3420500514515723,0.2118735450109773,-0.24826232387532637,-1.105327379927097,0.2235767475815736,-0.9648216378504145,-1.1089773434300276,-1.7379004837586567,-1.7168302094446402,3.9219942757450434,1.5237918023265857,-0.7460730191051836,-0.7630329648937858,-1.5412379896813388,-0.08986055085108947,-0.7361257405571713,-1.1343008031963555,-0.523061797743159,-1.0289776008060156,-0.2519425748301846,-3.4065614654939362,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,-0.21255224221140703,0.7729317379731926,0.046594317931789364
1606,998001,-1.7077792353523806,-1.4285850127842905,-0.06581919407710594,-0.9718197715375881,-1.2262974857873203,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-0.26844590532388446,-0.291294441551226,-0.9484757354074691,2.6143634010320578,1.650370398173046,-0.17021086893198195,0.27143261962874077,-0.679161357445877,-1.435941680330783,-1.6334976030704726,-0.4439590808186474,1.2245771987784766,2.4979590151045215,-0.34843348929063694,1.2967501815037392,-0.9093633581957883,1.3637983914561034,0.6675370821574451,0.49066594277619047,-1.3705222868654467,0.6975463543412564,0.881591125768736,-0.7160618919186059,-0.09510903302158917,-0.5331779518918602,-0.6067943554678689,1.7124008667855646,1.2746797233061529,3.4934852229468714,5.492989254245134,-0.8005161124581158,-0.23438784179063088,0.46302519121046243,-0.30711311410728653,-1.0652229345573805,0.559741319605906,-0.9648216378504145,-1.1089773434300276,-1.8202933904298575,-1.6845981671245809,3.6689777707887212,1.6357675021134457,-0.8097268168062296,-0.9253682470626751,-1.5412379896813388,-0.3131032963609806,-0.7361257405571713,-1.1343008031963555,0.0070883505716948835,-1.0289776008060156,-0.2519425748301846,-2.981962193030593,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,0.5368591093379667,0.7729317379731926,0.04618115995007732
1700,999000,-1.8497528363070486,-1.5823770026877173,-0.8258905495133801,-0.9226159395862399,-1.4827019305877487,-1.1912630670636717,-1.3490771036659042,-1.3189081111531828,1.1397423717828696,-1.9515173352465363,-1.1973379688827102,-0.22207920738776232,-0.291294441551226,-0.9484757354074691,2.6143634010320578,1.650370398173046,-0.17021086893198195,0.27143261962874077,-0.679161357445877,-1.435941680330783,-1.6334976030704726,-0.4439590808186474,1.2245771987784766,2.4979590151045215,-0.3687284519478201,1.28045566095815,-0.9106233509155564,1.4346511914730236,0.6675370821574451,0.49066594277619047,-1.3656892548336104,0.6975463543412564,0.881591125768736,-0.7160618919186059,-0.09787731997997369,-0.5392324972457415,-0.6191568694713968,1.7124008667855646,1.2746797233061529,3.4934852229468714,5.492989254245134,-0.8005161124581158,-0.23438784179063088,0.46302519121046243,-0.30711311410728653,-1.0226086722134857,0.559741319605906,-0.9648216378504145,-1.1089773434300276,-1.8202933904298575,-1.6845981671245809,3.6689777707887212,1.6357675021134457,-0.8097268168062296,-0.9253682470626751,-1.5412379896813388,-0.3131032963609806,-0.7361257405571713,-1.1343008031963555,0.0070883505716948835,-1.0289776008060156,-0.2519425748301846,-2.981962193030593,0.47285491214381303,-0.8526070754628361,-0.7435511940760212,-0.1342627055340214,-1.4375352139000155,-1.1770508080422206,-2.004129154835641,1.0597465839671125,1.00483399507454,-1.0256768625809658,0.5368591093379667,0.7729317379731926,0.045821835010969925
