,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
137,990025,-2.0110814537053403,-1.362716319887957,-0.5428858480340826,-0.44806401465838425,-1.6290645078785768,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,-2.9111682214818897,0.660700953078785,-0.3240414227919258,3.080613538188315,2.716655661396199,-0.08950882525820633,-0.24124633224061023,-1.0457395341335614,-2.0163441752125904,-1.815393341068262,0.9796998486404495,0.9671798226204134,2.4686070935951165,0.12117903154710075,0.733838327480041,2.0153135604483117,0.3232059061056454,1.2738355661614698,1.295621381445707,-0.05637051573729148,0.24171665991436195,0.06841990690131014,0.12330631372813199,-0.24785183115998471,-0.32505529856794824,2.183659753776529,2.1187145502712386,1.8978737703763902,2.6865182787368442,4.933453348476965,-0.24731928216741353,0.9984452453027398,-0.8624005078178714,0.8208898805560172,-0.45944431646130013,2.9490414459790566,-0.5501595151187715,-0.465041445287484,-1.5104022976654983,-2.1078842540253993,2.9679822762752925,0.8385122112028209,-0.47472267284107955,-0.21481167407108648,-1.5909343111547887,-0.2759379733090615,-0.48542336032522043,-0.49566106180950364,-2.8138285568715076,-0.26871978381787875,-0.7116126850678798,-0.27795447937297624,-2.620344637178543,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.45166736530691515,0.4320860770403925,0.6299006022554533,0.049559000748549915
324,991020,-1.662014357303472,-1.6115156226214582,-0.1834954869266979,-0.4010739002205338,-1.4663341247427029,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,-1.4941812136386268,0.03421872511148461,-0.27153564017708154,2.974755323573051,2.7100794028313375,-0.1834674233390934,-0.0772416427107597,-0.8011821606729014,-1.8843240129139993,-1.7875248627253593,0.7138799550141033,1.0243002409631083,2.354904005723553,0.2969553067282669,0.8514770928656545,2.150617468367251,0.22748635910498835,1.262241313939058,1.2254896828867896,0.06565440694354827,0.3842360218604302,0.05076128201145477,0.23022449791028013,-0.1621725674927701,-0.4019722050596969,2.1530874483563727,1.862802588079885,1.8075923408408545,2.7768417885193033,5.115810215261589,-0.36258757572882166,0.6018332932627385,-0.24099669756462155,0.8208898805560172,-0.45944431646130013,3.7836323204316766,-0.5501595151187715,-0.465041445287484,-1.5104022976654983,-2.1078842540253993,2.921778801328874,0.8803833790094935,-0.47472267284107955,-0.21481167407108648,-1.5909343111547887,-0.2759379733090615,-0.48542336032522043,-0.49566106180950364,-1.5238074392223018,-0.26871978381787875,-0.7116126850678798,-0.27795447937297624,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.3301962437154279,0.4320860770403925,0.6299006022554533,0.048616387852461695
423,992016,-1.8804923769509654,-1.6375183484770135,-0.35324340216522004,-0.6730202126555942,-1.6623457525543606,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,-1.4941812136386268,0.03421872511148461,-0.27153564017708154,2.974755323573051,2.7100794028313375,-0.1834674233390934,-0.0772416427107597,-0.8011821606729014,-1.8843240129139993,-1.7875248627253593,0.7138799550141033,1.0243002409631083,2.354904005723553,0.12117903154710075,0.733838327480041,2.0153135604483117,0.3232059061056454,1.262241313939058,1.2254896828867896,-0.05637051573729148,0.3842360218604302,0.06841990690131014,0.23022449791028013,-0.24785183115998471,-0.32505529856794824,2.183659753776529,1.862802588079885,1.8075923408408545,2.7768417885193033,5.115810215261589,-0.36258757572882166,0.6018332932627385,-0.24099669756462155,0.8208898805560172,-0.45944431646130013,3.7836323204316766,-0.5501595151187715,-0.465041445287484,-1.5104022976654983,-2.1078842540253993,2.921778801328874,0.8803833790094935,-0.47472267284107955,-0.21481167407108648,-1.5909343111547887,-0.2759379733090615,-0.48542336032522043,-0.49566106180950364,-1.5238074392223018,-0.26871978381787875,-0.7116126850678798,-0.27795447937297624,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.3301962437154279,0.4320860770403925,0.6299006022554533,0.04858543717051933
583,993012,-1.7916688164860044,-1.2833231990201934,-0.4750384654440199,-0.7682604338796964,-1.600087002132491,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,-1.4941812136386268,-0.9984519553716504,-0.21584686725987803,3.010870773234863,2.7590496168027685,-0.26794391313697996,0.07052693906930166,-0.5658356730911701,-1.7375289794592481,-1.7646949347382426,0.4645370209217775,1.099121559395823,2.2375778486582183,0.12117903154710075,0.733838327480041,2.0153135604483117,0.3232059061056454,1.211092103571973,1.2061447735906123,-0.05637051573729148,0.7849539799965042,0.06841990690131014,0.3748264297358832,-0.24785183115998471,-0.32505529856794824,2.183659753776529,1.6923542715033315,1.7657008098613511,2.6194504232955955,5.318571906401962,-0.4938245780818913,0.3991931117238819,0.2950120001441911,0.8208898805560172,-0.45944431646130013,4.739932085402563,-0.5501595151187715,-0.465041445287484,-1.5104022976654983,-2.1078842540253993,2.92473321796371,0.9570949230859251,-0.47472267284107955,-0.21481167407108648,-1.5909343111547887,-0.2759379733090615,-0.48542336032522043,-0.49566106180950364,-1.5238074392223018,-0.26871978381787875,-0.7116126850678798,-0.27795447937297624,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.2605078853053088,0.4320860770403925,0.6299006022554533,0.0482299981935832
891,994009,-1.7286026086756483,-1.6037035710508187,-0.24775272354586567,-0.7952864699750573,-1.6996061415882675,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,-1.4941812136386268,-0.9984519553716504,-0.21584686725987803,3.010870773234863,2.7590496168027685,-0.26794391313697996,0.07052693906930166,-0.5658356730911701,-1.7375289794592481,-1.7646949347382426,0.4645370209217775,1.099121559395823,2.2375778486582183,-0.1098787010694508,0.7259812132982144,1.8316313172171794,0.39880146323681165,1.211092103571973,1.2061447735906123,-0.19546611339682865,0.7849539799965042,0.05989774342581911,0.3748264297358832,-0.4349585377343127,0.01937053154156884,2.155544228291876,1.6923542715033315,1.7657008098613511,2.6194504232955955,5.318571906401962,-0.4938245780818913,0.3991931117238819,0.2950120001441911,0.8208898805560172,-0.45944431646130013,4.739932085402563,-0.5501595151187715,-0.465041445287484,-1.5104022976654983,-2.1078842540253993,2.92473321796371,0.9570949230859251,-0.47472267284107955,-0.21481167407108648,-1.5909343111547887,-0.2759379733090615,-0.48542336032522043,-0.49566106180950364,-1.5238074392223018,-0.26871978381787875,-0.7116126850678798,-0.27795447937297624,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.2605078853053088,0.4320860770403925,0.6299006022554533,0.047864457614840816
953,995006,-1.7883894489396492,-1.5587331422792194,-0.0650672486810065,-0.4611001855280404,-1.876714472712459,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,-1.4941812136386268,-1.490696297927745,-0.19747602979828147,3.1591253852792116,2.8186769405033503,-0.30070004975292236,0.14761835665428788,-0.4853907541770583,-1.6827190991790648,-1.7610363696703613,0.3563425134096354,1.1298348626915342,2.1427011017469595,-0.34487172831770935,0.8252867122595665,1.7679461283023903,0.44982623302018243,1.1459625402437557,1.2472591082052626,-0.28208458720529445,1.0123281178683516,0.02569609531883399,0.43765833943596477,-0.6299393339285906,0.26038516053552885,2.08614572101196,1.645247004225255,1.7981320299490036,2.2930398656775757,5.394275373795995,-0.5597883353890083,0.3229779735065517,0.9242951512115042,0.8208898805560172,-0.5330776395761238,5.027953978524455,-0.5501595151187715,-0.465041445287484,-1.6906149858478376,-2.4207105395504738,2.973891109544963,1.0052764374559333,-0.5156697714525947,-0.40189007818778066,-1.5909343111547887,0.29949575453802063,-0.48542336032522043,-0.49566106180950364,-1.5238074392223018,-0.26871978381787875,-0.7116126850678798,-0.4243356672615778,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.26827694843818084,0.4320860770403925,0.6299006022554533,0.04756157793135651
1249,996004,-1.7959713868411769,-1.3897204520375173,-0.43118531574523583,-0.499375021504002,-2.110733817239805,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,0.40392204900152523,-0.9132356923656866,-0.19381396986115706,3.0088305995221276,2.698877245057354,-0.27768096114972635,0.0867776180792633,-0.4240275733133327,-1.7015658621200829,-1.7330736188595173,0.3486552827532901,1.1238521953247782,2.2008244338781995,-0.16371989921026361,0.6559258946959164,1.8308282288288178,0.4340751461169831,1.2683779255654948,1.1719501360549003,-0.21019812414918085,0.8154459004214367,0.08511261000659706,0.4145061391621301,-0.41527331368443876,-0.026497277751231955,2.268613549347657,1.5858324461001914,1.707399407686894,2.807484866245464,5.415801207784211,-0.5597570861958436,0.23127184521494132,0.7811176014881842,0.8208898805560172,-0.45944431646130013,5.194061489840749,-0.5501595151187715,-0.465041445287484,-1.5104022976654983,-2.1078842540253993,2.8657636284113193,0.9668480225320567,-0.47472267284107955,-0.21481167407108648,-1.5909343111547887,-0.2759379733090615,-0.48542336032522043,-0.49566106180950364,-0.22214358928634545,-0.26871978381787875,-0.7116126850678798,-0.27795447937297624,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.2079165316541273,0.4320860770403925,0.6299006022554533,0.046354831209631235
1362,997002,-1.8507053274678726,-1.6499593739505234,-0.9023886690825984,-0.6767185577669382,-1.9103043831861115,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,0.40392204900152523,-0.9132356923656866,-0.19381396986115706,3.0088305995221276,2.698877245057354,-0.27768096114972635,0.0867776180792633,-0.4240275733133327,-1.7015658621200829,-1.7330736188595173,0.3486552827532901,1.1238521953247782,2.2008244338781995,-0.16371989921026361,0.6559258946959164,1.8308282288288178,0.4340751461169831,1.2683779255654948,1.1719501360549003,-0.21019812414918085,0.8154459004214367,0.08511261000659706,0.4145061391621301,-0.41527331368443876,-0.026497277751231955,2.268613549347657,1.5858324461001914,1.707399407686894,2.807484866245464,5.415801207784211,-0.5597570861958436,0.23127184521494132,0.7811176014881842,0.8208898805560172,-0.3307410470121302,5.194061489840749,-0.5501595151187715,-0.465041445287484,-1.5104022976654983,-2.1078842540253993,2.8657636284113193,0.9668480225320567,-0.47472267284107955,-0.21481167407108648,-1.5909343111547887,-0.2759379733090615,-0.48542336032522043,-0.49566106180950364,-0.22214358928634545,-0.26871978381787875,-0.7116126850678798,-0.27795447937297624,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.2079165316541273,0.4320860770403925,0.6299006022554533,0.04602529575388237
1483,998001,-1.9076947145281924,-1.4381214024615596,-1.1393773163565184,-0.5304359185845287,-1.9019470980186295,-0.46214433307200997,-1.0219315578430703,-1.118411822071976,0.8510176790454704,-1.9488225097024157,-1.150954871752843,0.646076275607296,0.39917477482081165,-0.1311449898823884,2.942013511133161,2.4885138599503165,-0.2663108340201921,0.023433129893535,-0.12520642381805003,-1.6607332226563138,-1.6853487991814828,0.24147579130286123,1.1525124047251993,2.182226932946486,-0.059911253343859015,0.3861807725291612,1.9582059839304424,0.41930516346278573,1.410179214966421,1.0027448561439218,-0.11800543630153337,0.5398525284694347,0.14456581037749652,0.4851973800674256,-0.18879615901036306,-0.693777967899059,2.5466553981871574,1.3796750533819835,1.5325214311449558,3.6311929255614386,5.757079582442223,-0.7139691785340518,-0.18097672585997532,0.9779170104921845,0.8208898805560172,-0.3562855803561626,5.712030711563534,-0.5501595151187715,-0.465041445287484,-1.3598309703715201,-1.768969074738993,2.628577872434355,0.9285456633006146,-0.4339069144626543,0.0050622363616814395,-1.5909343111547887,-0.76139802786826,-0.48542336032522043,-0.49566106180950364,0.5047319207005421,-0.26871978381787875,-0.7116126850678798,-0.04227566522523922,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.07523344654348692,0.4320860770403925,0.6299006022554533,0.04561350709775802
1682,999000,-1.5587237061970507,-1.4658239013620094,-0.33259017062466467,-0.8791747822272787,-1.9720700579578139,-0.379380333614788,-0.8871262777200549,-1.2509352628178645,0.7898663919465009,-1.9488225097024157,-1.150954871752843,0.7809701101738075,0.39917477482081165,-0.1311449898823884,2.942013511133161,2.4885138599503165,-0.2663108340201921,0.023433129893535,-0.12520642381805003,-1.6607332226563138,-1.6853487991814828,0.24147579130286123,1.1525124047251993,2.182226932946486,-0.054104682209300876,0.333702619542858,1.9154321312180116,0.4171753598258625,1.410179214966421,1.0027448561439218,-0.1501864255947383,0.5398525284694347,0.16816670870730818,0.4851973800674256,-0.19431928997337475,-0.6629390710045804,2.5770942451898247,1.3796750533819835,1.5325214311449558,3.6311929255614386,5.757079582442223,-0.7139691785340518,-0.18097672585997532,0.9779170104921845,0.8208898805560172,-0.3728942715518519,5.712030711563534,-0.5501595151187715,-0.465041445287484,-1.3598309703715201,-1.768969074738993,2.628577872434355,0.9285456633006146,-0.4339069144626543,0.0050622363616814395,-1.5909343111547887,-0.76139802786826,-0.48542336032522043,-0.49566106180950364,0.5047319207005421,-0.26871978381787875,-0.7116126850678798,-0.04227566522523922,-2.171383485722205,1.3752002748933307,-1.0355630834871152,-0.48079175265681223,-0.7933282500704988,-0.5351765107287607,-0.39850870531053845,-0.8906101873148451,-3.3187719169025245,0.07523344654348692,0.4320860770403925,0.6299006022554533,0.045256268164905016
