,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)","Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank","Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
121,990025,0.514445099229489,0.3136696043953704,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,-0.6701197225596015,-0.007351745662622058,-0.6240471521860501,-0.48614274982133865,0.08644190894037915,0.0909939946066304,0.5801469343943444,0.4001136195804875,0.21567321949133064,1.25576273043981,0.043973109333970056,-0.6502340635836744,0.04130619725330005,-0.6129893568210852,2.6377541172364363,-0.4517421189089065,-0.8127131014490218,-0.12521778365750091,0.5214363801557891,-1.0751779701139232,-1.2284628210955795,0.38506958820233095,0.13705398954933634,0.535335708465489,2.4184951774135106,-0.41561715682632194,-0.25494387260919626,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.24709248728781102,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.17571382783940523,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,0.4438317721082528,-1.3133453739147796,-0.5792688390719953,0.11239877869121027
195,991020,0.4559828588531845,0.05619307977279835,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,-0.3694661170952284,-0.0797074423395637,-0.4793700072550866,-0.43294529254872927,0.30070790035134093,0.09423329450191195,0.7579111785376357,0.392920303821504,0.23658007938879816,0.5212105085872563,-0.15081481096062427,-0.5604053526128149,-0.06254191769110998,-0.7013946358928429,2.456554126329375,-0.4411276998142626,-0.7994413651719179,-0.17296470769788955,0.527913438298294,-1.0925126146453201,-1.2402859778098805,0.4072862788637783,0.3414044637563542,0.6856400710398474,2.399654248720981,-0.3101861780280656,-0.08170143455708294,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.2543727264369414,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.21161581268979063,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,0.2995915767873157,-1.3133453739147796,-0.5792688390719953,0.11193572237552453
464,992016,0.41913065523968157,0.37362880936263654,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,-0.3694661170952284,-0.0797074423395637,-0.4793700072550866,-0.43294529254872927,0.30070790035134093,0.09423329450191195,0.7579111785376357,0.392920303821504,0.23658007938879816,0.5212105085872563,-0.15081481096062427,-0.5604053526128149,0.04130619725330005,-0.6129893568210852,2.6377541172364363,-0.4517421189089065,-0.7994413651719179,-0.17296470769788955,0.5214363801557891,-1.0925126146453201,-1.2284628210955795,0.4072862788637783,0.13705398954933634,0.535335708465489,2.4184951774135106,-0.3101861780280656,-0.08170143455708294,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.2543727264369414,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.21161581268979063,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,0.2995915767873157,-1.3133453739147796,-0.5792688390719953,0.11163125671353824
676,993012,0.19296965150220938,0.44646680222609464,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,-0.22394000637258527,-0.16910109086090344,-0.1891688741238271,-0.3027581598435096,0.5263268644044078,0.26121091343945957,0.9230245994213868,0.4115050068485964,0.2771747384971779,-0.33669790604909755,-0.49971503677968115,-0.4411626158066838,0.04130619725330005,-0.6129893568210852,2.6377541172364363,-0.4517421189089065,-0.7669094140699293,-0.20219019097298913,0.5214363801557891,-1.12087839660579,-1.2284628210955795,0.4246867307383215,0.13705398954933634,0.535335708465489,2.4184951774135106,-0.24543418537895698,0.20308998455559876,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.2587378715469464,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.23518488631799986,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,-0.07121561039689922,-1.3133453739147796,-0.5792688390719953,0.1112179225802652
777,994009,0.13489838802549275,0.43866636843292667,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,-0.22394000637258527,-0.16910109086090344,-0.1891688741238271,-0.3027581598435096,0.5263268644044078,0.26121091343945957,0.9230245994213868,0.4115050068485964,0.2771747384971779,-0.33669790604909755,-0.49971503677968115,-0.4411626158066838,0.3281832202620336,-0.49096121185863595,2.8170765585560855,-0.533977767796291,-0.7669094140699293,-0.20219019097298913,0.48669743082637706,-1.12087839660579,-1.1684900791045092,0.4246867307383215,-0.04396365127475673,0.3933885077003075,2.461054437938273,-0.24543418537895698,0.20308998455559876,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.2587378715469464,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.23518488631799986,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,-0.07121561039689922,-1.3133453739147796,-0.5792688390719953,0.11075925492110984
967,995006,-0.028432660015026298,0.2749866071882172,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,-0.15038361283587545,-0.24259818913983194,-0.06596805001055142,-0.20312724394042675,0.6236299185905385,0.6475860577317889,1.0146559367200063,0.4465753771482188,0.31715986726227996,-0.8890083061510755,-0.6269888633949859,-0.40181169523756816,0.6923976165423996,-0.36242756655270586,2.9839730713871693,-0.7152465294388776,-0.722346570610164,-0.21654741889218687,0.4523939832343554,-1.1539718088930055,-1.1153427653284858,0.4161418236925865,-0.0699992653893121,0.3770591998111922,2.5116523027335145,-0.2861131715281048,0.4945072303189134,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.2585797112615082,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.24503463262825592,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,-0.6467776019629679,-1.3133453739147796,-0.5792688390719953,0.11033833851765272
1121,996004,0.21041202330599565,0.08283523553019663,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,0.024343319031721034,-0.16331838869665116,-0.1585092346905315,-0.21863027768767926,0.6229444622536449,0.0851524997259944,0.9064712205041827,0.3679082093273394,0.2657978020847439,-0.6871624920829679,-0.5708973626274109,-0.41016195650636667,0.19125833857071714,-0.47958391596135064,3.0162881153190564,-0.43357205443991775,-0.7792560269720399,-0.32257955594736876,0.48473658118784363,-1.1583112300056042,-1.252499505904281,0.4564991333318016,-0.11223059214226166,0.20314482248795063,2.3835095381897062,-0.1723830304889227,0.31140523628660427,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.27495734519591,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.2785311176453875,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,-0.11800035691026642,-1.3133453739147796,-0.5792688390719953,0.10914803043980892
1356,997002,0.5110623797571444,0.15809898689739385,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,0.024343319031721034,-0.16331838869665116,-0.1585092346905315,-0.21863027768767926,0.6229444622536449,0.0851524997259944,0.9064712205041827,0.3679082093273394,0.2657978020847439,-0.6871624920829679,-0.5708973626274109,-0.41016195650636667,0.19125833857071714,-0.47958391596135064,3.0162881153190564,-0.43357205443991775,-0.7792560269720399,-0.32257955594736876,0.48473658118784363,-1.1583112300056042,-1.252499505904281,0.4564991333318016,-0.11223059214226166,0.20314482248795063,2.3835095381897062,-0.1723830304889227,0.31140523628660427,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.27495734519591,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.2785311176453875,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,-0.11800035691026642,-1.3133453739147796,-0.5792688390719953,0.10869780735673262
1513,998001,0.02902910619831819,0.238539478999634,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,0.2884965355124478,-0.05626133238974649,-0.274937250346994,-0.18840273655358833,0.7341389658459794,-0.6644713132557685,0.5909574342509799,0.2592919763811584,0.1955319694278295,-1.1873419265132121,-0.4937370929854725,-0.38946900360467734,-0.30457879106641,-0.5887397093971101,3.094971709430581,-0.20907187336306077,-0.8372746895121481,-0.5049034889512437,0.5100449815738571,-1.17430793850947,-1.499500315296669,0.5293308005685629,-0.24786343190695315,-0.1710194230431577,2.1338201339864926,0.20158204882409222,0.201325922093053,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.33083074081604447,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.3757328940243187,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,0.07845786397896297,-1.3133453739147796,-0.5792688390719953,0.10818878046694512
1692,999000,0.051744743688273274,0.33863482028839814,0.34048163234784545,-0.12025053845032684,0.24722434250373443,0.48308545738642517,0.40618157110724257,0.621711190482722,-0.39669621181450937,0.40908563460283615,0.050331763490725906,-0.20767406902894167,0.2884965355124478,-0.05626133238974649,-0.274937250346994,-0.18840273655358833,0.7341389658459794,-0.6644713132557685,0.5909574342509799,0.2592919763811584,0.1955319694278295,-1.1873419265132121,-0.4937370929854725,-0.38946900360467734,-0.29163519374119184,-0.5787420235020779,3.159224263328664,-0.21344476482449007,-0.8372746895121481,-0.5049034889512437,0.5279323157208234,-1.17430793850947,-1.4857449275218602,0.5293308005685629,-0.25229777191985275,-0.20941675556154637,2.1385338074996407,0.20158204882409222,0.201325922093053,-0.0069503125776092314,-0.06292954136491347,-0.05114568899386596,-1.0869535004466204,2.1901299507782723,0.4968022425844935,-0.3919161184868776,-0.5079129750135978,0.23263864724358527,0.6815074572826713,0.1487966526222295,0.30323306535920047,-0.33083074081604447,0.5479650733335271,0.10626807584929568,-0.12913477143479504,0.3757328940243187,-0.3027953409850851,0.5801233695054707,0.6736058772591571,-0.5220510084272988,1.4849501368528089,0.6242537977692877,-0.5418791644225732,0.6026055220895259,-0.7920435778005123,0.16354643619054687,0.023010242545055508,0.1999579025782217,0.3328437646658464,-0.46972531346983715,-0.23990853449931876,-0.4329526686274337,0.07845786397896297,-1.3133453739147796,-0.5792688390719953,0.10776480803150223
