,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
77,990025,0.22747479808765872,0.2094802865866957,-0.30515342908480225,-0.6185174193929058,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.42479075654641435,0.453526024028735,-0.17056056551076607,-0.2888426800968083,-0.42949740875887377,-0.1674655361292654,-0.49561299845959084,-0.5642759562313946,0.21147676634885593,0.6584158983381428,0.1898519137323633,-0.4131567720673012,0.10190316541688205,0.3736261770818221,-0.19585418566891533,1.5852303175487825,0.013758749838300357,-0.5185625069642237,-0.603714781695731,-0.15818901487575723,-0.8474076126708697,-0.9240150047038955,0.23868894387764358,-0.3885070527461725,-0.10054127957177643,1.6308120512728563,-0.03152725843116868,-0.04891952539754708,1.6547007606665078,1.9628040481005002,-0.13021884567730488,-0.22950685140236132,-0.011473030390572136,0.30423762864473636,-0.19637848135578062,-0.5074904067153543,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.5001786221155747,-0.10448557630969321,-0.3660580826264802,-0.3321824872787707,0.021203033811764294,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.9739887267106073,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07662356887893751
329,991020,-0.10899747887508213,0.3385651598231707,-0.42456353699695787,-0.8544832655911663,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.42479075654641435,0.37139301172634814,-0.2530734153078403,-0.32997538257141834,-0.24687449967278915,0.11478574485948986,-0.36093992007596737,-0.34773149851695123,0.10538795681775259,0.5115807000188589,0.09087841526766667,-0.3057900018766857,-0.1028869309868534,0.2643240352543716,-0.3478520436683652,1.4488917141944546,0.2344379988733677,-0.6478520281790923,-0.7319696060995168,-0.18750466707273966,-0.8550362762092826,-0.8907295429694738,0.2551341095362296,-0.46269000879270716,-0.1835699446709457,1.4758450174664104,-0.12744974031190262,-0.14091793317869644,1.6547007606665078,1.9628040481005002,-0.13021884567730488,-0.22950685140236132,-0.011473030390572136,0.30423762864473636,-0.19637848135578062,-0.5074904067153543,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.4578023849770734,-0.10159554184903392,-0.3660580826264802,-0.3321824872787707,0.03492320748274535,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.9739887267106073,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.0762497191193624
385,992016,0.3443347456032705,0.2041205582389193,-0.7172076434400679,-0.8402959891252957,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.42479075654641435,0.37139301172634814,-0.2530734153078403,-0.32997538257141834,-0.24687449967278915,0.11478574485948986,-0.36093992007596737,-0.34773149851695123,0.10538795681775259,0.5115807000188589,0.09087841526766667,-0.3057900018766857,-0.1028869309868534,0.3736261770818221,-0.19585418566891533,1.5852303175487825,0.013758749838300357,-0.6478520281790923,-0.7319696060995168,-0.15818901487575723,-0.8550362762092826,-0.9240150047038955,0.2551341095362296,-0.3885070527461725,-0.10054127957177643,1.6308120512728563,-0.12744974031190262,-0.14091793317869644,1.6547007606665078,1.9628040481005002,-0.13021884567730488,-0.22950685140236132,-0.011473030390572136,0.30423762864473636,-0.19637848135578062,-0.5074904067153543,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.4578023849770734,-0.10159554184903392,-0.3660580826264802,-0.3321824872787707,0.03492320748274535,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.9739887267106073,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07578462512215067
692,993012,0.18210026629886433,-0.13353017489266336,-0.824482482536036,-1.1377103626820928,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.42479075654641435,0.26123566697431466,-0.36132825321991613,-0.41801183975407064,0.12746605228981953,0.5330669172519783,-0.22877089143480556,0.021198526077753785,-0.13465259721941686,0.34358172560580136,-0.1152419285743934,-0.09247990076479401,-0.32272732873431026,0.3736261770818221,-0.19585418566891533,1.5852303175487825,0.013758749838300357,-0.743245302458153,-0.8337918676215773,-0.15818901487575723,-0.7735564182648403,-0.9240150047038955,0.24694696751309828,-0.3885070527461725,-0.10054127957177643,1.6308120512728563,-0.2926556754897356,-0.23924170573608033,1.6547007606665078,1.9628040481005002,-0.13021884567730488,-0.22950685140236132,-0.011473030390572136,0.30423762864473636,-0.19637848135578062,-0.5074904067153543,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.4313131449501564,-0.11987299120001521,-0.3660580826264802,-0.3321824872787707,0.05850934447111362,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.9739887267106073,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07546592863461478
738,994009,0.16981518797741277,0.0102548261392709,0.021527678886722468,-0.9449986155779279,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.42479075654641435,0.26123566697431466,-0.36132825321991613,-0.41801183975407064,0.12746605228981953,0.5330669172519783,-0.22877089143480556,0.021198526077753785,-0.13465259721941686,0.34358172560580136,-0.1152419285743934,-0.09247990076479401,-0.32272732873431026,0.5072800315660294,-0.09517749505421139,1.5923579504161163,-0.15110741052322832,-0.743245302458153,-0.8337918676215773,-0.10321477561207605,-0.7735564182648403,-0.9125690510717673,0.24694696751309828,-0.3109050396827011,-0.049886323270302096,1.7183376322338586,-0.2926556754897356,-0.23924170573608033,1.6547007606665078,1.9628040481005002,-0.13021884567730488,-0.22950685140236132,-0.011473030390572136,0.30423762864473636,-0.19637848135578062,-0.5074904067153543,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.4313131449501564,-0.11987299120001521,-0.3660580826264802,-0.3321824872787707,0.05850934447111362,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.9739887267106073,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07519179085043581
933,995006,-0.04760488242434796,0.1238875106882886,-0.935162535583046,-0.5594470624139983,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.48792936597250336,0.24953094115459887,-0.4411976602909557,-0.4649155944621132,0.3191836951663439,0.63692133385629,-0.23127494117726666,0.31412886423218844,-0.26860434172548303,0.2163133340932535,-0.22238877395175685,0.07163891227790693,-0.508764606103832,0.5825611162508909,-0.05174413009570623,1.4625987004777907,-0.35436971670352085,-0.7456893504857955,-0.9673657157030917,-0.05661362120683211,-0.6776579086199486,-0.8634772724167888,0.22089080904474945,-0.2471288613941758,-0.04286173272240554,1.6747667923777783,-0.40699529292624365,-0.28302374577227063,2.2610520112737538,2.5549778926338074,-0.19809676247946292,-0.19633548862768888,-0.011473030390572136,0.40123606970129294,-0.19637848135578062,-0.459225867765293,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.4173997470314587,-0.15824278028316768,-0.6219509547761353,-0.5870958104935865,0.0683753077885008,0.12638051115988974,0.024282672220129697,0.5336611389504757,-1.3223259392908824,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07502710636692123
1193,996004,0.10067623764909053,-0.16125268395197012,-0.9200875838276131,-0.4305174016026219,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.42479075654641435,0.17615376325674245,-0.4235349880503921,-0.4268205588109971,0.10226253984342099,0.6043456139929779,-0.191147077465509,0.0034373326686216645,-0.15002679809474587,0.2828517760371274,-0.14008357009696384,-0.09653807964657929,-0.36023296680273786,0.6400988769344658,-0.03996213819899281,1.6933768964123146,-0.24788975067461755,-0.8271094549687078,-0.9268926894084656,-0.11165490759580016,-0.8407531255236951,-0.9630328661694169,0.2705555667970499,-0.3262907962589162,-0.2285035842813331,1.8444701499215697,-0.3100754021847953,-0.27348297278512296,1.6547007606665078,1.9628040481005002,-0.13021884567730488,-0.22950685140236132,-0.011473030390572136,0.30423762864473636,-0.19637848135578062,-0.5074904067153543,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.40722659302443387,-0.08701734612689843,-0.3660580826264802,-0.3321824872787707,0.057545380723387496,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.9739887267106073,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07428438943566662
1327,997002,0.21221853383384714,0.23951276431390275,-0.18158041455315993,-0.32027708968814317,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.42479075654641435,0.17615376325674245,-0.4235349880503921,-0.4268205588109971,0.10226253984342099,0.6043456139929779,-0.191147077465509,0.0034373326686216645,-0.15002679809474587,0.2828517760371274,-0.14008357009696384,-0.09653807964657929,-0.36023296680273786,0.6400988769344658,-0.03996213819899281,1.6933768964123146,-0.24788975067461755,-0.8271094549687078,-0.9268926894084656,-0.11165490759580016,-0.8407531255236951,-0.9630328661694169,0.2705555667970499,-0.3262907962589162,-0.2285035842813331,1.8444701499215697,-0.3100754021847953,-0.27348297278512296,1.6547007606665078,1.9628040481005002,-0.13021884567730488,-0.22950685140236132,-0.011473030390572136,0.30423762864473636,-0.19637848135578062,-0.5074904067153543,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.40722659302443387,-0.08701734612689843,-0.3660580826264802,-0.3321824872787707,0.057545380723387496,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.9739887267106073,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07413496576725133
1544,998001,0.17080532649818497,0.2574626299971608,0.028970470882157713,-0.02096513620385366,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.4644686426551805,-0.19136057383611838,-0.4694341034356592,-0.39443489379879304,-0.3590330269834054,0.5695376510142655,-0.18929761961619526,-0.3910091745834827,0.050825495312413524,0.26977938143585317,-0.027877044038167074,-0.2488258200983664,-0.27399330326754096,0.7922760211065578,0.019085083480505492,2.292911218973507,-0.2294836533697156,-0.9398690077803034,-0.9332151326297259,-0.18485431193487067,-1.038597010223249,-1.2289780769340086,0.3584559222404209,-0.4888510855827687,-0.5904934283862857,2.08315857512186,-0.20515102435998459,-0.2827034584267346,1.0505957597009408,0.8467370529083021,-0.04739517165714971,-0.25990001761832554,-0.011473030390572136,0.15489229837091395,-0.19637848135578062,-0.6672773712195139,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.35707988998010154,-0.0003832189843565159,-0.18848564226773504,-0.2534621970332789,0.02213191231763794,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.6814571805572089,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.0738843743052523
1622,999000,0.07823003047761547,0.6011930776447993,-0.33883943784396947,-0.4192936603180697,0.10341936080329595,-0.10586459305512497,0.27359351310383107,-0.016264380891919127,-0.08924820995753503,0.3384883768156306,0.028488216514485833,-0.4644686426551805,-0.19136057383611838,-0.4694341034356592,-0.39443489379879304,-0.3590330269834054,0.5695376510142655,-0.18929761961619526,-0.3910091745834827,0.050825495312413524,0.26977938143585317,-0.027877044038167074,-0.2488258200983664,-0.27399330326754096,0.7978376971976112,0.027657284109436547,2.454590874552327,-0.325333170789706,-0.9398690077803034,-0.9332151326297259,-0.1412239457740977,-1.038597010223249,-1.2559413045742613,0.3584559222404209,-0.4976367396043953,-0.5195059838037789,2.2237589088608165,-0.20515102435998459,-0.2827034584267346,1.0505957597009408,0.8467370529083021,-0.04739517165714971,-0.25990001761832554,-0.011473030390572136,0.15489229837091395,-0.19637848135578062,-0.6672773712195139,-0.018229774833472687,-0.07589070332110733,0.07228647496010467,0.14075662434664835,-0.35707988998010154,-0.0003832189843565159,-0.18848564226773504,-0.2534621970332789,0.02213191231763794,0.12638051115988974,0.024282672220129697,0.5336611389504757,-0.6814571805572089,3.6689805806228866,-0.03682294747640422,0.1985568240800699,0.3251870895979907,-0.8235904065586888,-0.2366473458027114,0.39326617157825744,-0.1176995969625449,0.00401599145870626,-0.04799256317873391,0.06566250666198026,-0.2850499005838883,-0.043868143730107285,-0.6710035502635844,0.07365845239672131
