,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)","Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)","Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank","Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",y
3,990025,-1.6390219918686306,-1.9166670772409578,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,-1.2551335323689339,-0.7983194626475505,3.339641662757156,3.483641861396394,-0.3659165712504261,1.2242413422896168,-0.19896885790350707,-2.0343080294573044,-1.986592176026774,0.4359883981971669,0.5889681758927855,1.379746402522573,-0.20685381529921185,0.9285004146779605,0.7748891454614114,0.5264529269548092,0.8520959967581662,0.7104160779688691,-0.6207428247587938,0.24228167752578786,0.32813065548849124,-0.7294021078204024,-0.472876154134356,0.36303887353797243,1.9671380933824465,1.8615584943141976,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.744323658634103,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,0.2597049220413401,0.04939424843578112
306,991020,-1.7970436283640185,-1.2884189825015833,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,-0.46431606893307836,-0.8377063628025617,3.26816367856102,3.0097824824357433,-0.26989641110046586,0.7988297677508536,0.06509570796348778,-2.0479510549836326,-1.811389637891858,-0.05095393574314896,0.7303153645099545,1.2293401470282121,-0.6210839022609437,0.8952072177978819,0.6850035532075137,0.5649216403047196,0.8594101182954429,0.7972759258527321,-0.5792537925815961,0.2718647764507836,0.26768918363897504,-0.8860849561788522,-0.21483733574612313,0.40328304003510923,1.8002430614861762,1.7369208291602463,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.500787775708602,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,0.1883381803146001,0.048532368181115504
493,992016,-1.5222774791368914,-1.4191489926081586,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,-0.46431606893307836,-0.8377063628025617,3.26816367856102,3.0097824824357433,-0.26989641110046586,0.7988297677508536,0.06509570796348778,-2.0479510549836326,-1.811389637891858,-0.05095393574314896,0.7303153645099545,1.2293401470282121,-0.20685381529921185,0.9285004146779605,0.7748891454614114,0.5264529269548092,0.8594101182954429,0.7972759258527321,-0.6207428247587938,0.2718647764507836,0.32813065548849124,-0.7294021078204024,-0.472876154134356,0.36303887353797243,1.8002430614861762,1.7369208291602463,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.500787775708602,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,0.1883381803146001,0.048429115556700486
633,993012,-2.1211344336638582,-1.6599521774023742,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,0.5312694079668995,-0.9494934451347632,3.348747053027196,2.7301646834458886,-0.21126120883306354,0.24641524743799387,0.6084973383049802,-2.108405004411092,-1.6511794360470065,-0.975086902483599,0.8628258477084426,1.0995186167336655,-0.20685381529921185,0.9285004146779605,0.7748891454614114,0.5264529269548092,0.9099971692495652,0.9214662682787895,-0.6207428247587938,0.22418262773928002,0.32813065548849124,-0.7294021078204024,-0.472876154134356,0.36303887353797243,1.6539588722243872,1.6556755697889565,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.409392290309044,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,-0.10963191368087526,0.04807817797597158
898,994009,-1.5077364096541404,-1.6636537667982771,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,0.5312694079668995,-0.9494934451347632,3.348747053027196,2.7301646834458886,-0.21126120883306354,0.24641524743799387,0.6084973383049802,-2.108405004411092,-1.6511794360470065,-0.975086902483599,0.8628258477084426,1.0995186167336655,0.3552788224986386,1.026034077721184,0.8735866880507613,0.48039103508889747,0.9099971692495652,0.9214662682787895,-0.7216663686952933,0.22418262773928002,0.3469240582855894,-0.6080243649650597,-0.859178718105201,0.21297195374410513,1.6539588722243872,1.6556755697889565,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.409392290309044,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,-0.10963191368087526,0.04771678373305899
1068,995006,-1.590147017962806,-1.70660866513345,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,1.5103816812421154,-1.0413348590219005,3.541100098922598,2.7069257530912414,-0.20304100939653105,-0.2294810795863304,1.3992712313361755,-2.178246004284592,-1.5649863816982177,-1.9959404616461234,0.9570528514441412,0.9740541203521136,0.8582125129965574,1.1168746338052076,1.0139953618386799,0.42097822822374714,0.9725413561727436,0.9926668562099098,-0.8195479448113568,0.12304608975444689,0.33033385962930223,-0.6433294704681674,-1.1805937456732347,0.008370093209143023,1.5368904779065957,1.5490767275015456,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.581117434706318,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,-0.48522031294734796,0.04741748731164575
1240,996004,-1.343308057419058,-1.684922638141109,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,0.7633020282056053,-0.9291217851237373,3.2204279569971295,2.5096323761462505,-0.1395859919275266,0.18530521804641537,0.4872779034774494,-2.091748722839834,-1.6412519219407609,-1.1665153805257966,0.9444520744607484,1.0755140181200475,0.3772733991507242,1.0251486362289604,0.8649460208072,0.5123868301231176,0.9007651410555525,0.9222538226488549,-0.6306362458000134,0.32892264148623857,0.4015386887866664,-0.5025016633600329,-0.955512961630109,0.36000018873713346,1.6057876853365056,1.5210360609075468,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.322379827795065,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,0.04560469686111967,0.04642386559637224
1302,997002,-1.4546960632511325,-1.7139740063578863,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,0.7633020282056053,-0.9291217851237373,3.2204279569971295,2.5096323761462505,-0.1395859919275266,0.18530521804641537,0.4872779034774494,-2.091748722839834,-1.6412519219407609,-1.1665153805257966,0.9444520744607484,1.0755140181200475,0.3772733991507242,1.0251486362289604,0.8649460208072,0.5123868301231176,0.9007651410555525,0.9222538226488549,-0.6306362458000134,0.32892264148623857,0.4015386887866664,-0.5025016633600329,-0.955512961630109,0.36000018873713346,1.6057876853365056,1.5210360609075468,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,4.322379827795065,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,0.04560469686111967,0.04609798009241006
1589,998001,-1.6126441963475704,-1.1402078495511405,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,0.2953763810176467,-0.8007398707648591,2.7474661639593125,2.0660555573048582,-0.054314112348590765,0.4513178689676049,-0.2962309804727439,-1.8374900267781156,-1.8011478791920106,-0.6692113737648273,1.0325306324655057,1.1154795165760623,-0.15945872532206265,0.9388120946021449,0.7138084603167691,0.6122001510235983,0.8351947299135398,0.8242045299174262,-0.22602003563738243,0.6022425002269131,0.5259734232704081,-0.1450141900106161,-0.8391393975032492,0.6481220362384179,1.6549490231526232,1.376206131568253,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,3.621788165965067,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,0.8119702008365925,0.04568888684486416
1638,999000,-1.5154272120971666,-1.8865403944212467,-0.4182197515513131,-0.8107121354543887,-1.4281611539765544,-0.2480689604464927,-0.7664424497776878,-0.9592495229936834,1.178381475704808,-1.6294979578294275,-1.3413970210419723,-0.874270870734855,0.2953763810176467,-0.8007398707648591,2.7474661639593125,2.0660555573048582,-0.054314112348590765,0.4513178689676049,-0.2962309804727439,-1.8374900267781156,-1.8011478791920106,-0.6692113737648273,1.0325306324655057,1.1154795165760623,-0.15508636315349014,0.9267050204649443,0.7118129940606986,0.6146099730810949,0.8351947299135398,0.8242045299174262,-0.21860961012572264,0.6022425002269131,0.5006244897977608,-0.131010819506752,-0.834230633342669,0.6438301481354247,1.6549490231526232,1.376206131568253,1.8758323497630645,2.0445454587609104,-0.6620181506428549,0.23426686685112372,-1.0187783804181298,0.5225819020318595,1.0952320163815221,-0.11217894655870797,-0.916545556413538,-0.7323984616799166,-1.5593180272557148,-1.3366900312785561,3.621788165965067,0.026779711252288386,-0.510580301859038,-0.4424150626531571,-1.352133361150821,-0.9341024928993596,-1.5274457564290125,-0.01456739987821917,-1.799851753884744,0.4858062293270608,-1.093634690668806,-0.026907640748581207,-1.108432108982053,-0.9300339372594304,-0.4935621487823986,0.8940811848192105,0.9439667098989449,0.8119702008365925,0.04533341140766922
