,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,Private galaxy capital flows (% of GGP),y
35,990025,-1.7168773257195693,-1.4945706912216847,-0.46916923653681414,-0.5605136248229144,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,0.06641951101459777,-1.068943303650705,2.640532392736886,2.7261661740487115,-0.07183536323164137,-0.36491041642639205,0.12638012820254654,-1.5762069262123377,-1.3755385711036296,-0.37595705471494817,0.32915527700439046,0.1827636863881569,0.5598546104833835,0.8154933313646952,-0.6540311300594445,0.7237011681838661,-0.10776587858162727,0.0044229936603778245,-0.789225013934193,0.5561247032442098,0.061277362718788,0.9626973685721228,-0.6019172037011196,0.5553205183723542,-0.32796525955431854,1.691515205542685,1.2157616594991312,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.4933259157815724,0.21611310390709845,-0.11895114557351666,-0.08849409486523918,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05314808676667526
338,991020,-1.467875913591431,-1.0192696656995643,0.19975159986947905,-0.21988488882720783,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-0.30371088477539465,-1.0639202506663232,2.292729095430174,2.3069996903563936,-0.06832955853911576,-0.15461341943493628,0.1145066182698288,-1.5032323186424859,-1.4072177934255412,-0.21551819008047524,0.4308343402289891,0.20312792021707335,0.6660657568759325,0.8924569096964718,-0.9955229657453963,0.7935019821504831,-0.13335067060956476,-0.2116252764706643,-0.8349038252750082,0.4138347513135422,0.00313006140949367,0.8746175467741694,-0.3785932935735874,0.5254197706209653,-0.5404400350920863,1.4545901706041064,1.1382936819013176,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.4028392818945488,0.21611310390709845,-0.11895114557351666,-0.08849409486523918,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05259119386061384
510,992016,-1.4676846683056899,-1.2044539453476977,-0.36755062578742,-0.5184530991485702,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-0.30371088477539465,-1.0639202506663232,2.292729095430174,2.3069996903563936,-0.06832955853911576,-0.15461341943493628,0.1145066182698288,-1.5032323186424859,-1.4072177934255412,-0.21551819008047524,0.4308343402289891,0.20312792021707335,0.5598546104833835,0.8154933313646952,-0.6540311300594445,0.7237011681838661,-0.13335067060956476,-0.2116252764706643,-0.789225013934193,0.4138347513135422,0.061277362718788,0.8746175467741694,-0.6019172037011196,0.5553205183723542,-0.32796525955431854,1.4545901706041064,1.1382936819013176,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.4028392818945488,0.21611310390709845,-0.11895114557351666,-0.08849409486523918,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05250231662129623
555,993012,-1.0103125083848137,-1.3285098758700575,-0.6950259142732763,-0.37315393862139246,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-0.7985005602554806,-1.1134819528157853,1.9188102621712073,2.073235486787049,-0.1448714320188277,0.27621413860462346,0.2653611232202601,-1.466089828155273,-1.474748965550421,-0.0002077617810549026,0.5152519333809019,0.24235530386835283,0.5598546104833835,0.8154933313646952,-0.6540311300594445,0.7237011681838661,-0.08268665320482108,-0.49705790239733055,-0.789225013934193,0.3342158297247815,0.061277362718788,0.8619611855053568,-0.6019172037011196,0.5553205183723542,-0.32796525955431854,1.3426416312107716,1.1470843759483251,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.4038816431549197,0.21611310390709845,-0.11895114557351666,-0.08849409486523918,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05216872522898086
894,994009,-1.2812576722943092,-1.1274046548105012,-0.02663605267700797,-0.21237021806669065,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-0.7985005602554806,-1.1134819528157853,1.9188102621712073,2.073235486787049,-0.1448714320188277,0.27621413860462346,0.2653611232202601,-1.466089828155273,-1.474748965550421,-0.0002077617810549026,0.5152519333809019,0.24235530386835283,0.36925922565002134,0.7010594439239342,-0.3824059166743773,0.6250564934423585,-0.08268665320482108,-0.49705790239733055,-0.7689331000340272,0.3342158297247815,0.1451146498423972,0.8619611855053568,-0.9256775486675316,0.6543408751024082,-0.009798085526782038,1.3426416312107716,1.1470843759483251,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.4038816431549197,0.21611310390709845,-0.11895114557351666,-0.08849409486523918,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05182726491150702
979,995006,-1.0075909736593902,-0.876736708235182,-0.16383658784970428,-0.09312814953884223,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-0.9643923129022491,-1.223823622867774,1.861534823447373,2.1695847369788432,-0.22491911019106525,0.5716712314856941,0.5035163905786251,-1.4601366434397978,-1.5290185077510838,0.25730891087158236,0.5210134432587386,0.3053492602984053,0.2328944277092014,0.591315100641837,-0.14669417391706271,0.5693095395561475,0.018894164930231692,-0.6442875198093193,-0.7865897445603274,0.35707739927230825,0.2127232792185166,0.9254727766050274,-1.1144122594063413,0.7406814156862993,0.15122773453299324,1.4249710641299835,1.237738394616649,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.4962213637270465,0.21611310390709845,0.022893078087130595,-0.0071701154007859725,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.0515502638345533
1163,996004,-1.2135148473044113,-0.921819409432015,0.0869659979600993,-0.019541342018987762,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-0.8619882907819352,-1.0703085730039639,1.8519076441590294,1.9004896245227985,-0.13159596672706603,0.17979191153178425,0.0941199801003541,-1.3296658261425203,-1.46241062374078,-0.04747324184743297,0.5534124157402129,0.223859579624631,0.21439476604426538,0.7170494823506605,-0.23653566136631501,0.601499554002649,-0.08631181011034121,-0.6086518255246909,-0.737767873664924,0.27212979682075017,0.15607384387924242,0.8229777936633722,-0.9883838131535101,0.45594804196315736,0.01690238261317389,1.2798152998301113,1.0722641493084346,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.1312056533567536,0.21611310390709845,-0.11895114557351666,-0.08849409486523918,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05076554110557574
1387,997002,-0.8141936771090353,-0.875891611310959,0.20210202550281237,0.0031543493525642238,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-0.8619882907819352,-1.0703085730039639,1.8519076441590294,1.9004896245227985,-0.13159596672706603,0.17979191153178425,0.0941199801003541,-1.3296658261425203,-1.46241062374078,-0.04747324184743297,0.5534124157402129,0.223859579624631,0.21439476604426538,0.7170494823506605,-0.23653566136631501,0.601499554002649,-0.08631181011034121,-0.6086518255246909,-0.737767873664924,0.27212979682075017,0.15607384387924242,0.8229777936633722,-0.9883838131535101,0.45594804196315736,0.01690238261317389,1.2798152998301113,1.0722641493084346,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,2.1312056533567536,0.21611310390709845,-0.11895114557351666,-0.08849409486523918,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05047229443825585
1524,998001,-0.5360742824145264,-1.224973279172439,0.08272335441979879,-0.013059635569913691,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-1.1254117075897212,-0.8799217615334293,1.5690091121392116,1.1420861717486306,-0.03769227914722926,-0.3933809682066792,-0.2906032599271756,-1.1154778652910757,-1.2883447407558637,-0.3357826863909184,0.7827040178693467,0.1327108031082958,0.1656564037107203,0.910687203545858,-0.25267982488206947,0.5776079918659572,-0.17357264895485472,-0.6680288529297989,-0.64898149527323,0.15662204139107203,0.08171944063263441,0.6736634943787608,-0.7946583982537395,-0.09703436186739105,-0.18952971950868933,1.1141949429523448,0.7165070210214216,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,1.7825164071843844,0.21611310390709845,-0.2685847029729302,-0.18118382049091752,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.05009479351542456
1717,999000,-0.9674376278866323,-0.8977294806471734,-0.0037879222573678675,-0.0638956169040587,-0.3903698906758912,-0.9843479458931235,-0.48329722817862086,-0.441268728138254,0.48765816405321416,-1.5702824554840646,-0.9879821091716589,-1.0427740829136867,-1.1254117075897212,-0.8799217615334293,1.5690091121392116,1.1420861717486306,-0.03769227914722926,-0.3933809682066792,-0.2906032599271756,-1.1154778652910757,-1.2883447407558637,-0.3357826863909184,0.7827040178693467,0.1327108031082958,0.1644906222015607,0.9109009579994932,-0.2468756574713188,0.5820426996350088,-0.17357264895485472,-0.6680288529297989,-0.6205404405586583,0.15662204139107203,0.03209266640844091,0.6736634943787608,-0.8127346518234275,-0.062091793225204445,-0.19767050227726451,1.1141949429523448,0.7165070210214216,1.9763778329105455,2.3469913313415227,-0.383854201518534,0.6951581851141825,-0.24587727435815934,1.3890184097581453,0.7802716999845338,6.5654664398271185,-0.7727729836953969,-0.7682045923211143,-0.14062737298653802,-0.042375255460645,1.7825164071843844,0.21611310390709845,-0.2685847029729302,-0.18118382049091752,-1.2149052506279745,-0.8391971668771131,0.2340268362201512,-0.017794738570445997,-0.8803646409089788,-0.4380282867910831,2.178784189449596,-1.0221579841416863,-0.5097641617315225,-1.3400468051889418,-0.7529005981557387,-0.5980053450279076,-0.8650713124098276,0.5100744714752012,0.5558216452886614,0.1608201893000662,2.6292477151734124,0.04976923537587363
