,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),y
67,990025,-0.23298958157519226,-0.9528570691864926,-0.20746514110054567,-0.05955453825656947,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.9268612460597587,-1.0038652683576474,-0.09357379727692593,0.8567324941205107,1.493666529842611,-0.058561866786684486,-0.626303137991724,0.011533532714257728,-0.9504963342565699,-0.9749423956645968,0.19965658274319492,0.6453190560156153,-0.46147914742482654,-0.883422125368911,-0.16478854692958925,-0.5875703879070135,-0.09560592578340789,-0.20472737709406283,0.25344279265725106,-0.6053240375227837,0.1887991558615128,0.003908404829141527,-0.7922602729238154,-0.2541940261363341,-0.9923645029092178,-0.5246955562308121,0.23637976741721978,0.5355706974090597,-0.12550103679011249,-0.320594793168498,-0.302314569641367,0.07381229234520033,1.2779874109947336,1.35227564077866,0.6815457054567385,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,0.28170047846097623,-0.5778375075371636,0.15269062331274358,-0.32980067127848417,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.825914585274524,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.0543737044840209
277,991020,-0.5275927576335687,-0.4008120517968589,-0.5415256914610008,-0.06887153126166559,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.4500023455830777,-0.8124719893491769,-0.11186247941738726,0.9397424236544785,1.3590121276398686,-0.13469049385853904,-0.8400977803161696,0.09558382103918824,-0.9199337220607708,-0.7953933183101881,-0.1687495627846867,0.6113364497557264,-0.5008943563919067,-0.8649541505519848,-0.22865039295150644,-1.0101932841750536,-0.2928182730465665,-0.1737408441768867,0.26899021291421465,-0.645103854781115,0.07293679857414313,0.017070987132974256,-0.6873996581685811,-0.04712565458341143,-0.9928730590005137,-0.708447970191962,0.2519504301533494,0.6272985232926218,-0.12550103679011249,-0.320594793168498,-0.3174337431827749,0.11646386522176033,1.2779874109947336,1.35227564077866,0.6815457054567385,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,0.10295763466886314,-0.6212944570200065,0.15269062331274358,-0.32980067127848417,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.825914585274524,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.053371729333189684
435,992016,-0.828964399678432,-0.4445265237202036,-0.2947664006314594,-0.22668424408506674,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.4500023455830777,-0.8124719893491769,-0.11186247941738726,0.9397424236544785,1.3590121276398686,-0.13469049385853904,-0.8400977803161696,0.09558382103918824,-0.9199337220607708,-0.7953933183101881,-0.1687495627846867,0.6113364497557264,-0.5008943563919067,-0.883422125368911,-0.16478854692958925,-0.5875703879070135,-0.09560592578340789,-0.1737408441768867,0.26899021291421465,-0.6053240375227837,0.07293679857414313,0.003908404829141527,-0.6873996581685811,-0.2541940261363341,-0.9923645029092178,-0.5246955562308121,0.2519504301533494,0.6272985232926218,-0.12550103679011249,-0.320594793168498,-0.3174337431827749,0.11646386522176033,1.2779874109947336,1.35227564077866,0.6815457054567385,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,0.10295763466886314,-0.6212944570200065,0.15269062331274358,-0.32980067127848417,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.825914585274524,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.05314060446223301
695,993012,-0.4981444336126939,-0.6083166413506977,-0.5306549264125456,-0.5712251402727883,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.4500023455830777,-0.6800326791505478,-0.13329084079447587,1.2286990920817649,1.2472482728795338,-0.4057772717148231,-1.040622028572525,0.3193601049913616,-0.879474100009305,-0.583466049622844,-0.5473537251870206,0.5703721779904892,-0.5533787140551025,-0.883422125368911,-0.16478854692958925,-0.5875703879070135,-0.09560592578340789,-0.12923910207336106,0.32002443071027875,-0.6053240375227837,-0.0924439220742447,0.003908404829141527,-0.5489570716631594,-0.2541940261363341,-0.9923645029092178,-0.5246955562308121,0.27360860955221267,0.7601752739241797,-0.12550103679011249,-0.320594793168498,-0.44986461764102204,0.24946301474187416,1.2779874109947336,1.35227564077866,0.6815457054567385,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,-0.09504189604388133,-0.7009321428837879,0.15269062331274358,-0.32980067127848417,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.825914585274524,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.052785217543688034
825,994009,-0.40685187774692166,-0.26610177913411526,0.10182881515367379,-0.2574035478407351,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.4500023455830777,-0.6800326791505478,-0.13329084079447587,1.2286990920817649,1.2472482728795338,-0.4057772717148231,-1.040622028572525,0.3193601049913616,-0.879474100009305,-0.583466049622844,-0.5473537251870206,0.5703721779904892,-0.5533787140551025,-0.8577533303917021,-0.04478817178670211,-0.17675979474122602,0.08440635462827512,-0.12923910207336106,0.32002443071027875,-0.5568351469844297,-0.0924439220742447,0.0025809526122501066,-0.5489570716631594,-0.48922613936288184,-1.0089404641158137,-0.015040151975767196,0.27360860955221267,0.7601752739241797,-0.12550103679011249,-0.320594793168498,-0.44986461764102204,0.24946301474187416,1.2779874109947336,1.35227564077866,0.6815457054567385,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,-0.09504189604388133,-0.7009321428837879,0.15269062331274358,-0.32980067127848417,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.825914585274524,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.05242095411748249
1008,995006,-0.520377695496107,-0.5661696292806273,-0.16896734538707434,-0.36018269985782925,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.4500023455830777,-0.6727669928610758,-0.1422746185884908,1.4848991646146088,1.214256892941774,-0.5798825934333846,-1.1833149387038204,0.47773412428128537,-0.7665889612953619,-0.44512422394623813,-1.1525011401222844,0.5477850756221938,-0.6071614554113114,-0.8007821631089623,0.05706478596013,0.130947252396579,0.23662961051720727,-0.11572389288701154,0.347950603390703,-0.5396932231759975,-0.22465264575945668,0.013577691825365253,-0.4776180308660388,-0.7383965758379653,-1.0389173956855038,0.11357687538069118,0.2905252159143778,0.867762573987956,-0.0434874924881683,-0.5926572495154404,-0.5569893282149199,0.390476934059757,1.502982418814223,1.844725401268683,0.8040611893626459,5.07461192407079,0.6974455413823082,0.616984190749125,-0.4069588512876068,-0.5546124642421737,-0.16829845497707951,-0.7674510453080721,0.4515544963164872,-0.3380416755774341,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.9729572504321393,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.052120748640341434
1205,996004,-0.819601793834732,-0.40719091324221945,0.20882436675229057,-0.4166325944612463,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.0880933913211492,-0.4623599946708208,-0.12369670923950885,1.2096393348049088,1.1989843372399624,-0.3938502330204777,-1.1887217357294124,0.2761611407451255,-0.9195794910787357,-0.5098806066121064,-0.6949548076074354,0.5370067192418331,-0.5796726603278842,-0.8753296761677578,-0.03834032420998993,0.01408633024655762,0.14132409421953854,-0.12097057551103801,0.3214043011706152,-0.5332763677279204,-0.08615838281279248,-0.025583083533693523,-0.5241066226462822,-0.48591770461712935,-0.9334984060037282,0.04588980566656353,0.3050311900925724,0.7738976793338713,-0.12550103679011249,-0.320594793168498,-0.4088383722383356,0.24567503558470996,1.2779874109947336,1.35227564077866,0.6815457054567385,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,-0.14737735835360846,-0.6687834930535794,0.15269062331274358,-0.32980067127848417,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.825914585274524,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.05095440668986861
1346,997002,-0.6729987760927799,-0.32950507151935676,-0.17892911541860596,-0.3010639558896986,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,1.0880933913211492,-0.4623599946708208,-0.12369670923950885,1.2096393348049088,1.1989843372399624,-0.3938502330204777,-1.1887217357294124,0.2761611407451255,-0.9195794910787357,-0.5098806066121064,-0.6949548076074354,0.5370067192418331,-0.5796726603278842,-0.8753296761677578,-0.03834032420998993,0.01408633024655762,0.14132409421953854,-0.12097057551103801,0.3214043011706152,-0.5332763677279204,-0.08615838281279248,-0.025583083533693523,-0.5241066226462822,-0.48591770461712935,-0.9334984060037282,0.04588980566656353,0.3050311900925724,0.7738976793338713,-0.12550103679011249,-0.320594793168498,-0.4088383722383356,0.24567503558470996,1.2779874109947336,1.35227564077866,0.43247358908361905,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,-0.14737735835360846,-0.6687834930535794,0.15269062331274358,-0.32980067127848417,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.825914585274524,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.0506298760802919
1593,998001,-0.8914114301333843,-0.3142672932873675,-0.11165866754512106,-0.44039043515686827,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,0.8422391115135253,-0.08787303131629604,-0.08390948757445713,0.8435483064184541,1.1019199740915742,-0.1711298758133742,-1.3024729208502512,-0.09484730171730688,-0.9941819950330681,-0.455297479581217,-0.500408833585363,0.484178649051138,-0.5592997450837227,-1.0324585530004307,-0.1294107916310501,0.19378386557718308,0.07531352999455518,-0.09952221962050814,0.28009604818484596,-0.5068724952325417,0.08295196364698136,-0.07539310385782018,-0.5728516420207765,-0.172660303714307,-0.6747198060609663,0.1271490740223642,0.3586992577909575,0.6910620461932723,-0.27469222322338194,0.12820606201306176,-0.07798898243217472,-0.01400375687445937,1.1359623462724486,0.6474272638388392,0.5096991927895649,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,-0.19051771833480544,-0.46037677191855336,-0.35592437617700495,-0.33396352502509,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.6617161334413656,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.05022358641765812
1737,999000,-0.39656849288098683,-0.5761165243365229,-0.31698361344522646,0.039738972935743626,-0.6197300322923364,0.2469376970489618,-0.00710755716449136,0.04590046968081926,0.2601493533656382,-0.09141967593146783,0.08127755947752363,0.6466887945679096,-0.08787303131629604,-0.08390948757445713,0.8435483064184541,1.1019199740915742,-0.1711298758133742,-1.3024729208502512,-0.09484730171730688,-0.9941819950330681,-0.455297479581217,-0.500408833585363,0.484178649051138,-0.5592997450837227,-0.9775190155562907,-0.13113188841005322,0.4058383323609555,0.09946207729076569,-0.09952221962050814,0.28009604818484596,-0.4823119467980371,0.08295196364698136,-0.07691751211007979,-0.5728516420207765,-0.1210696628387968,-0.6746540298236953,0.194425290643946,0.3586992577909575,0.6910620461932723,-0.27469222322338194,0.12820606201306176,-0.07798898243217472,-0.01400375687445937,1.1359623462724486,0.6474272638388392,0.6184268232568099,5.07461192407079,0.6974455413823081,0.6169841907491252,-0.4069588512876068,-0.5546124642421737,-0.19051771833480544,-0.46037677191855336,-0.35592437617700495,-0.33396352502509,0.15598775802001463,1.325766843765581,-0.5094805955364036,-0.6617161334413656,-1.0760340603938665,0.08509016765647633,-1.3151892379246042,-0.5250742000671648,0.15432146920512657,0.04987230558562461
