,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Adjusted net savings ,Private galaxy capital flows (% of GGP),y
24,990025,0.17758882934062348,0.07498817056752743,-0.5116926957661037,-0.5265632010307698,-0.3509532331291659,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,-0.511702968884678,-0.25016381127868603,-0.3722829316252807,0.013714769634703337,0.4337723361343253,-1.5482735722300482,0.4227632050856096,-0.20814673901449493,-0.10576733438614776,0.6474881333517729,0.4352802220834575,0.5130184002547568,-0.10193959234442664,-0.19291951204151975,1.6714784393593494,0.24363866242128754,-0.18870276648345397,-0.5603690402343352,0.12496330456313794,0.8886511660448103,-0.3397268867569603,1.153752542966625,-0.5480756506017932,0.2806661436125889,1.0874777324888363,-0.0721986177628792,-0.21657180358990707,-1.091699697017351,-0.11701821222875539,-0.6762203363938927,-0.12946219538924206,-0.06467458624386832,1.2577917982627516,-0.4374828115037336,-0.6029332119196319,-0.20622436886013726,-0.1817141784947009,-0.13005667539965823,-0.46330241639180314,-0.3634962912239188,-0.44661283088245296,-0.3056206023964864,-0.3179166454579656,0.5655079928659558,1.2771078100490592,0.22313090546540879,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.05045961743956817
246,991020,0.387394213147031,-0.5021424877433688,-0.3907700781987689,-0.04642961432928909,-0.34038281360146,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,-0.32496000916114537,-0.3113739589171868,-0.33848493000910546,0.11016405813312213,0.33888663729302076,-0.8730532142644362,0.23088201722537924,0.011597430556222421,-0.07495488044824726,0.5032940825705455,0.3536891711666657,0.46629063991891256,-0.0800287655363728,-0.17661153986450917,1.477901696379743,0.4002064132390718,-0.08673074144760712,-0.3761818272509705,0.16861929165999548,0.7774141899127429,-0.2902481104127054,1.0003847801838606,-0.606249309087123,0.31576861843577075,0.7936434935170675,0.007319941518724991,-0.12604193309845557,-0.8797250473689937,-0.19672105275081703,-0.5520503461404398,-0.0023476754886056794,0.34551322522241035,0.9045749538002308,-0.4374828115037336,-0.5700166609922294,-0.20622436886013726,-0.1817141784947009,-0.16433181630935514,-0.46155553568756774,-0.3634962912239188,-0.44661283088245296,-0.3056206023964864,-0.20577288035022548,0.5655079928659558,1.0108616770371264,0.22313090546540879,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.04960425030647386
398,992016,0.3717729278467371,0.10771326577639193,-0.5763076655640261,-0.38806765190779063,-0.10545388644990862,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,-0.32496000916114537,-0.3113739589171868,-0.33848493000910546,0.11016405813312213,0.33888663729302076,-0.8730532142644362,0.23088201722537924,0.011597430556222421,-0.07495488044824726,0.5032940825705455,0.3536891711666657,0.46629063991891256,-0.10193959234442664,-0.19291951204151975,1.6714784393593494,0.24363866242128754,-0.08673074144760712,-0.3761818272509705,0.12496330456313794,0.7774141899127429,-0.3397268867569603,1.0003847801838606,-0.5480756506017932,0.2806661436125889,1.0874777324888363,0.007319941518724991,-0.12604193309845557,-0.8797250473689937,-0.19672105275081703,-0.5520503461404398,-0.0023476754886056794,0.34551322522241035,0.9045749538002308,-0.4374828115037336,-0.5700166609922294,-0.20622436886013726,-0.1817141784947009,-0.16433181630935514,-0.46155553568756774,-0.3634962912239188,-0.44661283088245296,-0.3056206023964864,-0.20577288035022548,0.5655079928659558,1.0108616770371264,0.22313090546540879,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.049545362578488406
556,993012,-0.21864559040160159,0.021958969677096853,-0.6984781027198732,-0.22302685887417492,-0.10112186939554188,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,-0.13862455378697616,-0.34391957400443174,-0.31807307525947254,0.21780686901370416,0.2387926530418104,-0.0974870528070262,-0.1956243296428083,0.26465993476043537,-0.041502179943858686,0.36446469017685373,0.37909630415178713,0.3544603533454076,-0.10193959234442664,-0.19291951204151975,1.6714784393593494,0.24363866242128754,-0.0010227128775163515,-0.21459883800431478,0.12496330456313794,0.6619826589309779,-0.3397268867569603,0.7539651194550514,-0.5480756506017932,0.2806661436125889,1.0874777324888363,0.07746204291303763,-0.03309805589067808,-0.6211143636741655,-0.2798579073847659,-0.22279649600728768,0.20249976105403406,0.8851684442933618,0.6470011644155966,-0.4374828115037336,-0.5645307138201555,-0.20622436886013726,-0.1817141784947009,-0.055018528136530714,-0.468213944684009,-0.3634962912239188,-0.44661283088245296,-0.3056206023964864,-0.08800713490886308,0.5655079928659558,0.5034664512477027,0.22313090546540879,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.04919203187650967
805,994009,0.2573372589013902,-0.1409959410098792,0.6786970822908979,-0.1833633006401088,0.1366215623299429,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,-0.13862455378697616,-0.34391957400443174,-0.31807307525947254,0.21780686901370416,0.2387926530418104,-0.0974870528070262,-0.1956243296428083,0.26465993476043537,-0.041502179943858686,0.36446469017685373,0.37909630415178713,0.3544603533454076,-0.21485850823984973,-0.17936574949388992,1.9016517302643765,0.038851387931397634,-0.0010227128775163515,-0.21459883800431478,0.10717072333658502,0.6619826589309779,-0.4102510344976747,0.7539651194550514,-0.4614451299294351,0.1417915237257643,1.2857183465818225,0.07746204291303763,-0.03309805589067808,-0.6211143636741655,-0.2798579073847659,-0.22279649600728768,0.20249976105403406,0.8851684442933618,0.6470011644155966,-0.4374828115037336,-0.5645307138201555,-0.20622436886013726,-0.1817141784947009,-0.055018528136530714,-0.468213944684009,-0.3634962912239188,-0.44661283088245296,-0.3056206023964864,-0.08800713490886308,0.5655079928659558,0.5034664512477027,0.22313090546540879,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.0488267984940467
973,995006,-0.019875384133586485,-0.09258048699072359,-0.48404514291298606,-0.02192130945791625,-0.30833095386903075,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,-0.0680471227557042,-0.32765337101022163,-0.3279093343434695,0.31272257763632005,0.18353737550629953,0.7328033732329243,-0.5044245054974068,0.4948046615527638,-0.02213558312517628,0.30041465236754283,0.510007083804403,0.23344268382099498,-0.2891378690464158,-0.1458075340744415,2.0010228120729865,-0.026433741948198586,0.07913482279808,-0.2611412823701579,0.0944835365493583,0.503879396105594,-0.4258714714525402,0.5937078594920574,-0.41792209023416976,-0.014885238437621425,1.3443118659975846,0.12264055277687806,0.056792541138850246,-0.4451729877802823,-0.32486034881362713,-0.04303985536860047,0.4730302650302865,1.4343676889532195,0.6138573248011654,-0.33749991407105606,-0.5892183439894464,-0.38992694117512106,-0.2690582217888524,0.13021305834516173,-0.48410994450568173,-0.3935445015051446,-0.432849796579741,-0.4771880954637278,-0.03752201345472218,0.5655079928659558,0.1239368423458244,0.21917278023788153,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.04852308813105133
1198,996004,0.32944477079652174,0.2647191826375235,-0.22876432733314833,-0.3952680804148873,0.26048726748645373,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,0.08902864456940071,-0.4859617516808731,-0.23499546806009616,0.20381496603600005,0.2239972103795779,0.16258809213861003,-0.1464367127514542,0.2673735608918929,-0.049636034522087334,0.3355532910065279,0.33969111832445215,0.3803234235846783,-0.20306038213006225,-0.22676761662714356,1.976937831413654,-0.0005931212251650398,0.051436858078133536,-0.1926088856725145,0.07937704336374346,0.6590252285500301,-0.41994224741877934,0.7122596342075436,-0.36797411836657834,0.2104681146791011,1.4054149032290897,0.1612946327422872,0.014839299771272397,-0.43428846574181834,-0.30137951990861034,-0.16183352723553734,0.1718675946772067,1.2390392166255986,0.39159555646930555,-0.4374828115037336,-0.2867142372482871,-0.20622436886013726,-0.1817141784947009,-0.20964613845695587,-0.45653045015750765,-0.3634962912239188,-0.44661283088245296,-0.3056206023964864,-0.018063258779592112,0.5655079928659558,0.3065887158656854,0.22313090546540879,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.047612489965271454
1353,997002,0.015622275665079998,0.16016548740487016,0.019087839351147787,0.1439771828330124,0.19097715124635217,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,0.08902864456940071,-0.4859617516808731,-0.23499546806009616,0.20381496603600005,0.2239972103795779,0.16258809213861003,-0.1464367127514542,0.2673735608918929,-0.049636034522087334,0.3355532910065279,0.33969111832445215,0.3803234235846783,-0.20306038213006225,-0.22676761662714356,1.976937831413654,-0.0005931212251650398,0.051436858078133536,-0.1926088856725145,0.07937704336374346,0.6590252285500301,-0.41994224741877934,0.7122596342075436,-0.36797411836657834,0.2104681146791011,1.4054149032290897,0.1612946327422872,0.014839299771272397,-0.43428846574181834,-0.30137951990861034,-0.16183352723553734,0.1718675946772067,1.2390392166255986,0.39159555646930555,-0.6302797247961843,-0.2867142372482871,-0.20622436886013726,-0.1817141784947009,-0.20964613845695587,-0.45653045015750765,-0.3634962912239188,-0.44661283088245296,-0.3056206023964864,-0.018063258779592112,0.5655079928659558,0.3065887158656854,0.22313090546540879,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.047281260491838895
1560,998001,0.29386093917613165,0.5007487964432082,-0.0051841603927299555,-0.1757692790776029,0.4464854265097699,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,0.34894122342493744,-0.7219927528878941,-0.04991490063788231,-0.0518010207352501,0.27031037072498426,0.2398493704259509,0.4179131234988865,0.03681686569211283,-0.09641838047318646,0.3174546546336441,0.04852406485543483,0.5463170139012954,-0.0974430662984218,-0.35759388677630477,2.024898839266993,0.013572706768358143,0.10519751864829976,-0.027459770773067202,0.05745339874387719,0.7309131011130527,-0.40058663150438467,0.8382208948427475,-0.23962131244436674,0.5174741003838421,1.5271377160862196,0.2711151489128018,-0.004022109781499261,-0.3229789180552033,-0.31236970813366305,-0.19887062630929098,-0.10862302578098797,1.2673537340386307,-0.01530605167905734,-0.5262904741499093,0.1352097795363587,0.0613126673064251,-0.06332385623312997,-0.5451547919818767,-0.41653459415361027,-0.4004562118100041,-0.6279965395996637,-0.1032629715515881,0.0842577831445741,0.5655079928659558,0.3246272970728954,0.2530699193948635,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.0468681343854811
1688,999000,0.044632770971401184,-0.34559971441277876,0.21667176372583197,0.42770676492548887,0.12145041192945732,0.2680234279707606,0.05504620250945398,0.4526328946689693,-0.2571195087373788,0.07974859424448569,-0.2059340860956376,0.14111100114014388,0.34894122342493744,-0.7219927528878941,-0.04991490063788231,-0.0518010207352501,0.27031037072498426,0.2398493704259509,0.4179131234988865,0.03681686569211283,-0.09641838047318646,0.3174546546336441,0.04852406485543483,0.5463170139012954,-0.10340500873627198,-0.35968143723148005,2.0301880968558215,-0.03315425725864398,0.10519751864829976,-0.027459770773067202,0.05115704486033537,0.7309131011130527,-0.40058663150438467,0.8382208948427475,-0.18614540102910287,0.4782958628395433,1.5271377160862196,0.2711151489128018,-0.004022109781499261,-0.3229789180552033,-0.31236970813366305,-0.19887062630929098,-0.10862302578098797,1.2673537340386307,-0.01530605167905734,-0.46651072289774703,0.1352097795363587,0.0613126673064251,-0.06332385623312997,-0.5451547919818767,-0.41653459415361027,-0.4004562118100041,-0.6279965395996637,-0.1032629715515881,0.0842577831445741,0.5655079928659558,0.3246272970728954,0.2530699193948635,1.174242968032777,-0.9536590196422704,-0.8479102288971112,-0.274612703423107,-0.7118366650737525,-1.0530330461386106,-1.052541450188743,0.04651021467123795
