,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)","Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Private galaxy capital flows (% of GGP),y
59,990025,0.2679072547462051,-0.4874116742054554,-0.7367479054112602,-0.7503239049883199,-0.06632975851608769,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.3498267350155495,-1.1686536369012586,0.3399939568688363,0.04116358884787083,-0.09996919896169837,-0.8132702079051406,0.3398116658316177,0.06208857869186111,-0.480582728185028,0.07529906024473292,-0.44882960220597373,0.7859012468563161,0.6458378178482135,0.24556298052549977,-0.1767764391670198,1.1075430515938374,-0.20624474501391515,-1.1494282888484784,-1.8686635312605668,-0.043268952829872885,-0.23289524006113982,-1.321968801265321,-0.7963360058453642,-2.447671052949768,0.14862929100648542,0.37952193656666816,-0.005545933854165854,-0.4002769461694708,0.5098246621881241,-0.3447028216233325,-0.5162557389233203,-0.6105097740219487,-1.0684192892068705,0.11748090792208211,-0.09441889056339106,0.22300594435571156,-0.5932957950055955,-0.5918573955401828,-0.05552933667106044,0.0573737229899526,-0.2654353931586659,-0.2897144427697813,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,1.35948869729208,2.29948837609997,0.1237739321774481,0.7443928483037577,-0.39362965764019614,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.30757267375039565,0.07328648098462276
299,991020,-0.4884677066900757,-0.09771855039285576,-0.32618000270663766,-1.1910374571530178,-0.06632975851608769,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.3498267350155495,-0.8213541001770911,0.3978316554602581,0.024345293593453415,-0.010391065115948001,-0.5992498691000654,-0.04707137601852501,-0.10191360973639792,-0.25445542551317,-0.032259871359315705,-0.2644074809977422,0.8932182212769493,0.6556185665432865,0.1032996039518992,-0.047287063452945415,1.064743830349908,-0.11512464446139202,-1.2886433795675574,-2.10012495294248,0.22651792755155908,-0.2975247124771764,-1.0089237856322115,-0.8048752759178293,-2.536037831504454,0.14826662245719843,0.3128432321011492,-0.13639798217525656,-0.33725937753612606,0.5098246621881241,-0.3447028216233325,-0.5162557389233203,-0.6105097740219487,-1.0684192892068705,0.11748090792208211,-0.09441889056339106,0.22300594435571156,-0.5932957950055955,-0.5918573955401828,-0.27737253036086096,0.12196328221306786,-0.2654353931586659,-0.2897144427697813,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,1.35948869729208,2.29948837609997,0.1237739321774481,0.7443928483037577,-0.39362965764019614,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.30757267375039565,0.07330848112341848
368,992016,-0.4609027045325868,-0.018160761765555644,-0.29608928329312306,-0.6241385261130292,-0.06632975851608769,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.3498267350155495,-0.8213541001770911,0.3978316554602581,0.024345293593453415,-0.010391065115948001,-0.5992498691000654,-0.04707137601852501,-0.10191360973639792,-0.25445542551317,-0.032259871359315705,-0.2644074809977422,0.8932182212769493,0.6556185665432865,0.24556298052549977,-0.1767764391670198,1.1075430515938374,-0.20624474501391515,-1.2886433795675574,-2.10012495294248,-0.043268952829872885,-0.2975247124771764,-1.321968801265321,-0.8048752759178293,-2.447671052949768,0.14862929100648542,0.37952193656666816,-0.13639798217525656,-0.33725937753612606,0.5098246621881241,-0.3447028216233325,-0.5162557389233203,-0.6105097740219487,-1.0684192892068705,0.11748090792208211,-0.09441889056339106,0.22300594435571156,-0.5932957950055955,-0.5918573955401828,-0.27737253036086096,0.12196328221306786,-0.2654353931586659,-0.2897144427697813,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,1.35948869729208,2.29948837609997,0.1237739321774481,0.7443928483037577,-0.39362965764019614,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.30757267375039565,0.07325804617015652
603,993012,-0.18234651835855586,0.06363340865632724,-1.4738638285016037,-1.2236470585911692,-0.06632975851608769,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.3498267350155495,-0.48137621291321486,0.5169966277086023,0.01536866115068293,0.09074574848903838,-0.4151503842924767,-0.526459226039395,-0.3224383203390511,-0.023948182559905145,-0.28587237831202167,-0.06867152991597894,1.0907987743571206,0.7476502609899316,0.24556298052549977,-0.1767764391670198,1.1075430515938374,-0.20624474501391515,-1.566355951554125,-2.3436991464126136,-0.043268952829872885,-0.39721799570092536,-1.321968801265321,-0.8147215929509375,-2.447671052949768,0.14862929100648542,0.37952193656666816,0.05210132955789667,-0.27235636672532465,0.5098246621881241,-0.3447028216233325,-0.5162557389233203,-0.6105097740219487,-1.0684192892068705,0.11748090792208211,-0.09441889056339106,0.22300594435571156,-0.5932957950055955,-0.5918573955401828,-0.5858333839458963,0.2129505766053941,-0.2654353931586659,-0.2897144427697813,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,1.35948869729208,2.29948837609997,0.1237739321774481,0.7443928483037577,-0.39362965764019614,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.30757267375039565,0.07296425707590415
729,994009,-0.07752630110468277,-0.023297963275687412,-0.5688124551884198,-0.3466962280701139,-0.06632975851608769,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.3498267350155495,-0.48137621291321486,0.5169966277086023,0.01536866115068293,0.09074574848903838,-0.4151503842924767,-0.526459226039395,-0.3224383203390511,-0.023948182559905145,-0.28587237831202167,-0.06867152991597894,1.0907987743571206,0.7476502609899316,0.4638037611623509,-0.2985732196895872,1.053571787443238,-0.45306718020986736,-1.566355951554125,-2.3436991464126136,-0.30061602432973145,-0.39721799570092536,-1.7134504929091805,-0.8147215929509375,-2.3244014603024596,0.31879280921075814,0.5117826112054956,0.05210132955789667,-0.27235636672532465,0.5098246621881241,-0.3447028216233325,-0.5162557389233203,-0.6105097740219487,-1.0684192892068705,0.11748090792208211,-0.09441889056339106,0.22300594435571156,-0.5932957950055955,-0.5918573955401828,-0.5858333839458963,0.2129505766053941,-0.2654353931586659,-0.2897144427697813,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,1.35948869729208,2.29948837609997,0.1237739321774481,0.7443928483037577,-0.39362965764019614,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.30757267375039565,0.072656952575744
1076,995006,0.04896785271563256,0.30658656422880964,0.5631051618236907,-0.27416376387439645,-0.026990108704528924,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.6989523562523152,-0.2739749862068471,0.5783239013655244,0.019790654460321994,0.14083273819303113,-0.30188275010628346,-0.8586579592205568,-0.4391039454050788,0.09568537919813389,-0.43192595366067926,0.06626500590392927,1.2563311351424395,0.8759170539648269,0.7451842528838151,-0.4055128885193203,0.8960836298792851,-0.6087695148532963,-1.7805932251815844,-2.545258513122047,-0.4507112079743853,-0.49524598538679515,-1.8599709413797345,-0.8168491663310067,-2.255879666396939,0.5181873142056173,0.6003664378377301,0.4228615928120912,-0.24574596804851523,0.9665634316597072,-0.4110924960962307,-0.5865661476407115,-0.6045615876752163,-1.2763080940158817,0.46436866046457875,-0.09441889056339106,0.22300594435571156,-0.680348640701459,-0.7255360635024761,-0.7260964096820064,0.32498341237914763,-0.21241570264509402,-0.27391193068080466,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,2.0538215276350766,2.208689225947037,0.1237739321774481,0.7443928483037577,-0.4612759674917746,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.28130959657327564,0.07240909003689701
1105,996004,0.17733179548781186,-0.31321765678360886,-0.3422517379943081,-0.47453007712725287,-0.32938283751624137,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.3498267350155495,-0.19618250334666215,0.48805267431662663,-0.011287088165461751,0.14504363238419965,-0.32048262266385175,-0.819569988653934,-0.5233744065069031,0.03134006713515404,-0.3144381290775693,0.2554184753565438,1.1186917454222922,0.7149024916941168,0.398964595727024,-0.33080824443642043,1.0715903835588414,-0.48947794407932266,-1.5681992662431503,-2.385598454635926,-0.30316026995228434,-0.4028863909982045,-1.7556350242901566,-0.8195684941359871,-2.29904909025985,0.15223061628795026,0.5665058784595883,-0.07744454485084883,-0.21289201757804996,0.5098246621881241,-0.3447028216233325,-0.5162557389233203,-0.6105097740219487,-1.0684192892068705,0.11748090792208211,-0.09441889056339106,0.22300594435571156,-0.5932957950055955,-0.5918573955401828,-0.6202321121775847,0.21820597550010132,-0.2654353931586659,-0.2897144427697813,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,1.35948869729208,2.29948837609997,0.1237739321774481,0.7443928483037577,-0.39362965764019614,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.30757267375039565,0.07211275090051761
1375,997002,0.15819804612059643,0.14940130978018576,-0.3090259996194103,-0.40503998487392956,0.060033429551191536,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.3498267350155495,-0.19618250334666215,0.48805267431662663,-0.011287088165461751,0.14504363238419965,-0.32048262266385175,-0.819569988653934,-0.5233744065069031,0.03134006713515404,-0.3144381290775693,0.2554184753565438,1.1186917454222922,0.7149024916941168,0.398964595727024,-0.33080824443642043,1.0715903835588414,-0.48947794407932266,-1.5681992662431503,-2.385598454635926,-0.30316026995228434,-0.4028863909982045,-1.7556350242901566,-0.8195684941359871,-2.29904909025985,0.15223061628795026,0.5665058784595883,-0.07744454485084883,-0.21289201757804996,0.5098246621881241,-0.3447028216233325,-0.5162557389233203,-0.6105097740219487,-1.0684192892068705,0.11748090792208211,-0.09441889056339106,0.22300594435571156,-0.5932957950055955,-0.5918573955401828,-0.6202321121775847,0.21820597550010132,-0.2654353931586659,-0.2897144427697813,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,1.35948869729208,2.29948837609997,0.1237739321774481,0.7443928483037577,-0.39362965764019614,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.30757267375039565,0.07183579103472715
1482,998001,0.24262871463156008,0.07167340871109124,-0.10873506670377421,-0.03796466079710643,0.03822974646116684,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.0202086196823812,0.005295105156149862,0.27686460620329134,-0.04436524271378599,0.1746561780119621,-0.24372162743499526,-1.091842856912936,-0.6964788017975415,0.034873530068685106,-0.1473000095508244,0.43290660738355785,1.0204353374253814,0.5446914362932701,0.024321344453663435,-0.2895919597687485,1.240419632421889,-0.3253499340301186,-1.3390457701443839,-2.1994169930894647,0.014252250956080506,-0.32878068877198535,-1.5558312665943996,-0.8220491765880076,-2.352599665289981,-0.252062718704228,0.547890959169504,-0.5938982362858958,-0.1446261339338327,0.022636134546362305,-0.22695768395940746,-0.43815249641941084,-0.780441067004366,-0.9885915453734969,-0.22017721598977094,-0.09441889056339106,0.22300594435571156,-0.4940110375571278,-0.4614996686286608,-0.5837763134481829,0.1086918924149972,-0.4361256584723948,-0.3246825008034744,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,0.9831611346845298,2.640956216058737,0.1237739321774481,0.7443928483037577,-0.10952037121100223,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.17325620542457135,0.07147284922551234
1666,999000,-0.025708320492542503,-0.12141930394095968,-0.3081887282861352,-0.549425608659986,0.07707507818835282,-0.16571604063000095,-0.08901428599840211,0.24254694878700406,0.261098226781506,1.0202086196823812,0.005295105156149862,0.27686460620329134,-0.04436524271378599,0.1746561780119621,-0.24372162743499526,-1.091842856912936,-0.6964788017975415,0.034873530068685106,-0.1473000095508244,0.43290660738355785,1.0204353374253814,0.5446914362932701,-0.11015354115950574,-0.27300969775611295,1.3676479901704384,-0.32814461071396317,-1.3390457701443839,-2.1994169930894647,0.025456001265338028,-0.32878068877198535,-1.596291467636718,-0.8220491765880076,-2.301157520096348,-0.23641950303223883,0.6054446580638233,-0.5938982362858958,-0.1446261339338327,0.022636134546362305,-0.22695768395940746,-0.43815249641941084,-0.780441067004366,-0.9885915453734969,-0.22017721598977094,-0.09441889056339106,0.22300594435571156,-0.4940110375571278,-0.4614996686286608,-0.5837763134481829,0.1086918924149972,-0.4361256584723948,-0.3246825008034744,0.21031163096822014,-0.11422045748636384,0.022532758812705736,0.0380865270413316,0.9831611346845298,2.640956216058737,0.1237739321774481,0.7443928483037577,-0.10952037121100223,-0.21195660891986512,-1.1356740849322953,-0.42458225088408036,0.0124262840025933,-0.4167839981421717,-1.4662492980574604,0.223217927292978,0.2446099110840713,0.17325620542457135,0.07116119472225924
