,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
85,990025,-0.3477039322098137,-0.5199668701426943,0.03215401277655086,0.3264480852851595,0.07797818252212443,-0.1624892267896696,-0.2774764930004801,-0.2049093537407348,-0.07007787091065429,-0.03730678544415003,-0.24788344530565432,-0.5871835666641063,0.10456093326184827,-0.24352405006621847,0.7281252175977373,0.43970697657995006,-0.13268064204762917,0.8337683031598796,-0.037170076532852314,-0.6973536355805354,-0.41839465469292497,-0.9936550738052387,0.5810783738015532,0.624875896900154,0.23412632216386633,-0.4506756921925922,2.9604518755642437,-0.5822162875520654,-0.49605656785671187,-0.5648396094331131,0.42096569543999757,-0.6372006807675519,-1.2537577183970787,-0.290207238371758,0.06175359708870554,0.0846310098957747,2.252045160380664,0.9876158519433266,0.9319918044380763,0.7416708203387046,1.3378693990459354,0.12155613669281284,0.5394698337841869,-0.07943493850337438,-0.9918451888621138,0.47707953427514854,0.02450665127186283,-0.11288181898156109,-0.5771746598571507,-0.4256248278240028,-0.10061255263007518,0.008869569684077984,-0.26882313640011307,-0.16600402113269686,-0.05126792904310924,-0.4726614831877622,0.2767025788384963,-0.35308986213258753,-0.5070725659144606,-0.20204054873062657,-0.5564491418896981,-0.41815224046819705,-0.5353414662509447,0.15551132146687735,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.21448698101981983,-0.281115012203371,0.35407911667312136,-0.588006606503713,0.07029287774170555,-1.4457411660732389,0.6430985062132998,0.561671388778226,-0.05257355342842993,0.05505241648630399
187,991020,-0.5340369017945477,-0.47478432997681663,-0.29557614277711614,0.3008029664119957,-0.031470720838741965,-0.28296559537893445,-0.4549921547320831,-0.1383670679933901,0.2729026345650011,-0.03730678544415003,-0.24788344530565432,-0.6795533021071687,-0.21390674711954166,-0.09568577279844305,0.6884954565063802,0.5466714717971597,-0.23493419711678099,0.7699855699674252,-0.18389736262599168,-0.8705799688570156,-0.5431454661689614,-0.817427716807243,0.5343022089499845,0.4846693480864895,0.38917386177944846,-0.3997848542673538,2.838138343492417,-0.5972090370335549,-0.5257694327215834,-0.5862568327843813,0.5278077432066023,-0.7128722842831394,-1.2231243703161172,-0.39790611051312674,0.13721742286952057,0.024872096232545386,2.145448784351562,1.0584406862919302,1.060380604463582,0.6613117922822882,1.1721697560333562,-0.016590266750205807,0.5135880114204356,-0.3670597389913553,-1.0528223721797811,0.47707953427514854,0.1128283249156578,-0.05215019211743392,-0.2902521298048304,-0.16836367115917322,-0.10128906310883988,0.0769982631357796,-0.31907612343371666,-0.16600402113269686,-0.05126792904310924,-0.4726614831877622,0.5830184955036388,-0.2566237626480673,-0.32145589778986455,-0.26198790110770986,-0.6085852418251233,-0.27734637071363205,-0.5353414662509447,0.21221011958672606,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.21448698101981983,-0.281115012203371,0.35407911667312136,-0.588006606503713,0.07029287774170555,-1.1954339234761948,1.1413516787127589,0.2815580544923422,-0.05257355342842993,0.054181281758913236
433,992016,-0.8386610296401484,-0.5432539035660551,-0.19271610349492294,0.03058145950579667,-0.253412332166155,0.006421741601609189,0.060715496307590766,0.20945064549713427,-0.2864373410956071,-0.03730678544415003,-0.24788344530565432,-0.6795533021071687,-0.21390674711954166,-0.09568577279844305,0.6884954565063802,0.5466714717971597,-0.23493419711678099,0.7699855699674252,-0.18389736262599168,-0.8705799688570156,-0.5431454661689614,-0.817427716807243,0.5343022089499845,0.4846693480864895,0.23412632216386633,-0.4506756921925922,2.9604518755642437,-0.5822162875520654,-0.5257694327215834,-0.5862568327843813,0.42096569543999757,-0.7128722842831394,-1.2537577183970787,-0.39790611051312674,0.06175359708870554,0.0846310098957747,2.252045160380664,1.0584406862919302,1.060380604463582,0.6613117922822882,1.1721697560333562,-0.016590266750205807,0.5135880114204356,-0.3670597389913553,-1.0528223721797811,0.47707953427514854,0.1128283249156578,-0.05215019211743392,-0.2902521298048304,-0.16836367115917322,-0.10128906310883988,0.0769982631357796,-0.31907612343371666,-0.16600402113269686,-0.05126792904310924,-0.4726614831877622,0.5830184955036388,-0.2566237626480673,-0.32145589778986455,-0.26198790110770986,-0.6085852418251233,-0.27734637071363205,-0.5353414662509447,0.21221011958672606,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.21448698101981983,-0.281115012203371,0.35407911667312136,-0.588006606503713,0.07029287774170555,-1.1954339234761948,1.1413516787127589,0.2815580544923422,-0.05257355342842993,0.0543655642725106
694,993012,-0.24741513653042568,-0.346325476178982,-0.1543820629401724,0.12247500459358036,0.425325378801814,-0.08474617451103801,0.3929580957072069,0.5195054652562046,-0.23036106385876062,-0.03730678544415003,-0.24788344530565432,-0.8552852365361444,-0.6867843271044747,0.041025639655236736,0.6227462042225388,0.5605762856383847,-0.4549948915743054,0.7592902492171894,-0.37924730016589386,-0.9612966635548108,-0.6826895471792058,-0.518796085362784,0.5216387491969493,0.3326804051534163,0.23412632216386633,-0.4506756921925922,2.9604518755642437,-0.5822162875520654,-0.5636896896359831,-0.6954649067552876,0.42096569543999757,-0.7380155377048203,-1.2537577183970787,-0.5419273984736033,0.06175359708870554,0.0846310098957747,2.252045160380664,1.122619752757549,1.1336823110699448,0.42196751412049066,1.0887367065875664,-0.02929246862510594,0.5965929392799503,-1.1211210660541342,-1.3993142703791563,0.47707953427514854,0.2986741708433193,0.031014454373427102,-0.04135360250163826,0.29446098666334686,-0.1526069946306038,0.10118219084404126,-0.4192111045177592,-0.16600402113269686,-0.05126792904310924,-0.4726614831877622,0.8962041678535667,-0.15760597817050775,-0.09530398535328648,-0.27131378332978423,-0.6776769986230932,-0.20482658583760555,-0.5353414662509447,0.3668290803230867,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.21448698101981983,-0.281115012203371,0.35407911667312136,-0.588006606503713,0.07029287774170555,-0.9544128329840721,1.6141014729171865,-0.38951798122438336,-0.05257355342842993,0.05419942432327018
828,994009,-0.6973990493232217,-0.6085826998914671,-0.8416539242154573,0.24193130221739645,0.4038373484640868,0.0171644248903571,-0.13679353233247102,0.24213580577360624,-0.18293944025663522,-0.03730678544415003,-0.24788344530565432,-0.8552852365361444,-0.6867843271044747,0.041025639655236736,0.6227462042225388,0.5605762856383847,-0.4549948915743054,0.7592902492171894,-0.37924730016589386,-0.9612966635548108,-0.6826895471792058,-0.518796085362784,0.5216387491969493,0.3326804051534163,0.05341221062508257,-0.565032479202589,3.066039390083491,-0.5608378738769912,-0.5636896896359831,-0.6954649067552876,0.343442357964006,-0.7380155377048203,-1.2832472350944273,-0.5419273984736033,-0.02798383503472942,-0.13134982115383023,2.266089298023473,1.122619752757549,1.1336823110699448,0.42196751412049066,1.0887367065875664,-0.02929246862510594,0.5965929392799503,-1.1211210660541342,-1.3993142703791563,0.47707953427514854,0.2986741708433193,0.031014454373427102,-0.04135360250163826,0.29446098666334686,-0.1526069946306038,0.10118219084404126,-0.4192111045177592,-0.16600402113269686,-0.05126792904310924,-0.4726614831877622,0.8962041678535667,-0.15760597817050775,-0.09530398535328648,-0.27131378332978423,-0.6776769986230932,-0.20482658583760555,-0.5353414662509447,0.3668290803230867,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.21448698101981983,-0.281115012203371,0.35407911667312136,-0.588006606503713,0.07029287774170555,-0.9544128329840721,1.6141014729171865,-0.38951798122438336,-0.05257355342842993,0.053936339945220624
947,995006,-0.6895979285785213,-0.5248331713413539,0.03255295036279115,0.07119335804333664,-0.16643108252976643,0.1909870355952614,-0.0010550521499583896,0.5035191129334503,-0.3569802996839812,-0.03730678544415003,-0.24788344530565432,-0.9865743267299601,-1.0776330167004835,0.15856833950342783,0.5454884056981775,0.4783314594722415,-0.5728020309626781,0.8139621536224053,-0.4811472073053577,-0.9493444541855216,-0.6974828167134134,-0.28262737988986,0.5459020967097888,0.2629974613452175,-0.06261141706751072,-0.6380281605381808,3.0781099673997923,-0.5409500536780965,-0.5908572101427105,-0.8130397775488089,0.26939661828663,-0.711151426125437,-1.2845608634355907,-0.6502604582729503,-0.11205322191779886,-0.4446514495274652,2.1844602778038094,1.1159739848745627,1.1356076561224204,0.29844067559463544,0.9902316930218114,0.08186175583374992,0.7700390778383934,-1.7932106818278708,-1.6334968521942905,0.38762745396686554,0.48912126609101597,0.08512924409191756,0.045071658400829176,0.4314578718473309,-0.25154764534114527,0.09524074007072678,-0.4774376803252016,-0.3288978692785923,-0.06155142319299317,-0.4726614831877622,1.0596667597133147,-0.07804046080603393,-0.03592274833825657,-0.225355254285813,-0.8032054161681607,-0.2048587555387074,-0.3639612283218914,0.5420587233077794,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.344527781181706,-0.14740513865904403,0.5976151222722573,-0.8367041800963578,-0.08277411658861936,-0.7762381369284542,1.6708154501359669,-0.9635014196688775,0.06247013181706197,0.05377447747039799
1203,996004,-0.7581403476673096,-0.6540358698439837,0.20603923215002534,0.03538351225254109,-0.09699048749815736,0.09062295060645703,-0.31785249184229303,0.27361228425151707,-0.06712861407040353,-0.03730678544415003,-0.24788344530565432,-0.8601597472758642,-0.7396074178798214,0.15205522685978198,0.6236634334334501,0.65723279314509,-0.4941136847822293,0.6326476753165017,-0.3644600158726001,-1.082406135057412,-0.8108442760636189,-0.6085737192089041,0.47327836210222907,0.25824045710334975,0.03765267722768743,-0.5523804961376456,3.1134045132345913,-0.5531464526659703,-0.5313894774977552,-0.6105853343491006,0.3070544429941757,-0.7765590182574796,-1.3106041064065348,-0.6412625288439894,-0.1002111360221682,0.018564999017910186,2.286249994424039,1.3098167003166818,1.2423386566197747,0.38891979697971224,0.9892170695550884,-0.1166761807723403,0.4627774362714184,-1.1202537541937472,-1.3525627447703834,0.47707953427514854,0.1633776924700699,0.037655994083844825,0.028349745089866728,0.3463233648408965,-0.12915808988672267,0.19267883675906425,-0.44831253374272345,-0.16600402113269686,-0.05126792904310924,-0.4726614831877622,1.0805401465870217,-0.14125698214732335,-0.05167401467680256,-0.43631963821686526,-0.6085686578523947,-0.13361532542528992,-0.5353414662509447,0.31768462280277077,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.21448698101981983,-0.281115012203371,0.35407911667312136,-0.588006606503713,0.07029287774170555,-0.8718274622140089,2.765813074055616,-0.41418595501688465,-0.05257355342842993,0.05201105601852585
1360,997002,-0.7172978613757447,-0.8378202766514631,-0.4180601448611067,0.048223137439466615,0.42172501343249436,0.31212858336503946,-0.39099844650951726,0.310694440155413,-0.12163435001421624,-0.03730678544415003,-0.24788344530565432,-0.8601597472758642,-0.7396074178798214,0.15205522685978198,0.6236634334334501,0.65723279314509,-0.4941136847822293,0.6326476753165017,-0.3644600158726001,-1.082406135057412,-0.8108442760636189,-0.6085737192089041,0.47327836210222907,0.25824045710334975,0.03765267722768743,-0.5523804961376456,3.1134045132345913,-0.5531464526659703,-0.5313894774977552,-0.6105853343491006,0.3070544429941757,-0.7765590182574796,-1.3106041064065348,-0.6412625288439894,-0.1002111360221682,0.018564999017910186,2.286249994424039,1.3098167003166818,1.2423386566197747,0.38891979697971224,0.9892170695550884,-0.1166761807723403,0.4627774362714184,-1.1202537541937472,-1.3525627447703834,0.4565796321413907,0.1633776924700699,0.037655994083844825,0.028349745089866728,0.3463233648408965,-0.12915808988672267,0.19267883675906425,-0.44831253374272345,-0.16600402113269686,-0.05126792904310924,-0.4726614831877622,1.0805401465870217,-0.14125698214732335,-0.05167401467680256,-0.43631963821686526,-0.6085686578523947,-0.13361532542528992,-0.5353414662509447,0.31768462280277077,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.21448698101981983,-0.281115012203371,0.35407911667312136,-0.588006606503713,0.07029287774170555,-0.8718274622140089,2.765813074055616,-0.41418595501688465,-0.05257355342842993,0.05163308045690952
1563,998001,-0.5852880360296693,-0.7565151501787627,0.08145581713395106,-0.13364446994082266,0.022576975349295675,0.11327506138035896,-0.30701203620174505,0.2490440665156331,-0.0974090688494074,-0.03730678544415003,-0.24788344530565432,-0.6562291549613269,-0.41966377744407557,0.18497321223562285,0.672171485160412,1.002922585995246,-0.4718766410020317,0.28861314264209104,-0.16878212409178758,-1.3164372567650304,-1.094437845204245,-1.0436443977722925,0.3167931910790323,0.24139314527237896,0.165835010775154,-0.37003967262963955,3.1835083955156813,-0.5595551284940976,-0.4281435710648057,-0.26388751431558466,0.3194491055375894,-0.8447213161068684,-1.3838805775783605,-0.6391485699840639,-0.11881465537989135,0.665509348752336,2.4050500397135766,1.858765092602896,1.6977039257254136,0.5292315171037295,0.8833811806431163,-0.41874955678456643,-0.0389796693306077,-0.39158827047577843,-0.8722912710024417,0.5995503501946362,-0.21794004761655084,0.02241996740691172,0.19754468746835727,0.3009604738621636,-0.024880745557628394,0.28827287899451787,-0.4449307127830091,0.20031834534739545,-0.09208546804851886,-0.4726614831877622,1.3850052208538666,-0.2029379394758557,-0.016463320636022467,-0.7726874356041725,-0.4167202983248027,0.030883553744157296,-0.7510968872663893,0.023544812862456067,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.13667552255774731,-0.41167612862577757,-0.10624173124135343,-0.35657214323955133,0.29768023699121493,-0.8664538478416375,4.257160851458347,0.019218809083280778,-0.2083691628512036,0.051162023362928966
1770,999000,-0.5574413550013794,-0.9291028587902604,0.13747318521315952,0.07447094609384888,0.5765731677441728,0.3844734023092951,-0.3289995327616973,0.10856448074941756,-0.28081103433431936,-0.03730678544415003,-0.24788344530565432,-0.6491537900486528,-0.41966377744407557,0.18497321223562285,0.672171485160412,1.002922585995246,-0.4718766410020317,0.28861314264209104,-0.16878212409178758,-1.3164372567650304,-1.094437845204245,-1.0436443977722925,0.3167931910790323,0.24139314527237896,0.1575707441075032,-0.3796439677864834,3.198194269739034,-0.5453478618998869,-0.4281435710648057,-0.26388751431558466,0.31133800928462785,-0.8447213161068684,-1.3893255244825815,-0.6391485699840639,-0.13866085595707736,0.6634166976159486,2.496535953516631,1.858765092602896,1.6977039257254136,0.5292315171037295,0.8833811806431163,-0.41874955678456643,-0.0389796693306077,-0.39158827047577843,-0.8722912710024417,0.8886758812148031,-0.21794004761655084,0.02241996740691172,0.19754468746835727,0.3009604738621636,-0.024880745557628394,0.28827287899451787,-0.4449307127830091,0.20031834534739545,-0.09208546804851886,-0.4726614831877622,1.3850052208538666,-0.2029379394758557,-0.016463320636022467,-0.7726874356041725,-0.4167202983248027,0.030883553744157296,-0.7510968872663893,0.023544812862456067,3.267821098340233,-0.41446944343131764,-0.33985145525277916,0.5809568441862648,-0.13667552255774731,-0.41167612862577757,-0.10624173124135343,-0.35657214323955133,0.29768023699121493,-0.8664538478416375,4.257160851458347,0.019218809083280778,-0.2083691628512036,0.0507510688187508
