,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,Private galaxy capital flows (% of GGP),y
25,990025,0.17287632375894946,0.27386002753093514,4.358538421175425,1.2319365393886572,0.16446371034680946,0.06975052376315927,0.3872385664486638,0.20496861865686722,-0.6895418806549425,0.20261555206977414,0.20627234626596916,-0.36652987118079167,1.1984379126981666,0.10460817243922768,-0.26977046695766116,-0.3949148749178159,-0.5490279992687085,-0.25258351384113525,-0.08223356730435909,-0.1194323378560301,0.2928808595739895,-1.0118127410829028,0.27278499567977726,0.06779213146819654,0.2426109858983755,-0.7521961445902575,-0.6241762245082417,-0.26492812412404315,0.39169528559758915,-0.21424501755234324,0.9897867628882537,0.5381156255282565,0.3113103383620376,1.1190802153940322,-0.36245724365233817,0.5116333534001783,0.09321697290896307,0.1238351557812387,-0.9058205850111406,-0.6012041882480794,-0.6306347810717677,3.5630958130503383,-0.09563365684277289,-0.34483062628563227,-0.2710347492997829,2.6313785523502182,-0.1428613197309898,-0.23109981613998754,-0.1636989677305069,-0.24991256352217256,-0.18740343209296012,-0.5216187715926681,4.128583984018501,3.75719962204038,0.3313473177221921,-0.17867457543957868,0.14145625757644312,0.2509147615778253,-0.7869895652685488,-0.03540838169809512,-0.02377627162087258,1.1413712683781874,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6201501329886835,0.5766291842308907,-0.2558408027154188,-0.898269109702506,-0.7717828320146306,1.851009721109383,-0.6036506264759274,0.05806376696303873
344,991020,-0.06965141397506053,0.3304490524877762,4.242728976697567,1.1782800394197896,-0.012384003257166093,-0.21612948612414845,0.25863141828554453,0.2989663801069103,-0.6274101895652178,0.20261555206977414,0.20627234626596916,-0.14147165934278289,0.2977764043586199,0.19910264464041014,-0.3075848064023079,-0.5010996047376093,-0.6355388406652391,0.18951632954871617,-0.3678435289754286,-0.052597211175780166,0.17068692847517838,-0.6270345200056705,0.19652503999779752,0.00020689749821176662,0.35521267863984846,-0.6951047429901221,-0.8178605754723066,-0.11614861121495797,0.39023549977559463,-0.1977502287678391,0.903014735218944,0.5141666803749507,0.20142215642904085,1.1980765450483846,-0.44007607516063785,0.6758755068068723,-0.03285265501702969,0.1428013838913037,-0.7366925791627348,-0.6042022389512478,-0.622975945848697,3.5976921701365865,-0.016308027842700565,-0.34483062628563227,-0.15470730585229275,2.4976909167115435,-0.10742195408272857,-0.14105852713329373,-0.049066202662123005,-0.09900947888462878,-0.2846811697640802,-0.5983793710193686,4.128583984018501,3.75719962204038,0.18424602306054588,-0.17867457543957868,0.21572771612138428,0.23521635923255343,-0.38573884633442773,-0.01904934720964057,-0.02377627162087258,1.1413712683781874,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6201501329886835,0.5766291842308907,-0.2558408027154188,-0.898269109702506,-0.7717828320146306,1.851009721109383,-0.6036506264759274,0.05726298650638905
529,992016,-0.3178213336132962,0.045550444283320855,4.695288580804654,1.256034106893487,0.22836653176957128,-0.14751637200644724,0.12166932680582122,0.22922853120415318,-0.9007777367153431,0.20261555206977414,0.20627234626596916,-0.14147165934278289,0.2977764043586199,0.19910264464041014,-0.3075848064023079,-0.5010996047376093,-0.6355388406652391,0.18951632954871617,-0.3678435289754286,-0.052597211175780166,0.17068692847517838,-0.6270345200056705,0.19652503999779752,0.00020689749821176662,0.2426109858983755,-0.7521961445902575,-0.6241762245082417,-0.26492812412404315,0.39023549977559463,-0.1977502287678391,0.9897867628882537,0.5141666803749507,0.3113103383620376,1.1980765450483846,-0.36245724365233817,0.5116333534001783,0.09321697290896307,0.1428013838913037,-0.7366925791627348,-0.6042022389512478,-0.622975945848697,3.5976921701365865,-0.016308027842700565,-0.34483062628563227,-0.15470730585229275,2.4976909167115435,-0.10742195408272857,-0.14105852713329373,-0.049066202662123005,-0.09900947888462878,-0.2846811697640802,-0.5983793710193686,4.128583984018501,3.75719962204038,0.18424602306054588,-0.17867457543957868,0.21572771612138428,0.23521635923255343,-0.38573884633442773,-0.01904934720964057,-0.02377627162087258,1.1413712683781874,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6201501329886835,0.5766291842308907,-0.2558408027154188,-0.898269109702506,-0.7717828320146306,1.851009721109383,-0.6036506264759274,0.057350415149239324
705,993012,0.40180448751807213,0.23617497499913442,4.0370211772512015,1.690061360841732,0.5564009455279393,-0.27707792510450313,0.7844419016080127,0.22318592717979185,-0.9288437428622183,0.20261555206977414,0.20627234626596916,0.34659947781564926,-0.39649438409706456,0.4187674537583577,-0.39638690517224817,-0.7205865374562542,-0.7538174904847285,0.8529444869380831,-0.6624447610520451,0.05729092268808663,0.006140433304159394,0.13842403030572567,0.07561810635198923,-0.06860278603092626,0.2426109858983755,-0.7521961445902575,-0.6241762245082417,-0.26492812412404315,0.35174980670936296,-0.14870983069940644,0.9897867628882537,0.5091961475728867,0.3113103383620376,1.3076709788503649,-0.36245724365233817,0.5116333534001783,0.09321697290896307,0.22331288683580208,-0.5483762022190333,-0.6098312819601821,-0.7374454956189644,3.6379348726367566,-0.004539881287224538,-0.34483062628563227,0.09902836363289978,1.5675044032669911,-0.1189929815032029,-0.03194988546543221,0.18873644796495143,0.018690694550663967,-0.36648106414388093,-0.6309855214569208,4.128583984018501,3.75719962204038,0.07781267551588537,-0.17867457543957868,0.3813657418058238,0.2608746350412356,0.5273634072702367,0.025585466038429976,-0.02377627162087258,1.1413712683781874,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6201501329886835,0.5766291842308907,-0.2558408027154188,-0.898269109702506,-0.7717828320146306,1.851009721109383,-0.6036506264759274,0.057160222903013924
824,994009,-0.04792261989426936,0.20063636764767903,5.09941691540695,1.2445298892299588,0.10605199052446632,0.3180244508329383,0.37636075191824425,-0.14827974971615138,-0.9132702808134265,0.20261555206977414,0.20627234626596916,0.34659947781564926,-0.39649438409706456,0.4187674537583577,-0.39638690517224817,-0.7205865374562542,-0.7538174904847285,0.8529444869380831,-0.6624447610520451,0.05729092268808663,0.006140433304159394,0.13842403030572567,0.07561810635198923,-0.06860278603092626,0.10106510392060906,-0.8195888058686718,-0.39109291885948816,-0.37193593826433796,0.35174980670936296,-0.14870983069940644,1.1246342864791123,0.5091961475728867,0.5163729448011519,1.3076709788503649,-0.29256446582351786,0.2125064514619513,0.3169880515717078,0.22331288683580208,-0.5483762022190333,-0.6098312819601821,-0.7374454956189644,3.6379348726367566,-0.004539881287224538,-0.34483062628563227,0.09902836363289978,1.5675044032669911,-0.1189929815032029,-0.03194988546543221,0.18873644796495143,0.018690694550663967,-0.36648106414388093,-0.6309855214569208,4.128583984018501,3.75719962204038,0.07781267551588537,-0.17867457543957868,0.3813657418058238,0.2608746350412356,0.5273634072702367,0.025585466038429976,-0.02377627162087258,1.1413712683781874,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6201501329886835,0.5766291842308907,-0.2558408027154188,-0.898269109702506,-0.7717828320146306,1.851009721109383,-0.6036506264759274,0.05692656836599441
901,995006,0.6283424494642997,0.241693407567366,3.8653803495646453,0.9622855646148757,0.542170169436602,0.30921889185129836,0.3833288621951004,-0.17663106871175993,-0.9081714970854615,0.20261555206977414,0.20627234626596916,0.9892232875926308,-0.8435349945244345,0.543937790675123,-0.5164429635408294,-1.0046007991362744,-0.8306438321722543,1.3270073370859286,-0.7836650722486841,0.10950127436035896,-0.11848537835355821,0.5828925720658391,-0.02948233843474354,-0.08859351291620825,-0.03797032685394749,-0.8823065798746061,-0.1704069486702128,-0.38366814656569487,0.29041714594961066,-0.08519133842488927,1.2240802675781328,0.5262810236185804,0.6896664574745527,1.3800193434939874,-0.20710014906456994,0.12193679951385869,0.4333370921970218,0.3068158442914626,-0.47782881923000103,-0.616840418828452,-0.850768530629974,3.6435812180506706,-0.05885819885691029,-0.34483062628563227,0.3966906967138814,0.8425583341876127,-0.16511329553959433,0.01687436946878859,0.35326331624139384,0.01758783064894754,-0.4026663120398041,-0.6303059397178418,4.219909877198626,3.518370977011932,-0.0012568933548721113,-0.17867457543957868,0.501538922107834,0.3066936220314823,1.387063419504462,0.05758081256871852,-0.02377627162087258,1.383151433230963,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6835088876765983,0.6065826233525788,-0.3974946202263737,-0.9981485769108188,-0.8320104748129739,1.851009721109383,-0.6036506264759274,0.05674460152757355
1248,996004,0.12384288745353865,0.09822982147250196,4.069638484795749,1.2861443868656506,0.4241056833221261,0.1807281570333485,0.7606041050568958,0.37988244048649644,-0.7713766825955052,0.20261555206977414,0.20627234626596916,0.15915533962851497,-0.6051854639443951,0.4802769754921141,-0.3805466853482665,-0.7407080542596423,-0.7547402629150656,0.9423001653033637,-0.7337886211557444,0.13041479772797415,-0.06266682073355125,0.34883216787976024,0.01999679246433045,-0.2038398429607008,0.023615086771379336,-0.8208686361010326,-0.29938773942570873,-0.4865773749610833,0.36726242042595686,-0.19290037378456784,1.1856448236485655,0.49602675642174504,0.5581407366604215,1.3126154570056685,-0.24600723382491907,0.1379184059770273,0.36186486595327927,0.18566850522444983,-0.4921488391866164,-0.5962887341926344,-0.687258503875467,3.642697698500247,0.10254888443577731,-0.34483062628563227,0.3731789356998265,1.6212788046480768,-0.089812201984995,0.019756542805597067,0.27103188596041194,0.148603461378472,-0.3915464078801882,-0.6343979214911026,4.128583984018501,3.75719962204038,0.06549763644129437,-0.17867457543957868,0.3851613985566819,0.23528789937512523,0.41872665234373024,0.014088992502858411,-0.02377627162087258,1.1413712683781874,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6201501329886835,0.5766291842308907,-0.2558408027154188,-0.898269109702506,-0.7717828320146306,1.851009721109383,-0.6036506264759274,0.0557984100747273
1384,997002,0.11641951944831164,0.2373221068638706,5.241990805485683,1.270130778776221,0.10019976366290517,-0.0363914785763013,0.7007241431163959,0.38461414645688136,-0.982074210719835,0.20261555206977414,0.20627234626596916,0.15915533962851497,-0.6051854639443951,0.4802769754921141,-0.3805466853482665,-0.7407080542596423,-0.7547402629150656,0.9423001653033637,-0.7337886211557444,0.13041479772797415,-0.06266682073355125,0.34883216787976024,0.01999679246433045,-0.2038398429607008,0.023615086771379336,-0.8208686361010326,-0.29938773942570873,-0.4865773749610833,0.36726242042595686,-0.19290037378456784,1.1856448236485655,0.49602675642174504,0.5581407366604215,1.3126154570056685,-0.24600723382491907,0.1379184059770273,0.36186486595327927,0.18566850522444983,-0.4921488391866164,-0.5962887341926344,-0.687258503875467,3.642697698500247,0.10254888443577731,-0.34483062628563227,0.3731789356998265,1.6212788046480768,-0.089812201984995,0.019756542805597067,0.27103188596041194,0.148603461378472,-0.3915464078801882,-0.6343979214911026,4.128583984018501,3.75719962204038,0.06549763644129437,-0.17867457543957868,0.3851613985566819,0.23528789937512523,0.41872665234373024,0.014088992502858411,-0.02377627162087258,1.1413712683781874,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.6201501329886835,0.5766291842308907,-0.2558408027154188,-0.898269109702506,-0.7717828320146306,1.851009721109383,-0.6036506264759274,0.05556207837493754
1545,998001,-0.018182782500860074,0.3030345135526051,4.374348074578183,1.1839777220328407,0.27418722115992333,0.3260497381266472,0.7660660576855268,0.45358895743889244,-0.6570314589445693,0.20261555206977414,0.20627234626596916,-0.6577461932215245,-0.667657990017377,0.4412199690026077,-0.2580015059422194,-0.5494450393211163,-0.6266193298525257,0.5716417914492165,-0.626362418801721,0.18933846887504077,-0.027290627537372738,0.49215764372545484,0.025377141723533267,-0.43225949161742394,0.010260934450686487,-0.7452301351517238,-0.36362316750099555,-0.6121656689245731,0.4853654333801478,-0.3135981353915473,1.1935128580469638,0.4257350081358978,0.4607843517438075,1.1933659551134048,-0.26218012857843326,0.05346403705228751,0.2764384235818341,-0.07942245065824845,-0.4753629621084427,-0.504650403126297,-0.3264745218906647,3.6247478151328982,0.3213283973498413,-0.34483062628563227,0.6446291819585325,2.580712615924781,0.0815271839922218,0.06158134820564097,0.3682175643175151,0.3545080052371949,-0.38835390014137916,-0.6123975669926424,4.0390017271329075,3.953297522233263,0.17289292383170798,-0.17867457543957868,0.27869671168962795,0.1398666210897798,-0.7590582924292391,-0.07471318125818001,-0.02377627162087258,0.7679464692432078,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.5475444904251998,0.49649733075154584,-0.02639183728223745,-0.8271586543029337,-0.6623819767206275,1.851009721109383,-0.6036506264759274,0.055187882480859374
1639,999000,0.21660371134848277,0.1566122892089088,3.835060713139693,1.4285288925381983,0.2785944389802706,0.16452594006918464,0.0723032463159997,0.38471714699970966,-0.855440228227115,0.20261555206977414,0.20627234626596916,-0.7063487701329726,-0.667657990017377,0.4412199690026077,-0.2580015059422194,-0.5494450393211163,-0.6266193298525257,0.5716417914492165,-0.626362418801721,0.18933846887504077,-0.027290627537372738,0.49215764372545484,0.025377141723533267,-0.43225949161742394,0.02135997000907559,-0.7301755582223253,-0.27762333538424316,-0.6454074930516768,0.4853654333801478,-0.3135981353915473,1.1818027480917865,0.4257350081358978,0.45405124949369124,1.1933659551134048,-0.21758911519966928,0.036820122585692346,0.3444936152955493,-0.07942245065824845,-0.4753629621084427,-0.504650403126297,-0.3264745218906647,3.6247478151328982,0.3213283973498413,-0.34483062628563227,0.6446291819585325,2.580712615924781,0.0815271839922218,0.06158134820564097,0.3682175643175151,0.3545080052371949,-0.38835390014137916,-0.6123975669926424,4.0390017271329075,3.953297522233263,0.17289292383170798,-0.17867457543957868,0.27869671168962795,0.1398666210897798,-0.7590582924292391,-0.07471318125818001,-0.02377627162087258,0.7679464692432078,0.08405575276718494,-0.3681504681315592,-0.07323311631539528,-0.8785318940020255,0.5475444904251998,0.49649733075154584,-0.02639183728223745,-0.8271586543029337,-0.6623819767206275,1.851009721109383,-0.6036506264759274,0.05500555073806057
