,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
98,990025,0.18985826295093333,-0.07533128745690157,0.7010820524997908,0.43866748066636696,0.45801590978573153,-0.34274829081013486,0.21105739900440962,-0.0255939077291858,-0.48787232818343457,0.45453297737872667,0.4540194847854858,-0.6185626521679688,-1.4702731122606203,0.7675946991055679,0.020546782504737657,0.023223832791309153,-0.4422185028584813,1.77069744425898,-0.2294842112320122,0.5911271417529638,-0.0620774078749432,-0.6544109122104182,0.028874058481404452,-0.34943704286780386,8.60368130275844,-0.5980300833527539,-0.6433548418040467,-0.805179529666027,0.2604405771277698,-0.9604476102462325,0.6035612315920479,1.4883723422088457,0.17436558862446552,-0.9228447533237204,-2.0402284632236367,5.728296781600721,-0.8322875307829214,0.03080005949178072,-0.3011309556164379,-0.02896676711756787,0.3059178184509385,1.3856018113888238,0.7991874582008792,-1.7956963110368793,2.14763346865588,-0.11727612273901981,1.8317552181560568,-0.6916787433807903,-0.7488649658565754,0.24846107530915093,-0.3370437968598245,-0.20491128118288612,-0.4289632217337268,1.9734125978399641,1.4078336638227165,0.5223884893919304,-0.5978945879197964,-0.21540071393004348,0.12070672227045211,0.037106471841531034,0.16037338524809225,0.0555951869592322,0.6771858796136239,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.017545232957480405,0.47706312780426297,-0.3555402200937344,-0.6869273814015646,-0.5322706917988581,-0.885688243352348,-0.4437689098465096,-0.37331045901272203,-0.3126306011541574,0.05968562735676064
297,991020,0.6300323444355637,0.15778041895815006,1.298899387557674,1.3460085635908707,0.3865598284699866,-0.2838224024516379,0.4745977736194882,-0.056267751747583,-0.6571152822734807,0.45453297737872667,0.4540194847854858,-0.790046697501725,-1.3549929348770713,0.7747140848908775,0.06021154663437654,-0.06692560437963106,-0.4613997865969763,1.414193379386844,-0.09070033352605328,0.4011783454362663,-0.041321014490312884,-0.4072071285648234,-0.04002409629238235,-0.40306142732630884,9.085910753058362,-0.5709712590106195,-0.6560073223275255,-0.7812829731939831,0.1295031435839602,-1.0583681322147023,0.7519134108583831,1.3635670415014305,0.09230905976484331,-0.8611476130938456,-2.0604348622184476,5.6048541696856615,-0.8441763977468011,-0.1708021741578939,-0.551935352317727,-0.1917409436068205,-0.049852610938309755,1.568105161279762,0.5692342381749914,-1.2279049379504128,1.9566026562753793,-0.11727612273901981,1.2043295758927126,-0.4963250755884922,-0.6276379706521692,0.3184900040126111,-0.11179912629964697,-0.31941240312973934,-0.4899063377166003,1.9734125978399641,1.4078336638227165,0.5223884893919304,-0.5192801939246191,-0.15307017988718213,0.09869101378547178,-0.11822255484803831,0.10872954229841843,0.0555951869592322,0.4599633177934024,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.017545232957480405,0.47706312780426297,-0.3555402200937344,-0.6869273814015646,-0.5322706917988581,-0.5699232266382626,-0.397811877844022,-0.29394279575972726,-0.3126306011541574,0.05928862881220898
422,992016,0.11227865803795813,0.21972068240254455,1.912304769922652,0.8742798453993547,0.464257709773163,-0.06443256035275673,0.3739032548565274,-0.24171897558130295,-0.5538272250426132,0.45453297737872667,0.4540194847854858,-0.790046697501725,-1.3549929348770713,0.7747140848908775,0.06021154663437654,-0.06692560437963106,-0.4613997865969763,1.414193379386844,-0.09070033352605328,0.4011783454362663,-0.041321014490312884,-0.4072071285648234,-0.04002409629238235,-0.40306142732630884,8.60368130275844,-0.5980300833527539,-0.6433548418040467,-0.805179529666027,0.1295031435839602,-1.0583681322147023,0.6035612315920479,1.3635670415014305,0.17436558862446552,-0.8611476130938456,-2.0402284632236367,5.728296781600721,-0.8322875307829214,-0.1708021741578939,-0.551935352317727,-0.1917409436068205,-0.049852610938309755,1.568105161279762,0.5692342381749914,-1.2279049379504128,1.9566026562753793,-0.11727612273901981,1.2043295758927126,-0.4963250755884922,-0.6276379706521692,0.3184900040126111,-0.11179912629964697,-0.31941240312973934,-0.4899063377166003,1.9734125978399641,1.4078336638227165,0.5223884893919304,-0.5192801939246191,-0.15307017988718213,0.09869101378547178,-0.11822255484803831,0.10872954229841843,0.0555951869592322,0.4599633177934024,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.017545232957480405,0.47706312780426297,-0.3555402200937344,-0.6869273814015646,-0.5322706917988581,-0.5699232266382626,-0.397811877844022,-0.29394279575972726,-0.3126306011541574,0.05930360350980324
651,993012,0.20319832121084067,0.10079526004205404,2.1420231258944025,0.7225056152467031,0.40761337074901843,0.10838363324400814,0.5431462116140415,-0.15169275771677804,-0.7038434668147794,0.45453297737872667,0.4540194847854858,-1.051091975082564,-1.342206979366811,0.8010807861148186,0.2142380741788937,-0.21402232604252963,-0.5240985787936903,0.9267849408248295,0.0914994249392117,0.07169925224462398,-0.09668037394058158,-0.22339832069050597,-0.0026389845520793055,-0.4975960228695633,8.60368130275844,-0.5980300833527539,-0.6433548418040467,-0.805179529666027,-0.06761573612852,-1.2911175224639593,0.6035612315920479,1.1800267162937332,0.17436558862446552,-0.7594889147349241,-2.0402284632236367,5.728296781600721,-0.8322875307829214,-0.4855168387270487,-0.7884913955257775,-0.36308676829662334,-0.4241512125182366,1.8829079902046022,0.41235880694448135,-0.5732988437455805,1.6843371128979217,-0.11727612273901981,0.2340376543358269,-0.28174819606002854,-0.45876197800633534,0.40621763400127464,0.23161502610600715,-0.48226649032081903,-0.5486892315609265,1.9734125978399641,1.4078336638227165,0.5223884893919304,-0.49037934357068136,-0.0667663635201432,0.11444230142109774,-0.19966868432087398,0.006889582945263813,0.0555951869592322,0.28686895729473266,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.017545232957480405,0.47706312780426297,-0.3555402200937344,-0.6869273814015646,-0.5322706917988581,-0.3025011582981118,-0.4020189985193565,-0.36161268381507644,-0.3126306011541574,0.05918200383199679
807,994009,0.00555301007755957,0.4707446556946502,2.297630637972681,1.1797624074695798,0.42788677481008147,-0.21690750823243593,0.342464861436484,0.3866602838072176,-0.8675479489299023,0.45453297737872667,0.4540194847854858,-1.051091975082564,-1.342206979366811,0.8010807861148186,0.2142380741788937,-0.21402232604252963,-0.5240985787936903,0.9267849408248295,0.0914994249392117,0.07169925224462398,-0.09668037394058158,-0.22339832069050597,-0.0026389845520793055,-0.4975960228695633,7.388523096110747,-0.6377140571814258,-0.6093270326892541,-0.8481818115899662,-0.06761573612852,-1.2911175224639593,0.3990316811873055,1.1800267162937332,0.3556582976037421,-0.7594889147349241,-2.0393309916709557,5.661135155561872,-0.8959100365883086,-0.4855168387270487,-0.7884913955257775,-0.36308676829662334,-0.4241512125182366,1.8829079902046022,0.41235880694448135,-0.5732988437455805,1.6843371128979217,-0.11727612273901981,0.2340376543358269,-0.28174819606002854,-0.45876197800633534,0.40621763400127464,0.23161502610600715,-0.48226649032081903,-0.5486892315609265,1.9734125978399641,1.4078336638227165,0.5223884893919304,-0.49037934357068136,-0.0667663635201432,0.11444230142109774,-0.19966868432087398,0.006889582945263813,0.0555951869592322,0.28686895729473266,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.017545232957480405,0.47706312780426297,-0.3555402200937344,-0.6869273814015646,-0.5322706917988581,-0.3025011582981118,-0.4020189985193565,-0.36161268381507644,-0.3126306011541574,0.05899276278732201
912,995006,0.33951240977303243,0.12487145629703653,1.9095579730888697,1.1326889355923175,0.8745760763112492,0.20175265620598673,0.15150252553417876,-0.22345932940515936,-0.5434543543605995,0.45453297737872667,0.4540194847854858,-1.343688423225853,-1.4474410488494418,0.8182998937669929,0.3167516431672709,-0.36387280316368714,-0.5627931032367768,0.5521763478539427,0.24998883736079044,-0.12513175648973718,-0.21585340634791197,-0.23666362158696996,0.1327215910933574,-0.612033141599066,6.554331155875679,-0.6611621086212375,-0.5344794326318384,-0.8944468729938219,-0.28711186651800874,-1.4259463907447465,0.18377577084520957,1.135410178347891,0.4409488847249906,-0.7018475829782388,-2.057941885683224,5.394974088314262,-1.011604044603082,-0.6533622547889917,-0.8643596299213204,-0.4369330163790029,-0.6298286854988788,2.135132356447965,0.4723636431373167,-0.15918107552479738,1.4669696102122383,-0.11727612273901981,-0.4784636426936731,-0.2252072661450011,-0.36505589166149943,0.4312269711188666,0.4434429131530257,-0.6120464991605858,-0.5922490379679658,2.3379308857055427,1.6532575338304814,0.5223884893919304,-0.5128920868788029,0.024332109311731225,0.16446029903607975,-0.14799836786945944,-0.07108106782725922,-0.4498667321082818,0.26505644985488735,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.26755290338698473,0.5800725127259359,-0.46957034720746726,-0.8351870745020852,-0.41601564195559304,-0.30433592087375894,-0.4569161619569298,-0.5344292400968861,-0.3126306011541574,0.05889386271828523
1246,996004,0.5762601978277397,0.3698999973469675,2.1410153807134606,0.7462326702267709,0.41943813587159684,-0.02608804354083831,0.8446956406721715,0.2636637478186116,-0.372104964411116,0.45453297737872667,0.4540194847854858,-1.1174056606618306,-1.1099006153769957,0.7987116453821548,0.16154568325646404,-0.24326581542933343,-0.5302341512884474,0.5300005305551323,0.22274198742435417,0.049118508320631714,-0.05025664364574544,-0.2197334979951142,-0.017650986150954808,-0.4532441767600799,7.857806416024272,-0.6442096817041293,-0.6334382078464357,-0.8452951089960844,-0.052679759623302264,-1.2754052883697435,0.3514349401091072,1.1221567046935512,0.3656642966658233,-0.7676723543228526,-2.0504155225363783,5.772452416099211,-0.8659966741764644,-0.5249001478915613,-0.8274058806822662,-0.39551082918432157,-0.5350395363670659,1.9167243973525854,0.19275020557308595,-0.21054530141683026,1.4379633278093653,-0.11727612273901981,-0.1891348402849568,-0.10554368104030237,-0.3630358336978274,0.453930324601791,0.26820945161087034,-0.475858467753012,-0.6062347547044581,1.9734125978399641,1.4078336638227165,0.5223884893919304,-0.4489478359469553,-0.02318370796721349,0.05142104539211251,-0.3392800113609369,0.0011010637700069215,0.0555951869592322,0.23842152067952127,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.017545232957480405,0.47706312780426297,-0.3555402200937344,-0.6869273814015646,-0.5322706917988581,-0.061657430148064504,-0.2320614674327154,-0.36940907236879816,-0.3126306011541574,0.059139103455580926
1394,997002,0.5724613647289337,0.1057231171199263,1.4386671647542317,0.8128998079023432,0.3924158296496818,-0.2123352885199128,0.3254631347501569,0.1466899546412589,-0.788314985845303,0.45453297737872667,0.4540194847854858,-1.1174056606618306,-1.1099006153769957,0.7987116453821548,0.16154568325646404,-0.24326581542933343,-0.5302341512884474,0.5300005305551323,0.22274198742435417,0.049118508320631714,-0.05025664364574544,-0.2197334979951142,-0.017650986150954808,-0.4532441767600799,7.857806416024272,-0.6442096817041293,-0.6334382078464357,-0.8452951089960844,-0.052679759623302264,-1.2754052883697435,0.3514349401091072,1.1221567046935512,0.3656642966658233,-0.7676723543228526,-2.0504155225363783,5.772452416099211,-0.8659966741764644,-0.5249001478915613,-0.8274058806822662,-0.39551082918432157,-0.5350395363670659,1.9167243973525854,0.19275020557308595,-0.21054530141683026,1.4379633278093653,-0.11727612273901981,-0.1891348402849568,-0.10554368104030237,-0.3630358336978274,0.453930324601791,0.26820945161087034,-0.475858467753012,-0.6062347547044581,1.9734125978399641,1.4078336638227165,0.5223884893919304,-0.4489478359469553,-0.02318370796721349,0.05142104539211251,-0.3392800113609369,0.0011010637700069215,0.0555951869592322,0.23842152067952127,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,-0.017545232957480405,0.47706312780426297,-0.3555402200937344,-0.6869273814015646,-0.5322706917988581,-0.061657430148064504,-0.2320614674327154,-0.36940907236879816,-0.3126306011541574,0.058915046696103375
1454,998001,0.11632251431469633,-0.22566501124054034,1.6867288840829808,0.5440792690787377,0.20706236777708875,0.17268403667224838,0.7924316430069926,-0.007827582168308344,-0.6870483736409183,0.45453297737872667,0.4540194847854858,-0.9263399759426457,-0.11783208637507336,0.7682402649414726,-0.20005787912147485,-0.18837090254506858,-0.4986358282551756,0.05498882243503612,0.2832852271441489,0.1782969572867396,0.12402657309929141,-0.36420863085561433,-0.11346088383364097,-0.2819663954519255,11.027274617076767,-0.6290642106971316,-0.7205494828634188,-0.789729587896391,0.25479305835741595,-0.9691509810266663,0.42180602226046005,1.0558952808812112,0.271203959616876,-0.8706180071880061,-2.0776886144251434,6.033050986678967,-0.7076485207335709,-0.36917862479255686,-0.8348240406315468,-0.3327115052145066,-0.5231596949097467,1.7439866973646871,-0.5658875672822594,0.19636564405956997,1.3039272115834617,-0.11727612273901981,-0.20115990100205713,0.2498251542625284,-0.12574548860718868,0.5200250304959319,0.12036786104622146,-0.24167757249721208,-0.6242133085216853,1.594792915226633,1.0707979657776932,0.5223884893919304,-0.3250598567792434,-0.02954765419326246,-0.1275246241061313,-0.7240362054986893,0.08384033774732298,0.9311271144582858,0.1308621175411917,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,0.08354468120406462,0.3807633914459506,-0.18028171098547102,-0.5345470007473379,-0.6448373044597324,0.41954815172401844,-0.005735893335296124,-0.2044933830768462,-0.3126306011541574,0.0586309236638145
1656,999000,0.1475815965366723,0.15309767289618814,2.246212251216672,1.3679480559630528,0.6626152891855636,-0.01826920683970168,0.8193257292708537,0.07044482794845959,-1.1222560790452405,0.45453297737872667,0.4540194847854858,-0.8839113887893985,-0.11783208637507336,0.7682402649414726,-0.20005787912147485,-0.18837090254506858,-0.4986358282551756,0.05498882243503612,0.2832852271441489,0.1782969572867396,0.12402657309929141,-0.36420863085561433,-0.11346088383364097,-0.2819663954519255,11.148297981748419,-0.6269688527203388,-0.6947174610645109,-0.7958205955634824,0.25479305835741595,-0.9691509810266663,0.38229850120845094,1.0558952808812112,0.271203959616876,-0.8706180071880061,-2.019163517730301,6.160124742274312,-0.6868370547346682,-0.36917862479255686,-0.8348240406315468,-0.3327115052145066,-0.5231596949097467,1.7439866973646871,-0.5658875672822594,0.19636564405956997,1.3039272115834617,-0.11727612273901981,-0.20115990100205713,0.2498251542625284,-0.12574548860718868,0.5200250304959319,0.12036786104622146,-0.24167757249721208,-0.6242133085216853,1.594792915226633,1.0707979657776932,0.5223884893919304,-0.3250598567792434,-0.02954765419326246,-0.1275246241061313,-0.7240362054986893,0.08384033774732298,0.9311271144582858,0.1308621175411917,0.1722845416138109,-0.35364518869440364,-0.27289069137995986,-0.6306819101218025,0.08354468120406462,0.3807633914459506,-0.18028171098547102,-0.5345470007473379,-0.6448373044597324,0.41954815172401844,-0.005735893335296124,-0.2044933830768462,-0.3126306011541574,0.058387304070442014
