,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
154,990025,-2.0970961842145326,-2.049839235865875,-0.7044249157307945,-1.2353779152548554,-0.8418183533459634,-0.9649266971710504,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-1.465118078106779,0.2333825212132253,3.9627198742864973,3.8635514380846234,-0.3498888934730659,0.0036502368707487308,0.014527319035886116,-1.5631579379594112,-1.6581777421665749,-0.576120429386459,0.8211927083731454,1.7106771566576986,-0.3029507016857832,0.892887024469745,-0.6146065797543102,0.5761166230971417,-0.39297255365038003,-0.07080731331649992,-0.17279422733444508,-1.2852912481456238,-0.1842537046417511,0.5476077428573638,0.19029074974051902,1.019250997437239,-0.8743730347433067,1.0446690915620502,0.8743258381091639,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.9312805163545748,-0.8002130060293603,-1.619285689335401,-0.8625571979771485,4.6979139023012015,1.4879211751841372,-0.48223438853722056,-0.3830104845708616,-1.3400966176745244,0.7952515706731065,-0.8224960002067736,-0.756251418213839,-0.739158703299336,1.0855004502088093,-0.8333881017761846,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.4076281543947347,-1.5971241357558401,-2.363886668093037,0.6342091063220188,0.6037432536489873,-6.049855006324902,1.4005980707327228,-6.333101390031346,0.8689294617138706,0.0498707174878017
325,991020,-1.6781623022465249,-1.463527023563607,-0.8733297772698184,-1.608392296209031,-0.8418183533459634,-0.8349794338021455,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.988790173755971,0.11104169077245228,3.714128612481103,3.65380368843302,-0.31856528532391015,0.1457260718574796,0.05880250084056147,-1.5728098831220343,-1.704612872919916,-0.16472941803845045,0.7151907862825004,1.7506396792001468,-0.3500402288524824,0.8981614015300228,-0.6277800246149168,0.4954054286175133,-0.48816252389941167,0.00479396253722024,-0.08106373358826631,-1.2175776243850656,-0.1285842282258965,0.48984411971620523,0.12178943218806991,0.6734292770420095,-0.8703522686805786,1.1067920976517753,0.7359556103565212,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.9040995259801171,-0.6724249882012227,-1.619285689335401,-0.8625571979771485,4.53539186247605,1.4223734684390104,-0.48223438853722056,-0.3830104845708616,-1.3400966176745244,0.7952515706731065,-0.8240850566933828,-0.6757078214043816,-0.739158703299336,1.0855004502088093,-0.7988905103931583,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.4076281543947347,-1.5971241357558401,-2.363886668093037,0.6342091063220188,0.6037432536489873,-6.049855006324902,1.4347938478745588,-6.333101390031346,0.8689294617138706,0.04896439340800651
540,992016,-1.5565154755610584,-1.4066123407373976,-0.35984075365276735,-1.1984582136541986,-0.8418183533459634,-0.7489717498045192,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.988790173755971,0.11104169077245228,3.714128612481103,3.65380368843302,-0.31856528532391015,0.1457260718574796,0.05880250084056147,-1.5728098831220343,-1.704612872919916,-0.16472941803845045,0.7151907862825004,1.7506396792001468,-0.3029507016857832,0.892887024469745,-0.6146065797543102,0.5761166230971417,-0.48816252389941167,0.00479396253722024,-0.17279422733444508,-1.2175776243850656,-0.1842537046417511,0.48984411971620523,0.19029074974051902,1.019250997437239,-0.8743730347433067,1.1067920976517753,0.7359556103565212,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.9040995259801171,-0.6724249882012227,-1.619285689335401,-0.8625571979771485,4.53539186247605,1.4223734684390104,-0.48223438853722056,-0.3830104845708616,-1.3400966176745244,0.7952515706731065,-0.8240850566933828,-0.6757078214043816,-0.739158703299336,1.0855004502088093,-0.7988905103931583,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.4076281543947347,-1.5971241357558401,-2.363886668093037,0.6342091063220188,0.6037432536489873,-6.049855006324902,1.4347938478745588,-6.333101390031346,0.8689294617138706,0.0489106326793276
617,993012,-1.8464940894854736,-1.7748992295770727,0.009415996470831068,-1.2241694949472806,-0.8418183533459634,-0.9620280066800241,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.4415116852221802,0.0016002451869425193,3.529342173849625,3.429469197218639,-0.29623225117655233,0.5652067925313964,0.10380487181876646,-1.6143117325310066,-1.7822825803320976,0.16357864420974674,0.6259245747251824,1.9071239308539163,-0.3029507016857832,0.892887024469745,-0.6146065797543102,0.5761166230971417,-0.528165690732419,0.12255257667603418,-0.17279422733444508,-1.055642976313758,-0.1842537046417511,0.3863191045693253,0.19029074974051902,1.019250997437239,-0.8743730347433067,1.1220853983694747,0.578090283692712,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.8836582478926839,-0.5178785014278564,-1.619285689335401,-0.8625571979771485,4.5650358335984365,1.2319904604811287,-0.48223438853722056,-0.3830104845708616,-1.3400966176745244,0.7952515706731065,-0.7895993849539635,-0.5809616486440952,-0.739158703299336,1.0855004502088093,-0.7713406657428148,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.4076281543947347,-1.5971241357558401,-2.363886668093037,0.6342091063220188,0.6037432536489873,-6.049855006324902,1.601185561952178,-6.333101390031346,0.8689294617138706,0.04856348305622882
856,994009,-1.8125786947576898,-1.4771941603530399,-0.6149556163589543,-1.4346275793998857,-0.8418183533459634,-0.84435408853445,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.4415116852221802,0.0016002451869425193,3.529342173849625,3.429469197218639,-0.29623225117655233,0.5652067925313964,0.10380487181876646,-1.6143117325310066,-1.7822825803320976,0.16357864420974674,0.6259245747251824,1.9071239308539163,-0.2356886764348041,0.8793580119176901,-0.5257071422043094,0.8659937798673225,-0.528165690732419,0.12255257667603418,-0.29673041546539186,-1.055642976313758,-0.2124889564799721,0.3863191045693253,0.286960460199571,1.2108896846397392,-0.8675413856497862,1.1220853983694747,0.578090283692712,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.8836582478926839,-0.5178785014278564,-1.619285689335401,-0.8625571979771485,4.5650358335984365,1.2319904604811287,-0.48223438853722056,-0.3830104845708616,-1.3400966176745244,0.7952515706731065,-0.7895993849539635,-0.5809616486440952,-0.739158703299336,1.0855004502088093,-0.7713406657428148,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.4076281543947347,-1.5971241357558401,-2.363886668093037,0.6342091063220188,0.6037432536489873,-6.049855006324902,1.601185561952178,-6.333101390031346,0.8689294617138706,0.04820718804310342
969,995006,-1.157029806671049,-1.2851481314505164,-0.5432278905263906,-1.823888185617142,-0.8418183533459634,-0.6086638135837279,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.16207405778822787,-0.10862199624149271,3.5610102250876317,3.4321389549800374,-0.2911177509800191,0.9570155111296523,0.11235856029285372,-1.66197186512363,-1.8625717090407328,0.38949151840235635,0.573231009602819,2.12247781890446,-0.1818851657250343,0.8687505046777299,-0.4055314307399148,0.9785340232344802,-0.504092461519845,0.2390837765224841,-0.3761498958048063,-0.9614219520030098,-0.19917235782144924,0.2887952049901635,0.34149331959500606,1.4105011508977825,-0.8502591831113994,1.0871504824445468,0.3481080825631342,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.8868429552949396,-0.448970990635345,-2.2539592370886177,-1.71386671296457,4.76849478592593,1.1071551592683724,-0.372504090275973,-0.46233643417856607,-1.3400966176745244,0.7952515706731065,-0.7441194735262764,-0.5588635582965759,-0.739158703299336,1.0855004502088093,-0.7523591469222334,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.7009584315928294,-1.8313137080587156,-3.2325385358472305,0.4457752711776304,0.6488781534694948,-6.049855006324902,1.7087308745801646,-6.333101390031346,0.8689294617138706,0.04791407179682061
1132,996004,-1.5600001946958175,-1.4293996546221703,-0.25318093886416493,-1.788922157372315,-0.8418183533459634,-0.9206565561057259,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.12586100117281898,-0.14928331286892654,3.309846112839982,3.216081341300213,-0.24839243321890112,0.40138351327227606,0.15926002889344124,-1.6009021403498713,-1.7557232662271525,0.34620472001863173,0.5889925377163813,1.8740771438494617,-0.1734128082135756,0.8829264882862344,-0.5414995036245082,0.8534898747644718,-0.573732544323861,0.19229496432444107,-0.3063483675865847,-1.0400360850462216,-0.2606419347552311,0.39764715489929825,0.2707251224396365,1.2834266049566723,-0.8932641706199863,1.163151818808589,0.5358174012171267,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.8634962994786154,-0.5142101589555249,-1.619285689335401,-0.8625571979771485,4.349253248238147,1.1923788961682673,-0.48223438853722056,-0.3830104845708616,-1.3400966176745244,0.7952515706731065,-0.8113805769835511,-0.5371275187976414,-0.739158703299336,1.0855004502088093,-0.735986839311911,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.4076281543947347,-1.5971241357558401,-2.363886668093037,0.6342091063220188,0.6037432536489873,-6.049855006324902,1.6241238695006073,-6.333101390031346,0.8689294617138706,0.04755348222835032
1428,997002,-1.1033223667072993,-1.216396595416686,-0.6708026145627807,-1.2120911965051249,-0.8418183533459634,-0.8834869348721068,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.12586100117281898,-0.14928331286892654,3.309846112839982,3.216081341300213,-0.24839243321890112,0.40138351327227606,0.15926002889344124,-1.6009021403498713,-1.7557232662271525,0.34620472001863173,0.5889925377163813,1.8740771438494617,-0.1734128082135756,0.8829264882862344,-0.5414995036245082,0.8534898747644718,-0.573732544323861,0.19229496432444107,-0.3063483675865847,-1.0400360850462216,-0.2606419347552311,0.39764715489929825,0.2707251224396365,1.2834266049566723,-0.8932641706199863,1.163151818808589,0.5358174012171267,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.8634962994786154,-0.5142101589555249,-1.619285689335401,-0.8625571979771485,4.349253248238147,1.1923788961682673,-0.48223438853722056,-0.3830104845708616,-1.3400966176745244,0.7952515706731065,-0.8113805769835511,-0.5371275187976414,-0.739158703299336,1.0855004502088093,-0.735986839311911,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.4076281543947347,-1.5971241357558401,-2.363886668093037,0.6342091063220188,0.6037432536489873,-6.049855006324902,1.6241238695006073,-6.333101390031346,0.8689294617138706,0.04723562433256445
1451,998001,-1.490604639341985,-1.2540324018123807,-0.26327139594095084,-1.3566209638301459,-0.8418183533459634,-0.5105427841447144,-0.9610729656054713,-0.7652423232335923,0.5930202549086105,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.12026410609141024,-0.2370444660970956,2.711592757649247,2.717002756903596,-0.16127127565339322,-0.2608930638097347,0.2797377235916619,-1.5006608817645073,-1.5872333936000627,0.4382957198846639,0.580841722140254,1.6081903947758418,-0.11325861146252399,0.9184545769866008,-0.7550995353443,0.5337761705631712,-0.761864068504137,0.1791185157222346,-0.2029598245445873,-1.1037118712731666,-0.36451938654176685,0.5263456152238959,0.11577501829190581,1.1870881585990656,-0.9438245541628474,1.282836689526893,0.6472768385968766,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.7974260783131527,-0.6370284653760616,-0.820453058082867,-0.24686271376871555,3.1550278736559108,1.2852133769796996,-0.6369930753693838,-0.23455706677059143,-1.3400966176745244,0.7952515706731065,-0.8664248708605318,-0.44905966576393136,-0.739158703299336,1.0855004502088093,-0.7003578003488079,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.1247735107082935,-1.3139054460630417,-1.7070471924868915,0.8766880382940023,0.5081971812855318,-6.049855006324902,1.5703129586664297,-6.333101390031346,0.8689294617138706,0.04683386366834152
1651,999000,-1.4155814752762785,-1.1644415707526599,-0.04869557371802408,-1.4776268802258528,-0.9380462456602711,-0.6038935931493152,-1.083312543123541,-0.8297692920565845,0.4962882969537037,-1.1641274464125453,-1.2807779700526458,-1.2797111901507263,-0.12026410609141024,-0.2370444660970956,2.711592757649247,2.717002756903596,-0.16127127565339322,-0.2608930638097347,0.2797377235916619,-1.5006608817645073,-1.5872333936000627,0.4382957198846639,0.580841722140254,1.6081903947758418,-0.09778730563637338,0.9295738894917356,-0.7495593058234148,0.5323152111331005,-0.761864068504137,0.1791185157222346,-0.22522296094367292,-1.1037118712731666,-0.38907989538604393,0.5263456152238959,0.13981996221911955,1.1892589765369426,-0.9435841319082497,1.282836689526893,0.6472768385968766,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.7974260783131527,-0.6370284653760616,-0.820453058082867,-0.24686271376871555,3.1550278736559108,1.2852133769796996,-0.6369930753693838,-0.23455706677059143,-1.3400966176745244,0.7952515706731065,-0.8664248708605318,-0.44905966576393136,-0.739158703299336,1.0855004502088093,-0.7003578003488079,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.1247735107082935,-1.3139054460630417,-1.7070471924868915,0.8766880382940023,0.5081971812855318,-6.049855006324902,1.5703129586664297,-6.333101390031346,0.8689294617138706,0.04648474689250381
