,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
14,990025,-1.6114005638264017,-1.4522454314871962,-0.4640152767460765,-0.7868644401584652,-2.447501171512828,-1.0976459724682388,-1.2722032425493768,-1.2630934112875603,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,-0.3864490840282761,-0.8687592325196888,2.3300219451176423,2.988711208774834,-0.6118872767138483,0.105103521122317,0.5215111200168457,-1.542204956755434,-1.652693565637089,0.7217429250668314,1.0922708063875362,1.3364248289969685,-0.8030840164649666,1.1679834116104946,-0.31328937961777636,0.6736474208750765,0.0443256834733306,-0.2021959862047196,-0.7069042290468052,0.5782545184880727,0.0378791182893776,-0.445020851431298,-1.7860351415758091,-0.015114638240746598,-0.3829308251221455,1.5094978074143,1.02625043911927,3.9649228438996693,4.696523664591026,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.067034342438809,-1.2827598010098047,-1.892739413137426,-1.1686249506019517,4.066199717532374,-0.3670878888759301,-0.3303686772268637,-0.7589751019728763,-1.2520824864902893,-0.9249795478352486,-1.122240009012094,-0.9122455921841439,-0.06353893758380963,0.21645684060076978,-0.7256262195035474,-4.889591078152545,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.05022043090917161
204,991020,-1.1409579766577729,-1.316230587841289,-0.40129000154094313,-0.992322235252297,-2.412833925246348,-1.136879593950803,-1.1456786398994094,-1.4893333854717763,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,-0.11028019687395936,-0.8208994578120844,2.2883404410706394,2.3362220814863317,-0.5140042543899278,0.0072317051573317585,0.35032534691909584,-1.508983962097389,-1.4910100553876913,0.23017059001931842,0.9943311609976162,1.3806438507382106,-1.0344416706170922,1.239398031817028,-0.28116656588177874,0.42743838358199726,0.05823133340204926,-0.18272511037627998,-0.6026670123547451,0.5717438152650172,-0.032936444944830945,-0.6563123965307028,-1.7103559164792883,0.006264149393972888,-0.26813874245411956,1.4636573901959995,0.9460241510565711,3.478017801443494,4.632817884963734,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.1326474575872933,-1.1130969634283254,-1.892739413137426,-1.1686249506019517,3.511443236736594,-0.10615223405822334,-0.3303686772268637,-0.7589751019728763,-1.2520824864902893,-0.9249795478352486,-1.0870428581773748,-0.8898697590507989,-0.06353893758380963,0.21645684060076978,-0.8678881472877542,-4.583573240673992,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.04956350561474388
500,992016,-1.2632772451187846,-1.571053246018646,-0.12932775790633738,-0.7163593716928766,-2.2078611006733695,-1.5469209692784736,-1.365160297975519,-1.4510021313717332,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,-0.11028019687395936,-0.8208994578120844,2.2883404410706394,2.3362220814863317,-0.5140042543899278,0.0072317051573317585,0.35032534691909584,-1.508983962097389,-1.4910100553876913,0.23017059001931842,0.9943311609976162,1.3806438507382106,-0.8030840164649666,1.1679834116104946,-0.31328937961777636,0.6736474208750765,0.05823133340204926,-0.18272511037627998,-0.7069042290468052,0.5717438152650172,0.0378791182893776,-0.6563123965307028,-1.7860351415758091,-0.015114638240746598,-0.3829308251221455,1.4636573901959995,0.9460241510565711,3.478017801443494,4.632817884963734,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.1326474575872933,-1.1130969634283254,-1.892739413137426,-1.1686249506019517,3.511443236736594,-0.10615223405822334,-0.3303686772268637,-0.7589751019728763,-1.2520824864902893,-0.9249795478352486,-1.0870428581773748,-0.8898697590507989,-0.06353893758380963,0.21645684060076978,-0.8678881472877542,-4.583573240673992,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.04953573626972618
575,993012,-1.3381437911110217,-1.303839197697358,0.040232266676805656,-0.9790900229417847,-1.8229617097736304,-0.937720664657856,-1.1615326024262982,-1.3511261558682213,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,0.43492397300789265,-0.7736833238313549,2.24056213510532,2.04020962260643,-0.4026542583633778,-0.43067810215470914,0.24645394293655432,-1.5407993700988378,-1.3352584165324461,-0.2541377887794258,0.9291737551111571,1.4862738485227265,-0.8030840164649666,1.1679834116104946,-0.31328937961777636,0.6736474208750765,0.10971918846308686,-0.12030572519649615,-0.7069042290468052,0.5577685909915684,0.0378791182893776,-0.9011938660388207,-1.7860351415758091,-0.015114638240746598,-0.3829308251221455,1.6039666307986056,0.8861561978636643,3.0330245030410556,4.616743220028155,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.3032021557798033,-0.85408603459825,-1.892739413137426,-1.1686249506019517,3.1107373880922857,0.2465461842778906,-0.3303686772268637,-0.7589751019728763,-1.2520824864902893,-0.9249795478352486,-1.0765623672457236,-0.8796997827759833,-0.06353893758380963,0.21645684060076978,-1.064788122031219,-3.9598737913273188,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.04922102155227169
875,994009,-1.138831631992203,-0.9323615285272702,-0.7297434138473632,-1.175318448078873,-1.7381171920052423,-1.2097611254682838,-1.1079718318014147,-1.4919538041394764,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,0.43492397300789265,-0.7736833238313549,2.24056213510532,2.04020962260643,-0.4026542583633778,-0.43067810215470914,0.24645394293655432,-1.5407993700988378,-1.3352584165324461,-0.2541377887794258,0.9291737551111571,1.4862738485227265,-0.5355350236956835,1.1183756958276734,-0.3194250345234778,0.9415258727966982,0.10971918846308686,-0.12030572519649615,-0.9171466532397798,0.5577685909915684,0.09405357034355644,-0.9011938660388207,-1.9558268441030053,0.03990499378894623,-0.6259023840200443,1.6039666307986056,0.8861561978636643,3.0330245030410556,4.616743220028155,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.3032021557798033,-0.85408603459825,-1.892739413137426,-1.1686249506019517,3.1107373880922857,0.2465461842778906,-0.3303686772268637,-0.7589751019728763,-1.2520824864902893,-0.9249795478352486,-1.0765623672457236,-0.8796997827759833,-0.06353893758380963,0.21645684060076978,-1.064788122031219,-3.9598737913273188,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.04889398963415415
951,995006,-1.4144423911354354,-1.02817607506992,-0.3802524374579134,-0.9635993945883539,-1.285005273436387,-1.46814448187004,-1.2983624935779883,-1.3184337262906505,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,0.8526513020668416,-0.7298882502234256,2.2162640737716415,1.8502017515444409,-0.33351228664747273,-0.8072085774444346,0.2481653200627895,-1.6058357727583328,-1.3282109846886632,-0.7026934831647696,0.8207816151939565,1.6143985073772729,-0.4263757779596296,1.0622276183069523,-0.2973130261599409,1.0362530470402287,0.1730453211259246,-0.060333747159756236,-1.0597157606003424,0.5433164578044517,0.11489106046090262,-1.0015696457679297,-2.049939321533678,0.17820049948676306,-0.907537581659116,1.8435674278966947,0.8901869091353906,2.7938878481037825,4.665610847407222,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.3828763761286418,-0.7196925644226825,-1.892739413137426,-1.1686249506019517,3.0117106421526163,0.3677004826576406,-0.2965221845789616,-1.021819164979778,-1.2520824864902893,-0.9249795478352486,-1.094659769718275,-0.8891320097413798,-0.06353893758380963,0.21645684060076978,-1.1358345002190993,-3.6421921794591947,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.04871658344661778
1186,996004,-1.3429367642892553,-1.392478409130872,-0.134090555770989,-0.6327294005797842,-1.364210190309811,-1.333509177658184,-1.5354177703679497,-1.0169410488487556,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,0.42433394957874904,-0.7993381962285203,2.1451392426840785,1.760279793270045,-0.37790956621389427,-0.28994134124536064,-0.09935743201011245,-1.5044556966905895,-1.2794476657499774,-0.3380841362859609,0.9400349480532383,1.5061589989027246,-0.31531453509869367,1.0747618869802504,-0.3390917032278709,1.0454307167791739,0.061676953946913596,-0.19734908486002647,-0.9279423816560053,0.5705341434108471,0.15688614191295983,-0.9548339661583912,-1.9471569151192092,-0.0510880185165834,-0.624853404658986,1.5418855852918427,0.7896228556557677,2.9035871940763025,4.609813855245491,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.2912077218989344,-0.8365286495129375,-1.892739413137426,-1.1686249506019517,2.9406443575856698,0.37268283595715745,-0.3303686772268637,-0.7589751019728763,-1.2520824864902893,-0.9249795478352486,-1.012065565440064,-0.8710906819885392,-0.06353893758380963,0.21645684060076978,-1.1031870091703022,-4.056468701133811,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.047797773179745096
1405,997002,-0.9450769054206345,-1.2010534893231548,-1.283288865233392,-0.7616883428801222,-1.6816619381374547,-1.1513018787261007,-1.197097725101039,-1.1768659047353374,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,0.42433394957874904,-0.7993381962285203,2.1451392426840785,1.760279793270045,-0.37790956621389427,-0.28994134124536064,-0.09935743201011245,-1.5044556966905895,-1.2794476657499774,-0.3380841362859609,0.9400349480532383,1.5061589989027246,-0.31531453509869367,1.0747618869802504,-0.3390917032278709,1.0454307167791739,0.061676953946913596,-0.19734908486002647,-0.9279423816560053,0.5705341434108471,0.15688614191295983,-0.9548339661583912,-1.9471569151192092,-0.0510880185165834,-0.624853404658986,1.5418855852918427,0.7896228556557677,2.9035871940763025,4.609813855245491,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.2912077218989344,-0.8365286495129375,-1.892739413137426,-1.1686249506019517,2.9406443575856698,0.37268283595715745,-0.3303686772268637,-0.7589751019728763,-1.2520824864902893,-0.9249795478352486,-1.012065565440064,-0.8710906819885392,-0.06353893758380963,0.21645684060076978,-1.1031870091703022,-4.056468701133811,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.047533559005024206
1584,998001,-0.9980270313341214,-0.49034194881027465,-0.649358729120414,-1.278412497163338,-0.8269457963810295,-1.270596436342906,-0.8521497386198156,-1.320640911793033,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,0.008995117709833666,-0.8890053864151626,1.8991421819667733,1.469243628203452,-0.3858311862110786,0.34042293891839437,-0.5918303594210821,-1.3277627147875193,-1.0832788295456086,0.050118707162236056,1.0327259033139418,1.4204314977085977,0.029298973981538988,1.0584024346894356,-0.403743170499544,1.1431131506095524,-0.07143173605123322,-0.5161103839152367,-0.7770548395347103,0.6031626348994766,0.27442665402641736,-0.9463718930392021,-1.7786663731309227,-0.3325322357774764,-0.3547324231512999,1.075991413530915,0.6121904066600126,2.9478457817101753,4.5498053793465285,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.06160649559115,-1.0193029790713737,-1.892739413137426,-1.1686249506019517,2.844976508429822,0.4682850508778224,-0.24763436542093736,-0.2714697218771954,-1.2520824864902893,-0.9249795478352486,-0.8463289022229341,-0.8458036414465175,-0.06353893758380963,0.21645684060076978,-1.0731164983411845,-4.582606691457909,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.04718716614260776
1735,999000,-1.1736104396233655,-0.9807179297049183,-0.37326157844998176,-0.9446870546249687,-1.4842708984738988,-0.8300457607929508,-1.2984869814484397,-1.3077081977889782,0.8154015017838699,-2.4338370373457843,-1.0947903688587877,-0.04848093893577749,0.008995117709833666,-0.8890053864151626,1.8991421819667733,1.469243628203452,-0.3858311862110786,0.34042293891839437,-0.5918303594210821,-1.3277627147875193,-1.0832788295456086,0.050118707162236056,1.0327259033139418,1.4204314977085977,0.038539108669267824,1.0158666427781124,-0.43597715126258363,1.1552113722579773,-0.07143173605123322,-0.5161103839152367,-0.7770548395347103,0.6031626348994766,0.27044180589822053,-0.9463718930392021,-1.7786663731309227,-0.3336289468565501,-0.3838637146042517,1.075991413530915,0.6121904066600126,2.9478457817101753,4.5498053793465285,-0.645019476367517,-0.41905050242069264,-0.6354612075733592,0.12099116278962299,0.5631890090667094,-0.7405901146381769,-1.06160649559115,-1.0193029790713737,-1.892739413137426,-1.1686249506019517,2.844976508429822,0.4682850508778224,-0.24763436542093736,-0.2714697218771954,-1.2520824864902893,-0.9249795478352486,-0.8463289022229341,-0.8458036414465175,-0.06353893758380963,0.21645684060076978,-1.0731164983411845,-4.582606691457909,0.6923914680431672,-1.262572130384583,-0.41107976138966734,1.1842498463077715,-1.607641663822319,-1.1865946775929208,-4.413747661930587,0.9091926064108958,0.4555184758055269,-1.4686686643429252,-0.1060256720177548,0.7141457196068834,0.04689304806739802
