,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
42,990025,-1.0841370909221317,-0.9910660627155483,-0.6257935256413145,-0.7389364199685474,-1.7387457943774263,-0.9906205870276509,-1.1849786743232864,-1.2370262699134187,0.6394487523003053,-1.7711247588204326,-1.2168013062875842,-1.3292514736057686,0.5610821924950365,-0.7072536817453349,1.061551096884634,1.4456887896604074,-0.4919538778875216,0.0034863031350451123,-0.37374177137233294,-1.196055824165566,-1.0929362558935556,-0.009777592397854407,1.1881160760344578,0.5145600299442148,0.19839751322185578,-0.10283258761125051,1.1291348812709812,0.6211846725097796,-0.6150862086024133,-1.4233408599952226,-0.5824497671629812,0.4745351601489459,-0.9401484017854699,-2.1006001900602347,0.098235854464371,0.9030615269288629,1.4134611375273225,0.9261008106575548,2.222736172621237,0.7093408525947571,-0.11200654224808537,-0.07494963501241986,0.015809157320314182,-1.5644037409925826,-0.24755836839228454,1.0636276603512171,-1.05380557232451,-1.3004315173002607,-1.4242554949856991,-1.5622870061621237,1.5859519596613132,1.1058795136675459,-0.14210794893303247,-0.5800579097864352,-1.0624896733482072,-0.47167650114107035,-1.2903777434024024,-0.7947842079821524,-1.4311338391122612,0.24848706595644243,-1.0132330383558599,0.46661984887109353,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.741910017710516,-0.19308103181178157,0.8355721957082751,0.049111446947702864
234,991020,-0.821055112760128,-1.1507393929635332,-0.14089596205739327,-1.1100943410044912,-1.817430808652584,-1.0288744457544874,-1.1437984065934312,-1.2851475759848705,0.3886226979949823,-1.7711247588204326,-1.2168013062875842,-1.2577887775361078,0.5211051891995904,-0.6910205770762385,1.093151036156745,1.365534246845365,-0.4589421834757927,-0.37416180858401515,-0.2390183962882574,-1.0242050364519388,-1.08327522271385,-0.5782011026724921,1.06877503940362,0.5781393274449029,0.13468811740974798,-0.09859668083329948,1.2528040449642492,0.632714728045376,-0.616585273379143,-1.4349692569702654,-0.5757097601002304,0.3615699501129472,-0.7622027601306255,-2.3563608165179737,0.11027204145663053,0.9140884605508853,1.3246351817119504,0.8081883965347814,2.097513799154187,1.1113280036299253,-0.23503619365387085,0.06028221325978143,-0.1849275977835817,-1.474983275112228,-0.24755836839228454,1.0636276603512171,-1.0147992568329542,-1.3052074497377995,-1.4242554949856991,-1.5622870061621237,1.5563214435226782,1.1081270984393503,-0.14210794893303247,-0.5800579097864352,-1.154429330761117,-0.4591834603129284,-1.258556577225476,-0.7564122723702081,-1.4435831721902515,0.17987761946274802,-0.9179633970314569,0.46661984887109353,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.7314262601150436,-0.19308103181178157,0.8355721957082751,0.048218590586598935
369,992016,-1.2115178678926908,-1.4775156365727002,-0.7893030123737294,-1.1288457610557676,-1.8027566680006641,-1.336577051383993,-0.9777158867595874,-1.0957908921920512,0.6501007080315687,-1.7711247588204326,-1.2168013062875842,-1.2577887775361078,0.5211051891995904,-0.6910205770762385,1.093151036156745,1.365534246845365,-0.4589421834757927,-0.37416180858401515,-0.2390183962882574,-1.0242050364519388,-1.08327522271385,-0.5782011026724921,1.06877503940362,0.5781393274449029,0.19839751322185578,-0.10283258761125051,1.1291348812709812,0.6211846725097796,-0.616585273379143,-1.4349692569702654,-0.5824497671629812,0.3615699501129472,-0.9401484017854699,-2.1006001900602347,0.098235854464371,0.9030615269288629,1.3246351817119504,0.8081883965347814,2.097513799154187,1.1113280036299253,-0.23503619365387085,0.06028221325978143,-0.1849275977835817,-1.474983275112228,-0.24755836839228454,1.0636276603512171,-1.0147992568329542,-1.3052074497377995,-1.4242554949856991,-1.5622870061621237,1.5563214435226782,1.1081270984393503,-0.14210794893303247,-0.5800579097864352,-1.154429330761117,-0.4591834603129284,-1.258556577225476,-0.7564122723702081,-1.4435831721902515,0.17987761946274802,-0.9179633970314569,0.46661984887109353,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.7314262601150436,-0.19308103181178157,0.8355721957082751,0.0482039763189539
657,993012,-1.1261119828795787,-1.2862684675404106,-0.17294102019176144,-0.8702849467940387,-1.30686060551489,-1.1464804685990306,-1.1846496537627962,-1.7986217230638137,0.5504031873338391,-1.7711247588204326,-1.2168013062875842,-1.194403662451969,0.4697549428887708,-0.7007995137685681,1.274074709868097,1.2636793669398225,-0.43584352393003833,-1.025629707702623,0.17836886236268495,-0.8205740083353799,-1.1156357613735965,-0.8260170628070082,0.9781043203152288,0.6204168975057467,0.19839751322185578,-0.10283258761125051,1.1291348812709812,0.6211846725097796,-0.6287018561178808,-1.4147033261522375,-0.5824497671629812,0.2747603465972716,-0.9401484017854699,-2.1006001900602347,0.098235854464371,0.9030615269288629,1.2378187299150456,0.6836874903935286,2.0202915226908384,1.703595147084412,-0.32577518969542596,0.12628012982062253,-0.6844533095067455,-1.3614967364857267,-0.24755836839228454,1.0636276603512171,-0.9608564167525696,-1.3946505950352455,-1.4242554949856991,-1.5622870061621237,1.4966635065577538,1.2093340030551154,-0.14210794893303247,-0.5800579097864352,-1.2505807554463888,-0.38345785808043414,-1.2615951183476575,-0.7410863211627583,-1.6110491665290385,-0.08726206776367855,-0.7470022710190939,0.46661984887109353,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.7706192817623121,-0.19308103181178157,0.8355721957082751,0.04790461379323774
843,994009,-0.6922229990262582,-1.3511473665418907,-0.37410537451191145,-0.745186661518254,-1.422315410521317,-0.9201740614349732,-1.112392991791319,-1.2402063896566633,0.49221092281827583,-1.7711247588204326,-1.2168013062875842,-1.194403662451969,0.4697549428887708,-0.7007995137685681,1.274074709868097,1.2636793669398225,-0.43584352393003833,-1.025629707702623,0.17836886236268495,-0.8205740083353799,-1.1156357613735965,-0.8260170628070082,0.9781043203152288,0.6204168975057467,0.2024768421790178,-0.09659895549990188,0.9039470510333145,0.6543963536983877,-0.6287018561178808,-1.4147033261522375,-0.592971636967183,0.2747603465972716,-1.1530453974684807,-1.64056881514823,0.012231382823282204,0.8511649763010056,1.2378187299150456,0.6836874903935286,2.0202915226908384,1.703595147084412,-0.32577518969542596,0.12628012982062253,-0.6844533095067455,-1.3614967364857267,-0.24755836839228454,1.0636276603512171,-0.9608564167525696,-1.3946505950352455,-1.4242554949856991,-1.5622870061621237,1.4966635065577538,1.2093340030551154,-0.14210794893303247,-0.5800579097864352,-1.2505807554463888,-0.38345785808043414,-1.2615951183476575,-0.7410863211627583,-1.6110491665290385,-0.08726206776367855,-0.7470022710190939,0.46661984887109353,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.7706192817623121,-0.19308103181178157,0.8355721957082751,0.04759159109151223
924,995006,-0.5754618593680739,-0.7988654414682806,-0.8812483791999893,-0.8430592449732269,-1.5373796573039653,-1.0659871868081001,-1.1674475410867078,-1.4622348452370753,0.37571040040072134,-1.7711247588204326,-1.2168013062875842,-1.2073570215208835,0.4583816998733971,-0.7305368643461198,1.4384754171166172,1.2142004262387218,-0.4369570694452495,-1.625183444661477,0.4610327459295522,-0.6601846975430438,-1.1664829346657064,-1.0423440929583365,0.864292079290205,0.6152209110414618,0.14395931958511674,-0.08442933512568897,0.6898344693700822,0.7157439310168958,-0.6403290893081167,-1.360009826188884,-0.6033988911639192,0.2333973726054026,-1.2691003688996993,-1.3562926101875323,-0.06890394112897118,0.7775185904775783,1.2247297205775283,0.559921674947988,2.0618564299892608,1.9968781209740756,-0.33885403235197353,0.13129385424020876,-1.4533841124536973,-1.3374306637395788,-0.21156692185643047,1.0636276603512171,-0.9189484721235485,-1.4495034261293367,-1.4242554949856991,-1.5622870061621237,1.4562607923462603,1.3358952059761042,0.06509176511505853,-0.5468294134363254,-1.3028682350613865,-0.28236249555983367,-1.299314629055875,-0.7628551429666329,-1.8718338242143326,-0.4193621521096237,-0.6570640258301028,0.5815427124594806,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.817281213186032,-0.19308103181178157,0.9180660407396216,0.04734615999246949
1119,996004,-0.570077892502938,-1.2732983108331406,-0.8277697948538048,-0.6690712193279295,-1.4190750714378015,-0.8648254178722217,-0.9320114903297414,-1.160803859156736,0.33042642918710186,-1.7711247588204326,-1.2168013062875842,-1.021157968725169,0.4479371486134559,-0.6461468466766744,1.2881376979197432,1.1887231304200658,-0.41165680206159955,-1.1461964193870613,0.17546962913883968,-0.749092933908197,-1.062668068459017,-0.9779045992355502,0.9821326849181156,0.6387907579873989,0.22835407384916095,-0.10576223919723486,0.93112003415539,0.5878386674883711,-0.6261620599816978,-1.4622402747684107,-0.5952410307677698,0.23413647282433586,-1.2074103134223806,-1.6324590140078938,-0.004079746988739616,0.9055902362980127,1.204361885201459,0.6661986812496338,1.95783135047519,1.865350964584337,-0.43511217285300374,0.29491455571085395,-0.508190559995227,-1.2728957452837748,-0.24755836839228454,1.0636276603512171,-0.8763554370613437,-1.3727869327497695,-1.4242554949856991,-1.5622870061621237,1.4944665878991064,1.1843000819598297,-0.14210794893303247,-0.5800579097864352,-1.2814905297621164,-0.41701892189299583,-1.168106762970222,-0.7111865791055011,-1.4547253950928671,0.044578285863979786,-0.7344048845439001,0.46661984887109353,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.750899192263185,-0.19308103181178157,0.8355721957082751,0.04625462449361117
1397,997002,-0.8517271278151252,-0.5088180109466542,-0.25652833430581,-0.538097341251434,-1.56018528857506,-1.505057035070194,-0.8588262742179616,-0.9916971795955042,0.2872057862691317,-1.7711247588204326,-1.2168013062875842,-1.021157968725169,0.4479371486134559,-0.6461468466766744,1.2881376979197432,1.1887231304200658,-0.41165680206159955,-1.1461964193870613,0.17546962913883968,-0.749092933908197,-1.062668068459017,-0.9779045992355502,0.9821326849181156,0.6387907579873989,0.22835407384916095,-0.10576223919723486,0.93112003415539,0.5878386674883711,-0.6261620599816978,-1.4622402747684107,-0.5952410307677698,0.23413647282433586,-1.2074103134223806,-1.6324590140078938,-0.004079746988739616,0.9055902362980127,1.204361885201459,0.6661986812496338,1.95783135047519,1.865350964584337,-0.43511217285300374,0.29491455571085395,-0.508190559995227,-1.2728957452837748,-0.4775815059932003,1.0636276603512171,-0.8763554370613437,-1.3727869327497695,-1.4242554949856991,-1.5622870061621237,1.4944665878991064,1.1843000819598297,-0.14210794893303247,-0.5800579097864352,-1.2814905297621164,-0.41701892189299583,-1.168106762970222,-0.7111865791055011,-1.4547253950928671,0.044578285863979786,-0.7344048845439001,0.46661984887109353,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.750899192263185,-0.19308103181178157,0.8355721957082751,0.0459906666281128
1456,998001,-0.9460808731367882,-1.1575144563148176,-0.2042707887949304,-0.7207424296096467,-1.6146872581218543,-1.083494051479095,-0.8856283005874903,-1.3630255043936723,0.5276258915599176,-1.7711247588204326,-1.2168013062875842,-0.04677114539370441,0.39858442125479143,-0.5221097767536329,1.1131565499936809,1.0216063987436215,-0.3562129859975319,-0.8845634934502232,-0.1448100730771847,-0.7793741915425939,-0.7844147454928642,-1.1016374737733408,1.05627549727428,0.7681385117457613,0.3780547425647989,-0.15102626078992742,1.2816937850176573,0.4581116251035992,-0.6600140973732833,-1.5766993051232154,-0.5908789441365893,0.1757830367105658,-1.1457503875483768,-2.0427530872787227,0.015815207387886845,1.1153504441220377,1.1151324776361538,0.7659237744370354,1.7480310902152871,1.914566518086368,-0.6919767828062193,0.49141081827632926,0.33855620223427685,-1.1688186167419776,-0.36460478541246316,1.0636276603512171,-0.743294973852829,-1.142047057542103,-1.4242554949856991,-1.5622870061621237,1.569222119113181,0.8678543319773135,-0.35936513133196407,-0.6054178247020922,-1.2849120646607368,-0.5924001193970235,-0.9491967620631437,-0.6166694643847411,-0.9992960344849938,0.7166086847388757,-0.8312178320836645,0.230660854583471,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.6014863110490914,-0.19308103181178157,0.8355721957082751,0.04563607053338281
1785,999000,-1.1047430046394493,-0.38613351284868724,-0.23846758826664433,-0.5112739434353774,-1.2955974369545387,-1.2131982520212732,-0.7059954194392496,-1.3000465062642086,0.3620669418182528,-1.7711247588204326,-1.2168013062875842,-0.04677114539370441,0.39858442125479143,-0.5221097767536329,1.1131565499936809,1.0216063987436215,-0.3562129859975319,-0.8845634934502232,-0.1448100730771847,-0.7793741915425939,-0.7844147454928642,-1.1016374737733408,1.05627549727428,0.7681385117457613,0.43948705548534944,-0.14771503001420208,1.2772237278567966,0.45972146082149024,-0.6600140973732833,-1.5766993051232154,-0.6273419261364379,0.1757830367105658,-1.1509046062075625,-2.0131621060304243,0.019575590450962955,1.1323217905488387,1.1151324776361538,0.7659237744370354,1.7480310902152871,1.914566518086368,-0.6919767828062193,0.49141081827632926,0.33855620223427685,-1.1688186167419776,-0.36460478541246316,1.0636276603512171,-0.743294973852829,-1.142047057542103,-1.4242554949856991,-1.5622870061621237,1.569222119113181,0.8678543319773135,-0.35936513133196407,-0.6054178247020922,-1.2849120646607368,-0.5924001193970235,-0.9491967620631437,-0.6166694643847411,-0.9992960344849938,0.7166086847388757,-0.8312178320836645,0.230660854583471,-2.816604538919646,0.3042707592967572,-0.9826277043313927,-0.3858987664402869,-0.31076377888307233,-0.9546657170560319,-0.8311863378505047,-1.414987266657935,0.5908992338159913,0.5355025192887519,-0.7410719539111831,-0.6014863110490914,-0.19308103181178157,0.8355721957082751,0.04533367246063735
