,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
165,990025,-1.0336463994738854,-0.7844904221093122,-1.1106495712401592,-0.7867026802344916,-0.71161768588914,-1.0682446435470965,-1.5994878145580742,-1.017400909387177,0.7386784945331338,-1.9302213594492215,-0.7928274937004338,0.5988705238072344,-0.9498677821674865,1.9780006392723857,1.556764426611252,-0.2398087561789565,0.2430733643549581,-0.5147934052391717,-0.7292619963650492,-0.9371260159776669,-0.34181263363577885,1.2735446055653223,1.6335323228972514,-0.7816179885241276,0.13617106572391025,0.22716188995455006,0.7656993980921877,-1.1895635304618137,-1.1453816445661233,-0.506139027852525,0.07024783822034553,-1.4698398087191107,-0.7496666274750036,-2.842916647640604,-1.24889524900393,0.4126164067175025,0.6573349248378185,0.8036865583888281,1.1529553494347415,0.20112359527120308,-0.1489863916335107,-0.11632041655006554,-0.11104968797467063,-0.8212943125351784,2.345043624918414,-1.57617739861004,-1.673751341518448,-1.5408790144343325,-0.3598760502602844,0.7743348354401097,-0.7538473211513428,-0.3429771817231712,-0.3853004539262434,-0.6684256080562063,0.04095853164238814,-0.8384137670560746,-1.2463668769597733,4.1645467780276455,-1.3280155949343493,0.5502263119021099,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.4061002235328866,-1.010636664724207,-3.0647875467347188,0.3918055656512392,0.5410476992132839,-0.12601071534860925,1.1032921549708723,0.050060085168070256
189,991020,-0.7762662515946829,-0.7280464169293416,-0.5133425003852257,-0.5079725338851135,-1.1176945131898879,-1.1379243745104666,-1.1410975242583905,-1.4718178880270132,0.41547105799021966,-1.9302213594492215,-0.7928274937004338,0.34072605510462034,-0.9190017248887424,1.7092033032995337,1.6014163721548282,-0.24661171212308894,-0.12572474422661575,-0.12805181734916712,-0.7678692569334825,-0.897688616472311,0.03362460654930552,1.2896039249642073,1.4866774300334284,-0.9117925501333336,-0.005907340423280572,0.1869406571987131,0.8565848153279243,-1.112026366458919,-1.3838515684523733,-0.6229579509365493,0.06658215290921701,-1.6187349268993987,-0.7167503769394581,-2.830820666321891,-1.1683190391565692,0.44414642254019454,0.6408186948991976,0.6961220202531868,1.6793666713572275,1.0901673871225361,-0.12831636777117786,-0.0943191071258767,-0.4185140980025562,-0.8212943125351784,3.0395222114837033,-1.3725898436549848,-1.5434647548211684,-1.5408790144343325,-0.3598760502602844,0.8437724336058429,-0.7239130599068371,-0.3429771817231712,-0.3853004539262434,-0.6684256080562063,-0.04180052809348449,-0.8576286682077638,-1.1288233985210117,3.9039273335998996,-1.1764751864153664,0.5502263119021099,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.4061002235328866,-1.010636664724207,-3.0647875467347188,0.3918055656512392,0.5410476992132839,-0.12601071534860925,1.1032921549708723,0.04933173656000278
416,992016,-0.7203002354948751,-1.0589708713345356,-0.345425380073086,-0.5922389724788094,-1.0174574242629995,-1.0730238638859209,-0.8151476182036734,-1.3260038072860112,0.35751061182801386,-1.9302213594492215,-0.7928274937004338,0.34072605510462034,-0.9190017248887424,1.7092033032995337,1.6014163721548282,-0.24661171212308894,-0.12572474422661575,-0.12805181734916712,-0.7678692569334825,-0.897688616472311,0.03362460654930552,1.2896039249642073,1.4866774300334284,-0.7816179885241276,0.13617106572391025,0.22716188995455006,0.7656993980921877,-1.112026366458919,-1.3838515684523733,-0.506139027852525,0.06658215290921701,-1.4698398087191107,-0.7167503769394581,-2.842916647640604,-1.24889524900393,0.4126164067175025,0.6408186948991976,0.6961220202531868,1.6793666713572275,1.0901673871225361,-0.12831636777117786,-0.0943191071258767,-0.4185140980025562,-0.8212943125351784,3.0395222114837033,-1.3725898436549848,-1.5434647548211684,-1.5408790144343325,-0.3598760502602844,0.8437724336058429,-0.7239130599068371,-0.3429771817231712,-0.3853004539262434,-0.6684256080562063,-0.04180052809348449,-0.8576286682077638,-1.1288233985210117,3.9039273335998996,-1.1764751864153664,0.5502263119021099,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.4061002235328866,-1.010636664724207,-3.0647875467347188,0.3918055656512392,0.5410476992132839,-0.12601071534860925,1.1032921549708723,0.049283398595123984
574,993012,-0.5653510087120235,-0.7094548675186892,-0.11467577802674249,-0.571646553851082,-1.0544920053057205,-0.9343821451593073,-0.9920230889731975,-1.0123823747131917,0.5224761259336708,-1.9302213594492215,-0.7928274937004338,-0.14743393138927297,-0.8728897753843534,1.362717040545717,1.7589589302003603,-0.2630370107668744,-0.5263922472368412,0.4166356492206974,-0.8191417050750204,-0.8598520626553261,0.36217800648117615,1.3340541450270038,1.3982126064633598,-0.7816179885241276,0.13617106572391025,0.22716188995455006,0.7656993980921877,-1.024737749540485,-1.52787960430819,-0.506139027852525,0.03452323340989214,-1.4698398087191107,-0.6234639947932203,-2.842916647640604,-1.24889524900393,0.4126164067175025,0.6745078431023339,0.5285193462749805,2.5028156186374484,2.7819347341609193,-0.0875686575196951,0.3138011964740706,-0.8249165632019096,-0.8212943125351784,3.9953832310984763,-1.1286886405664693,-1.3863402070014446,-1.5408790144343325,-0.3598760502602844,0.8997962778081287,-0.6932597625637562,-0.3429771817231712,-0.3853004539262434,-0.6684256080562063,-0.1206698167493404,-0.8774015217413593,-0.9737469245328185,3.5997023115831577,-0.9305367562439532,0.5502263119021099,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.4061002235328866,-1.010636664724207,-3.0647875467347188,0.3918055656512392,0.5410476992132839,-0.12601071534860925,1.1032921549708723,0.04895574513774148
762,994009,-0.3722796287635666,-0.7480271026917132,-0.459494253904011,-0.6409935212277508,-1.2035353860853142,-1.507412895887254,-1.1386305975003232,-0.9166825765697235,0.15200279653323268,-1.9302213594492215,-0.7928274937004338,-0.14743393138927297,-0.8728897753843534,1.362717040545717,1.7589589302003603,-0.2630370107668744,-0.5263922472368412,0.4166356492206974,-0.8191417050750204,-0.8598520626553261,0.36217800648117615,1.3340541450270038,1.3982126064633598,-0.1682851130000464,0.27362662365634416,0.18984392211378187,0.5612072093117786,-1.024737749540485,-1.52787960430819,-0.49479360884852364,0.03452323340989214,-1.2585409495457847,-0.6234639947932203,-2.936460554506716,-1.4207223774306137,0.316558625241011,0.6745078431023339,0.5285193462749805,2.5028156186374484,2.7819347341609193,-0.0875686575196951,0.3138011964740706,-0.8249165632019096,-0.8212943125351784,3.9953832310984763,-1.1286886405664693,-1.3863402070014446,-1.5408790144343325,-0.3598760502602844,0.8997962778081287,-0.6932597625637562,-0.3429771817231712,-0.3853004539262434,-0.6684256080562063,-0.1206698167493404,-0.8774015217413593,-0.9737469245328185,3.5997023115831577,-0.9305367562439532,0.5502263119021099,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.4061002235328866,-1.010636664724207,-3.0647875467347188,0.3918055656512392,0.5410476992132839,-0.12601071534860925,1.1032921549708723,0.048610410001866056
938,995006,-0.7280955989206261,-0.7985136138574365,-1.0551730105738066,-0.6715868159880518,-1.1835266592630842,-1.305986440584515,-0.9687214506875584,-0.8973915294293597,0.41625531121197773,-1.9302213594492215,-0.7928274937004338,-0.41812944805504326,-0.840077426204656,1.1530333470013927,1.8849780892061094,-0.28303322629418126,-0.9353604680280574,0.7231326551468837,-0.8513392538449012,-0.8320244775971538,0.7533653661371235,1.3529199985346003,1.4123702639720819,0.04654006787304254,0.4850053664782693,0.08327963541880155,0.4778955768456868,-0.9598566438343543,-1.625475097418847,-0.5824385973508297,-0.009899460527966628,-1.031793651417937,-0.5468701445484002,-3.034176985596052,-1.5774312496962934,0.2594199197007872,0.7339011707540373,0.40463257272643277,2.94306175656566,3.5846582893479644,-0.0604044128259393,0.9039803424498032,-1.239945424639541,-0.8212943125351784,4.423002363211406,-0.9664243908887514,-1.2809399719691372,-1.6499179440614118,-0.40626664257919176,0.949409348572252,-0.6841807362807042,-0.27582200159858195,-0.3104508794469984,-0.581020311782963,-0.13828985166637525,-0.8854919897551119,-0.8155988936592384,3.473126273444136,-0.7424479040500314,0.7306355386767743,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.5297100531593477,-1.0573733495800528,-3.33995335169407,0.05219333997473877,0.42221411765666556,-0.12601071534860925,1.1032921549708723,0.048312796649906516
1256,996004,-0.9787168028906039,-0.32389317832039605,0.05376226181532885,-0.48894828111010835,-0.816939741915359,-1.4403950199599624,-1.2794582262038234,-1.6071062338273177,0.3199291985625529,-1.9302213594492215,-0.7928274937004338,-0.31107309766291813,-0.868828787109639,1.2047614341465498,1.7180157300253325,-0.2532791169380573,-0.4938106629583317,0.5115146389854849,-0.8563378851101825,-0.8471991174155984,0.30455092784385834,1.334606867442094,1.3596412759469316,-0.13034849437894308,0.3338560816861175,0.23653337547992392,0.5350369754244905,-1.0346956024407141,-1.6979479114917375,-0.41815423092307646,0.0574200498944689,-1.2056868745610736,-0.6496409772984868,-2.892848546056699,-1.3995083053700097,0.23931233191193357,0.6619015178467911,0.451779514071459,2.546083720550128,2.8378833625091717,-0.08963243619989038,0.2504660155535583,-0.8766354926683226,-0.8212943125351784,4.406608070056099,-1.0175816113562728,-1.2919398373420432,-1.5408790144343325,-0.3598760502602844,0.8818240871513987,-0.6739794390022519,-0.3429771817231712,-0.3853004539262434,-0.6684256080562063,-0.2178752849537986,-0.9090102814540382,-0.8272608095657615,3.246698987183953,-0.9020443673658192,0.5502263119021099,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.4061002235328866,-1.010636664724207,-3.0647875467347188,0.3918055656512392,0.5410476992132839,-0.12601071534860925,1.1032921549708723,0.04775607123950165
1390,997002,-0.8302820928419421,-0.5049388721181296,-0.7132712607239476,-0.5032341900708227,-0.5492328264954253,-1.1763320868223839,-0.9335418329851674,-1.0724688271682181,0.7965933029456779,-1.9302213594492215,-0.7928274937004338,-0.31107309766291813,-0.868828787109639,1.2047614341465498,1.7180157300253325,-0.2532791169380573,-0.4938106629583317,0.5115146389854849,-0.8563378851101825,-0.8471991174155984,0.30455092784385834,1.334606867442094,1.3596412759469316,-0.13034849437894308,0.3338560816861175,0.23653337547992392,0.5350369754244905,-1.0346956024407141,-1.6979479114917375,-0.41815423092307646,0.0574200498944689,-1.2056868745610736,-0.6496409772984868,-2.892848546056699,-1.3995083053700097,0.23931233191193357,0.6619015178467911,0.451779514071459,2.546083720550128,2.8378833625091717,-0.08963243619989038,0.2504660155535583,-0.8766354926683226,-0.8212943125351784,4.406608070056099,-1.0175816113562728,-1.2919398373420432,-1.5408790144343325,-0.3598760502602844,0.8818240871513987,-0.6739794390022519,-0.3429771817231712,-0.3853004539262434,-0.6684256080562063,-0.2178752849537986,-0.9090102814540382,-0.8272608095657615,3.246698987183953,-0.9020443673658192,0.5502263119021099,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.4061002235328866,-1.010636664724207,-3.0647875467347188,0.3918055656512392,0.5410476992132839,-0.12601071534860925,1.1032921549708723,0.047490934099570836
1475,998001,-0.7144750941485047,-0.6247989501743124,-0.46577162074153294,-0.5104819974886566,-1.3145939497364574,-0.7966034329075894,-0.9180400127858915,-1.0594287985544144,0.4947624076852497,-1.9302213594492215,-0.7928274937004338,-0.34531981463116374,-0.8825288252792318,1.142247559682896,1.3335467596858748,-0.22107253336405513,-0.0020710438684041687,0.49213108918043175,-0.8899364290615982,-0.8542718563588838,-0.35698543583214987,1.302677160729874,1.050176177829157,-0.35035573846117374,0.2570699595173194,0.37811885669638523,0.5960664787379951,-1.1715091824225048,-1.8010745089647122,-0.1788973792725402,0.15203980388136923,-1.323563337793854,-0.8233376579562188,-2.711994624663727,-1.1887210387972225,0.09028091667827014,0.5510167382178548,0.4371740869946739,1.966940417374779,1.559013412196006,-0.1382980598070865,-0.19300451600582982,-0.5840450261947737,-0.8212943125351784,4.707431471339083,-0.9532195132597769,-1.2583459929222849,-1.4845643442637846,-0.23565227187921367,0.8227266744039693,-0.6287420180548043,-0.4334772988092505,-0.4721858484283084,-0.8169625865256185,-0.3480619254319796,-0.9366633292817264,-0.7441193706473573,2.1001817942556356,-0.9677139964517572,0.1814889752923943,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.3038655855852916,-0.9842564521389404,-2.908861101321946,0.6113184397092486,0.6379322928100791,-0.12601071534860925,1.1032921549708723,0.047147022503228886
1751,999000,-0.651852550623315,-0.4779170848240626,-0.528948969664805,-0.32827847864231796,-0.45944804289860347,-1.4279540497431595,-0.9742451708193263,-0.8391133373248246,0.3944542633940737,-1.9302213594492215,-0.7928274937004338,-0.34531981463116374,-0.8825288252792318,1.142247559682896,1.3335467596858748,-0.22107253336405513,-0.0020710438684041687,0.49213108918043175,-0.8899364290615982,-0.8542718563588838,-0.35698543583214987,1.302677160729874,1.050176177829157,-0.22881515382639414,0.2681806021816555,0.4158288034928466,0.5601382902480637,-1.1715091824225048,-1.8010745089647122,-0.12065662431597296,0.15203980388136923,-1.3091471446464353,-0.8233376579562188,-2.68706783973967,-1.1121706031187488,0.10180393362489201,0.5510167382178548,0.4371740869946739,1.966940417374779,1.559013412196006,-0.1382980598070865,-0.19300451600582982,-0.5840450261947737,-0.8212943125351784,4.707431471339083,-0.9532195132597769,-1.2583459929222849,-1.4845643442637846,-0.23565227187921367,0.8227266744039693,-0.6287420180548043,-0.4334772988092505,-0.4721858484283084,-0.8169625865256185,-0.3480619254319796,-0.9366633292817264,-0.7441193706473573,2.1001817942556356,-0.9677139964517572,0.1814889752923943,-1.097355792021693,-0.10107553572207749,-0.9968641150576277,-0.604110826556947,-0.06609454016778545,-1.3038655855852916,-0.9842564521389404,-2.908861101321946,0.6113184397092486,0.6379322928100791,-0.12601071534860925,1.1032921549708723,0.046802517387385945
