,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank","Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Gender Inequality Index (GII),y
33,990025,-0.547909324396448,-0.4017907227044252,-0.024958281585647595,-0.13903899718255597,-0.2197905477053673,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.08618448201127209,-0.16861719486289065,-0.3837098728317589,0.7123701372173279,0.7495368071774644,-0.037654067650556816,-1.2201071735143563,-0.3280292981515418,-0.47325976569789685,-0.08542152469413473,0.5699979524696335,0.47883304714453984,-0.0004723067511872616,-1.4673621962439902,0.2718647011462087,-0.5117650057923328,0.4603638848632618,-0.12191177132508904,-0.542010716824077,-0.5689220260051261,0.2807638834236169,-0.01887044312183238,-0.6691620282586516,0.10274425611278126,-0.14267845345676794,-0.15919395924301788,-0.23695045815166066,-0.18586704874481028,-0.5184661630232017,-0.4344536616722408,-0.7487890865194758,0.5933564299538511,-0.3116107999180505,-0.4291522269974733,-0.7403942739529633,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37731193262929447,-0.5599913758764548,0.11818282141683316,-0.47504529616546287,-0.4678709846066753,-0.14125163330237528,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.08413464565480627,0.767850752943475,0.9848273363857836,0.975701236728396,0.12316098151374091,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,0.060341770014116405,-0.37447101175209424,0.06544894612818297
317,991020,0.1709810675525027,-0.12076176318251781,-0.41614903342027015,-0.6079447979220095,-0.15339018116877493,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.08618448201127209,-0.22117795671892332,-0.38078534370164924,0.7440071674979347,0.7048982864883597,-0.02426164196523767,-0.8003052989654509,-0.20738394873928573,-0.3475675405429017,-0.12653286738785358,0.2702595309772042,0.4901483097473209,-0.04285491673552443,-1.3690822945076448,0.26806395336361666,-1.1272044161789425,0.434942032231295,-0.00740927836294295,-0.2783138244923537,-0.4269190316860224,0.23613901831616835,0.05487634485894833,-0.6341691814438493,0.1573167959515246,-0.24181395521053686,-0.35015008634013145,-0.18981621114432415,-0.09781581540645785,-0.5184661630232017,-0.4344536616722408,-0.6639335992142088,0.08258734285442072,-0.3116107999180505,-0.4291522269974733,-0.7403942739529633,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37731193262929447,-0.5599913758764548,0.06678085202557942,-0.4981672232873789,-0.4678709846066753,-0.14125163330237528,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.08413464565480627,0.767850752943475,0.9848273363857836,0.975701236728396,0.1529285101134671,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,-0.02381184827596748,-0.37447101175209424,0.064601547724078
491,992016,0.2993282307621969,-0.12351812717855877,-0.4270218250345949,-0.41354191608235624,-0.4587282301815334,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.08618448201127209,-0.22117795671892332,-0.38078534370164924,0.7440071674979347,0.7048982864883597,-0.02426164196523767,-0.8003052989654509,-0.20738394873928573,-0.3475675405429017,-0.12653286738785358,0.2702595309772042,0.4901483097473209,-0.04285491673552443,-1.4673621962439902,0.2718647011462087,-0.5117650057923328,0.4603638848632618,-0.00740927836294295,-0.2783138244923537,-0.5689220260051261,0.23613901831616835,-0.01887044312183238,-0.6341691814438493,0.10274425611278126,-0.14267845345676794,-0.15919395924301788,-0.18981621114432415,-0.09781581540645785,-0.5184661630232017,-0.4344536616722408,-0.6639335992142088,0.08258734285442072,-0.3116107999180505,-0.4291522269974733,-0.7403942739529633,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37731193262929447,-0.5599913758764548,0.06678085202557942,-0.4981672232873789,-0.4678709846066753,-0.14125163330237528,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.08413464565480627,0.767850752943475,0.9848273363857836,0.975701236728396,0.1529285101134671,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,-0.02381184827596748,-0.37447101175209424,0.06427419748459927
718,993012,-0.24852342425763457,-0.10028652005103542,-0.5243771654976093,-0.5028378541475317,-0.21892601002381318,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.08618448201127209,-0.19255575653623258,-0.4269389902441441,0.9059537304331836,0.6387173254212981,0.02214056717876291,-0.4015723916448273,-0.3262601243711661,-0.18358679097512098,-0.15452927718523296,-0.18750959595334113,0.5253190108957662,-0.09668855017173202,-1.4673621962439902,0.2718647011462087,-0.5117650057923328,0.4603638848632618,0.09252897787127416,0.04050496356822993,-0.5689220260051261,0.18564244349748626,-0.01887044312183238,-0.5993813007089717,0.10274425611278126,-0.14267845345676794,-0.15919395924301788,-0.19889882739957668,0.004044365641224213,-0.5184661630232017,-0.4344536616722408,-0.5215709567062498,-0.5227125359490382,-0.3116107999180505,-0.4291522269974733,-0.7403942739529633,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37731193262929447,-0.5599913758764548,-0.0240809531733097,-0.5190888254118164,-0.4678709846066753,-0.14125163330237528,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.08413464565480627,0.767850752943475,0.9848273363857836,0.975701236728396,0.20749470356760974,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,-0.21821964915303038,-0.37447101175209424,0.06391596872186356
785,994009,-0.46895367966893453,-0.231375647943519,-0.5435370030949558,-0.23553108001307646,-0.25996978447562125,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.08618448201127209,-0.19255575653623258,-0.4269389902441441,0.9059537304331836,0.6387173254212981,0.02214056717876291,-0.4015723916448273,-0.3262601243711661,-0.18358679097512098,-0.15452927718523296,-0.18750959595334113,0.5253190108957662,-0.09668855017173202,-1.7327179309321235,0.28823988466244255,-0.1612123055585284,0.49853474271638487,0.09252897787127416,0.04050496356822993,-0.777569370855982,0.18564244349748626,-0.14657293668080817,-0.5993813007089717,-0.0385549029433274,-0.06605861691302367,0.028615209780689526,-0.19889882739957668,0.004044365641224213,-0.5184661630232017,-0.4344536616722408,-0.5215709567062498,-0.5227125359490382,-0.3116107999180505,-0.4291522269974733,-0.7403942739529633,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37731193262929447,-0.5599913758764548,-0.0240809531733097,-0.5190888254118164,-0.4678709846066753,-0.14125163330237528,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.08413464565480627,0.767850752943475,0.9848273363857836,0.975701236728396,0.20749470356760974,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,-0.21821964915303038,-0.37447101175209424,0.06355107957367256
1067,995006,-0.551528825956791,-0.0807445485615846,-0.2759926249655072,-0.5287028634985317,0.1410477636502183,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.14243353267758638,-0.10356673990223003,-0.49359950745674697,1.0497588099990949,0.6056651526838513,0.07835145520944467,-0.27074310846525296,-0.699517347001168,-0.0633078917784454,-0.17291030531094498,-0.5199285402221413,0.555291093119421,-0.13505639034170633,-1.8604818031893728,0.30705248554512593,-0.031727227948303266,0.5542259630223045,0.06315907355309071,0.12219509163547237,-0.9236984241880614,0.05123399788415294,-0.2353565950478148,-0.5776149736931839,-0.11441235607945358,-0.0023769660113361958,0.07668893416829403,-0.2608520798760094,0.05665719184490889,-0.5092439136532819,-0.19012723579052979,-0.40983041388147795,-0.9995379879499876,-0.17787104647821608,-0.4291522269974733,-0.9057623872280209,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37976910550671394,-0.40988376738194937,-0.06354078898094503,-0.5404253028043302,-0.3388874633313577,-0.13639954382712438,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.21161429087977807,0.767850752943475,0.9848273363857836,1.499716096386774,0.25308048973789016,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,-0.3284738317400094,-0.37447101175209424,0.06325284178833346
1153,996004,-0.3124805104773879,-0.12770175702173153,-0.10977995756551955,-0.4302428293670307,-0.17835360561365657,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.08618448201127209,-0.35323036590861145,-0.41014594210587846,0.8701595790536629,0.6196433207408402,0.042589790234634765,-0.3027339815670334,-0.2063223183514507,-0.13104876165129223,-0.18178334866870385,-0.20484853238922202,0.5263739479469539,-0.09575056099220376,-1.5972426833111408,0.29524281212998565,0.2240027363588891,0.4990962983500543,0.1678646717708649,0.11943292259564829,-0.8414945010220286,0.20773024148636207,-0.1512208022647771,-0.5882720141848781,-0.04263914852803183,0.06302797905389519,0.18902322021556117,-0.040873706289412254,0.02361983602369193,-0.5184661630232017,-0.4344536616722408,-0.45089041270132874,-0.581293899380934,-0.3116107999180505,-0.4291522269974733,-0.7403942739529633,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37731193262929447,-0.5599913758764548,-0.043551710412777174,-0.5205541204768883,-0.4678709846066753,-0.14125163330237528,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.08413464565480627,0.767850752943475,0.9848273363857836,0.975701236728396,0.22874137340501377,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,-0.19395229791247018,-0.37447101175209424,0.06235383196225575
1419,997002,0.1057961432291302,0.331334641761565,-0.7417046144583139,-0.4160368709911591,-0.15146893390433686,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,0.08618448201127209,-0.35323036590861145,-0.41014594210587846,0.8701595790536629,0.6196433207408402,0.042589790234634765,-0.3027339815670334,-0.2063223183514507,-0.13104876165129223,-0.18178334866870385,-0.20484853238922202,0.5263739479469539,-0.09575056099220376,-1.5972426833111408,0.29524281212998565,0.2240027363588891,0.4990962983500543,0.1678646717708649,0.11943292259564829,-0.8414945010220286,0.20773024148636207,-0.1512208022647771,-0.5882720141848781,-0.04263914852803183,0.06302797905389519,0.18902322021556117,-0.040873706289412254,0.02361983602369193,-0.5184661630232017,-0.4344536616722408,-0.45089041270132874,-0.581293899380934,-0.3116107999180505,-0.4291522269974733,-0.3111779949924938,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.37731193262929447,-0.5599913758764548,-0.043551710412777174,-0.5205541204768883,-0.4678709846066753,-0.14125163330237528,0.4055132387140906,1.006435180932344,0.8685706005758754,-0.08413464565480627,0.767850752943475,0.9848273363857836,0.975701236728396,0.22874137340501377,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,-0.19395229791247018,-0.37447101175209424,0.0620364644845367
1578,998001,-0.05252227461702847,-0.581413452247206,-0.9797214069444524,-0.5819532320164762,-0.02066276601505848,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,-0.0899933676357477,-0.6513151616141407,-0.3301309318270688,0.6685305805797163,0.6268153157133479,0.025901407557632483,-0.17040908745910127,0.08819880035631263,-0.19950582153938368,-0.19266063385536486,0.1625449568324176,0.4980569712293026,-0.07191052490893463,-1.0747459785491889,0.29309569902218263,0.8013341388103075,0.4612080839683154,0.4068404706567532,0.2928775768476042,-0.7763402020065423,0.3106461017023886,-0.07048891881634224,-0.5936372496339538,0.05719223577851352,0.1605260688971192,0.5341108118625063,0.2360903152663942,-0.024489835607711084,-0.5499886502149405,-1.1309673412913215,-0.4735444502142066,-0.10223051984426855,-0.37266489924367613,-0.4291522269974733,-0.38587467171342704,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.29873285782259595,-0.8304033414089603,-0.09620221353908777,-0.5052167967866834,-0.7287533173925587,-0.05407215655549615,0.4055132387140906,1.006435180932344,0.8685706005758754,0.1348756823492858,0.767850752943475,0.9848273363857836,0.37370831915085434,0.24665164782697324,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,0.07635284500703872,-0.37447101175209424,0.06163875252700679
1703,999000,0.12090335915888949,-0.3005019004698563,-0.2753641414636005,-0.7349431310496626,0.04153493064656001,0.1198019530654752,-0.21709752621599776,0.20784033401286497,0.094529080858157,-0.005194878706824771,0.13204655904858367,-0.0899933676357477,-0.6513151616141407,-0.3301309318270688,0.6685305805797163,0.6268153157133479,0.025901407557632483,-0.17040908745910127,0.08819880035631263,-0.19950582153938368,-0.19266063385536486,0.1625449568324176,0.4980569712293026,-0.07191052490893463,-0.9982567839482546,0.28975238971884754,0.8741596502198751,0.4265666323377761,0.4068404706567532,0.2928775768476042,-0.7707353355371346,0.3106461017023886,-0.08943493474911525,-0.5936372496339538,0.04271555705525338,0.18089979098174247,0.5341108118625063,0.2360903152663942,-0.024489835607711084,-0.5499886502149405,-1.1309673412913215,-0.4735444502142066,-0.10223051984426855,-0.37266489924367613,-0.4291522269974733,-0.3908944961924316,1.5996510192194089,0.31615157333245625,0.17940755220745966,-0.29873285782259595,-0.8304033414089603,-0.09620221353908777,-0.5052167967866834,-0.7287533173925587,-0.05407215655549615,0.4055132387140906,1.006435180932344,0.8685706005758754,0.1348756823492858,0.767850752943475,0.9848273363857836,0.37370831915085434,0.24665164782697324,-0.12614155150207332,-1.035283877260384,-0.276170957006554,-0.13553275187038075,-0.4867196322496984,-0.0308206256953916,-0.1671586432104534,0.1839292665637329,0.1991038935530774,0.07635284500703872,-0.37447101175209424,0.06129712011809407
