,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
95,990025,-0.08723360933628332,-0.3802988946573835,0.26960365009803156,-0.3420212593775091,0.09534513183135604,0.23202739151943416,-0.4795924713828975,0.2128525344124381,-0.21062990260531764,0.4821953883161037,0.028761537569508375,0.3859079838630145,-0.11510936718813874,0.20400928693941253,0.10237366810719038,-0.7442806640607635,0.7429833739159741,0.5889077860240685,-0.11023969124333871,-0.14878922116935722,-0.21902866502100876,0.32768992228887056,0.09490362255948936,-0.23340225192163594,0.09097309170114837,-0.31011235910289076,0.48816897702230944,-0.025109292125559086,-0.9197319723418468,-0.6475398359035587,0.4856935857457043,0.026105589079098542,0.7786071930950833,-0.5940918167168089,1.0890531338138243,-0.37338406631030674,0.7436341994692599,0.6683874808411737,-0.12056290876774978,-0.7300001627724552,-0.08216171003599468,0.18205888958478889,0.895167833619539,-0.572932554854535,-0.17306424001360227,-0.1221588996217953,0.2794756682082224,0.4719993441463523,0.22820286029446119,-0.12357875701170896,0.7888006120504402,-0.21138947946588188,-0.6649515424323534,-0.3370709335128593,-0.13037405695017668,-0.09676670340652407,-0.6940336525559577,-0.7165664517875301,0.1066150498413172,-0.7835550762301213,0.6331577490833952,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,-0.27647583793986136,0.6483950066220057,0.051294555375992576,0.06885763770561071
231,991020,-0.22759143223821962,-0.5173494703851846,-0.3656631305093118,-0.06025102933850875,-0.2680902844158921,0.43830493265441733,0.09034119594732244,0.4797894016563055,-0.4109871598825954,0.4821953883161037,0.028761537569508375,0.40575525666469775,-0.10780130999472236,0.16791948903304388,0.11650063415677621,-0.6656726177475614,0.20520566842510607,0.7420891495548588,-0.20772902526856182,-0.15119022455331163,-0.3117697331106584,0.2722663221168597,0.06966730102787773,-0.3647961458911912,0.09603813145949003,-0.21898528842430767,0.49711988294790405,-0.03287461355298794,-0.8081767477227256,-0.7890853562977167,0.3941228024394134,-0.0052567701685177605,0.7917441856010439,-0.6176529771739383,1.0404533039145707,-0.42398769286764443,0.7040140410224731,0.540056164378022,-0.024265939116722604,-0.6514274362093295,-0.09225599425352256,0.11917095658806824,0.5596906828206619,-0.572932554854535,-0.10607247698333594,-0.015192428815580356,0.2372743776390461,0.4719993441463523,0.22820286029446119,-0.0723147738203917,0.7251536787588745,-0.21138947946588188,-0.6649515424323534,-0.3370709335128593,-0.09229276170643182,-0.1944757724759516,-0.5808945868228158,-0.6150719292875884,0.15702225986086918,-0.7835550762301213,0.6331577490833952,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,0.33710176626481764,0.6483950066220057,0.051294555375992576,0.06862649036185386
519,992016,-0.13517875370315924,-0.291439389990583,0.08681836462224207,-0.29460183094617653,-0.16897494378881545,0.2086766337376118,0.20511625869283936,0.16732331773946135,-0.45714531350418974,0.4821953883161037,0.028761537569508375,0.40575525666469775,-0.10780130999472236,0.16791948903304388,0.11650063415677621,-0.6656726177475614,0.20520566842510607,0.7420891495548588,-0.20772902526856182,-0.15119022455331163,-0.3117697331106584,0.2722663221168597,0.06966730102787773,-0.23340225192163594,0.09097309170114837,-0.31011235910289076,0.48816897702230944,-0.03287461355298794,-0.8081767477227256,-0.6475398359035587,0.3941228024394134,0.026105589079098542,0.7917441856010439,-0.5940918167168089,1.0890531338138243,-0.37338406631030674,0.7040140410224731,0.540056164378022,-0.024265939116722604,-0.6514274362093295,-0.09225599425352256,0.11917095658806824,0.5596906828206619,-0.572932554854535,-0.10607247698333594,-0.015192428815580356,0.2372743776390461,0.4719993441463523,0.22820286029446119,-0.0723147738203917,0.7251536787588745,-0.21138947946588188,-0.6649515424323534,-0.3370709335128593,-0.09229276170643182,-0.1944757724759516,-0.5808945868228158,-0.6150719292875884,0.15702225986086918,-0.7835550762301213,0.6331577490833952,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,0.33710176626481764,0.6483950066220057,0.051294555375992576,0.06872458247834101
590,993012,-0.1935839166219969,-0.285335776924178,0.7473504662288847,0.22419510804753778,0.5312101538299231,0.045307148251855646,-0.3973278539417316,0.2674739240416568,0.003633521981396179,0.4821953883161037,0.028761537569508375,0.40685335034684167,-0.07894128541812727,0.18185118535275843,0.09855593931653628,-0.5998610466006435,-0.13078759662347594,1.0160131988621386,-0.3579186301024096,-0.12633419865698678,-0.5021776675701561,0.2287708112992159,0.05907110817947845,-0.23340225192163594,0.09097309170114837,-0.31011235910289076,0.48816897702230944,0.012713583008207921,-0.5296706237212826,-0.6475398359035587,0.2949316515481063,0.026105589079098542,0.8271860876303775,-0.5940918167168089,1.0890531338138243,-0.37338406631030674,0.7743696114448751,0.35530060600271185,0.12973390097764212,-0.7305592187440599,-0.064925983198393,-0.22805580443640763,0.05664338364940782,-0.572932554854535,-0.09331232998240294,0.03637622941757646,0.24480852833067385,0.4719993441463523,0.22820286029446119,-0.02921957161709629,0.642248597942026,-0.21138947946588188,-0.6649515424323534,-0.3370709335128593,-0.09572087081214013,-0.2763217614644303,-0.32749739035993014,-0.5750198065725161,0.19906579419142262,-0.7835550762301213,0.6331577490833952,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,0.6613825038030292,0.6483950066220057,0.051294555375992576,0.0685937331352795
833,994009,-0.2782319037535193,-0.4525812847351448,-0.12931868274428326,0.06364781158029353,0.43146999172649003,0.35833246928853474,-0.04231855883040497,0.3516044376691129,-0.22927571841972766,0.4821953883161037,0.028761537569508375,0.40685335034684167,-0.07894128541812727,0.18185118535275843,0.09855593931653628,-0.5998610466006435,-0.13078759662347594,1.0160131988621386,-0.3579186301024096,-0.12633419865698678,-0.5021776675701561,0.2287708112992159,0.05907110817947845,0.02666009443287523,0.04458599869050918,-0.4155088572584639,0.4757670165504072,0.012713583008207921,-0.5296706237212826,-0.21442168298257105,0.2949316515481063,0.11480596107562174,0.8271860876303775,-0.48969770301330096,1.1771319015714832,-0.27932283226237825,0.7743696114448751,0.35530060600271185,0.12973390097764212,-0.7305592187440599,-0.064925983198393,-0.22805580443640763,0.05664338364940782,-0.572932554854535,-0.09331232998240294,0.03637622941757646,0.24480852833067385,0.4719993441463523,0.22820286029446119,-0.02921957161709629,0.642248597942026,-0.21138947946588188,-0.6649515424323534,-0.3370709335128593,-0.09572087081214013,-0.2763217614644303,-0.32749739035993014,-0.5750198065725161,0.19906579419142262,-0.7835550762301213,0.6331577490833952,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,0.6613825038030292,0.6483950066220057,0.051294555375992576,0.06846633786747025
923,995006,-0.14810606087527978,0.0,-0.24211637960627186,-0.14306847322507404,-0.14213291901692102,0.05654577579882314,0.04444750602715434,0.33953631743755375,-0.11155858053203122,0.4821953883161037,0.028761537569508375,0.3881956790341471,-0.05498431598689912,0.23717999246254248,0.059648204201856986,-0.6071732241713504,-0.7842587399412161,1.184394849735547,-0.4515797022293562,-0.07974470479067712,-0.5590428336986829,0.19176645098373366,0.06179051990824148,0.2543999168576453,-0.004803375085377784,-0.5703069489428853,0.4626699927481761,0.13770569559299753,-0.4223996080535565,0.07715094954425764,0.24952417886163902,0.17953567149090555,0.8672119481684174,-0.40886474976692255,1.272239534855775,-0.23586522477178717,0.9111474623797412,0.2064985849028976,0.17559062987525909,-0.9184091688075279,-0.01709025514282902,-0.5413301958828693,-0.003130914900558146,-0.547764743350374,-0.14116387251126977,0.04973662782206084,0.3016349349483045,0.4719993441463523,0.22820286029446119,-0.0038698620025552732,0.6160816936820055,-0.07022362876954819,-0.8766387531001291,-0.3370709335128593,-0.13853622148757758,-0.29163810576004456,-0.22477958503209636,-0.6164361449998481,0.21725592965856344,-0.5266801175498811,0.9081484583655355,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,0.9707577679763387,0.6483950066220057,0.16425359594643765,0.06842158899993167
1156,996004,-0.34480448330632074,-0.5805863815326966,0.18043283218007292,0.1061060592690226,0.006799761239485993,0.608110456501814,0.4103669528841414,0.6494421956480162,-0.12069053534679547,0.4821953883161037,0.028761537569508375,0.4170656476100726,-0.056364627271294605,0.10372028806732084,0.13064622706651086,-0.5084565251211574,-0.3831095691131343,1.135712279986236,-0.3609717643442778,-0.23484539540941285,-0.4920777027669508,0.195423133049091,0.019556279284425725,0.02022110798595667,0.07096351072570084,-0.40775481925499607,0.46490973948346875,-0.12018232106863387,-0.5423651895704462,-0.15802593744288895,0.28150313168746743,0.10301027110436177,0.8247561172285047,-0.4936598513800844,1.1515628924455406,-0.2577338878625838,0.7082063098764589,0.2699813074620191,0.16818249972792898,-0.5666445467605091,-0.08714447992109552,-0.3357537836428685,-0.24693168431921236,-0.572932554854535,0.02663503437710341,0.07119419654716765,0.17364132670988394,0.4719993441463523,0.22820286029446119,-0.0041621774788114,0.577133541971531,-0.21138947946588188,-0.6649515424323534,-0.3370709335128593,-0.10743437164309678,-0.30645295010278356,-0.24763657730973634,-0.564050103941969,0.2611795482485003,-0.7835550762301213,0.6331577490833952,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,0.9019907551510865,0.6483950066220057,0.051294555375992576,0.06727632342510159
1268,997002,-0.5012892025154129,-0.17764880609760686,-0.6301555138801688,-0.3752514249663406,0.3308955471329906,0.8303806915511175,-0.415587678618636,0.2940127722990901,0.07961912334922105,0.4821953883161037,0.028761537569508375,0.4170656476100726,-0.056364627271294605,0.10372028806732084,0.13064622706651086,-0.5084565251211574,-0.3831095691131343,1.135712279986236,-0.3609717643442778,-0.23484539540941285,-0.4920777027669508,0.195423133049091,0.019556279284425725,0.02022110798595667,0.07096351072570084,-0.40775481925499607,0.46490973948346875,-0.12018232106863387,-0.5423651895704462,-0.15802593744288895,0.28150313168746743,0.10301027110436177,0.8247561172285047,-0.4936598513800844,1.1515628924455406,-0.2577338878625838,0.7082063098764589,0.2699813074620191,0.16818249972792898,-0.5666445467605091,-0.08714447992109552,-0.3357537836428685,-0.24693168431921236,-0.7747322175705886,0.02663503437710341,0.07119419654716765,0.17364132670988394,0.4719993441463523,0.22820286029446119,-0.0041621774788114,0.577133541971531,-0.21138947946588188,-0.6649515424323534,-0.3370709335128593,-0.10743437164309678,-0.30645295010278356,-0.24763657730973634,-0.564050103941969,0.2611795482485003,-0.7835550762301213,0.6331577490833952,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,0.9019907551510865,0.6483950066220057,0.051294555375992576,0.06695212809410034
1460,998001,-0.30529449332799735,-0.6452090999464308,-0.5645253399630892,-0.1080024345027175,0.6202451250570045,0.30107694312528355,0.13657436259415237,0.5029415012416665,0.012143722381702436,0.4821953883161037,0.028761537569508375,0.49899866885675337,-0.033497353513327915,-0.10186146017170392,0.17452653956743863,-0.2627090936588181,-0.3718129316911101,1.1322349140530037,-0.2597633602616271,-0.49645880081905736,-0.33354803500291874,0.16458444326631508,-0.07562293718555724,-0.21717719410919112,0.1600214771522366,-0.24137936170267213,0.4561816816240845,-0.5043151722337413,-0.8785948097223689,-0.36813804863462146,0.32311611028031983,-0.036894361308932554,0.7531975857072913,-0.5880555415885275,1.0023709686971398,-0.261512602987466,0.4413375382400103,0.3028964274672019,0.23120497636435466,-0.048107716409031935,-0.19130290722302884,-0.2391287037527853,-0.7064925804097514,-0.7000343404178548,0.2677134551328693,0.1792341853975336,0.03318701948651193,0.4719993441463523,0.22820286029446119,-0.020169348461238683,0.4657532804351367,-0.5437358550872838,-0.402331354024577,-0.3370709335128593,-0.09292331330056296,-0.3755249632406234,-0.19435037486419598,-0.5033942558452792,0.34015860167633905,-1.3743676876080493,0.3030083711037977,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,1.161605715435048,0.6483950066220057,0.051294555375992576,0.06656884434990884
1728,999000,-0.38504513850402683,-0.43483986427369353,-0.2581902572418606,-0.20111087864405405,0.10441898525117788,0.3444906288178277,-0.10286929818599742,0.7752378559657633,-0.4094457022011918,0.4821953883161037,0.028761537569508375,0.49899866885675337,-0.033497353513327915,-0.10186146017170392,0.17452653956743863,-0.2627090936588181,-0.3718129316911101,1.1322349140530037,-0.2597633602616271,-0.49645880081905736,-0.33354803500291874,0.16458444326631508,-0.07562293718555724,-0.18225661615281014,0.16411075536451797,-0.23096905618164926,0.4626677278695807,-0.5043151722337413,-0.8785948097223689,-0.35350473246940667,0.32311611028031983,-0.028876386963833225,0.7531975857072913,-0.6000903306625587,1.0247948291765534,-0.2593279422491969,0.4413375382400103,0.3028964274672019,0.23120497636435466,-0.048107716409031935,-0.19130290722302884,-0.2391287037527853,-0.7064925804097514,-0.7000343404178548,0.2677134551328693,0.1792341853975336,0.03318701948651193,0.4719993441463523,0.22820286029446119,-0.020169348461238683,0.4657532804351367,-0.5437358550872838,-0.402331354024577,-0.3370709335128593,-0.09292331330056296,-0.3755249632406234,-0.19435037486419598,-0.5033942558452792,0.34015860167633905,-1.3743676876080493,0.3030083711037977,0.15030500794319288,-0.6650761482552149,-0.47723810151613477,-0.5140156537108586,-0.5181376418592691,0.18954585299365218,-0.30598960831048394,0.09653412417683917,-0.12031989045591299,1.161605715435048,0.6483950066220057,0.051294555375992576,0.06629835959047893
