,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Gender Inequality Index (GII),y
81,990025,0.2562186755419967,-0.03974007977723927,0.19454627465316968,-0.6262686934802076,-0.18616287184088604,-0.7774218966167522,-0.35428792953785715,-0.6935892363143551,0.14082071638279217,0.40731936675460806,0.4731682171288487,-0.8606185299210042,-1.1025502222812578,-0.08035807976558969,0.00010104726448311612,0.3424234042070998,0.06351856466905839,0.5011028739170998,-1.3828569464793643,-0.0680179062216852,-0.44713391172056866,1.7300087149436147,0.7597659607799158,0.6621197509942468,1.9189695816170735,0.44843698471186405,0.16961426611993866,0.23088877995952178,-0.37464104970043693,-1.528332119587822,-0.23051287915350735,0.9545603876666348,-0.4080027082258845,-1.0295730786203596,-2.2544039822570485,1.0561460112763645,0.2465778852838285,-0.000754367825803314,-0.17553963670179182,0.021108005373712782,-0.13338509768987428,0.6268900739929906,-0.43814830167274604,-0.13572301250729382,3.0490649587689806,-0.5186822816165353,-0.5622209209490715,-0.7799550300151,-0.718769688153842,-0.13594592519865328,-0.4619029730694219,-0.5118039619287035,-0.3487986642167387,0.30311763106164463,0.25440424151104246,-0.46364695277727996,-0.4457558310732896,-0.5806847199847506,0.5039810188869015,-0.3490896075894384,-0.1260997508489561,0.25142508690091014,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.4664249843659604,-0.5242379872855782,-1.3188067286260976,0.24698418244848136,-0.20014019809402137,0.4082363657218027,0.06807814806869761
278,991020,0.5333023914116226,-0.35442376968523226,-0.6161618089516787,-0.14791008417855966,-0.6564565277554073,-0.6639588503586273,-0.6032437504939825,-0.5444878073731344,0.08065980744329557,0.40731936675460806,0.4731682171288487,-0.3912424528837278,-0.8377874956112832,-0.012369302474570722,0.04341336229423929,0.14510798676141648,-0.03591927799537089,0.4037773466088776,-0.8041425690225533,0.13061081392945664,-0.3031916929588917,1.451562481364605,0.683964116189491,0.5490154187995837,1.860615770002753,0.49990906760279147,0.14771256353409082,0.263661015312321,-0.4700746110028774,-1.5220430509990335,-0.2704590481013917,0.6698665875542822,-0.3341494857873327,-0.9043163836661802,-2.1910418274727883,1.121626388299217,0.2779668455045707,-0.05105276487119588,-0.16055862438538743,0.14460928676826248,-0.05275260962618345,0.5042254893543312,-0.4095811438790239,-0.13572301250729382,3.0154845047639514,-0.5764267243696589,-0.5298787592284819,-0.7214767400923924,-0.6410742394415382,-0.09111805295467466,-0.43815821763310936,-0.5118039619287035,-0.3487986642167387,0.30311763106164463,0.25582184177376355,-0.4821582336959024,-0.5724794464331131,-0.40436009352963886,0.4620442487244026,-0.526099216277883,-0.1260997508489561,0.12050423701578987,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.4664249843659604,-0.5242379872855782,-1.3188067286260976,0.24698418244848136,-0.20014019809402137,0.4082363657218027,0.06803428896354202
453,992016,-0.5265058706706488,-0.037811043056105755,0.5730543471743232,-0.2757171657079803,-0.01880227708097036,-0.8012141919833796,-0.5035274687618633,-0.943769963623656,0.346018598633993,0.40731936675460806,0.4731682171288487,-0.3912424528837278,-0.8377874956112832,-0.012369302474570722,0.04341336229423929,0.14510798676141648,-0.03591927799537089,0.4037773466088776,-0.8041425690225533,0.13061081392945664,-0.3031916929588917,1.451562481364605,0.683964116189491,0.5490154187995837,1.9189695816170735,0.44843698471186405,0.16961426611993866,0.23088877995952178,-0.4700746110028774,-1.5220430509990335,-0.23051287915350735,0.6698665875542822,-0.4080027082258845,-0.9043163836661802,-2.2544039822570485,1.0561460112763645,0.2465778852838285,-0.05105276487119588,-0.16055862438538743,0.14460928676826248,-0.05275260962618345,0.5042254893543312,-0.4095811438790239,-0.13572301250729382,3.0154845047639514,-0.5764267243696589,-0.5298787592284819,-0.7214767400923924,-0.6410742394415382,-0.09111805295467466,-0.43815821763310936,-0.5118039619287035,-0.3487986642167387,0.30311763106164463,0.25582184177376355,-0.4821582336959024,-0.5724794464331131,-0.40436009352963886,0.4620442487244026,-0.526099216277883,-0.1260997508489561,0.12050423701578987,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.4664249843659604,-0.5242379872855782,-1.3188067286260976,0.24698418244848136,-0.20014019809402137,0.4082363657218027,0.06796402632120968
663,993012,0.3808136006065193,0.16060894238993081,-0.4120023262783816,-0.5809163559809751,-0.9152267667555226,-0.8350448731455917,-0.6257075548860177,-0.7728664385780274,0.3643646077339344,0.40731936675460806,0.4731682171288487,0.3558456521355251,-0.4939177490094564,0.04728336227679463,0.10347435160408402,-0.10095672894813769,-0.067018826189822,0.3403753152477911,0.02846295047907786,0.2868373018019972,0.1292650925724894,1.3702896023612225,0.6505439710954296,0.36039405471821817,1.9189695816170735,0.44843698471186405,0.16961426611993866,0.23088877995952178,-0.49269859824919576,-1.4893429299424563,-0.23051287915350735,0.43294831481598267,-0.4080027082258845,-0.8576173072621901,-2.2544039822570485,1.0561460112763645,0.2465778852838285,-0.14161238530776227,-0.0896294270657332,0.4653290943877329,-0.15498343355687907,0.10691452451203293,-0.3945094200452061,-0.13572301250729382,2.9885457989592625,-0.7467971358691503,-0.46555920220474156,-0.6903556500462177,-0.6087765947674931,-0.0007659388756260898,-0.383137339032001,-0.5118039619287035,-0.3487986642167387,0.30311763106164463,0.30536975935917804,-0.5457815560281034,-0.7905994107428508,0.054308833586118245,0.3916344746490937,-0.6767528884692554,-0.1260997508489561,-0.20067991529303744,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.4664249843659604,-0.5242379872855782,-1.3188067286260976,0.24698418244848136,-0.20014019809402137,0.4082363657218027,0.06769776844492714
780,994009,0.1342997708934243,-0.17752588204342235,-0.6831722962087766,-0.36104909094473503,-0.8968080390973451,-0.5675592670043971,-0.672376758499995,-0.6466771713192013,-0.11443060908037801,0.40731936675460806,0.4731682171288487,0.3558456521355251,-0.4939177490094564,0.04728336227679463,0.10347435160408402,-0.10095672894813769,-0.067018826189822,0.3403753152477911,0.02846295047907786,0.2868373018019972,0.1292650925724894,1.3702896023612225,0.6505439710954296,0.36039405471821817,1.9231090854781183,0.4108722720062425,0.21683759726591206,0.18636469645212117,-0.49269859824919576,-1.4893429299424563,-0.09344096493435883,0.43294831481598267,-0.43453788692846973,-0.8576173072621901,-2.3643125426817218,0.8891578674604409,0.06172650477495917,-0.14161238530776227,-0.0896294270657332,0.4653290943877329,-0.15498343355687907,0.10691452451203293,-0.3945094200452061,-0.13572301250729382,2.9885457989592625,-0.7467971358691503,-0.46555920220474156,-0.6903556500462177,-0.6087765947674931,-0.0007659388756260898,-0.383137339032001,-0.5118039619287035,-0.3487986642167387,0.30311763106164463,0.30536975935917804,-0.5457815560281034,-0.7905994107428508,0.054308833586118245,0.3916344746490937,-0.6767528884692554,-0.1260997508489561,-0.20067991529303744,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.4664249843659604,-0.5242379872855782,-1.3188067286260976,0.24698418244848136,-0.20014019809402137,0.4082363657218027,0.0674353354984244
1033,995006,0.26555773827801576,0.05017903795315906,-0.5007551578356949,-0.5627027901265181,-0.8738674237713798,-0.7310874557978753,-0.14773823469961855,-0.18791334440568447,0.1347710696387547,0.40731936675460806,0.4731682171288487,0.6958150222024396,-0.3550072948859816,0.06877358211282365,0.1581562822903904,-0.3051153213443584,-0.04755125031112408,0.3425977955143837,0.5995371475721393,0.3914717639916694,0.41777965934219397,1.5042507177119953,0.6762155980447621,0.1381715174348977,1.8765369386990802,0.41824664867752664,0.2866047139634245,0.13270782852584864,-0.4411821886601965,-1.4465818169463793,0.003684780336905307,0.3310912488816367,-0.3973284826982499,-0.8739094906070586,-2.4658132285344703,0.6304847888406191,-0.09173591551316836,-0.25230886903848737,-0.04418927129502437,0.7847265949438814,-0.417359608608473,-0.16773185569160676,-0.39104916469206513,0.02861990398904534,2.9698334711081267,-0.905887762297196,-0.3929589287813331,-0.6762180631945174,-0.6514829284162481,0.08993435999896822,-0.33090088116202054,-0.6453104807157832,-0.1196703876993683,0.30311763106164463,0.3723754738572672,-0.590893597441683,-0.9001724233852421,0.5113841541003857,0.36316147073628385,-0.8871384368443394,0.09199384362118079,-0.4177085637424803,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.3465852734096982,-0.6093636834983805,-1.3438197800000011,0.21413859761927198,-0.29461463649847963,0.4110455956404458,0.06721377355133472
1089,996004,-0.02085936394578539,0.0630346427722491,-0.2726199494358864,-0.08753045004283741,-0.6350970648808845,-0.5727651619841193,-0.1616423275301934,-0.27997035517306856,0.444334043181076,0.40731936675460806,0.4731682171288487,0.40620767579959316,-0.34286041485768526,0.06602451393866748,0.1101529773145642,-0.14438975215159405,-0.1781333752379537,0.31480422803311603,0.17113271237532834,0.3762486468644334,0.1957242451098169,1.0364411496786037,0.5900735573076674,0.33545631763567924,1.9478987308035567,0.3676917563453744,0.19443467693461763,0.2113926792190271,-0.5587359154118947,-1.5042128819903346,-0.13795090240843838,0.39134706486743576,-0.5304640359175101,-0.7837204659616774,-2.5344821246957783,0.9841523462169799,0.10672449255646504,-0.13405738673040826,-0.07662246944163881,0.6303051331800557,-0.04483378130148081,-0.24811486548256215,-0.3829562860934682,-0.13572301250729382,2.968620554358243,-0.7440761485630236,-0.48213464328970623,-0.6794353139841625,-0.5432509844214518,-0.011150501643902268,-0.40045276893029474,-0.5118039619287035,-0.3487986642167387,0.30311763106164463,0.22362007266101785,-0.5386702467556048,-0.797208021405198,0.04338805558976056,0.3323757188586609,-0.7920614255324097,-0.1260997508489561,-0.12155664524158824,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.4664249843659604,-0.5242379872855782,-1.3188067286260976,0.24698418244848136,-0.20014019809402137,0.4082363657218027,0.06677048101351557
1298,997002,0.23396773320479677,0.32909974876517945,-0.23522405584416903,-0.2546602777620412,-0.6572887297184535,-0.19496172526941474,-0.21783240887299885,-0.4005834506937862,0.19344676196321436,0.40731936675460806,0.4731682171288487,0.40620767579959316,-0.34286041485768526,0.06602451393866748,0.1101529773145642,-0.14438975215159405,-0.1781333752379537,0.31480422803311603,0.17113271237532834,0.3762486468644334,0.1957242451098169,1.0364411496786037,0.5900735573076674,0.33545631763567924,1.9478987308035567,0.3676917563453744,0.19443467693461763,0.2113926792190271,-0.5587359154118947,-1.5042128819903346,-0.13795090240843838,0.39134706486743576,-0.5304640359175101,-0.7837204659616774,-2.5344821246957783,0.9841523462169799,0.10672449255646504,-0.13405738673040826,-0.07662246944163881,0.6303051331800557,-0.04483378130148081,-0.24811486548256215,-0.3829562860934682,-0.6472934482787316,2.968620554358243,-0.7440761485630236,-0.48213464328970623,-0.6794353139841625,-0.5432509844214518,-0.011150501643902268,-0.40045276893029474,-0.5118039619287035,-0.3487986642167387,0.30311763106164463,0.22362007266101785,-0.5386702467556048,-0.797208021405198,0.04338805558976056,0.3323757188586609,-0.7920614255324097,-0.1260997508489561,-0.12155664524158824,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.4664249843659604,-0.5242379872855782,-1.3188067286260976,0.24698418244848136,-0.20014019809402137,0.4082363657218027,0.0665595017182321
1518,998001,0.06193043307819968,0.45923572659481865,-0.3537763848915876,-0.46108586127475476,-0.4984730434420999,-0.6520983763263629,-0.24246548395255502,-0.5454458894715783,0.31044707128097904,0.40731936675460806,0.4731682171288487,-0.31944562593821685,-0.3116944901076231,0.06334067861770042,0.06548898519397817,-0.06294889637933138,-0.38039292471695946,0.27729500379393734,-0.3461036197292504,0.4244198672878291,0.018749525122983626,0.308490284435053,0.4381208096618719,0.4210154127272637,1.9701373446882877,0.28111248652600035,0.07071307872237152,0.303191841286139,-0.7763926037282939,-1.6062379720184867,-0.5698202867778691,0.4128807676863397,-0.7557349983111564,-0.6519130073390204,-2.6484002220858,1.2933088240541941,0.40181024253627207,-0.004220221461206505,-0.09300411245509846,0.5744364854965446,0.2992945949136518,-0.5818933185657196,-0.35008141154955896,-0.541559292780831,2.8950769665600347,-0.5917681900227316,-0.5842076384138621,-0.6695933619381245,-0.34449254559724835,-0.15243634390584992,-0.5123308048097156,-0.44010786385639,-0.7759594899419661,0.30311763106164463,-0.06244800656253891,-0.4655594280819619,-0.6494250675134752,-0.28111807422681123,0.23804205216626229,-0.7579815531686529,-0.3771196401238936,0.4574161375374172,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.5912956023426951,-0.45726343655308505,-1.2212301089635818,0.24429021665743633,-0.08518678418324412,0.4085569863989644,0.06625182154701248
1794,999000,0.35318236380263657,0.04385378986704212,-0.39955701342337674,-0.037273532269033696,-0.5480569581131624,-0.6194202005992895,-0.34564067704805623,0.018907753928282506,0.0708862998577864,0.40731936675460806,0.4731682171288487,-0.32441035600364293,-0.3116944901076231,0.06334067861770042,0.06548898519397817,-0.06294889637933138,-0.38039292471695946,0.27729500379393734,-0.3461036197292504,0.4244198672878291,0.018749525122983626,0.308490284435053,0.4381208096618719,0.4210154127272637,2.0438275786918494,0.20882121301662143,0.08163663046305882,0.2789348310814562,-0.7763926037282939,-1.6062379720184867,-0.5788965444869021,0.4128807676863397,-0.7557349983111564,-0.6519130073390204,-2.646550888083575,1.4618993001012972,0.4034485779196699,-0.004220221461206505,-0.09300411245509846,0.5744364854965446,0.2992945949136518,-0.5818933185657196,-0.35008141154955896,-0.4980892989169539,2.8950769665600347,-0.5917681900227316,-0.5842076384138621,-0.6695933619381245,-0.34449254559724835,-0.15243634390584992,-0.5123308048097156,-0.44010786385639,-0.7759594899419661,0.30311763106164463,-0.06244800656253891,-0.4655594280819619,-0.6494250675134752,-0.28111807422681123,0.23804205216626229,-0.7579815531686529,-0.3771196401238936,0.4574161375374172,-0.34708753638813533,-1.1146398859007605,-0.4905739573468679,-0.6490326286196891,-0.5912956023426951,-0.45726343655308505,-1.2212301089635818,0.24429021665743633,-0.08518678418324412,0.4085569863989644,0.0659602020569352
