,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),y
75,990025,-1.3756110320917694,-0.605097248644274,-0.5457017135838325,-0.5447701412311343,-1.575577392072673,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-0.931850258985103,-1.3712786176524814,-0.690978898445051,2.5732076384072684,2.254450956369563,-0.5502394466722131,0.6751192733290171,-0.38984087815521146,-1.7670414169294202,-1.2857970219630148,0.032666633259374606,0.47814103182015344,1.4662397285936193,-0.13439594118273568,0.9696425742575013,-0.09071126020643488,1.5331039898284693,1.3443784147211493,1.3173001264818842,-1.059217382593998,0.9973819291850741,1.5738801774609035,-0.08541493423739976,0.3733390409004549,-0.42628461498319503,-0.23764587429585476,0.8874005217776988,1.415124926084086,2.2064641524445845,2.942947914309808,-0.30411787627125947,-0.20328133665015172,-0.44702796421977486,-0.21855143088362255,-0.9595830303593654,-0.5839733853115956,-0.23315060121106002,-0.7471194352527675,-0.6152817121481051,-1.4606831890131708,2.505076410383376,1.3949852052992022,-0.7138799418363433,-0.42708342034200997,-1.5369238505754825,-0.3879801000413684,-0.813517698321201,-0.3257868578878304,-1.1603029981111517,-0.9124360235785424,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.4551401595893188,-1.7227340522895234,-0.4877125956476309,0.05290026548104332
223,991020,-1.3572330962939345,-1.2714923166579524,-0.9302661892599895,-0.8933545879371878,-1.5147525216637556,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-0.993285683967645,-0.8686644747413294,-0.8233392036077822,2.2150776304914572,2.135182362931423,-0.616869416776824,0.2449281689128053,-0.20464045447644202,-1.4904035233960296,-1.264517850573467,0.0391534552571758,0.6471943897188277,1.4593268664446544,-0.4475671675965793,1.0395324228683325,-0.09884626468925706,1.5843640992349588,1.4974115638520475,1.5050354676079594,-1.1230754252127988,1.0807145367802888,1.5252619723752696,-0.11257427822104907,0.42217978051751687,-0.5541976978618947,-0.3423657981306494,0.9126543473471475,1.148520397382303,1.909997247307259,2.5311414240795407,-0.4514824718827139,-0.32736171720955964,-0.6558306946604181,-0.22374689749876922,-0.9595830303593654,-0.6169828703463003,-0.23315060121106002,-0.7471194352527675,-0.8166203090795219,-1.261542093716029,2.2776929575267117,1.3026978853806772,-0.7138799418363433,-0.42708342034200997,-1.5369238505754825,-0.4944247175981111,-0.7650135680795035,-0.5706949607376773,-1.1603029981111517,-0.9021020295920478,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.5096254225546339,-0.9476462942559886,-0.4877125956476309,0.052227649525176216
412,992016,-0.9548278770217338,-1.1038411659775111,-0.5818810277564234,-0.7043543812850218,-1.3683955316261491,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-0.993285683967645,-0.8686644747413294,-0.8233392036077822,2.2150776304914572,2.135182362931423,-0.616869416776824,0.2449281689128053,-0.20464045447644202,-1.4904035233960296,-1.264517850573467,0.0391534552571758,0.6471943897188277,1.4593268664446544,-0.13439594118273568,0.9696425742575013,-0.09071126020643488,1.5331039898284693,1.4974115638520475,1.5050354676079594,-1.059217382593998,1.0807145367802888,1.5738801774609035,-0.11257427822104907,0.3733390409004549,-0.42628461498319503,-0.23764587429585476,0.9126543473471475,1.148520397382303,1.909997247307259,2.5311414240795407,-0.4514824718827139,-0.32736171720955964,-0.6558306946604181,-0.22374689749876922,-0.9595830303593654,-0.6169828703463003,-0.23315060121106002,-0.7471194352527675,-0.8166203090795219,-1.261542093716029,2.2776929575267117,1.3026978853806772,-0.7138799418363433,-0.42708342034200997,-1.5369238505754825,-0.4944247175981111,-0.7650135680795035,-0.5706949607376773,-1.1603029981111517,-0.9021020295920478,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.5096254225546339,-0.9476462942559886,-0.4877125956476309,0.052135066781378026
655,993012,-0.31390684698100474,-0.8911442441431422,-0.12245500981460611,-0.8489040418879875,-1.0322759929630774,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-1.0791224076941464,-0.5365594764360972,-1.0251463507165472,1.8476812424761915,2.145745959413667,-0.7077817186706415,-0.14890744247960105,0.13927505118979064,-1.310977032385457,-1.2891000442280014,0.013841693794096784,0.9050508797030133,1.4059956490873813,-0.13439594118273568,0.9696425742575013,-0.09071126020643488,1.5331039898284693,1.5848418570440352,1.7596867743034204,-1.059217382593998,1.144420005167082,1.5738801774609035,-0.1578515203781091,0.3733390409004549,-0.42628461498319503,-0.23764587429585476,0.9436774690956641,0.7912780429053534,1.6494464938592437,2.0165432655149833,-0.8271299145092966,-0.5613949006482895,-1.1281959643089463,-0.18867829990158544,-0.9595830303593654,-0.6997806319043056,-0.23315060121106002,-0.7471194352527675,-0.966148257082973,-1.0858227616211522,1.9670213608616367,1.118098636056515,-0.7138799418363433,-0.42708342034200997,-1.5369238505754825,-0.6160304840536719,-0.8646350645309545,-0.8992661319798075,-1.1603029981111517,-1.253005863043703,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.5329503793644892,-0.6422844407671596,-0.4877125956476309,0.05179616772514428
873,994009,-1.2140858345872085,-1.0914112076130817,-0.22163482127405978,-0.7447273902016575,-0.65235328836361,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-1.0791224076941464,-0.5365594764360972,-1.0251463507165472,1.8476812424761915,2.145745959413667,-0.7077817186706415,-0.14890744247960105,0.13927505118979064,-1.310977032385457,-1.2891000442280014,0.013841693794096784,0.9050508797030133,1.4059956490873813,0.2507715674265092,0.8973106528920374,0.016765158813535894,1.6712489751735746,1.5848418570440352,1.7596867743034204,-0.9287238995104968,1.144420005167082,1.772407106665039,-0.1578515203781091,0.36553336158769967,-0.15585640041955137,-0.08405665267148926,0.9436774690956641,0.7912780429053534,1.6494464938592437,2.0165432655149833,-0.8271299145092966,-0.5613949006482895,-1.1281959643089463,-0.18867829990158544,-0.9595830303593654,-0.6997806319043056,-0.23315060121106002,-0.7471194352527675,-0.966148257082973,-1.0858227616211522,1.9670213608616367,1.118098636056515,-0.7138799418363433,-0.42708342034200997,-1.5369238505754825,-0.6160304840536719,-0.8646350645309545,-0.8992661319798075,-1.1603029981111517,-1.253005863043703,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.5329503793644892,-0.6422844407671596,-0.4877125956476309,0.05144812389060738
1019,995006,-0.840746133356876,-1.0842794610130801,-0.9143470024217113,-0.734074889491029,-0.9024469615675899,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-1.1184518323035828,-0.39449921087238565,-1.1714721058468713,1.807798496708796,2.2784591301928465,-0.789482346392785,-0.3094697551519986,0.29799013317725354,-1.1689531135608442,-1.3504870052644211,-0.03061277039832295,0.9556530503093862,1.2757710951747867,0.5660315392698548,0.8673135624743706,0.11610657335068442,1.8721661520372612,1.6015263358740521,1.923612761471075,-0.8264993272957505,1.1964615178938043,1.956842253253824,-0.2045655714928209,0.3977870326651573,-0.05340470792922111,0.006700614651999402,0.9786449975086298,0.4227850525370007,1.5861052156635953,1.717714203441814,-0.9749168809615851,-0.7351749353745383,-1.6900944632948454,-0.14231534915061397,-1.037318516600875,-0.7909677892066085,-0.23315060121106002,-0.7471194352527675,-1.0550697945111944,-1.0613210706157221,1.8578439173311374,0.9936824893771106,-1.1444010966262494,-0.7545661339012814,-1.488995099886798,-0.7933326548932375,-1.1966773000575497,-1.1080991703690959,-1.7682071747464188,-2.009010503114968,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.5237429737359529,-0.450392996086071,-0.4877125956476309,0.05116317939919779
1118,996004,-1.1342199274008373,-0.5571396497574377,-0.3923060035406974,-0.7746182711443481,-1.148098104599858,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-1.1675444788632499,-0.2637448450666262,-1.0499325719837709,1.6971389222585729,2.017767124051686,-0.7382083455349375,-0.2634244441588006,0.31345025197102083,-1.2011536725388394,-1.213348704077646,-0.007167335248502407,0.9437840628094194,1.4259122044713828,0.29393038419130235,0.8614155488064281,-0.023919151062017533,1.553538750717958,1.7251748638472604,1.7776545776325223,-0.9356673941252492,1.1861414649917394,1.7002139514523682,-0.15887235164076757,0.24914863457285175,-0.18026576998577593,-0.05019549278275476,0.9878765955963367,0.6413776241221505,1.6410156476299402,1.947652736389031,-0.8252292457255398,-0.4192753495589643,-1.0585274679037973,-0.20885856921066676,-0.9595830303593654,-0.692175102276073,-0.23315060121106002,-0.7471194352527675,-1.0675525256934697,-1.0272905363999738,1.7674787377578496,1.094653203572819,-0.7138799418363433,-0.42708342034200997,-1.5369238505754825,-0.6606588578727853,-0.7881012843810441,-0.890213070072877,-1.1603029981111517,-1.1504079552747764,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.5790006397932781,-0.2892265510284387,-0.4877125956476309,0.05050088900807037
1366,997002,-0.5912167647645955,-1.135656952107558,-0.1739262326618013,-1.1068692542739529,-1.2968750114953216,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-1.1675444788632499,-0.2637448450666262,-1.0499325719837709,1.6971389222585729,2.017767124051686,-0.7382083455349375,-0.2634244441588006,0.31345025197102083,-1.2011536725388394,-1.213348704077646,-0.007167335248502407,0.9437840628094194,1.4259122044713828,0.29393038419130235,0.8614155488064281,-0.023919151062017533,1.553538750717958,1.7251748638472604,1.7776545776325223,-0.9356673941252492,1.1861414649917394,1.7002139514523682,-0.15887235164076757,0.24914863457285175,-0.18026576998577593,-0.05019549278275476,0.9878765955963367,0.6413776241221505,1.6410156476299402,1.947652736389031,-0.8252292457255398,-0.4192753495589643,-1.0585274679037973,-0.20885856921066676,-0.8254433065154386,-0.692175102276073,-0.23315060121106002,-0.7471194352527675,-1.0675525256934697,-1.0272905363999738,1.7674787377578496,1.094653203572819,-0.7138799418363433,-0.42708342034200997,-1.5369238505754825,-0.6606588578727853,-0.7881012843810441,-0.890213070072877,-1.1603029981111517,-1.1504079552747764,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.5790006397932781,-0.2892265510284387,-0.4877125956476309,0.050196147655770185
1497,998001,-0.7801448154872139,-0.7993664591155774,-0.19870555200416168,-1.3466325430348782,-0.5129067030624286,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-1.2371724803766075,0.14190448106404763,-0.9032671769107604,1.2916667357856328,1.397450347598231,-0.7054283252893907,-0.24888971720471229,0.37877781262966387,-1.1989421887003437,-1.0331283673013905,0.011801156625736019,0.9461790601321229,1.5550470615087324,-0.00012406680337918752,0.8106527460119821,-0.1912689060291009,1.27101442745124,2.004580822978123,1.618550049140271,-1.0681848225215733,1.231989203692227,1.4722946555351601,-0.14326463542523787,0.04729713914134509,-0.5182838834183573,-0.09307588678514431,1.0199254981132477,0.6653091182138673,1.8370609553205972,1.9764853429013665,-0.4709229423557159,0.07205502502334146,-0.08087423062859198,-0.295844472232468,-0.7626148045127238,-0.5764106053288999,-0.23315060121106002,-0.7471194352527675,-1.1385504728405096,-0.8094145835253066,1.482543985082335,1.2005860406351931,-0.33275122093498366,-0.3094426920583528,-1.6063088259962828,-0.6374070563958967,-0.4284615016755323,-0.41508937313712463,-0.10471477774506377,-0.14901443043468832,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.6515811859210817,0.05825602659879347,-0.4877125956476309,0.049808278252465255
1778,999000,-1.1182946417754698,-0.9837352312312219,-0.9362072935292396,-0.7342132570971137,-0.6815826105093141,-0.35093890441865866,-0.796524904676805,-0.31972311208843884,0.8431763492427697,-1.7788943039708003,-1.5185983993283565,-1.2084668991598346,0.14190448106404763,-0.9032671769107604,1.2916667357856328,1.397450347598231,-0.7054283252893907,-0.24888971720471229,0.37877781262966387,-1.1989421887003437,-1.0331283673013905,0.011801156625736019,0.9461790601321229,1.5550470615087324,0.06963482599468718,0.8200871567298239,-0.22182541239346815,1.2711491545432962,2.004580822978123,1.618550049140271,-1.0754276740241915,1.231989203692227,1.4707306630724113,-0.14326463542523787,0.043839290616186494,-0.4583972636651097,-0.11456127488247367,1.0199254981132477,0.6653091182138673,1.8370609553205972,1.9764853429013665,-0.4709229423557159,0.07205502502334146,-0.08087423062859198,-0.295844472232468,-0.6153313851720157,-0.5764106053288999,-0.23315060121106002,-0.7471194352527675,-1.1385504728405096,-0.8094145835253066,1.482543985082335,1.2005860406351931,-0.33275122093498366,-0.3094426920583528,-1.6063088259962828,-0.6374070563958967,-0.4284615016755323,-0.41508937313712463,-0.10471477774506377,-0.14901443043468832,1.1914305135616103,-1.0273679480586049,-0.48708682242812246,-0.3407403461798809,-0.8778171776332454,-1.1896020090745596,0.10668689032440452,0.6415957398095578,0.8215011229400625,-0.6515811859210817,0.05825602659879347,-0.4877125956476309,0.04947346923310837
