,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank","Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Gender Inequality Index (GII),y
167,990025,0.45233881431829953,-0.02666147807367347,-0.18224296276314203,-0.12892313574159275,-0.12677514378654756,0.18407078861253348,-0.1648373600887563,0.4570078865576395,-0.5037906257344315,0.038405379348827796,0.22768790460589458,0.2952703025319244,1.5760832842253933,0.4544690931220022,-0.4511396780148117,-0.8875598219975714,0.7829576900064146,-0.06813161783818131,-1.4061704581533132,0.18786266664210424,0.3215249170379268,-0.5693083347588717,-0.14411257619171472,0.9223296451211428,0.7527821678165435,-0.40774859554292703,0.219329755645133,0.07365302475531185,-1.192131131949793,-0.5364838993992529,0.14428656241335808,-1.1816367132056056,-0.5759439409019043,-0.3109104100104864,-0.2110754530368442,0.20643940330372626,0.01014102304328272,-0.12193790224750778,-0.36936980081950005,-0.10393569299024938,-0.10640864187074706,-0.10976948426160359,0.6004913926227856,-0.2850905595736379,0.4759486464659424,0.16979533680888614,-0.1091158377471712,-0.3631546917759371,0.3439578850907489,0.17044271166783231,-0.030465815202757332,-0.5090460139239478,0.04624538295275591,0.09310295691154691,-0.11669191364967203,0.12412943153858139,-0.40417018235283547,-0.07188077625821127,0.22712954315774891,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.19992769978832384,-0.13386831730957002,-0.336443857932776,-0.3956548428772464,-0.6067362924341466,-1.0831902635510868,0.0373427525953066,0.05615685337722498
217,991020,0.5761834180516058,0.3836023062438001,-0.40080991689156376,-0.37790234231095426,-0.5028434321755357,0.37466127626809553,-0.2664179796311246,0.10628250935508059,-0.4601092351670222,0.038405379348827796,0.22768790460589458,-0.6298691190707447,1.0964297225170916,0.46158577629019354,-0.44795365412833404,-0.6367185922420326,0.7006940186001935,0.13984804440364393,-1.2085411533452677,0.179555716852931,0.36123558036162956,-0.4245117931374065,-0.2711367204731221,0.640249550690409,0.7314512140863845,-0.38600141928491555,0.5343376260069763,0.1983430971988431,-1.0828504211613257,-0.6649307135418668,0.43017094009095136,-0.9401911300884253,-0.5925974994939579,-0.27336004585016643,-0.28630991075536677,0.15587936734167354,0.06153310338150988,-0.1406459232998092,-0.39831352603608317,-0.24402173364455604,-0.18404368863927903,-0.4531026025213913,0.6004913926227856,-0.331608560261332,0.522397532042678,0.22486070547532588,-0.1030579500461701,-0.3185227025641465,0.16238103116058725,0.23803323980439967,-0.030465815202757332,-0.5090460139239478,0.04624538295275591,0.15072347441439043,-0.08109343989901825,-0.39854950345042334,-0.13013457563547967,-0.07188077625821127,0.24063072664694535,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.19992769978832384,-0.13386831730957002,-0.336443857932776,-0.3956548428772464,-0.6067362924341466,-0.8014315749513241,0.0373427525953066,0.05539239618997305
515,992016,0.27518191502380046,0.40434380337121895,0.3095401185081805,-0.2152657182321201,0.3205256763648343,0.23914296966232695,0.04293663822692039,0.08202881357276695,-0.3501084176980187,0.038405379348827796,0.22768790460589458,-0.6298691190707447,1.0964297225170916,0.46158577629019354,-0.44795365412833404,-0.6367185922420326,0.7006940186001935,0.13984804440364393,-1.2085411533452677,0.179555716852931,0.36123558036162956,-0.4245117931374065,-0.2711367204731221,0.640249550690409,0.7527821678165435,-0.40774859554292703,0.219329755645133,0.07365302475531185,-1.0828504211613257,-0.6649307135418668,0.14428656241335808,-0.9401911300884253,-0.5759439409019043,-0.27336004585016643,-0.2110754530368442,0.20643940330372626,0.01014102304328272,-0.1406459232998092,-0.39831352603608317,-0.24402173364455604,-0.18404368863927903,-0.4531026025213913,0.6004913926227856,-0.331608560261332,0.522397532042678,0.22486070547532588,-0.1030579500461701,-0.3185227025641465,0.16238103116058725,0.23803323980439967,-0.030465815202757332,-0.5090460139239478,0.04624538295275591,0.15072347441439043,-0.08109343989901825,-0.39854950345042334,-0.13013457563547967,-0.07188077625821127,0.24063072664694535,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.19992769978832384,-0.13386831730957002,-0.336443857932776,-0.3956548428772464,-0.6067362924341466,-0.8014315749513241,0.0373427525953066,0.05534110568374895
697,993012,0.4015699572893002,0.4131820884891608,-0.6698545566529281,-0.31681822640709234,0.10288292040341027,0.21939871760622406,0.21828500565888373,-0.014453980056936355,-0.1170619982841949,0.038405379348827796,0.22768790460589458,-1.517167839212556,0.3693430699404475,0.4262611289672178,-0.39354361600078014,-0.423613321060915,0.6265054050473947,0.0904922472606829,-0.920712653922164,0.16677004665033746,0.4362466145501187,-0.36945935378031436,-0.41929937338788753,0.4381873804920831,0.7527821678165435,-0.40774859554292703,0.219329755645133,0.07365302475531185,-0.8755251754047637,-0.8779832324057267,0.14428656241335808,-0.48905736412926865,-0.5759439409019043,-0.16387161174341913,-0.2110754530368442,0.20643940330372626,0.01014102304328272,-0.12140782329338244,-0.4530003235947981,-0.30265523109716497,-0.28247684778638715,-0.8001074878397618,0.6004913926227856,-0.36135007657520063,0.590957894640089,0.2613939170461321,-0.12555097551961292,-0.35467407884853924,0.016051750929497857,0.35671522203450245,-0.030465815202757332,-0.5090460139239478,0.04624538295275591,0.26990532085842367,-0.07787640657989779,-0.9679908138814742,0.041773153558960996,-0.07188077625821127,0.36179628668169533,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.19992769978832384,-0.13386831730957002,-0.336443857932776,-0.3956548428772464,-0.6067362924341466,-0.378860825591856,0.0373427525953066,0.055019811313232636
736,994009,0.23052268420559882,-0.047180747239309144,-0.3828627902454943,-0.3847452704241334,-0.3911235605615043,0.5158310507448498,0.01788654516862576,-0.11180874715752148,-0.29903628423850714,0.038405379348827796,0.22768790460589458,-1.517167839212556,0.3693430699404475,0.4262611289672178,-0.39354361600078014,-0.423613321060915,0.6265054050473947,0.0904922472606829,-0.920712653922164,0.16677004665033746,0.4362466145501187,-0.36945935378031436,-0.41929937338788753,0.4381873804920831,0.7700738359309375,-0.4549983703327193,-0.05187469969756498,-0.13308596491620864,-0.8755251754047637,-0.8779832324057267,-0.05397167322974866,-0.48905736412926865,-0.5704025536772321,-0.16387161174341913,-0.22945112819118407,0.28107289623627496,0.027202801609747383,-0.12140782329338244,-0.4530003235947981,-0.30265523109716497,-0.28247684778638715,-0.8001074878397618,0.6004913926227856,-0.36135007657520063,0.590957894640089,0.2613939170461321,-0.12555097551961292,-0.35467407884853924,0.016051750929497857,0.35671522203450245,-0.030465815202757332,-0.5090460139239478,0.04624538295275591,0.26990532085842367,-0.07787640657989779,-0.9679908138814742,0.041773153558960996,-0.07188077625821127,0.36179628668169533,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.19992769978832384,-0.13386831730957002,-0.336443857932776,-0.3956548428772464,-0.6067362924341466,-0.378860825591856,0.0373427525953066,0.054562854757962964
1042,995006,0.5458918257565158,0.5013475571594169,0.09479185246460356,-0.16192615339287905,0.016893964825655777,0.6370782083487266,0.18548211580465387,0.13163204118090838,-0.5223062978927422,0.038405379348827796,0.22768790460589458,-2.314431815532225,-0.07638638072152552,0.3703627899720609,-0.3274805004521891,-0.35479664404477695,0.597486156124417,-0.22236848390993472,-0.8526541131088817,0.16122585372003428,0.4920045401935842,-0.3972694617679593,-0.48084587827072645,0.46309744012494763,0.7707504598009165,-0.4985008830701355,0.012790596501788137,-0.2938925924952533,-0.7209373915939707,-1.0437518014560632,-0.04187247810692196,-0.20091113503352626,-0.5794037203875977,-0.08280950562142889,-0.33006151826569985,0.35228329611153797,0.10215638568261617,-0.057810902226085155,-0.47874339593692933,-0.3133410410352812,-0.3301203672050838,-1.0736719434793007,0.668288774424896,-0.3725656075556042,0.6187827352105486,0.26112836573590176,-0.1523716559653303,-0.4694822690829751,-0.041119168148960064,0.39022416024209666,0.15141049038208795,-0.6402137286911296,0.04624538295275591,0.2985888990564324,-0.10864933035187087,-1.655374663558454,0.20978599334159545,-0.1518412836570731,0.5637005432542767,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.16824288605302606,-0.36376786774742187,-0.5194580953134863,-0.49175707628473087,-0.8467741469858326,-0.12280219682502348,0.191424705686657,0.05433350876317844
1241,996004,0.5020918819634136,0.6201971715643018,-0.5746058025204204,0.01049916823192295,0.11520894376131623,0.42433542767614696,0.21070221484773743,0.5650986477259476,-0.24176863207575347,0.038405379348827796,0.22768790460589458,-1.6647253008694642,0.14032854439938133,0.4467250083950891,-0.42559573083944213,-0.32233598645536665,0.5134368220749961,0.4231209348298978,-0.5566207600887286,0.161935222147315,0.41468142222719073,-0.2671925505516402,-0.4368431448282717,0.26953039492880854,0.9017619771045553,-0.4174849487019885,-0.14234119685091356,-0.15711549027835173,-0.7664267158964674,-0.990801484800363,-0.09036372012658081,-0.322955650025798,-0.5468002133658085,-0.09086052364734623,-0.08063353606384709,0.37439927709562987,-0.03533499308059016,-0.17616999720390553,-0.491146823587447,-0.3927734733952349,-0.31028426826660493,-0.9412457728572055,0.6004913926227856,-0.39379085464416747,0.6518014160302411,0.3353410762024695,-0.12799925896851894,-0.29887129570521836,-0.10031513491026978,0.3951924409349609,-0.030465815202757332,-0.5090460139239478,0.04624538295275591,0.28651310363456545,-0.06791963810926728,-1.41431881628167,0.15338837069304412,-0.07188077625821127,0.24048041730339192,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.19992769978832384,-0.13386831730957002,-0.336443857932776,-0.3956548428772464,-0.6067362924341466,-0.09796785173837134,0.0373427525953066,0.05364760748207942
1434,997002,0.17299945318718338,0.11251440745081946,-0.889961684186275,-0.46007408356251506,-0.15528725869814813,0.582516170396336,-0.10896620513624722,0.1761314148746878,-0.4662288147549585,0.038405379348827796,0.22768790460589458,-1.6647253008694642,0.14032854439938133,0.4467250083950891,-0.42559573083944213,-0.32233598645536665,0.5134368220749961,0.4231209348298978,-0.5566207600887286,0.161935222147315,0.41468142222719073,-0.2671925505516402,-0.4368431448282717,0.26953039492880854,0.9017619771045553,-0.4174849487019885,-0.14234119685091356,-0.15711549027835173,-0.7664267158964674,-0.990801484800363,-0.09036372012658081,-0.322955650025798,-0.5468002133658085,-0.09086052364734623,-0.08063353606384709,0.37439927709562987,-0.03533499308059016,-0.17616999720390553,-0.491146823587447,-0.3927734733952349,-0.31028426826660493,-0.9412457728572055,0.5788486839161084,-0.39379085464416747,0.6518014160302411,0.3353410762024695,-0.12799925896851894,-0.29887129570521836,-0.10031513491026978,0.3951924409349609,-0.030465815202757332,-0.5090460139239478,0.04624538295275591,0.28651310363456545,-0.06791963810926728,-1.41431881628167,0.15338837069304412,-0.07188077625821127,0.24048041730339192,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.19992769978832384,-0.13386831730957002,-0.336443857932776,-0.3956548428772464,-0.6067362924341466,-0.09796785173837134,0.0373427525953066,0.053417414628591176
1615,998001,0.2864704466587144,0.5623748817024844,-0.1270271985552814,-0.5581183896866453,-0.6159844539199434,0.09300707173601246,0.3122864103575102,0.30579250479777315,-0.16508619380544068,0.038405379348827796,0.22768790460589458,-1.373241726460603,0.10784411220175828,0.5258584961165256,-0.5310708307407939,-0.22007373897311933,0.2681738583941884,1.018201888290996,0.46865118705732806,0.163198421290493,0.36427117307722867,-0.10784751162905143,-0.392692764966997,-0.167509111681671,1.2309376644851988,-0.27945432561010647,-0.39824055451381485,-0.019231683490165737,-0.6730207460250517,-0.9434715748883711,-0.32675290740696356,-0.3996996975353049,-0.47842669233670476,-0.06713205216690095,0.18723191710613918,0.4513816736866091,-0.24001015571806752,-0.33084661585068714,-0.5303988722946188,-0.5673489334641161,-0.28989457559495346,-1.030460650806851,0.4953599567704519,-0.4407159356891102,0.707321832424208,0.5107520477241553,-0.09941519610300867,0.05680566686998649,-0.18438269050420697,0.4389693078002439,-0.26184952504238546,-0.2555773614524625,0.04624538295275591,0.4167540998143643,0.11095129677611926,-1.418320945599817,0.20154270763376686,0.029012345446798274,-0.06254544864170086,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.32685231298239065,0.1984970270995288,-0.15051773830131573,-0.09789579895905216,-0.22507750212625927,0.15834165726571187,-0.12697228543956154,0.053130282474339714
1718,999000,0.629925019218527,0.7985046627855391,-0.036168665967357856,-0.5006313735877637,0.013535309699589613,0.8523596016465567,0.09868788198311498,0.04651521031158033,-0.246457392426916,0.038405379348827796,0.22768790460589458,-1.373241726460603,0.10784411220175828,0.5258584961165256,-0.5310708307407939,-0.22007373897311933,0.2681738583941884,1.018201888290996,0.46865118705732806,0.163198421290493,0.36427117307722867,-0.10784751162905143,-0.392692764966997,-0.167509111681671,1.162257707436654,-0.28843845339214363,-0.43019408781747837,-0.034965348192237074,-0.6730207460250517,-0.9434715748883711,-0.3342112271223248,-0.3996996975353049,-0.4718323834791212,-0.06713205216690095,0.2709672266050531,0.4395028626930578,-0.26034501756175304,-0.33084661585068714,-0.5303988722946188,-0.5673489334641161,-0.28989457559495346,-1.030460650806851,0.3755335442166688,-0.4407159356891102,0.707321832424208,0.5107520477241553,-0.09941519610300867,0.05680566686998649,-0.18438269050420697,0.4389693078002439,-0.26184952504238546,-0.2555773614524625,0.04624538295275591,0.4167540998143643,0.11095129677611926,-1.418320945599817,0.20154270763376686,0.029012345446798274,-0.06254544864170086,-0.22000035374562857,-0.7809543193124572,-0.4860603210347902,0.3422814259987094,-0.32685231298239065,0.1984970270995288,-0.15051773830131573,-0.09789579895905216,-0.22507750212625927,0.15834165726571187,-0.12697228543956154,0.05291705032830785
