,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),y
11,990025,-1.1813463729726146,-1.4669236818338125,-0.2057544675704099,-0.7604993023658132,-1.5448973167148918,-1.2823731160398,-1.126203373003812,-1.634151939833441,0.46074780919863223,-1.1099454424772106,-1.3280663051827124,-0.1922660578663548,-0.24145720143682092,-0.7565202952296708,3.160122909906918,3.306113473203812,-0.016550411405234694,-0.3093074630078391,0.561908469581475,-1.5519741502906066,-1.5416159930978317,-1.1624420684915353,0.7595453079445693,1.9984304842713148,-0.5210189868628929,1.1291718925222203,-0.5288768926664472,0.9631316709810364,0.049529614355378546,0.5898954462518172,-0.8434795340010592,-0.5976074699113129,0.2540907357922892,-0.15614836741542432,0.24203481063641735,-1.0188486076245642,-0.6977960971881021,0.881015126448686,0.530436322716429,3.2127210243342454,5.882392622295313,-0.6308478093971369,-0.14534727842509904,0.35147856611318384,-0.19626618170188942,-0.3343224414717115,0.6260532159475009,-1.148431528062001,-1.3330781409265953,-2.099125415172926,-2.1719813593537003,3.0076057952984274,1.3520737162221192,-0.505286936953992,-0.5303689743065026,-1.879615154888432,-0.3216895398921576,0.034089324652890635,-0.556542451818852,-1.0707509951433902,-0.13718174078718376,-3.976095053972548,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.26690989559149175,-0.0023958248469899157,0.28866265336989044,0.04890195161303802
358,991020,-2.0628177631886895,-1.6683402389340591,-0.24180280003675725,-0.9801471622168626,-1.3579904404302432,-0.8479729437348961,-1.4054092868508745,-1.5655008831114765,0.2321629638342136,-1.1099454424772106,-1.3280663051827124,-0.06306093972391134,-0.009052790111952997,-0.63207297618227,3.002600106238047,2.7786774807305994,-0.07657183022647515,-0.25313449910272384,0.3464852143291472,-1.4768001853409953,-1.5226767833482535,-0.9369836886917615,0.8549012290185467,1.8154738639405101,-0.3860598020097461,1.1756518871720465,-0.5794913584027319,0.9340935929813421,-0.01353517833268862,0.6244859822443043,-0.6625661028813175,-0.4994505234010046,0.26339236795491155,-0.1812160178231468,0.29929146644264404,-1.058525559170548,-0.7024512895695355,1.016649924029677,0.5632795516698343,2.5885922000816777,4.644055458469037,-0.5705814578471018,-0.3628298474898694,0.21017751073126978,-0.4089820938850233,-0.3343224414717115,0.7038031055610773,-1.148431528062001,-1.3330781409265953,-2.0220938391869043,-2.0233867950499578,2.90463619869473,1.3337545688441539,-0.505286936953992,-0.5303689743065026,-1.879615154888432,-0.3216895398921576,-0.1324506112288663,-0.48578126118007087,-1.0707509951433902,-0.13718174078718376,-3.6251389214463203,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.23923977193301094,0.3170528573298811,0.28866265336989044,0.04810924179500475
404,992016,-1.2019563335320658,-0.9363467277691647,-0.30710770402247217,-0.8378806037905195,-1.540618273366129,-1.1452735261402756,-1.3775850565996681,-1.877665588345481,0.7524757268658575,-1.1099454424772106,-1.3280663051827124,-0.06306093972391134,-0.009052790111952997,-0.63207297618227,3.002600106238047,2.7786774807305994,-0.07657183022647515,-0.25313449910272384,0.3464852143291472,-1.4768001853409953,-1.5226767833482535,-0.9369836886917615,0.8549012290185467,1.8154738639405101,-0.5210189868628929,1.1291718925222203,-0.5288768926664472,0.9631316709810364,-0.01353517833268862,0.6244859822443043,-0.8434795340010592,-0.4994505234010046,0.2540907357922892,-0.1812160178231468,0.24203481063641735,-1.0188486076245642,-0.6977960971881021,1.016649924029677,0.5632795516698343,2.5885922000816777,4.644055458469037,-0.5705814578471018,-0.3628298474898694,0.21017751073126978,-0.4089820938850233,-0.3343224414717115,0.7038031055610773,-1.148431528062001,-1.3330781409265953,-2.0220938391869043,-2.0233867950499578,2.90463619869473,1.3337545688441539,-0.505286936953992,-0.5303689743065026,-1.879615154888432,-0.3216895398921576,-0.1324506112288663,-0.48578126118007087,-1.0707509951433902,-0.13718174078718376,-3.6251389214463203,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.23923977193301094,0.3170528573298811,0.28866265336989044,0.0480332946977311
567,993012,-1.067380984705276,-1.2765138682534054,-0.13295698252134458,-0.8038979888247852,-1.8574309462850884,-1.1424368377998186,-1.7622491028639613,-1.5592947940218735,0.7687564266963332,-1.1099454424772106,-1.3280663051827124,0.13414600465138968,0.18921154640683951,-0.4507600631952275,2.9057328785344048,2.451680601599604,-0.14681129870535575,-0.19885031107691237,0.1130018315431638,-1.4509973847831896,-1.4971112775566346,-0.8540575440009051,0.9554425023742179,1.6440549715561235,-0.5210189868628929,1.1291718925222203,-0.5288768926664472,0.9631316709810364,-0.11121781486870963,0.672384857191973,-0.8434795340010592,-0.3553584488758961,0.2540907357922892,-0.2100813522985315,0.24203481063641735,-1.0188486076245642,-0.6977960971881021,1.0641442248692026,0.5885972015911429,2.19634170022613,3.2711680738840965,-0.4918942650885317,-0.6910348832447302,0.01125430311658646,-0.9195834704316007,-0.3343224414717115,0.7906783170814243,-1.148431528062001,-1.3330781409265953,-1.9651066273270228,-2.06270379522201,2.8445178700650717,1.3120685586766934,-0.505286936953992,-0.5303689743065026,-1.879615154888432,-0.3216895398921576,-0.29290918588318876,-0.43867482396456325,-1.0707509951433902,-0.13718174078718376,-3.475157706701624,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.1407469433980496,0.8005349344303778,0.28866265336989044,0.04770493290854917
876,994009,-1.142970192888313,-1.3296922150421138,-0.6869137910081337,-0.9661981481038407,-1.646574372633197,-1.2393655148025988,-1.8447981352763874,-1.4206304297367296,0.31311297780960984,-1.1099454424772106,-1.3280663051827124,0.13414600465138968,0.18921154640683951,-0.4507600631952275,2.9057328785344048,2.451680601599604,-0.14681129870535575,-0.19885031107691237,0.1130018315431638,-1.4509973847831896,-1.4971112775566346,-0.8540575440009051,0.9554425023742179,1.6440549715561235,-0.7395051925862275,1.0214537237669687,-0.480517785206657,1.0069354725836641,-0.11121781486870963,0.672384857191973,-1.011092528108272,-0.3553584488758961,0.2673803347269517,-0.2100813522985315,0.15602280991728065,-1.0084808648747556,-0.7514186304690134,1.0641442248692026,0.5885972015911429,2.19634170022613,3.2711680738840965,-0.4918942650885317,-0.6910348832447302,0.01125430311658646,-0.9195834704316007,-0.3343224414717115,0.7906783170814243,-1.148431528062001,-1.3330781409265953,-1.9651066273270228,-2.06270379522201,2.8445178700650717,1.3120685586766934,-0.505286936953992,-0.5303689743065026,-1.879615154888432,-0.3216895398921576,-0.29290918588318876,-0.43867482396456325,-1.0707509951433902,-0.13718174078718376,-3.475157706701624,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.1407469433980496,0.8005349344303778,0.28866265336989044,0.047367781145865484
1022,995006,-1.1140269318172797,-0.9814399809889496,-0.6997354749641334,-0.943116091129537,-1.7722326738899756,-1.3274601311903624,-1.0512069125863372,-1.635197754174608,0.8923367480761454,-1.1099454424772106,-1.3280663051827124,0.42400564330646073,0.3416732000890394,-0.37878505983999783,2.980739154900174,2.44559537022751,-0.18378724111685543,-0.19129835860390074,0.005995653424371273,-1.4659648150979199,-1.4883545226986286,-0.701741264653445,1.055254935461249,1.5698832533103464,-0.8826193604718694,0.9308378672737474,-0.44516050434775917,1.0557708196553062,-0.1946769769846743,0.6940234352684883,-1.0616446602794445,-0.19735170734156704,0.29228280042156984,-0.2592388476846554,-0.03152392093865037,-1.0359869879753103,-0.814164900571434,0.9997508785475004,0.5970617172461892,1.7040652556590565,2.0688165540038073,-0.4122722739566635,-0.8912678142316011,-0.04636784911618291,-1.3062691741944494,-0.4044971307875604,0.7998036389881952,-1.148431528062001,-1.3330781409265953,-1.9315159685262129,-2.2754471492801507,2.8644669176087647,1.3068945283732443,-0.46174235370799466,-0.5374961320485171,-1.879615154888432,-0.258277436928894,-0.5389770133982607,-0.4494823672381532,-1.0707509951433902,-0.13718174078718376,-3.476157671490225,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,0.0227748942172178,1.1487519777732407,0.28866265336989044,0.04709519086147507
1087,996004,-1.5280921331148403,-1.0738547735370934,-0.7676715988511249,-0.6598798558315375,-1.6879567650678355,-1.3520408171298257,-1.340858177737959,-1.8229880694913643,0.6332043225806111,-1.1099454424772106,-1.3280663051827124,0.10139219739963501,0.2964866002552873,-0.4320786100569353,2.83181577784964,2.3260247146754494,-0.15673152503832077,-0.08351393436908076,-0.04369841397376056,-1.418023822995056,-1.4752990082884991,-0.7881329150972602,0.9156192508149907,1.5909357269065763,-0.7531638251098811,1.010326418223041,-0.4177445999230337,1.0191689192094602,-0.09527865620726678,0.690132533575129,-1.1104516120531196,-0.34375161285142186,0.23067865410280855,-0.20835288461160878,0.18096510167276228,-0.9446530907997567,-0.73040757485993,1.1578901648118174,0.5981306521731463,1.9952827894131806,2.756287297817879,-0.49739219921555905,-0.7447926496545983,-0.11218538109128479,-0.8887563136719343,-0.3343224414717115,0.8006398708365658,-1.148431528062001,-1.3330781409265953,-1.9351940119850086,-1.8495734554267522,2.784391305205006,1.305931130564791,-0.505286936953992,-0.5303689743065026,-1.879615154888432,-0.3216895398921576,-0.33716704447061174,-0.3893256502419215,-1.0707509951433902,-0.13718174078718376,-3.417731766524256,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.14992695577946177,0.8455566494316682,0.28866265336989044,0.046148917365018916
1275,997002,-1.3304292345579976,-1.2231011863104582,-0.3211251679827345,-0.7747490857473246,-1.9200642801109935,-1.1414590594457774,-1.1286141867059265,-1.3635584239549197,0.12126294623181653,-1.1099454424772106,-1.3280663051827124,0.10139219739963501,0.2964866002552873,-0.4320786100569353,2.83181577784964,2.3260247146754494,-0.15673152503832077,-0.08351393436908076,-0.04369841397376056,-1.418023822995056,-1.4752990082884991,-0.7881329150972602,0.9156192508149907,1.5909357269065763,-0.7531638251098811,1.010326418223041,-0.4177445999230337,1.0191689192094602,-0.09527865620726678,0.690132533575129,-1.1104516120531196,-0.34375161285142186,0.23067865410280855,-0.20835288461160878,0.18096510167276228,-0.9446530907997567,-0.73040757485993,1.1578901648118174,0.5981306521731463,1.9952827894131806,2.756287297817879,-0.49739219921555905,-0.7447926496545983,-0.11218538109128479,-0.8887563136719343,-0.23601260994774512,0.8006398708365658,-1.148431528062001,-1.3330781409265953,-1.9351940119850086,-1.8495734554267522,2.784391305205006,1.305931130564791,-0.505286936953992,-0.5303689743065026,-1.879615154888432,-0.3216895398921576,-0.33716704447061174,-0.3893256502419215,-1.0707509951433902,-0.13718174078718376,-3.417731766524256,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.14992695577946177,0.8455566494316682,0.28866265336989044,0.045873004193733864
1577,998001,-1.1604279695938775,-1.471088751228415,-0.7714899221609459,-0.8348054949371405,-1.5784921043593416,-1.0874199910992592,-1.7173394523502477,-1.54627805936772,0.4135529153577146,-1.1099454424772106,-1.3280663051827124,-0.21505180218844686,0.3863688111362132,-0.5018235324000879,2.391777599080714,2.143845962193435,-0.17497193819348758,0.07114546692976428,-0.13194684036846016,-1.2567306148660884,-1.4544030998857511,-0.6777065062356329,0.7613075056805875,1.5898790141534147,-0.6015446240299053,1.0798647674138797,-0.3821218562275319,0.9965434688415195,0.05650545401239695,0.697470359384062,-1.2409158697804505,-0.47164265160864216,0.10347830112235817,-0.11899049661162266,0.2698836168560762,-0.8317526317533611,-0.6099491636073407,1.426253208614026,0.6273916806312643,2.275039800052542,3.1648712516519937,-0.6054879702065026,-0.5366379979979843,-0.3559808323593415,-0.2818600831898734,-0.15736848418530905,0.7903136816695799,-1.148431528062001,-1.3330781409265953,-1.865012088820302,-1.1197772475847798,2.547245687552251,1.2864055283308247,-0.601448076390134,-0.5675693271236619,-1.879615154888432,-0.44733222357331653,-0.22645251780669415,-0.2805399746062891,-1.0707509951433902,-0.13718174078718376,-3.290279292530764,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.37470702468458666,0.5570125657710979,0.28866265336989044,0.04551176788605371
1798,999000,-1.0511903747293785,-1.59213483784845,-0.13058927075195778,-0.7029965121218031,-1.29820991482128,-0.9079420247096381,-0.951174176839659,-1.538906677435409,0.29568244113505665,-1.1099454424772106,-1.3280663051827124,-0.21332351909918082,0.3863688111362132,-0.5018235324000879,2.391777599080714,2.143845962193435,-0.17497193819348758,0.07114546692976428,-0.13194684036846016,-1.2567306148660884,-1.4544030998857511,-0.6777065062356329,0.7613075056805875,1.5898790141534147,-0.578463063640241,1.0879461946417188,-0.40414603080267464,1.0028018942350532,0.05650545401239695,0.697470359384062,-1.2532803336802687,-0.47164265160864216,0.12474490946120395,-0.11899049661162266,0.26451562594363326,-0.8109126628304564,-0.5744731987627822,1.426253208614026,0.6273916806312643,2.275039800052542,3.1648712516519937,-0.6054879702065026,-0.5366379979979843,-0.3559808323593415,-0.2818600831898734,-0.05339434565976183,0.7903136816695799,-1.148431528062001,-1.3330781409265953,-1.865012088820302,-1.1197772475847798,2.547245687552251,1.2864055283308247,-0.601448076390134,-0.5675693271236619,-1.879615154888432,-0.44733222357331653,-0.22645251780669415,-0.2805399746062891,-1.0707509951433902,-0.13718174078718376,-3.290279292530764,0.8893092332674217,-1.264476143107875,-0.7247895497948568,-0.597117448832631,-1.586359471983699,-0.9646504663356262,-2.038129551977634,0.6802329662006628,0.6895199249945295,-0.37470702468458666,0.5570125657710979,0.28866265336989044,0.04520622956615295
