,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank","Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
86,990025,-0.08016691386399677,0.08869291570263865,0.3776811430506647,0.1707771523007254,0.03863082418862057,0.06687407786395343,0.03341978075166913,0.06335356536942656,-0.036288176299237036,-0.07777654613641008,0.49780052603856,0.7285439817503223,-0.12099779343029954,-0.24363082417997484,-0.0531545904534609,0.0999592264641772,-1.091275025878727,-0.20643835137729225,-0.022940228907002973,-0.14787394422137617,-1.597504313540682,0.03256536148009343,0.1990170792414693,-0.14505912272914684,-0.30679150577191105,-0.6013902059864553,-0.5186447711329023,-0.2632963599568349,-0.8292220790187641,0.3909872836736006,0.12648314903452423,-0.03899429723475,0.5668184823546963,-0.253269518359909,0.26316215215701005,-0.5367125935706033,0.03945302230208701,-0.21721785744955263,1.1179875340678462,-0.06376690742491578,0.00856147197519441,0.37287289536923335,-0.5343619034175623,0.5477733838754015,2.128831430055421,0.14233286726516448,-0.5049394118770237,-0.4801975375137299,-0.4060727628629165,0.26891104094578444,-0.8147018084821717,0.13756618112728997,0.46747564715080164,-0.11870672803768176,0.4153754138732587,-0.10150153663492954,-0.20902508493763097,-0.6319996100566194,-0.49957273051559375,-0.5322307851756062,-0.18893987500412718,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.10112229216236955,-0.032728145069982645,-0.09138801569825027,-0.2736823366757186,-0.5785427114972962,-0.45738923186683156,0.10716745156759121,0.10715242016596499,0.0672064129919433
336,991020,0.16385819294008902,0.3671516008319523,-0.05900525708527773,0.39007954732000216,-0.2819016024887575,-0.04745750545412105,-0.06566973501235605,0.18937525791777987,-0.641337525913102,-0.07777654613641008,0.49780052603856,0.5495943614089243,-0.03554275935584479,-0.33876089435658513,-0.01610407024857495,0.054765073686471405,-0.7328822505581634,-0.27612505432264683,-0.0337312185690418,-0.2073962536286202,-0.654724287879258,-0.00794007304132404,0.06515588805685393,-0.5314201870862445,-0.21087183664471096,-0.7393577140913933,-0.5448415745370312,-0.19915383502124176,-0.6094075066014822,0.24947383455872943,0.11714330852064521,-0.18619863947327306,0.4571182030615878,-0.32185758032504913,0.21195176650608477,-0.37705610223366615,0.08816655325246261,-0.026335944220402963,0.7508528967877227,0.05924129487368222,0.10495729876698984,0.5025299932686638,-0.31112262061088414,0.5477733838754015,1.7480945019209029,0.13073677620955823,-0.2766849659489646,-0.3355103838479594,-0.4339574738134582,0.08146130789227947,-0.7570255521338533,0.13756618112728997,0.46747564715080164,-0.11870672803768176,0.23565510435069786,-0.0031251089145745235,-0.11008196266429401,-0.5526316696603654,-0.32008937802722703,-0.5322307851756062,-0.20688265609940898,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.10112229216236955,-0.032728145069982645,-0.09138801569825027,-0.2736823366757186,-0.5785427114972962,-0.28659299690540146,0.10716745156759121,0.10715242016596499,0.06632046339187636
420,992016,0.10781568609175983,0.009942500558940814,0.3151403029379279,0.14513345998257643,-0.04994853906069205,0.29766630418455753,-0.16975959770412938,0.17742769575387737,-0.3753844698658709,-0.07777654613641008,0.49780052603856,0.5495943614089243,-0.03554275935584479,-0.33876089435658513,-0.01610407024857495,0.054765073686471405,-0.7328822505581634,-0.27612505432264683,-0.0337312185690418,-0.2073962536286202,-0.654724287879258,-0.00794007304132404,0.06515588805685393,-0.14505912272914684,-0.30679150577191105,-0.6013902059864553,-0.5186447711329023,-0.19915383502124176,-0.6094075066014822,0.3909872836736006,0.11714330852064521,-0.03899429723475,0.4571182030615878,-0.253269518359909,0.26316215215701005,-0.5367125935706033,0.08816655325246261,-0.026335944220402963,0.7508528967877227,0.05924129487368222,0.10495729876698984,0.5025299932686638,-0.31112262061088414,0.5477733838754015,1.7480945019209029,0.13073677620955823,-0.2766849659489646,-0.3355103838479594,-0.4339574738134582,0.08146130789227947,-0.7570255521338533,0.13756618112728997,0.46747564715080164,-0.11870672803768176,0.23565510435069786,-0.0031251089145745235,-0.11008196266429401,-0.5526316696603654,-0.32008937802722703,-0.5322307851756062,-0.20688265609940898,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.10112229216236955,-0.032728145069982645,-0.09138801569825027,-0.2736823366757186,-0.5785427114972962,-0.28659299690540146,0.10716745156759121,0.10715242016596499,0.06649381085684891
626,993012,-0.19462535192570823,-0.7034495367633682,0.5767772959615101,0.025185611286974132,-0.30541434049661226,0.4773316501049533,0.16223926143772108,0.02669639933561961,-0.7108811489139998,-0.07777654613641008,0.49780052603856,0.5225545852411112,0.0555614529277261,-0.5027597117978652,-0.011505021237962607,0.021908187247439845,-0.44492565375151444,-0.35232488385601635,-0.030351478808532836,-0.25453004472183083,0.4595988059568164,0.028091180089968044,-0.04735788994909929,-0.14505912272914684,-0.30679150577191105,-0.6013902059864553,-0.5186447711329023,-0.10723856129455961,-0.32441724894619034,0.3909872836736006,0.11662893737113388,-0.03899429723475,0.26717932112395426,-0.253269518359909,0.26316215215701005,-0.5367125935706033,0.17715502646449915,0.15965215440558345,0.22697605333181634,0.14370021886618228,0.23355394692333223,0.9435805791847265,-0.12108438561116515,0.5477733838754015,1.3342181026200297,0.11258416653932347,-0.004101549452509115,-0.10014345988211627,-0.4718126197177465,-0.1078040604910801,-0.6693337344212003,0.13756618112728997,0.46747564715080164,-0.11870672803768176,0.020375829605226062,0.2136101125511451,-0.10901659879189993,-0.3240143688977659,-0.14020889322953364,-0.5322307851756062,-0.28110095901594684,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.10112229216236955,-0.032728145069982645,-0.09138801569825027,-0.2736823366757186,-0.5785427114972962,-0.24954636245737138,0.10716745156759121,0.10715242016596499,0.06625259289000585
772,994009,-0.04848460920241738,-0.2069145220861898,0.30104167293951256,-0.015628578749602287,-0.1112509338513958,0.43562689172247643,-0.13851421521340737,0.06170140019274158,-0.5592672274630753,-0.07777654613641008,0.49780052603856,0.5225545852411112,0.0555614529277261,-0.5027597117978652,-0.011505021237962607,0.021908187247439845,-0.44492565375151444,-0.35232488385601635,-0.030351478808532836,-0.25453004472183083,0.4595988059568164,0.028091180089968044,-0.04735788994909929,0.17837168864112068,-0.47957791701953084,-0.4648264364507868,-0.4474900834070146,-0.10723856129455961,-0.32441724894619034,0.6129181316000596,0.11662893737113388,0.09538583829528294,0.26717932112395426,-0.1699689943126312,0.35645312704867943,-0.7174120717006423,0.17715502646449915,0.15965215440558345,0.22697605333181634,0.14370021886618228,0.23355394692333223,0.9435805791847265,-0.12108438561116515,0.5477733838754015,1.3342181026200297,0.11258416653932347,-0.004101549452509115,-0.10014345988211627,-0.4718126197177465,-0.1078040604910801,-0.6693337344212003,0.13756618112728997,0.46747564715080164,-0.11870672803768176,0.020375829605226062,0.2136101125511451,-0.10901659879189993,-0.3240143688977659,-0.14020889322953364,-0.5322307851756062,-0.28110095901594684,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.10112229216236955,-0.032728145069982645,-0.09138801569825027,-0.2736823366757186,-0.5785427114972962,-0.24954636245737138,0.10716745156759121,0.10715242016596499,0.0660388425543672
1072,995006,-0.5144011919362816,0.024386417580641955,-0.3087379113954208,0.1752358158859935,-0.3066289106389487,0.11766263252493063,-0.1879633859828804,-0.008947316775308979,-0.40487843777306437,-0.07777654613641008,0.49780052603856,0.6384113945242796,0.11875013363172934,-0.634104199040165,-0.039627975716365796,-0.0027185436577963954,-0.1314197031898974,-0.4181045445255405,-0.014893229477219674,-0.2600972563480679,0.7240021319511396,0.0946882117064591,-0.09707181024788118,0.27715684133942475,-0.6908340901103227,-0.42898551060123774,-0.3831263751600136,-0.04445047013140087,-0.2811638912201253,0.7778806153360127,0.12505434028588197,0.13375406416966257,0.15390786944679824,-0.11360627020685489,0.44517920373525804,-0.8072929549242347,0.2248456748271629,0.3298059620386426,-0.07264165560466762,0.1373257687477031,0.3008265814214265,1.2917282826943632,-0.1212353055920859,0.5589732173053553,1.1434114317200101,0.07750211844289745,0.06294270582392542,-0.009463689582043666,-0.5112259459303837,-0.18172078853840506,-0.6240674221503171,0.05269088492748657,0.4664354806678438,-0.11870672803768176,-0.07389566509372271,0.35003017475198617,-0.20589166178353072,-0.1350054779640121,0.029487518889387488,-0.41336860374322865,-0.38424991311667295,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.33787233891866203,-0.09416866936941067,-0.2551307700600816,-0.3229549026534754,-0.7944936845728893,-0.3731923353940356,-0.35003092316744855,0.13231264906848073,0.06590375545523419
1220,996004,0.08245820164235167,-0.45222883980388817,0.6322170627947298,0.3464028306433068,0.014782434074207327,0.47390329193701297,0.17659585061762373,0.34057151978212125,-0.4551560314749474,-0.07777654613641008,0.49780052603856,0.267950496200188,0.18211771353854003,-0.4150690316879892,0.007459564110857937,0.013219037892653076,-0.3945508902248192,-0.3990762329512685,-0.08059679695489752,-0.29274759408988876,0.6748393532060617,-0.0037378493402065384,-0.07004554152095292,0.4462899061217469,-0.5330920079495123,-0.3373761639007502,-0.4212082830491281,-0.00986798071567049,-0.26645990896885885,0.645854243211201,0.05055363554389229,0.12155447483463214,0.26424992120263513,-0.21612724258244573,0.345545355015404,-0.7379568294469157,0.1750062875089456,0.3569285107694908,-0.025358185143214564,0.20419846923858764,0.25353697391208313,0.8684284955839616,0.08520973764419067,0.5477733838754015,0.9882759351656292,0.10755694983356866,0.09318989669993848,-0.061474187882902556,-0.49081666242054256,-0.1555938555977564,-0.6588730149390569,0.13756618112728997,0.46747564715080164,-0.11870672803768176,-0.0396993431774873,0.21144569235476904,0.038635221194083746,-0.3487576246072229,-0.06779676745242758,-0.5322307851756062,-0.17086815983813314,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.10112229216236955,-0.032728145069982645,-0.09138801569825027,-0.2736823366757186,-0.5785427114972962,-0.0950816558943902,0.10716745156759121,0.10715242016596499,0.06508621307328533
1345,997002,0.14079365066603095,-0.365833409337676,0.17677295649317037,0.2551393627726056,0.4097045268379795,0.2637533629621655,-0.14380935277025672,0.21721886962754225,-0.2808956781447675,-0.07777654613641008,0.49780052603856,0.267950496200188,0.18211771353854003,-0.4150690316879892,0.007459564110857937,0.013219037892653076,-0.3945508902248192,-0.3990762329512685,-0.08059679695489752,-0.29274759408988876,0.6748393532060617,-0.0037378493402065384,-0.07004554152095292,0.4462899061217469,-0.5330920079495123,-0.3373761639007502,-0.4212082830491281,-0.00986798071567049,-0.26645990896885885,0.645854243211201,0.05055363554389229,0.12155447483463214,0.26424992120263513,-0.21612724258244573,0.345545355015404,-0.7379568294469157,0.1750062875089456,0.3569285107694908,-0.025358185143214564,0.20419846923858764,0.25353697391208313,0.8684284955839616,0.08520973764419067,0.4788844687140248,0.9882759351656292,0.10755694983356866,0.09318989669993848,-0.061474187882902556,-0.49081666242054256,-0.1555938555977564,-0.6588730149390569,0.13756618112728997,0.46747564715080164,-0.11870672803768176,-0.0396993431774873,0.21144569235476904,0.038635221194083746,-0.3487576246072229,-0.06779676745242758,-0.5322307851756062,-0.17086815983813314,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,-0.10112229216236955,-0.032728145069982645,-0.09138801569825027,-0.2736823366757186,-0.5785427114972962,-0.0950816558943902,0.10716745156759121,0.10715242016596499,0.06496392144068686
1527,998001,0.10588325109320948,0.5673933604912921,0.17411240876340414,0.15309445533094432,-0.7062053965002009,0.11367488111531414,0.24721369066273133,-0.3709779476728246,-0.13191642326339786,-0.07777654613641008,0.49780052603856,-0.07288106967104428,0.2958407879571832,0.14805504364016012,0.10313185623817077,-0.013062745652188932,-0.6843636827895847,-0.41833262274631833,-0.19131695860103412,-0.360594023936345,0.866719558670408,-0.3355975868152678,-0.08495375115552115,0.7224172167900262,-0.45085035990596134,-0.2029025553048352,-0.43211851418065855,0.12991236457294494,-0.33081695918992615,0.5426362965847532,-0.0719732579883912,0.09824793953485496,0.4074873342222899,-0.4391765334920181,0.20087286904557455,-0.6512431390158393,0.08991735450227668,0.5412145142659098,-0.11192706367969917,0.42073353728443086,0.21215440131114963,-0.10641979812929162,0.5573179442225463,0.5077290095797364,0.7115374227919885,0.15448843889826208,0.3235638566885548,0.050979808902464535,-0.44492821622364376,-0.1758395068604755,-0.7123817976524016,0.1931849545519585,0.3446505697610081,-0.11870672803768176,-0.1585826055766152,-0.038874692383293594,0.3753940189489843,-0.5863782809657887,-0.013499116905910642,-0.977989631434871,0.08707080899537697,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,0.13989354827758022,-0.0038447753220333353,0.12274209218822137,-0.18962197675331466,-0.3579226333637846,0.5525117959592737,0.6537641590390834,0.10715242016596499,0.06436599256609521
1648,999000,-0.16322963360987744,-0.20393245210821073,0.3706213463834773,0.2842800314899183,0.23860369839910076,0.24162048403036113,0.18670842166376822,0.34201349380967255,-0.7393923350418242,-0.07777654613641008,0.49780052603856,-0.07288106967104428,0.2958407879571832,0.14805504364016012,0.10313185623817077,-0.013062745652188932,-0.6843636827895847,-0.41833262274631833,-0.19131695860103412,-0.360594023936345,0.866719558670408,-0.3355975868152678,-0.08495375115552115,0.7224172167900262,-0.4464804576279344,-0.1854393262567427,-0.4708912367162847,0.12991236457294494,-0.33081695918992615,0.5426362965847532,-0.0719732579883912,0.1308883135417683,0.4074873342222899,-0.42280647605793276,0.19292314502153082,-0.671478961975921,0.08991735450227668,0.5412145142659098,-0.11192706367969917,0.42073353728443086,0.21215440131114963,-0.10641979812929162,0.5573179442225463,0.5077290095797364,0.7115374227919885,0.15448843889826208,0.3235638566885548,0.050979808902464535,-0.44492821622364376,-0.1758395068604755,-0.7123817976524016,0.1931849545519585,0.3446505697610081,-0.11870672803768176,-0.1585826055766152,-0.038874692383293594,0.3753940189489843,-0.5863782809657887,-0.013499116905910642,-0.977989631434871,0.08707080899537697,-0.06480853244490038,-0.60531995346414,0.012129145103543446,-0.3966847426987149,0.13989354827758022,-0.0038447753220333353,0.12274209218822137,-0.18962197675331466,-0.3579226333637846,0.5525117959592737,0.6537641590390834,0.10715242016596499,0.06473541449663757
