,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Gender Inequality Index (GII),y
9,990025,-1.175088487587841,-1.1951016803815337,-0.6096479778181769,-0.5316522577459923,-0.4895154593028302,-0.7684083460631365,-1.0142431577551683,-0.9729515081628529,0.1892437197551932,-1.5393106805196728,-1.2106806340792962,-1.0487768110650966,0.3600339386680836,-0.8126117351021404,2.0923451366195294,1.647254974277128,0.18930749251434578,-0.15726341277541042,-0.5588161550974848,-1.234445993320401,-1.0116960588496815,-0.17400101521925246,0.707793285642443,0.023713409375777452,0.42627680510321686,1.3682956439693055,-0.20109323930194756,0.9328221119697351,0.43490129134293554,0.721205062757164,-0.25337411326401593,0.21882713497847903,0.10706155147224079,-0.6702536107813436,1.6858649386204052,-0.26458352421679066,0.30171846920431905,1.113410300528531,0.8187881623065582,2.9183116439861445,3.1669821767677937,0.29129431694603086,-0.4359340570935103,-0.060886548404259964,-0.6936526439597193,-0.24145063950103807,-0.10172048048206736,-0.9944973250714132,-0.9651337860448597,-0.5846119753136143,-0.819743962583606,1.4738837270594336,1.0654821437868074,-0.39312266529552914,-0.15844800345122234,-1.2975856169078008,0.0030815995871663034,-1.120202024688331,-1.2658413317998352,2.434450502983399,-0.9676751299829796,0.04945163606701913,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,-0.9301762683143633,0.5528392735627377,0.48298426932930333,0.05058821118683099
207,991020,-0.8744583646889046,-0.9140821880377459,-0.0879652051644543,-0.723040645145947,-1.0311420209151738,-0.8617714520986153,-0.8646364445727318,-1.0594297857709019,0.4143130876999689,-1.5393106805196728,-1.2106806340792962,-0.5918741713917818,0.018068618166866904,-0.6780863700049228,1.8079240191858117,1.7643129444761692,0.09453827770791895,-0.08990036908660178,-0.28664003825667544,-1.1935249515397364,-1.0301873672477917,0.17760942703123772,0.700014127209614,0.1617579815184567,0.2941374852877669,1.5818822594503157,-0.4832792579725288,1.0918548263829373,0.43801378154700743,0.6306891743714607,-0.04293975859334367,-0.0014117681482960537,0.12647291344076866,-0.7099687178034412,1.9034862782754134,-0.6122275559015098,0.30973700079966077,1.149318133845186,0.9155509872690364,2.5306067529547875,2.8215409885318494,-0.09393900157909282,-0.05242255864342929,-0.05478868573712394,-0.6639207956206868,-0.24145063950103807,-0.09614865145935331,-0.9062681486870681,-0.8251675940853471,-0.5846119753136143,-0.819743962583606,1.3813136073368895,1.019464687636755,-0.39312266529552914,-0.15844800345122234,-1.2975856169078008,-0.25392775099955345,-1.0652433174558218,-1.037921897471796,2.434450502983399,-0.8632600757411947,0.04945163606701913,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,-0.43366969241938796,0.49594137464516846,0.48298426932930333,0.04993076260754903
408,992016,-1.201100269135105,-1.7281423747529088,-0.3267283986332507,-0.7026744747971128,-1.1528787855904166,-0.8101971076778418,-0.8804974926209908,-0.583277522950149,0.38529478592423855,-1.5393106805196728,-1.2106806340792962,-0.5918741713917818,0.018068618166866904,-0.6780863700049228,1.8079240191858117,1.7643129444761692,0.09453827770791895,-0.08990036908660178,-0.28664003825667544,-1.1935249515397364,-1.0301873672477917,0.17760942703123772,0.700014127209614,0.1617579815184567,0.42627680510321686,1.3682956439693055,-0.20109323930194756,0.9328221119697351,0.43801378154700743,0.6306891743714607,-0.25337411326401593,-0.0014117681482960537,0.10706155147224079,-0.7099687178034412,1.6858649386204052,-0.26458352421679066,0.30171846920431905,1.149318133845186,0.9155509872690364,2.5306067529547875,2.8215409885318494,-0.09393900157909282,-0.05242255864342929,-0.05478868573712394,-0.6639207956206868,-0.24145063950103807,-0.09614865145935331,-0.9062681486870681,-0.8251675940853471,-0.5846119753136143,-0.819743962583606,1.3813136073368895,1.019464687636755,-0.39312266529552914,-0.15844800345122234,-1.2975856169078008,-0.25392775099955345,-1.0652433174558218,-1.037921897471796,2.434450502983399,-0.8632600757411947,0.04945163606701913,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,-0.43366969241938796,0.49594137464516846,0.48298426932930333,0.04982963472603008
637,993012,-0.7049389131595746,-1.23384224456483,-0.5322797031826253,-0.4150284149841821,-0.4927871788534049,-0.5848462211355407,-1.2463202596214709,-0.780363152489345,0.37325376969469193,-1.5393106805196728,-1.2106806340792962,0.13346937084925015,-0.30009021196491453,-0.535925719947144,1.440764246760302,1.939349428504279,-0.11182993224262361,-0.29929310557520633,-0.11304812771031174,-1.1943098580461076,-1.0587343194323389,0.58895907813407,0.7198892571636609,0.2753681046504866,0.42627680510321686,1.3682956439693055,-0.20109323930194756,0.9328221119697351,0.4335030178510344,0.19692965620051706,-0.25337411326401593,-0.22976542682266984,0.10706155147224079,-0.7045730666996691,1.6858649386204052,-0.26458352421679066,0.30171846920431905,1.249752719253647,1.0777477153044044,2.2284326796905494,2.2218775141396168,-0.5312282191236168,0.40429823348361554,0.05321142282073957,-0.6926399190560221,-0.24145063950103807,-0.04208370359217195,-0.8002515443613119,-0.6769840159242263,-0.5846119753136143,-0.819743962583606,1.2167215716509292,0.9415760753523995,-0.39312266529552914,-0.15844800345122234,-1.2975856169078008,-0.5614598831693948,-1.031748793249094,-0.843866846172736,2.434450502983399,-0.7604830551305866,0.04945163606701913,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,0.02791663131021199,0.6342266794823626,0.48298426932930333,0.04951030134166101
820,994009,-0.4159976614497409,-1.488717908447918,-0.5896292710120863,-0.7544943080400265,-0.5033637541817118,-0.7931081332375303,-0.9649915937316135,-0.9089135092704637,0.4370169326321146,-1.5393106805196728,-1.2106806340792962,0.13346937084925015,-0.30009021196491453,-0.535925719947144,1.440764246760302,1.939349428504279,-0.11182993224262361,-0.29929310557520633,-0.11304812771031174,-1.1943098580461076,-1.0587343194323389,0.58895907813407,0.7198892571636609,0.2753681046504866,0.6460541933556917,1.1857137654808518,0.24396235686003123,0.7935985312394286,0.4335030178510344,0.19692965620051706,-0.3887829130345435,-0.22976542682266984,0.19578103444958792,-0.7045730666996691,1.3066194001395692,0.026904357632383514,0.31041808476925303,1.249752719253647,1.0777477153044044,2.2284326796905494,2.2218775141396168,-0.5312282191236168,0.40429823348361554,0.05321142282073957,-0.6926399190560221,-0.24145063950103807,-0.04208370359217195,-0.8002515443613119,-0.6769840159242263,-0.5846119753136143,-0.819743962583606,1.2167215716509292,0.9415760753523995,-0.39312266529552914,-0.15844800345122234,-1.2975856169078008,-0.5614598831693948,-1.031748793249094,-0.843866846172736,2.434450502983399,-0.7604830551305866,0.04945163606701913,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,0.02791663131021199,0.6342266794823626,0.48298426932930333,0.04916873393550514
997,995006,-0.9103515613558879,-1.0169966358322662,-0.25808362742071095,-0.7381397844975474,-1.3756123972700638,-0.9113679273238405,-1.1637073612302384,-0.496489672280568,0.26979474082827953,-1.5393106805196728,-1.2106806340792962,0.3461146163215037,-0.4772261406260779,-0.47413399686933416,1.1744457055557538,2.1334674299107674,-0.20755444969823608,-0.6558175472720881,-0.016341434640098598,-1.2363148183355683,-1.076575495632743,0.8054029159779664,0.7600962592057237,0.3578608303523372,0.9046302304335299,1.0448767344842762,0.6879196792958365,0.7254769823558131,0.4216343392959567,0.02159293667499678,-0.5265426149166554,-0.27759386213972503,0.3281081020256489,-0.6533922010820563,1.041564599909875,0.2986720748771588,0.327861199893273,1.3644967640496832,1.1874170896596676,2.078939218252152,1.8633659280890242,-0.8019287269152798,1.1952116290745072,0.18456824377270264,-0.7692292845790227,-0.24145063950103807,0.04845993026010306,-0.7535504970583313,-0.5751770014103306,-0.5846119753136143,-0.819743962583606,1.1160749538290824,0.8707606130759192,-0.36594854954769984,-0.05887450049997872,-1.0749805049721137,-0.7657487308374382,-1.0320585399337847,-0.6189911608029683,2.434450502983399,-0.7229679380529591,0.11248462173558205,-1.1768038580332225,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,0.28452458360563715,0.853459501469681,0.48298426932930333,0.04892604935747269
1258,996004,-0.9817907959620129,-1.0301322286318828,-0.22529885306566927,-0.8986392880979038,-1.0170818786985032,-1.0305827343920755,-1.1158060199461257,-1.1078467775384808,0.547697582451423,-1.5393106805196728,-1.2106806340792962,0.22260525604559578,-0.8183837112117719,-0.4854661601840442,1.35657162031844,1.9187634383197278,-0.11238994417506461,-0.19630091192941237,-0.05015430097247999,-1.126045084216331,-1.1349381957558515,0.6317079382342465,0.68517479445351,0.38890336699143374,0.75202695272522,1.0355236474422451,0.3431310153767689,0.7502455287950726,0.46293623732076844,0.1256891314638594,-0.5055851675340182,-0.2841236919610577,0.14711583417000132,-0.7402059503483565,1.1961664083305188,0.24382616828076856,0.2638445991129956,1.180554979259091,1.066454484585717,2.142720329761859,2.091810353431527,-0.6393248138178808,0.47543437268259225,-0.08634214362564968,-0.60022748254595,-0.24145063950103807,-0.1244872876138623,-0.632760782875011,-0.6365879677314479,-0.5846119753136143,-0.819743962583606,1.224749005700964,0.8702868013087993,-0.39312266529552914,-0.15844800345122234,-1.2975856169078008,-0.5589002109831913,-0.9714569979321688,-0.7534604504578429,2.434450502983399,-0.7245860146292076,0.04945163606701913,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,0.4231917433389873,0.4619179643807671,0.48298426932930333,0.04794897538101861
1399,997002,-0.8662949202217406,-0.5578742686078632,-0.5005888742880804,-0.7962043741388808,-0.9861233455937489,-0.3328612966958032,-0.587899563362153,-1.1272392557409137,0.3712968221291596,-1.5393106805196728,-1.2106806340792962,0.22260525604559578,-0.8183837112117719,-0.4854661601840442,1.35657162031844,1.9187634383197278,-0.11238994417506461,-0.19630091192941237,-0.05015430097247999,-1.126045084216331,-1.1349381957558515,0.6317079382342465,0.68517479445351,0.38890336699143374,0.75202695272522,1.0355236474422451,0.3431310153767689,0.7502455287950726,0.46293623732076844,0.1256891314638594,-0.5055851675340182,-0.2841236919610577,0.14711583417000132,-0.7402059503483565,1.1961664083305188,0.24382616828076856,0.2638445991129956,1.180554979259091,1.066454484585717,2.142720329761859,2.091810353431527,-0.6393248138178808,0.47543437268259225,-0.08634214362564968,-0.60022748254595,-0.24145063950103807,-0.1244872876138623,-0.632760782875011,-0.6365879677314479,-0.5846119753136143,-0.819743962583606,1.224749005700964,0.8702868013087993,-0.39312266529552914,-0.15844800345122234,-1.2975856169078008,-0.5589002109831913,-0.9714569979321688,-0.7534604504578429,2.434450502983399,-0.7245860146292076,0.04945163606701913,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,0.4231917433389873,0.4619179643807671,0.48298426932930333,0.04767008158469355
1582,998001,-0.850575503951409,-1.2051333613076802,-0.43009878167975857,-0.4204401958710113,-0.9778880366397171,-0.7644764707483499,-1.017330469512571,-1.0749317226170299,0.10832282338720942,-1.5393106805196728,-1.2106806340792962,0.18207111456367045,-1.188316606321098,-0.46489770161288196,1.5276334149676327,1.6793009719076366,0.05028195685646866,0.22979851834057338,-0.061870671001625445,-1.0034009495374372,-1.193956251541045,0.5003522487694387,0.565199638578872,0.4567116250288247,0.6810723286606748,0.9106223591712326,0.026140800012163224,0.7520825453117687,0.4973531471095287,0.19481501599350692,-0.5650926482565751,-0.5565209712932948,-0.09566465718950115,-0.8442243865918827,1.2648026001541077,0.2693630920907984,0.18321605116834866,0.97393841568751,0.8638004617906049,2.1860730119655183,2.2069274909429417,-0.485814566621295,0.07726832753011499,-0.5466757202025423,-0.40868514342920575,-0.24145063950103807,-0.3672739610800056,-0.46004331162826295,-0.6209736176540063,-0.5846119753136143,-0.819743962583606,1.425445043480926,0.8375452877028176,-0.4767503552194474,-0.21598049419221246,-1.58469295240203,-0.14948786507630882,-0.7168722261748262,-0.8059744688456214,2.434450502983399,-0.7033406131404364,-0.013421794196677802,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,0.7477187548643974,-0.04503361088538241,0.48298426932930333,0.04730711078541749
1782,999000,-0.8007431934519067,-1.0303299304936453,-0.4197991575064867,-0.5834121549067736,-0.7935138243960338,-0.45013905639560775,-0.7957500315590446,-0.2692930917632985,0.4976651210102107,-1.5393106805196728,-1.2106806340792962,0.2070902532700938,-1.188316606321098,-0.46489770161288196,1.5276334149676327,1.6793009719076366,0.05028195685646866,0.22979851834057338,-0.061870671001625445,-1.0034009495374372,-1.193956251541045,0.5003522487694387,0.565199638578872,0.4567116250288247,0.6406754042271081,0.8372552502065402,0.17571863017239714,0.6997068827467633,0.4973531471095287,0.19481501599350692,-0.5842068668490764,-0.5565209712932948,-0.10878830285866911,-0.8442243865918827,1.2364187072771913,0.31062510246495345,0.18321605116834866,0.97393841568751,0.8638004617906049,2.1860730119655183,2.2069274909429417,-0.485814566621295,0.07726832753011499,-0.5466757202025423,-0.40868514342920575,-0.24145063950103807,-0.3672739610800056,-0.46004331162826295,-0.6209736176540063,-0.5846119753136143,-0.819743962583606,1.425445043480926,0.8375452877028176,-0.4767503552194474,-0.21598049419221246,-1.58469295240203,-0.14948786507630882,-0.7168722261748262,-0.8059744688456214,2.434450502983399,-0.7033406131404364,-0.013421794196677802,-1.176803858033223,0.9880314159007384,-1.0572076774142554,-0.4991459160263014,0.4497227501883585,-0.8877477662970236,-0.8356919923741063,-0.8269302888695909,0.7922143857696052,0.9190332024619282,0.7477187548643974,-0.04503361088538241,0.48298426932930333,0.046998748728374166
