,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Jungle area (% of total land area),"Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),"Expected years of education, female (galactic years)","Expected years of education, male (galactic years)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),Current health expenditure (% of GGP),Private galaxy capital flows (% of GGP),y
115,990025,-0.7250110638810262,-0.9298306572599667,-0.017644114566090142,0.10125515136678506,0.3268047909975496,0.7036762220228776,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,-1.0023236019911168,0.12221022973129632,0.5951543855789482,-0.013540882770493307,1.5298046325391206,-0.49846124590406593,-0.7281050426756717,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.8681669317443458,0.17694538936320534,0.440823724524503,-0.6296196163580163,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-0.49896017866621045,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.054709527673093006
259,991020,-0.40564201898709806,-0.4219232269751612,0.1759917764177966,0.8564628238754134,0.3268047909975496,0.6852643755166723,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,-0.5582560076374176,0.307499628334884,0.5012269200995392,0.011185180160788845,1.5298046325391206,-0.3733557900805055,-0.5904447273897886,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.8681669317443458,0.17694538936320534,0.440823724524503,-0.6296196163580163,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-0.49896017866621045,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.053914564469536914
494,992016,-0.1942831245529412,-0.5189626446446322,0.14679850376440198,0.12760003597024994,0.3268047909975496,0.7789000881788215,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,-0.5582560076374176,0.307499628334884,0.5012269200995392,0.011185180160788845,1.5298046325391206,-0.3733557900805055,-0.5904447273897886,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.8681669317443458,0.17694538936320534,0.440823724524503,-0.6296196163580163,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-0.49896017866621045,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.053884858272832736
678,993012,-0.24061290498421617,-0.4118671340766851,-0.0669951349751929,0.46977245181534266,0.3268047909975496,0.09235927021953935,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,0.007318543962583458,0.6031701221226904,0.37541100361036994,0.08855850862679514,1.5298046325391206,-0.2563148672968346,-0.42337728181459433,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.8681669317443458,0.17694538936320534,0.440823724524503,-0.6296196163580163,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-0.49896017866621045,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.05358334940894904
835,994009,-0.09956351610122058,-0.32157456814262286,0.3567498907196675,0.1537631495190069,0.3268047909975496,0.3290489994243919,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,0.007318543962583458,0.6031701221226904,0.37541100361036994,0.08855850862679514,1.5298046325391206,-0.2563148672968346,-0.42337728181459433,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.8681669317443458,0.17694538936320534,0.440823724524503,-0.6296196163580163,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-0.49896017866621045,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.05327250788166349
978,995006,-0.6076301856016119,0.01049497879595688,0.41123147765668705,0.4569530893038852,0.3268047909975496,0.48303262052106083,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,0.28307310619070514,0.8613864642008108,0.3216415236459713,0.15466200519908552,1.5723662901983402,-0.23245914866845052,-0.31040684602287283,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.9971334863135812,0.17694538936320534,0.440823724524503,-0.5989690976857974,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-1.1438856215595494,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.05302450165293526
1197,996004,-0.3344036159162039,-0.0466956665900029,0.14240182130051848,-0.15956679499432005,0.3268047909975496,0.2728604112920143,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,0.25134883586469425,0.6564291136491847,0.11118577377953891,0.09765591031797381,1.5298046325391206,-0.08848013566993335,-0.4205014587065402,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.8681669317443458,0.17694538936320534,0.440823724524503,-0.6296196163580163,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-0.49896017866621045,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.052113541039510165
1322,997002,-0.34188307804675755,-0.3840890710923094,0.0369762541937882,0.3669682304427466,0.3268047909975496,0.4606077758466642,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,0.25134883586469425,0.6564291136491847,0.11118577377953891,0.09765591031797381,1.5298046325391206,-0.08848013566993335,-0.4205014587065402,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.5935338806491421,0.17694538936320534,0.440823724524503,-0.6296196163580163,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,-0.49896017866621045,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.05183937914737702
1549,998001,-0.27774092790982047,0.01012504538722804,0.2780601274503386,0.108092846595766,0.3268047909975496,0.5755206965218514,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,0.32029000455472656,0.5165235275802847,-0.1887536770263635,0.06537336677011422,1.5093292052215255,0.164995123776972,-0.6060681305800214,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.6903678396070009,0.17694538936320534,0.440823724524503,-0.601403081869567,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,0.06837714397352283,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.051482117732595915
1665,999000,0.15594097991275127,-0.17887877534493685,-0.18829806317937517,0.24237774651523308,0.3268047909975496,0.9815026586700191,0.3642944855349529,0.7920702706107022,-0.5375119398307818,0.10601148350697921,0.4215607313243048,1.6540773544105871,0.32029000455472656,0.5165235275802847,-0.1887536770263635,0.06537336677011422,1.5093292052215255,0.164995123776972,-0.6060681305800214,0.25036479317577653,-0.8666730450645566,-0.41591897619027535,0.9511106776967588,-0.8394767064581053,0.17694538936320534,0.440823724524503,-0.601403081869567,0.289885886169624,0.9787641886444589,0.7419293596846792,1.9107748568348426,-0.8826513073592546,0.8989116654855185,0.06837714397352283,0.37165298110238437,-0.038682127886627164,-0.48937770369854405,0.809623607150736,-0.03991024234415088,0.0511780678864554
