,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
143,990025,-0.8322053071822639,-0.3628238936051017,-0.1328808515962152,-0.008833348378105283,-0.5486625014609012,-0.5988121832296129,-0.3774838187236557,-0.7155065341608704,0.11287549341325963,-0.10301576867355954,-0.014338046465015993,-0.29418947856537675,-0.7215506209855046,1.422132891527154,1.0898331027527945,0.15618902833191362,-0.6550981618772292,0.6557014165135807,-0.2875269167017961,-0.85050122897311,0.19346476572915117,1.0839617569979303,1.2483230312487406,0.6541806801076723,-0.023432965607787612,-0.8685242197401573,-0.3590640473524872,-0.9345372546164618,-2.0880385161043162,0.1981215388347649,0.14578582563255013,-0.7073243505006052,-0.5246371159814477,-1.0768548986332118,1.074413564851446,-0.7044346404010734,0.46073540411206776,0.26865431005987844,-0.2805336898053249,-0.34575154899992855,-0.2539734307270155,0.0045782569926313245,-1.104717856005167,0.8165846081968532,-0.552678583245681,-0.3830347013733053,-0.5368765332798655,-0.9749641457827218,-0.6127827910654079,-0.8966177085500305,1.5815467081312378,-0.3636332590447752,-0.3335006785778037,-0.33957455697393607,0.06556902893157669,0.03341340346336755,-0.6845333619943502,-0.694493896588595,-0.4701880855307684,-0.7564528543828782,0.012046290082802837,1.4001671152895443,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.42247474905556237,-0.5689973798283698,-0.6972308818939215,0.3387335292347664,0.04497698851798267,-0.9834996011632572,0.582822674996604,0.06061906801508399
184,991020,-0.2787202194689997,-0.5057821881499253,-0.04142887080295745,0.21825892151308357,-0.5486625014609012,-0.8787856003312222,-0.3774838187236557,-0.7155065341608704,0.11287549341325963,-0.10301576867355954,-0.014338046465015993,-0.08395924803566239,-0.8260344944573258,1.2213543006432532,0.8340368908541942,-0.030488286209771044,-0.08816742014457717,0.14771051050986772,-0.19823616071542616,-0.6878649093905324,0.1051520552867844,1.039401275909627,0.9842159319894133,0.6242589047264695,-0.03154257507526177,-0.9092215257791614,-0.3968095824894537,-0.9398877654903731,-1.7330477323629914,0.1850323954886335,0.17771918012519272,-0.6441290843187166,-0.521786453918344,-1.2911990380830667,1.2552884970227183,-0.677483128629717,0.33952498336733117,0.023894650154975956,-0.39478444358888937,-0.36012221174104897,-0.2539734307270155,0.0045782569926313245,-0.8206824421202461,0.8951809365500358,-0.552678583245681,-0.5065457298674185,-0.5585418874065792,-0.985454385293201,-0.6127827910654079,-0.8966177085500305,1.2908794754793251,-0.24614399075502516,-0.3335006785778037,-0.33957455697393607,0.06556902893157669,-0.05131725310223468,-0.7021433708838647,-0.699171969673555,-0.32688427441301676,-0.6155782395319513,0.012046290082802837,1.4001671152895443,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.42247474905556237,-0.5689973798283698,-0.6972308818939215,0.3387335292347664,0.04497698851798267,-0.9834996011632572,0.582822674996604,0.06063669386262571
361,992016,-0.45348071669205575,-0.5568046853004491,0.028531816630991,0.1085069370560141,-0.5486625014609012,-0.5455575719168325,-0.3774838187236557,-0.7155065341608704,0.11287549341325963,-0.10301576867355954,-0.014338046465015993,-0.08395924803566239,-0.8260344944573258,1.2213543006432532,0.8340368908541942,-0.030488286209771044,-0.08816742014457717,0.14771051050986772,-0.19823616071542616,-0.6878649093905324,0.1051520552867844,1.039401275909627,0.9842159319894133,0.6541806801076723,-0.023432965607787612,-0.8685242197401573,-0.3590640473524872,-0.9398877654903731,-1.7330477323629914,0.1981215388347649,0.17771918012519272,-0.7073243505006052,-0.521786453918344,-1.0768548986332118,1.074413564851446,-0.7044346404010734,0.33952498336733117,0.023894650154975956,-0.39478444358888937,-0.36012221174104897,-0.2539734307270155,0.0045782569926313245,-0.8206824421202461,0.8951809365500358,-0.552678583245681,-0.5065457298674185,-0.5585418874065792,-0.985454385293201,-0.6127827910654079,-0.8966177085500305,1.2908794754793251,-0.24614399075502516,-0.3335006785778037,-0.33957455697393607,0.06556902893157669,-0.05131725310223468,-0.7021433708838647,-0.699171969673555,-0.32688427441301676,-0.6155782395319513,0.012046290082802837,1.4001671152895443,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.42247474905556237,-0.5689973798283698,-0.6972308818939215,0.3387335292347664,0.04497698851798267,-0.9834996011632572,0.582822674996604,0.060673465062654586
564,993012,-0.5441452873373427,-0.46434342368783427,-0.32038323224014537,-0.02194668014496226,-0.5486625014609012,-0.7482332188783558,-0.3774838187236557,-0.7155065341608704,0.11287549341325963,-0.10301576867355954,-0.014338046465015993,0.2854480139880604,-1.0386200581118683,0.9608398934014477,0.6487606265211643,-0.4348627353816196,0.5578614511772901,-0.38171848177648415,-0.0995185060689587,-0.29317721559839,0.04545597333923492,1.0967618669793229,0.8328282969882792,0.6541806801076723,-0.023432965607787612,-0.8685242197401573,-0.3590640473524872,-0.9594327093594185,-1.4248614835826843,0.1981215388347649,0.24130749916670105,-0.7073243505006052,-0.518071725597143,-1.0768548986332118,1.074413564851446,-0.7044346404010734,0.25468011778897387,-0.5062295598125507,-0.5360974996505189,-0.38476367413747714,-0.2539734307270155,0.0045782569926313245,-0.3202590865333319,0.8951809365500358,-0.552678583245681,-0.6502527023796497,-0.5852083795723698,-1.070716989788541,-0.6127827910654079,-0.8966177085500305,0.9563846429404604,-0.1462563698274093,-0.3335006785778037,-0.33957455697393607,0.06556902893157669,-0.1118009016357847,-0.7653284565190284,-0.7128097908930733,-0.04702803642859955,-0.49424926395578445,0.012046290082802837,1.4001671152895443,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.42247474905556237,-0.5689973798283698,-0.6972308818939215,0.3387335292347664,0.04497698851798267,-0.9834996011632572,0.582822674996604,0.06037587406098776
754,994009,-0.3472697219301826,-0.5069685495196228,-0.21533216613022088,-0.152406894872602,-0.5486625014609012,-1.0338440766674657,-0.3774838187236557,-0.7155065341608704,0.11287549341325963,-0.10301576867355954,-0.014338046465015993,0.2854480139880604,-1.0386200581118683,0.9608398934014477,0.6487606265211643,-0.4348627353816196,0.5578614511772901,-0.38171848177648415,-0.0995185060689587,-0.29317721559839,0.04545597333923492,1.0967618669793229,0.8328282969882792,0.7455398503203674,0.02439769092818173,-0.851745409956971,-0.28430523074632036,-0.9594327093594185,-1.4248614835826843,0.20196730243992672,0.24130749916670105,-0.8169837569032897,-0.518071725597143,-0.9986046502477515,0.950242288470616,-0.819356484084481,0.25468011778897387,-0.5062295598125507,-0.5360974996505189,-0.38476367413747714,-0.2539734307270155,0.0045782569926313245,-0.3202590865333319,0.8951809365500358,-0.552678583245681,-0.6502527023796497,-0.5852083795723698,-1.070716989788541,-0.6127827910654079,-0.8966177085500305,0.9563846429404604,-0.1462563698274093,-0.3335006785778037,-0.33957455697393607,0.06556902893157669,-0.1118009016357847,-0.7653284565190284,-0.7128097908930733,-0.04702803642859955,-0.49424926395578445,0.012046290082802837,1.4001671152895443,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.42247474905556237,-0.5689973798283698,-0.6972308818939215,0.3387335292347664,0.04497698851798267,-0.9834996011632572,0.582822674996604,0.06006835503394602
955,995006,0.006937963541119335,0.062054657672410016,0.044742532572555074,0.1436424331184133,-0.658432184507631,-0.6182927111059237,-0.3084833728968059,-0.8145000949917536,0.2516062546349565,-0.10301576867355954,-0.014338046465015993,0.6293286764939305,-1.1152275907161395,0.9396988040423305,0.7192805740867336,-0.7228858611721047,1.2449867537753205,-0.6048438032158288,-0.04073278008562765,-0.02823520023947858,0.03636981323559989,1.2086586941059654,0.8698539437459046,0.864677773707247,0.10132035974687527,-0.8567877452067046,-0.20007585457848834,-0.9752558876769709,-1.1249564886658587,0.19705040675476437,0.32242004519229495,-0.9052229090870134,-0.5174934076714464,-1.0610512487140635,0.9596426008778849,-1.0366138901403645,0.2486232401661745,-0.7508153244930575,-0.6016997263090273,-0.4182264384011872,-0.3611346038975382,-0.10133005322113318,-0.17800793825162212,0.8951809365500358,-0.4998707426712061,-0.7822207361295023,-0.6003681812936528,-1.1603176338160681,-0.8739674219250244,-1.0729374263319729,0.8213311796338172,-0.08616764535695312,-0.4170967467141868,-0.5184441122973616,0.06556902893157669,-0.09807278900087153,-0.7934731648135986,-0.7285884496373907,0.19613629062260615,-0.399602926217681,0.15217615657284447,1.2922028066980722,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.5939340533530151,-0.749813431389853,-0.8689744753040616,0.3002581506493568,-0.04492795230899621,-0.9834996011632572,0.8567361539429336,0.05982347099968965
1161,996004,-0.30676514241973296,-0.15659076298336047,0.12542649125057034,0.22974342135295844,-0.19038871689601305,-0.7700660602557656,-0.732684430861286,-0.36840626854107034,-0.2020247996619746,-0.10301576867355954,-0.014338046465015993,0.3402926334283763,-1.0328743800591123,0.8660933754387564,0.6042951382680618,-0.4865955320516376,0.5831649957727592,-0.529058660223837,0.02880032901068882,-0.08726122150562551,-0.015411747691853635,1.012410033072974,0.6605951957973475,0.8101971605645416,-0.024247060391148732,-0.8220130128384384,-0.3189034319666907,-0.9548154088464664,-1.134091250971234,0.20891755739150727,0.20359683200873935,-0.8281024603745146,-0.5177374888876242,-0.8107402121579835,0.9350831186128488,-0.7455099518143007,0.11328927891865327,-0.7103408557536324,-0.6197817033872218,-0.37267043127675087,-0.2539734307270155,0.0045782569926313245,-0.007652076695245428,0.8951809365500358,-0.552678583245681,-0.7044900158877809,-0.6006549858077547,-1.0446970676250864,-0.6127827910654079,-0.8966177085500305,0.6526278380429494,-0.08147321449752892,-0.3335006785778037,-0.33957455697393607,0.06556902893157669,-0.19804086031225732,-0.7589267986786993,-0.7045659423736081,-0.051959363882585735,-0.4652610041831833,0.012046290082802837,1.4001671152895443,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.42247474905556237,-0.5689973798283698,-0.6972308818939215,0.3387335292347664,0.04497698851798267,-0.9834996011632572,0.582822674996604,0.06128114658737116
1267,997002,-0.27930418218164804,0.012137123333861527,0.25322242610787893,0.1053077057166951,-0.6203663595490415,-0.7433711826474304,-0.10658414941262276,-0.8879549036494899,0.11339010474719166,-0.10301576867355954,-0.014338046465015993,0.3402926334283763,-1.0328743800591123,0.8660933754387564,0.6042951382680618,-0.4865955320516376,0.5831649957727592,-0.529058660223837,0.02880032901068882,-0.08726122150562551,-0.015411747691853635,1.012410033072974,0.6605951957973475,0.8101971605645416,-0.024247060391148732,-0.8220130128384384,-0.3189034319666907,-0.9548154088464664,-1.134091250971234,0.20891755739150727,0.20359683200873935,-0.8281024603745146,-0.5177374888876242,-0.8107402121579835,0.9350831186128488,-0.7455099518143007,0.11328927891865327,-0.7103408557536324,-0.6197817033872218,-0.37267043127675087,-0.2539734307270155,0.0045782569926313245,-0.007652076695245428,0.8951809365500358,-0.5709663150487073,-0.7044900158877809,-0.6006549858077547,-1.0446970676250864,-0.6127827910654079,-0.8966177085500305,0.6526278380429494,-0.08147321449752892,-0.3335006785778037,-0.33957455697393607,0.06556902893157669,-0.19804086031225732,-0.7589267986786993,-0.7045659423736081,-0.051959363882585735,-0.4652610041831833,0.012046290082802837,1.4001671152895443,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.42247474905556237,-0.5689973798283698,-0.6972308818939215,0.3387335292347664,0.04497698851798267,-0.9834996011632572,0.582822674996604,0.06128005418101945
1491,998001,-0.2167034237256265,-0.3319506942549065,0.005077522731786122,-0.055136731416393074,-0.5087553006918706,-1.0708626899850828,-0.19621257049773647,-1.084934562908721,0.20968240609864433,-0.10301576867355954,-0.014338046465015993,0.03967351547909599,-0.7840766584149195,0.7131084452198203,0.2409261714977596,-0.25929518507350585,0.01170538410815467,-0.5197473186018648,0.20533148419432887,-0.0561591574032314,-0.13357386724322418,0.7406599644815484,0.14503506110082193,0.8658515293799472,-0.24269337567512492,-0.7686555322710895,-0.512924260532311,-0.8646358971144601,-0.9468731111271547,0.2433532381806752,-0.007465633776812157,-0.7651416085509741,-0.5163934699163014,-0.469051928150172,0.9817918786988561,-0.4395973142124495,-0.17639885097390695,-0.7689199051543352,-0.7233400076391644,-0.36440396404984343,-0.07892139741999732,0.18048666541463942,0.5446034792407741,0.8951809365500358,-0.6428204692544598,-0.6412760834392986,-0.6195036884983187,-0.799607860388353,-0.224772991056813,-0.7457784262352593,0.3503211967219958,-0.06412418038608286,-0.25282524830017733,-0.11644255459319687,0.06556902893157669,-0.3909471536881686,-0.6648304684257832,-0.678293809951619,-0.38075560787759477,-0.5004618104012643,-0.11528690947503747,1.5584709456147865,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.1628704987116324,-0.2613626454401607,-0.4814006585926721,0.4393444913711535,0.15025488044747287,-0.9834996011632572,0.16215488649243182,0.061221258976905564
1647,999000,-0.014064629384375266,0.18240649298207412,0.189885519388031,0.2798891754462364,0.05987552267716455,-0.737147664561183,-0.29614796542217914,-0.4279648678304208,-0.05766474651731977,-0.10301576867355954,-0.014338046465015993,0.03967351547909599,-0.7840766584149195,0.7131084452198203,0.2409261714977596,-0.25929518507350585,0.01170538410815467,-0.5197473186018648,0.20533148419432887,-0.0561591574032314,-0.13357386724322418,0.7406599644815484,0.14503506110082193,0.7235089992098226,-0.2918512067243201,-0.7192252751974606,-0.47428332709086257,-0.8646358971144601,-0.9468731111271547,0.24284869619844904,-0.007465633776812157,-0.7319771548790358,-0.5163934699163014,-0.4652659549045691,0.8484743924009465,-0.407077483506201,-0.17639885097390695,-0.7689199051543352,-0.7233400076391644,-0.36440396404984343,-0.07892139741999732,0.18048666541463942,0.5446034792407741,0.8951809365500358,-0.761324768297992,-0.6412760834392986,-0.6195036884983187,-0.799607860388353,-0.224772991056813,-0.7457784262352593,0.3503211967219958,-0.06412418038608286,-0.25282524830017733,-0.11644255459319687,0.06556902893157669,-0.3909471536881686,-0.6648304684257832,-0.678293809951619,-0.38075560787759477,-0.5004618104012643,-0.11528690947503747,1.5584709456147865,-0.1633756139160857,-0.8176934337599232,-0.5148457691893865,0.5662542258033832,-0.1628704987116324,-0.2613626454401607,-0.4814006585926721,0.4393444913711535,0.15025488044747287,-0.9834996011632572,0.16215488649243182,0.06123728133752681
