,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
74,990025,0.2441041425255454,0.6140508947089864,4.047563415181133,0.9183011273274754,0.05456781069368687,-0.37095772142793165,0.12408162157067955,-0.3123526092768686,-0.5303181911285407,0.3321033187429803,0.25058480320971954,1.127065305723722,-1.1059794056214851,0.9270692820128421,-0.06433747218398232,-0.3870802895242266,-0.12896444090178077,-0.3486297172588449,0.07323588666391888,0.48035155553348596,-0.25895744891690264,-0.3097765771353371,-0.35339819182222204,0.003694579203951949,2.3408468846074464,-0.6459295531498309,-0.631308857711468,-0.4641887138280555,1.5273922909305835,-0.16340149887707847,0.46076062985201327,1.4535757305306443,1.1033285435371925,-0.723294720444031,-1.9850478130006706,1.955725917251497,-0.846646924699299,-0.25907840632130014,-0.7512307269455625,0.7962311514643078,0.09011333785388503,4.529338284428183,-1.1233147776558403,-0.3364905166121345,-0.013720960318878159,-0.8859866372537119,3.627438644517665,-0.3510716330548464,-0.6418716778468869,0.12731876928492036,-0.6069138163666472,-0.2941115463431364,-0.5554949950619038,3.718543816221728,1.693695325664018,0.09220295963465361,-0.32666746512891814,-0.3311935742747364,-0.40767306430640554,-0.4631325565375893,-0.47144338043395895,-0.05777986399846468,0.148721793965543,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.43270889871895357,0.3916013511849431,-0.032190090802925724,-0.6677301897045343,-0.6553097412595683,1.5663991200355911,-1.30316041491562,1.8932633079157994,0.6212326194743313,0.05891720602669238
293,991020,0.39527158970534576,0.3046027603597426,3.6161643325172097,1.5239322068864476,-0.5617232516075998,-0.20749605436018836,0.4239787863787343,-0.31515574868705054,-0.5452057951437377,0.3321033187429803,0.25058480320971954,1.127065305723722,-0.7207367033523288,0.9320771155063805,-0.08824517738121443,-0.27376373962640416,-0.23866935912236098,-0.3717608254879513,-0.20712310404482928,0.5111958748398021,-0.026685078709596563,-0.33831299147395916,-0.33443703541574926,-0.052795183392855896,2.283377768557585,-0.4091203109028115,-0.574026682731662,-0.40310921248934584,1.488058158684852,-0.1480276965239421,0.6183535492419403,1.581085832936106,1.109506473046373,-0.7836283069162677,-2.067117096171427,1.7583414576558665,-0.9723970323811287,-0.38141585826410546,-0.7457655751006037,0.6097949068579994,-0.007657572598031852,4.529338284428183,-1.1233147776558403,-0.013408055299926636,-0.013720960318878159,-0.8859866372537119,3.192281409078439,-0.20514652450450307,-0.5626548344108784,0.12019118257996456,-0.397054413116263,-0.2318591807321705,-0.5053688942461809,3.718543816221728,1.693695325664018,0.14711517026020438,-0.11933158802474678,-0.20335221132420128,-0.3594991941232057,-0.4631325565375893,-0.33574429769059405,-0.05777986399846468,-0.14796760481979926,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.43270889871895357,0.3916013511849431,-0.032190090802925724,-0.6677301897045343,-0.6553097412595683,1.5663991200355911,-0.9597557692258464,1.8932633079157994,0.6212326194743313,0.058423430295384986
446,992016,0.12098347273035187,0.15359001349961227,4.126764131515341,1.319244455975869,-0.17845095384245235,-0.1870445096001547,0.5055577050134666,-0.3986415992687008,-0.8991436490617464,0.3321033187429803,0.25058480320971954,1.127065305723722,-0.7207367033523288,0.9320771155063805,-0.08824517738121443,-0.27376373962640416,-0.23866935912236098,-0.3717608254879513,-0.20712310404482928,0.5111958748398021,-0.026685078709596563,-0.33831299147395916,-0.33443703541574926,-0.052795183392855896,2.3408468846074464,-0.6459295531498309,-0.631308857711468,-0.4641887138280555,1.488058158684852,-0.1480276965239421,0.46076062985201327,1.581085832936106,1.1033285435371925,-0.7836283069162677,-1.9850478130006706,1.955725917251497,-0.846646924699299,-0.38141585826410546,-0.7457655751006037,0.6097949068579994,-0.007657572598031852,4.529338284428183,-1.1233147776558403,-0.013408055299926636,-0.013720960318878159,-0.8859866372537119,3.192281409078439,-0.20514652450450307,-0.5626548344108784,0.12019118257996456,-0.397054413116263,-0.2318591807321705,-0.5053688942461809,3.718543816221728,1.693695325664018,0.14711517026020438,-0.11933158802474678,-0.20335221132420128,-0.3594991941232057,-0.4631325565375893,-0.33574429769059405,-0.05777986399846468,-0.14796760481979926,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.43270889871895357,0.3916013511849431,-0.032190090802925724,-0.6677301897045343,-0.6553097412595683,1.5663991200355911,-0.9597557692258464,1.8932633079157994,0.6212326194743313,0.05835470525678521
698,993012,0.790286404155726,0.13172679524916545,3.629810274352213,0.9874872619146231,0.2841798156090909,-0.249315785598468,0.7672185629776975,-0.33877877071430296,-0.485295390489729,0.3321033187429803,0.25058480320971954,1.127065305723722,-0.18348346975451985,0.9263742141576763,-0.1265142600586834,-0.17319801310086558,-0.33326137688504076,-0.6999672788736397,-0.5943293426021558,0.494073466333819,0.27344255300842724,-0.38568032061189955,-0.2590805259181964,-0.050569531297522945,2.3408468846074464,-0.6459295531498309,-0.631308857711468,-0.4641887138280555,1.4433965818224075,-0.10300035027234015,0.46076062985201327,1.7821186456305147,1.1033285435371925,-0.8300437713706104,-1.9850478130006706,1.955725917251497,-0.846646924699299,-0.45577585390839603,-0.773112178736641,0.4139553372923666,-0.37119755324383313,4.529338284428183,-1.1233147776558403,0.2225820175822291,-0.013720960318878159,-0.8859866372537119,2.697686339555558,-0.0811606965067087,-0.48980949708120747,0.0894267163664685,-0.21191856721906618,-0.1276862683805177,-0.46718435306764605,3.718543816221728,1.693695325664018,0.21111761744072643,0.06939957110730466,0.014292907837353269,-0.3120953246364133,-0.4631325565375893,-0.18997627075118456,-0.05777986399846468,-0.6956288210061317,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.43270889871895357,0.3916013511849431,-0.032190090802925724,-0.6677301897045343,-0.6553097412595683,1.5663991200355911,-0.021974684814099702,1.8932633079157994,0.6212326194743313,0.05829159168826159
886,994009,0.6514772120307175,0.45729886519022994,4.14732777096692,1.5618510280126925,0.174271868163046,-0.1414631277710502,0.6576527123117266,-0.4067010921758835,-0.6842606605834585,0.3321033187429803,0.25058480320971954,1.127065305723722,-0.18348346975451985,0.9263742141576763,-0.1265142600586834,-0.17319801310086558,-0.33326137688504076,-0.6999672788736397,-0.5943293426021558,0.494073466333819,0.27344255300842724,-0.38568032061189955,-0.2590805259181964,-0.050569531297522945,2.3925349831488516,-0.8208507793199269,-0.7032266639945383,-0.575099888004006,1.4433965818224075,-0.10300035027234015,0.20898415601271061,1.7821186456305147,1.104738377727883,-0.8300437713706104,-1.8666562012414567,2.3605956303977425,-0.7848463396904062,-0.45577585390839603,-0.773112178736641,0.4139553372923666,-0.37119755324383313,4.529338284428183,-1.1233147776558403,0.2225820175822291,-0.013720960318878159,-0.8859866372537119,2.697686339555558,-0.0811606965067087,-0.48980949708120747,0.0894267163664685,-0.21191856721906618,-0.1276862683805177,-0.46718435306764605,3.718543816221728,1.693695325664018,0.21111761744072643,0.06939957110730466,0.014292907837353269,-0.3120953246364133,-0.4631325565375893,-0.18997627075118456,-0.05777986399846468,-0.6956288210061317,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.43270889871895357,0.3916013511849431,-0.032190090802925724,-0.6677301897045343,-0.6553097412595683,1.5663991200355911,-0.021974684814099702,1.8932633079157994,0.6212326194743313,0.05822862193829448
905,995006,0.33719076597504943,0.7394860695450278,3.3501934253876446,1.5222958612417072,0.3829530994987014,-0.2573570504380625,0.2992481484970421,-0.23456482769072423,-0.7352129500944163,0.3321033187429803,0.25058480320971954,1.532758437712222,0.3078448933201167,0.9141081425839689,-0.16504558449311127,-0.09129874091970099,-0.4442711667773797,-0.9564194457508607,-0.945727899013257,0.43278930968353263,0.3934939243831486,-0.457799480691401,-0.18213339750960217,0.010240614778460607,2.4193990805086494,-0.9921910648031298,-0.7737983668513012,-0.6949807234786904,1.438069137205696,-0.061066621032528724,0.07101338872171756,1.8723940903106617,1.1132165630218749,-0.8598107923685677,-1.771138066773395,2.7705157405214798,-0.7516806573493688,-0.4361260149981823,-0.823195473356188,0.3066322275502262,-0.7361138908865725,4.529338284428183,-1.1233147776558403,0.5063311722527071,-0.06022172640501027,-0.8859866372537119,2.1727472635680116,-0.024793138323808472,-0.49618100318754504,0.04635964767045692,-0.1440742016236553,-0.06764869340476108,-0.46003364211556674,3.1497999611253737,1.160495003378855,0.3055444502363946,0.19758575468233586,0.10409666404837276,-0.299936997290969,-0.4631325565375893,-0.15455636534828587,-0.6703850617143163,-1.0959627882761205,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.42413057448482644,0.4574504260365005,-0.18350791748309747,-0.7169347891856023,-0.6206138607639504,1.5663991200355911,0.3137035237253238,1.8932633079157994,0.6212326194743313,0.05817482903823335
1137,996004,0.1587036295781096,0.46885237862348844,4.14818379731503,1.0176002007096032,0.2583851894941504,-0.22517949099460055,0.2974884460562065,0.3040372186666068,-0.6434807717014628,0.3321033187429803,0.25058480320971954,1.127065305723722,-0.008087256607322594,0.8947864980945969,-0.06566137917727236,-0.14744076262290456,-0.5456502134296707,-0.5505563013038328,-0.7139201868083059,0.592439486921679,0.3395572005861495,-0.4553383481659406,-0.25153902965397035,-0.1605180293175869,2.4301805218032944,-0.9150139772700945,-0.7465457995740215,-0.605491507655185,1.4384840815888362,-0.11585211766313616,0.1666630815541647,1.7450842357592118,1.0879073730292848,-0.9361008442411267,-1.8809850534137933,2.119399165916511,-0.6938421188044346,-0.5545152403640506,-0.7220318408430256,0.31927451120422673,-0.3427310323614814,4.529338284428183,-1.1233147776558403,0.3406452612342622,-0.013720960318878159,-0.8859866372537119,2.749294706137316,0.02498732908221117,-0.40713496103204905,0.13113770634146554,-0.16973739405950702,-0.13526825540791315,-0.4578777892529913,3.718543816221728,1.693695325664018,0.20235379468202683,0.10187818541088398,0.03355598239414401,-0.2822669870677707,-0.4631325565375893,-0.1394335452673436,-0.05777986399846468,-0.7389437698163558,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.43270889871895357,0.3916013511849431,-0.032190090802925724,-0.6677301897045343,-0.6553097412595683,1.5663991200355911,0.034663872524948666,1.8932633079157994,0.6212326194743313,0.05780888250541881
1325,997002,0.21162232311996484,0.7598940048266339,5.166422284015863,1.139445144359175,-0.16137934992572503,-0.19592303895156185,0.5247999035361725,0.09235595161739282,-0.8934850338897506,0.3321033187429803,0.25058480320971954,1.127065305723722,-0.008087256607322594,0.8947864980945969,-0.06566137917727236,-0.14744076262290456,-0.5456502134296707,-0.5505563013038328,-0.7139201868083059,0.592439486921679,0.3395572005861495,-0.4553383481659406,-0.25153902965397035,-0.1605180293175869,2.4301805218032944,-0.9150139772700945,-0.7465457995740215,-0.605491507655185,1.4384840815888362,-0.11585211766313616,0.1666630815541647,1.7450842357592118,1.0879073730292848,-0.9361008442411267,-1.8809850534137933,2.119399165916511,-0.6938421188044346,-0.5545152403640506,-0.7220318408430256,0.31927451120422673,-0.3427310323614814,4.529338284428183,-1.1233147776558403,0.3406452612342622,-0.013720960318878159,-0.8859866372537119,2.749294706137316,0.02498732908221117,-0.40713496103204905,0.13113770634146554,-0.16973739405950702,-0.13526825540791315,-0.4578777892529913,3.718543816221728,1.693695325664018,0.20235379468202683,0.10187818541088398,0.03355598239414401,-0.2822669870677707,-0.4631325565375893,-0.1394335452673436,-0.05777986399846468,-0.7389437698163558,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.43270889871895357,0.3916013511849431,-0.032190090802925724,-0.6677301897045343,-0.6553097412595683,1.5663991200355911,0.034663872524948666,1.8932633079157994,0.6212326194743313,0.057649136167373875
1468,998001,0.3885344885905194,0.35031333660323977,5.8484147642759545,1.0859620122435785,0.5108706143335628,-0.02757350639043673,0.607781557664923,0.35879646539417975,-0.6585492831816916,0.3321033187429803,0.25058480320971954,0.5872657445338966,-0.11491208710034398,0.8192445603514154,0.07653928316291973,-0.20004447428632524,-0.8008535458357592,0.08464899252208308,-0.48296655765593044,0.7992857255494397,0.4850456032513605,-0.4926809997104784,-0.33259553708879713,-0.5282895099327404,2.4550415154205463,-0.941871032421787,-0.7339462368221445,-0.5495261425618051,1.4313868819886553,-0.20981806764115551,0.2695827255970199,1.44318915511795,1.038334752185947,-1.0109739273107394,-2.06375495098083,1.2759904264407538,-0.616666449024463,-0.6636614226339677,-0.5794287367042906,0.23137669510687048,0.09754557523638584,4.529338284428183,-1.1233147776558403,0.23683152739027896,0.03154431887432023,-0.8859866372537119,3.4440886515126525,0.22541804677594726,-0.09246052866502069,0.2352064423371007,-0.14056880980643208,-0.34852516516032517,-0.4718804198586552,4.428588745395261,2.6759762629161843,0.12343963190910769,-0.07465387762866575,0.06703177980033265,-0.17920529925475884,-0.4631325565375893,-0.08089172244916497,0.8313937210320419,-0.3318527834175138,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.48701495900800035,0.31879091695939576,0.1817245080886821,-0.6278117385141629,-0.6977951141642326,1.5663991200355911,-0.37751908450385474,1.8932633079157994,0.6212326194743313,0.057407287415764285
1791,999000,0.6628889035494548,0.5780723166246386,5.043706808573119,0.9286059415918694,-0.05898332585948635,0.2159313860745466,0.20282961920321202,-0.0666504140086132,-0.6658636977066515,0.3321033187429803,0.25058480320971954,0.5872657445338966,-0.11491208710034398,0.8192445603514154,0.07653928316291973,-0.20004447428632524,-0.8008535458357592,0.08464899252208308,-0.48296655765593044,0.7992857255494397,0.4850456032513605,-0.4926809997104784,-0.33259553708879713,-0.5282895099327404,2.471158188709041,-0.9898828777494171,-0.7538100849175696,-0.5498002629498765,1.4313868819886553,-0.20981806764115551,0.23403368377563333,1.44318915511795,1.0561803132572336,-1.0109739273107394,-2.0552705235821156,1.349162198895837,-0.6111842472905992,-0.6636614226339677,-0.5794287367042906,0.23137669510687048,0.09754557523638584,4.529338284428183,-1.1233147776558403,0.23683152739027896,0.03154431887432023,-0.8859866372537119,3.4440886515126525,0.22541804677594726,-0.09246052866502069,0.2352064423371007,-0.14056880980643208,-0.34852516516032517,-0.4718804198586552,4.428588745395261,2.6759762629161843,0.12343963190910769,-0.07465387762866575,0.06703177980033265,-0.17920529925475884,-0.4631325565375893,-0.08089172244916497,0.8313937210320419,-0.3318527834175138,0.115325329597016,-0.46518570666988673,0.028303592859442693,-1.2417688836994316,0.48701495900800035,0.31879091695939576,0.1817245080886821,-0.6278117385141629,-0.6977951141642326,1.5663991200355911,-0.37751908450385474,1.8932633079157994,0.6212326194743313,0.05721139346894155
