,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Gender Inequality Index (GII),y
21,990025,-1.2093899644807815,-1.1774816301661035,-0.6115117118586346,-1.2497634986040795,-0.8048650978661341,-1.1719174509702133,-1.0367398007886162,-1.1375167337523082,0.11983489286339116,-0.12377203800060817,-1.333745812585564,-0.24518515822070971,-0.47274893034627324,-1.2429011662505647,2.0207224292753585,2.078126644617207,0.06157042557558456,0.05331457792829518,-0.27234780869555497,-0.8146413291049063,-1.2243961867696618,0.10866848881861406,1.0432747641902895,0.920211053680105,-0.34763647600303754,1.0376369689544038,-0.7388062976492783,1.3982614897647903,1.720089219701501,0.9422653560668713,-1.2938019552355524,1.4406144595552222,1.982148064535548,0.021010797359724883,-1.0007891176153738,-0.6472243526682558,-0.15082552458775617,1.6887099718459937,1.0481002810522615,2.156251428267951,2.6667114757613612,-0.607310486291022,-0.9041444619869292,-1.732309079828471,-0.9236813863359827,-0.684096382782506,-0.650567030039513,-1.3036128472938797,-1.32525791264007,-1.4181591856838178,-0.6433403997935664,2.1287431429596544,1.1193551577259797,-0.3820824826779524,-0.18671696133562957,-0.7645918608370919,-0.015355044455922099,-0.8114017615576505,-0.7136455967512985,-1.126009028385584,0.24686684552555924,-0.8106948708222306,0.4822915634545406,0.3205885551017395,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.0292493561902707,-0.7614266147189488,-1.6142551104569793,0.2553777826770981,0.3748418096642784,-0.02282490941066107,-0.48006750304219475,0.8329257537023633,0.05266047706833177
258,991020,-1.17185446568241,-1.0848387186003445,-0.42865382956491344,-1.0539556485525763,-0.7272867312437147,-1.2981055309897518,-0.8087975372785569,-1.1216855781879913,0.6169059575082684,-0.12377203800060817,-1.333745812585564,-0.23592029511481655,-0.37766202584090974,-1.290410753154182,1.6822696664284345,1.6303072677263857,-0.08841208211851395,-0.19225593766890248,-0.5552658444675513,-0.6322670662128066,-1.1234049719420904,-0.1448572989198356,0.9111181271918318,0.967817417134278,-0.15716102785029118,1.0384806663752053,-0.928644022247384,1.2619412422407228,1.6418513309887204,1.2254672904893362,-1.1633920865240794,1.3459663548717133,2.1513902195276002,0.07620406515711396,-1.1183420272932185,-0.352387514337159,-0.013214680444791443,1.5064834476950448,0.9331803034374153,1.9244108413166654,2.2261061413132803,-0.5992211382588399,-0.25495862656618695,-1.0734282961678645,-0.7327719423059791,-0.684096382782506,-0.4856874340351609,-1.072724486222289,-1.1083685354971549,-1.3107532967135738,-0.5613570472824424,1.9461816271295818,1.3201253885045716,-0.3820824826779524,-0.18671696133562957,-0.7645918608370919,-0.13601087164772527,-0.8473849569725634,-0.6530054286689949,-0.8566720559964268,0.24686684552555924,-0.7847494075041682,0.4822915634545406,0.49575816599459094,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.0292493561902707,-0.7614266147189488,-1.6142551104569793,0.2553777826770981,0.3748418096642784,0.22034585374404128,-0.2167344265929455,0.8329257537023633,0.05231854435526462
393,992016,-1.1644348372130993,-1.283447161957648,-0.9621443592663589,-0.5724200141398841,-1.0280293101566147,-1.1167312813763433,-0.8154171507819556,-0.7836005987632707,0.12369331429215388,-0.12377203800060817,-1.333745812585564,-0.23592029511481655,-0.37766202584090974,-1.290410753154182,1.6822696664284345,1.6303072677263857,-0.08841208211851395,-0.19225593766890248,-0.5552658444675513,-0.6322670662128066,-1.1234049719420904,-0.1448572989198356,0.9111181271918318,0.967817417134278,-0.34763647600303754,1.0376369689544038,-0.7388062976492783,1.3982614897647903,1.6418513309887204,1.2254672904893362,-1.2938019552355524,1.3459663548717133,1.982148064535548,0.07620406515711396,-1.0007891176153738,-0.6472243526682558,-0.15082552458775617,1.5064834476950448,0.9331803034374153,1.9244108413166654,2.2261061413132803,-0.5992211382588399,-0.25495862656618695,-1.0734282961678645,-0.7327719423059791,-0.684096382782506,-0.4856874340351609,-1.072724486222289,-1.1083685354971549,-1.3107532967135738,-0.5613570472824424,1.9461816271295818,1.3201253885045716,-0.3820824826779524,-0.18671696133562957,-0.7645918608370919,-0.13601087164772527,-0.8473849569725634,-0.6530054286689949,-0.8566720559964268,0.24686684552555924,-0.7847494075041682,0.4822915634545406,0.49575816599459094,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.0292493561902707,-0.7614266147189488,-1.6142551104569793,0.2553777826770981,0.3748418096642784,0.22034585374404128,-0.2167344265929455,0.8329257537023633,0.052341438680615686
684,993012,-1.291293580758883,-0.9840770553909646,-0.06603064796595787,-0.7298771342012343,-0.6592843045437754,-0.9420350485245839,-1.4957738692618867,-0.9045623099935955,0.4992245927945808,-0.12377203800060817,-1.333745812585564,-0.26664119390766955,-0.28323760187669306,-1.351286994672817,1.3810572685763847,1.3950295835194424,-0.3966301290154245,-0.44440113759470284,-0.8336255303260409,-0.4587521997558207,-0.9899003102382992,-0.6176083349954563,0.6896472383706034,1.0294787431010906,-0.34763647600303754,1.0376369689544038,-0.7388062976492783,1.3982614897647903,1.5924017500784826,1.4145288429179244,-1.2938019552355524,1.2126137603303728,1.982148064535548,0.16174771739441376,-1.0007891176153738,-0.6472243526682558,-0.15082552458775617,1.3932317629027153,0.6393408150846877,1.6263281425684122,1.8070520096381506,-0.6092703326250057,0.31899986288361065,-1.0734282961678645,-0.2710012155663242,-0.684096382782506,-0.3593994659412886,-0.8730843111731166,-0.7998201297345502,-0.9949055896903234,-0.43041475203862006,1.6682852240729553,1.5104169092400253,-0.3820824826779524,-0.18671696133562957,-0.7645918608370919,-0.3337894919319482,-0.9788533246387823,-0.5346038673480569,-0.04005353531233612,0.24686684552555924,-0.7661784325341996,0.4822915634545406,0.6166839666328425,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.0292493561902707,-0.7614266147189488,-1.6142551104569793,0.2553777826770981,0.3748418096642784,0.4192472985148052,0.39787902053612306,0.8329257537023633,0.052040566827738166
786,994009,-0.6550415044186018,-1.1121934117175156,-0.8430291601403311,-0.8589061318874099,-0.6105567868840158,-1.2808957785145054,-1.1934905805604115,-1.0513103434051612,0.3351573189327449,-0.12377203800060817,-1.333745812585564,-0.26664119390766955,-0.28323760187669306,-1.351286994672817,1.3810572685763847,1.3950295835194424,-0.3966301290154245,-0.44440113759470284,-0.8336255303260409,-0.4587521997558207,-0.9899003102382992,-0.6176083349954563,0.6896472383706034,1.0294787431010906,-0.7026122653513767,1.0923567726323278,-0.5658758211021866,1.5842701974840543,1.5924017500784826,1.4145288429179244,-1.4514189722147486,1.2126137603303728,1.8864285409400388,0.16174771739441376,-0.8295684474706229,-1.5262490815525223,-0.3631325461054473,1.3932317629027153,0.6393408150846877,1.6263281425684122,1.8070520096381506,-0.6092703326250057,0.31899986288361065,-1.0734282961678645,-0.2710012155663242,-0.684096382782506,-0.3593994659412886,-0.8730843111731166,-0.7998201297345502,-0.9949055896903234,-0.43041475203862006,1.6682852240729553,1.5104169092400253,-0.3820824826779524,-0.18671696133562957,-0.7645918608370919,-0.3337894919319482,-0.9788533246387823,-0.5346038673480569,-0.04005353531233612,0.24686684552555924,-0.7661784325341996,0.4822915634545406,0.6166839666328425,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.0292493561902707,-0.7614266147189488,-1.6142551104569793,0.2553777826770981,0.3748418096642784,0.4192472985148052,0.39787902053612306,0.8329257537023633,0.05174296378823917
936,995006,-0.7313881072971687,-0.658276829233588,-0.33447771545521554,-0.9276811349665126,-0.8409145257350379,-1.0506840287575152,-1.094628980405889,-1.1473376281011296,0.43449296192665976,-0.12377203800060817,-1.333745812585564,-0.3000439060650902,-0.24792887328861496,-1.3950917700471501,1.1840213241307733,1.008682625494739,-0.608468806809003,-0.7346391718398315,-1.2002134282238526,-0.3580232594812588,-0.9065279446177756,-1.0169292161233403,0.6173692087648499,1.0914925146990295,-1.044600501221139,1.1824801497381645,-0.4963178308796544,1.9262580555238098,1.5827292727286182,1.5724705308288311,-1.5781737101535422,0.9961058110840881,1.9120914105388254,0.20697525874515918,-0.7106737650438096,-2.042819685268444,-0.47475168374412063,1.4190631032928294,0.4830243419124026,1.560086030771443,1.668963543201527,-0.6459612338531979,0.889475817543688,-1.0734282961678645,0.17577272494890936,-0.7136719282878112,-0.33484710980483273,-0.6797373002652136,-0.5906188513005348,-0.7315337356332746,-0.370543951368936,1.5497923032583487,1.7536602268441568,-0.3746569797444652,-0.04234930827761617,-0.7645918608370919,-0.509801595166479,-1.110193506253601,-0.5095049737841634,0.649248625275483,-0.28199523843205654,-0.76426743339731,1.0934212966878365,0.6085071280499574,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.2194039500291374,-0.7092680430419891,-1.5868110303824579,0.08286783270519882,0.2511978798233981,0.47442870251624913,0.7018814337444761,0.9622953298014705,0.05150357822714946
1104,996004,-0.5519626704053601,-0.36686088076628004,-0.3758669498499415,-0.6543527362773361,-0.9370214682528599,-1.0028451713083264,-0.907419836539084,-0.20070890319881413,0.22126589145975925,-0.12377203800060817,-1.333745812585564,-0.17773408999104376,-0.22603824082688034,-1.3453299631163724,1.1645681902489846,1.1635512793085914,-0.41006925225785823,-0.4931209285716028,-0.690889857226259,-0.44806234235919384,-0.952307415569507,-0.7130750527948645,0.6314322303062798,1.0539987215632869,-0.7924919315013228,1.0208048883588916,-0.4939571304181429,1.627102755894382,1.497031881363234,1.5782078153557035,-1.4951324500223047,1.2679832059802765,1.7292352348151374,0.2069891631881338,-0.8057726052331793,-1.691830784831565,-0.556856002241977,1.1911571924616375,0.5168016783223416,1.3979311220590165,1.6401044022850457,-0.5773902004925964,0.43658268827901076,-0.12976434955634625,-0.24116772225552607,-0.684096382782506,-0.2837404036255045,-0.8420395667557352,-0.7577741944416302,-1.0324529093987234,-0.4398945052448683,1.5945114533061857,1.5420873208318946,-0.3820824826779524,-0.18671696133562957,-0.7645918608370919,-0.38046988019078176,-1.0123344667645242,-0.5031454052889889,0.07346292187707934,0.24686684552555924,-0.7482982320679682,0.4822915634545406,0.7481131135611893,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.0292493561902707,-0.7614266147189488,-1.6142551104569793,0.2553777826770981,0.3748418096642784,0.5301516348671609,0.347239070491039,0.8329257537023633,0.05114710935234501
1436,997002,-0.5641258222006764,-0.41101454017800926,-0.10726332681920951,-0.8877648405363892,-0.5100021232056614,-0.8062927159155404,-1.2273498144584913,-1.0545018920861793,0.36231880277007855,-0.12377203800060817,-1.333745812585564,-0.17773408999104376,-0.22603824082688034,-1.3453299631163724,1.1645681902489846,1.1635512793085914,-0.41006925225785823,-0.4931209285716028,-0.690889857226259,-0.44806234235919384,-0.952307415569507,-0.7130750527948645,0.6314322303062798,1.0539987215632869,-0.7924919315013228,1.0208048883588916,-0.4939571304181429,1.627102755894382,1.497031881363234,1.5782078153557035,-1.4951324500223047,1.2679832059802765,1.7292352348151374,0.2069891631881338,-0.8057726052331793,-1.691830784831565,-0.556856002241977,1.1911571924616375,0.5168016783223416,1.3979311220590165,1.6401044022850457,-0.5773902004925964,0.43658268827901076,-0.12976434955634625,-0.24116772225552607,-0.619073785374735,-0.2837404036255045,-0.8420395667557352,-0.7577741944416302,-1.0324529093987234,-0.4398945052448683,1.5945114533061857,1.5420873208318946,-0.3820824826779524,-0.18671696133562957,-0.7645918608370919,-0.38046988019078176,-1.0123344667645242,-0.5031454052889889,0.07346292187707934,0.24686684552555924,-0.7482982320679682,0.4822915634545406,0.7481131135611893,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-1.0292493561902707,-0.7614266147189488,-1.6142551104569793,0.2553777826770981,0.3748418096642784,0.5301516348671609,0.347239070491039,0.8329257537023633,0.050903298581787985
1534,998001,-0.7025037295778713,-0.6526664037031581,-0.7594645441066448,-0.7442119753079256,-0.6974897339707276,-1.2660693515267012,-0.6099114128420695,-0.6914566261317769,0.19652330427134568,-0.12377203800060817,-1.333745812585564,0.07786527670564278,-0.11743433820287073,-1.2557089333567626,0.9853023771131383,1.0240098577500332,-0.12719598195831883,-0.39813997540998175,-0.06411040135605262,-0.627429706826696,-0.9815767060032887,-0.5532447898639132,0.6101118941075103,1.0251318751777596,-0.6408023655805039,0.8424954663904873,-0.45815048389866314,1.5202162355149036,1.4134934734197693,1.6895453326464347,-1.4297994417479498,1.5007065227936014,1.5215015005935595,0.2428499054402401,-0.8960978302434647,-1.2605689575635297,-0.7496071162824837,0.6685900297574929,0.4510388673370151,1.247650143693309,1.41703475722073,-0.46029441163698837,-0.1784380662433546,-0.029532315940134897,-0.5620673107650045,-0.5949349364428117,-0.14010578965204235,-0.9081699465094556,-0.9689612890116358,-1.3589186818403487,-0.6154804411882614,1.6259166724524377,1.3839393618377585,-0.3940593537944399,-0.3418701898696266,-0.7645918608370919,-0.328324739496137,-0.9575480568565843,-0.3721571124449068,-0.44908860716202686,0.5294834534220663,-0.7095683122851415,0.18832373663240895,0.9950272969563524,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-0.8598859784961044,-0.7512177316761861,-1.654578338573518,0.39218195909134385,0.47201033561189654,0.6996493117850834,-0.1971984627312066,0.7356089064564452,0.05057326664638884
1793,999000,-0.5575806221000198,-0.6455756213596213,-0.42741610034960287,-1.1062277478287357,-0.5572246808082253,-1.0848818220429153,-0.7081675087988971,-0.9752936108228476,0.5958961764467245,-0.12377203800060817,-1.333745812585564,0.13069494359520242,-0.11743433820287073,-1.2557089333567626,0.9853023771131383,1.0240098577500332,-0.12719598195831883,-0.39813997540998175,-0.06411040135605262,-0.627429706826696,-0.9815767060032887,-0.5532447898639132,0.6101118941075103,1.0251318751777596,-0.6486585008172823,0.7943951528252731,-0.45815048389866314,1.5037313596357436,1.4134934734197693,1.6895453326464347,-1.4372795741039996,1.5007065227936014,1.514593217868668,0.2428499054402401,-0.8974656491745389,-1.2918070401802764,-0.7635544960112151,0.6685900297574929,0.4510388673370151,1.247650143693309,1.41703475722073,-0.46029441163698837,-0.1784380662433546,-0.029532315940134897,-0.5620673107650045,-0.46166036435959823,-0.14010578965204235,-0.9081699465094556,-0.9689612890116358,-1.3589186818403487,-0.6154804411882614,1.6259166724524377,1.3839393618377585,-0.3940593537944399,-0.3418701898696266,-0.7645918608370919,-0.328324739496137,-0.9575480568565843,-0.3721571124449068,-0.44908860716202686,0.5294834534220663,-0.7095683122851415,0.18832373663240895,0.9950272969563524,0.6616232026789938,-1.1912738870485213,-0.6012330064179889,-0.8598859784961044,-0.7512177316761861,-1.654578338573518,0.39218195909134385,0.47201033561189654,0.6996493117850834,-0.1971984627312066,0.7356089064564452,0.05030030274748243
