,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,Gender Inequality Index (GII),y
0,990025,-1.305695182851625,-1.1548451329693203,0.01329075718548397,-0.6450225597229892,-1.5158850040918892,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,0.7372880242936,-0.278300543592442,-1.4600788560263194,1.2090645806542408,1.9069423747250223,-0.41786305600540213,-0.03684323531899826,0.12316431209160822,-1.5375687022027646,-0.9511308658001849,-0.9216799202282391,0.6023132536052201,1.0371836982372336,-0.23590095870755412,0.6311019640603958,-0.7626837131966091,1.193884144178745,0.487364919423281,0.2601541213097628,-0.6972754713397309,0.206021185060051,0.443005645491425,0.5274647300932169,-1.3654580134618934,-0.10754279529476696,-0.30788469648283917,1.475102792307162,0.9205037150460711,-0.5612605239374987,-0.7768367314181459,-0.3740527311002953,0.16444955738377742,-0.40764287588548787,-0.5960111103858033,-0.8437983140613288,-0.403309277599777,-0.81255023573252,-1.076387826250434,-1.2151767021175996,-1.3967267741887173,2.4005074916599636,1.2518199914387387,-0.6269979338471974,-0.13445893799080635,-1.2022946307818885,-0.48216936494592677,-0.9141845903729917,-1.0578809456618379,1.5552840191562385,0.49018292627949367,-0.8633105424005362,-0.013841136710120928,-2.653190433077432,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.05258977109572517
194,991020,-1.3121593934551363,-1.2068107759752515,-0.5572479225329243,-1.1349043860669237,-1.2805914585554172,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,1.3811514104866507,0.013032688501082537,-1.2425601282299146,1.0669432453139795,1.4349124567092661,-0.27816132554998524,-0.12661452424621017,0.01977516410921457,-1.2210775072919056,-1.0457609159576728,-0.26326508076687355,0.5014167045011795,0.8549174739344106,-0.3497897273495356,0.5703126738095169,-0.8283540940495187,1.2587950479492584,0.4387190231129006,0.3176069334786732,-0.5693555381783427,0.20048174760165746,0.4448612465316481,0.7154530717677302,-1.4619994205004012,0.014917988126059779,-0.33999181362899844,1.5376407907917604,0.7756468901007055,-0.2215919907659514,-0.5126566590391447,-0.2545899192296241,0.03003402635500393,-0.4154893932055076,-0.32194216253065483,-0.8437983140613288,-0.26721704489714854,-0.81255023573252,-1.076387826250434,-1.2151767021175996,-1.3967267741887173,1.952169925572407,1.2468667190338112,-0.6269979338471974,-0.13445893799080635,-1.2022946307818885,-0.5113732518746592,-0.9141845903729917,-1.0578809456618379,1.9346014550539699,0.49018292627949367,-0.8633105424005362,-0.013841136710120928,-2.653190433077432,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.0521147378159067
410,992016,-1.1523995919856165,-0.7546561131671627,-0.7792429291112779,-0.48516059840820264,-1.5617535281386081,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,1.3811514104866507,0.013032688501082537,-1.2425601282299146,1.0669432453139795,1.4349124567092661,-0.27816132554998524,-0.12661452424621017,0.01977516410921457,-1.2210775072919056,-1.0457609159576728,-0.26326508076687355,0.5014167045011795,0.8549174739344106,-0.23590095870755412,0.6311019640603958,-0.7626837131966091,1.193884144178745,0.4387190231129006,0.3176069334786732,-0.6972754713397309,0.20048174760165746,0.443005645491425,0.7154530717677302,-1.3654580134618934,-0.10754279529476696,-0.30788469648283917,1.5376407907917604,0.7756468901007055,-0.2215919907659514,-0.5126566590391447,-0.2545899192296241,0.03003402635500393,-0.4154893932055076,-0.32194216253065483,-0.8437983140613288,-0.26721704489714854,-0.81255023573252,-1.076387826250434,-1.2151767021175996,-1.3967267741887173,1.952169925572407,1.2468667190338112,-0.6269979338471974,-0.13445893799080635,-1.2022946307818885,-0.5113732518746592,-0.9141845903729917,-1.0578809456618379,1.9346014550539699,0.49018292627949367,-0.8633105424005362,-0.013841136710120928,-2.653190433077432,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.05200629578606475
543,993012,-1.0349903086139756,-1.1743666422048873,-1.013785915863784,-0.5722312350004485,-0.8369428451647144,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,2.048893559901659,0.2678150805007525,-1.0412332194709004,0.8667487137436609,1.0076521519037076,-0.11749173354454825,-0.09054109710280621,-0.050098964392479566,-0.8918214674560692,-1.1176288084325707,0.4995436730936803,0.4119480556422311,0.635348315418361,-0.23590095870755412,0.6311019640603958,-0.7626837131966091,1.193884144178745,0.40622362603469425,0.3852751604869369,-0.6972754713397309,0.1679485633112613,0.443005645491425,0.997698551699377,-1.3654580134618934,-0.10754279529476696,-0.30788469648283917,1.722582180610663,0.6023194058347255,0.0948317297860973,-0.3025120847630481,-0.1691510063415479,-0.13471033415733913,-0.4196024356237957,-0.08926148899952135,-0.8437983140613288,0.07107559672860458,-0.81255023573252,-1.076387826250434,-1.2151767021175996,-1.3967267741887173,1.641805254307958,1.2239921849001005,-0.6269979338471974,-0.13445893799080635,-1.2022946307818885,-0.5651461404566478,-0.9141845903729917,-1.0578809456618379,2.4271145997404644,0.49018292627949367,-0.8633105424005362,-0.013841136710120928,-2.653190433077432,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.05167511787045143
765,994009,-0.852102746046907,-0.8472596395057326,-1.328760498123005,-0.769205423494075,-1.0434878227012088,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,2.048893559901659,0.2678150805007525,-1.0412332194709004,0.8667487137436609,1.0076521519037076,-0.11749173354454825,-0.09054109710280621,-0.050098964392479566,-0.8918214674560692,-1.1176288084325707,0.4995436730936803,0.4119480556422311,0.635348315418361,-0.1893814956438816,0.6719862039704645,-0.7240715379250807,1.0946960689182739,0.40622362603469425,0.3852751604869369,-0.8029411730156747,0.1679485633112613,0.41488721815119173,0.997698551699377,-1.303368159282749,-0.2597797414597883,-0.30078250383497446,1.722582180610663,0.6023194058347255,0.0948317297860973,-0.3025120847630481,-0.1691510063415479,-0.13471033415733913,-0.4196024356237957,-0.08926148899952135,-0.8437983140613288,0.07107559672860458,-0.81255023573252,-1.076387826250434,-1.2151767021175996,-1.3967267741887173,1.641805254307958,1.2239921849001005,-0.6269979338471974,-0.13445893799080635,-1.2022946307818885,-0.5651461404566478,-0.9141845903729917,-1.0578809456618379,2.4271145997404644,0.49018292627949367,-0.8633105424005362,-0.013841136710120928,-2.653190433077432,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.051333964149605234
1053,995006,-0.5125211897644047,-1.0913313977789416,0.1811983254658554,-0.9392598301688541,-1.3911671133689834,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,2.327150284805522,0.5178944314065265,-0.980729073266762,0.8240750968651676,0.7825731515524982,-0.05270489235668151,0.06336072896823498,-0.07093048930198649,-0.6711054394768788,-1.2275458368574843,1.0857115372995332,0.33917016872596084,0.4272693690259856,-0.25287417930021744,0.6779027788360148,-0.7267431064928644,1.0680487493714272,0.3970999275393746,0.43822840291045595,-0.8995608559156674,0.1409548164792585,0.39279008479047506,1.1994777775495202,-1.3378197121421163,-0.36567437728649305,-0.3146268398866242,1.8954241328046673,0.43903848097390474,0.19212928690071263,-0.15876445413551007,-0.1367224175223063,-0.24741134389708033,-0.4184666717230881,0.016306451538232486,-0.8525273974220208,0.27327600565173005,-0.81255023573252,-1.076387826250434,-1.5772164895134855,-1.6721477288143103,1.538383404814274,1.202092743321975,-0.7963929303674574,-0.23245090943090074,-1.2022946307818885,-0.6102000520458998,-0.9141845903729917,-1.0578809456618379,2.7279343636478903,0.49018292627949367,-0.8633105424005362,-0.17712866218232604,-3.150037855571945,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.05105586364345127
1244,996004,-0.8538456366831638,-1.2970704659631,-0.568247862208344,-0.35328244419750443,-1.149942502876912,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,2.3112052455104157,0.34609071860726687,-1.020702541230014,0.7912558508569648,0.913262963549035,-0.10469490712480808,-0.19193146208133463,-0.07038102038940332,-0.7725593792208876,-1.1538640518722567,0.6313673008901123,0.4299510097732396,0.4959118783673918,0.08116977697986714,0.7401621659514565,-0.6967383815876242,1.084203742059624,0.39007312680251993,0.39274891532190453,-0.8548861811280186,0.2082545273152488,0.43120951157598325,1.1448986128911742,-1.1841661432882542,-0.2367496201129531,-0.2697251222792286,1.7284586289801578,0.5383728475532672,0.28218147033380353,-0.22969766346541964,-0.09719794488221842,-0.29777397319080967,-0.4196024356237957,0.11907805243903034,-0.8437983140613288,0.16029329460850597,-0.81255023573252,-1.076387826250434,-1.2151767021175996,-1.3967267741887173,1.443105746264505,1.2241274293296176,-0.6269979338471974,-0.13445893799080635,-1.2022946307818885,-0.576544528540869,-0.9141845903729917,-1.0578809456618379,2.6930817700628085,0.49018292627949367,-0.8633105424005362,-0.013841136710120928,-2.653190433077432,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.050472954781098034
1411,997002,-0.7449263133585567,-0.5468765141502614,-0.7344899358429755,-0.474023220001644,-1.2992375030424785,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,2.3112052455104157,0.34609071860726687,-1.020702541230014,0.7912558508569648,0.913262963549035,-0.10469490712480808,-0.19193146208133463,-0.07038102038940332,-0.7725593792208876,-1.1538640518722567,0.6313673008901123,0.4299510097732396,0.4959118783673918,0.08116977697986714,0.7401621659514565,-0.6967383815876242,1.084203742059624,0.39007312680251993,0.39274891532190453,-0.8548861811280186,0.2082545273152488,0.43120951157598325,1.1448986128911742,-1.1841661432882542,-0.2367496201129531,-0.2697251222792286,1.7284586289801578,0.5383728475532672,0.28218147033380353,-0.22969766346541964,-0.09719794488221842,-0.29777397319080967,-0.4196024356237957,0.11907805243903034,-0.8654192241380303,0.16029329460850597,-0.81255023573252,-1.076387826250434,-1.2151767021175996,-1.3967267741887173,1.443105746264505,1.2241274293296176,-0.6269979338471974,-0.13445893799080635,-1.2022946307818885,-0.576544528540869,-0.9141845903729917,-1.0578809456618379,2.6930817700628085,0.49018292627949367,-0.8633105424005362,-0.013841136710120928,-2.653190433077432,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.05017857515838597
1570,998001,-0.44327177339908286,-0.8533133373304597,-0.815701160801057,-0.5447880456435019,-1.4283779006581259,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,2.5393689813359788,0.1950064906512696,-1.0800552025694439,0.6018581368191543,1.0206850561738725,-0.15086426694509006,-0.4486028858748636,-0.10125774219564157,-0.5754379159596192,-1.1030561796159717,0.1975081381461583,0.5514824645014444,0.4884827165588538,0.5569722218081288,0.8866766083346198,-0.661160561086056,1.123461633800141,0.3702442518107372,0.3289232366974633,-0.8415671605406863,0.32678836526325666,0.5252546483832014,1.1828651441184876,-0.936896633857727,0.1509623315908829,-0.24714436377209456,1.5342336682497812,0.5970471476342791,0.672683518102909,-0.20377068639453935,0.06205264105065348,-0.45643233911599185,-0.23810184383179503,0.5181145858966926,-0.7307238270223899,0.0938648884319276,-0.81255023573252,-1.076387826250434,-0.8565747024523825,-1.2262124910182322,1.139435341672981,1.2579280846256444,-0.3812874435878863,0.06056411755390528,-1.2022946307818885,-0.5492849629855455,-0.9141845903729917,-1.0578809456618379,3.3224163561511033,0.49018292627949367,-0.8633105424005362,0.16135966547501418,-2.243870901850917,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.04980349572656406
1758,999000,-0.6806667702738883,-0.7522039318943946,-0.4702232310658756,-0.7830731465031394,-1.2318049452736752,-0.9838363975254926,-0.732144052125307,-0.8100388541680609,0.6024575991529649,-0.15556815390590145,-0.5562876233909584,2.5654166981498703,0.1950064906512696,-1.0800552025694439,0.6018581368191543,1.0206850561738725,-0.15086426694509006,-0.4486028858748636,-0.10125774219564157,-0.5754379159596192,-1.1030561796159717,0.1975081381461583,0.5514824645014444,0.4884827165588538,0.5504129771245904,0.8860405493113664,-0.6503502319694379,1.1069094459545763,0.3702442518107372,0.3289232366974633,-0.8718324427044329,0.32678836526325666,0.5338026227899906,1.1828651441184876,-0.9197822018776397,0.16415473827735816,-0.23734074630235152,1.5342336682497812,0.5970471476342791,0.672683518102909,-0.20377068639453935,0.06205264105065348,-0.45643233911599185,-0.23810184383179503,0.5181145858966926,-0.47702370257844673,0.0938648884319276,-0.81255023573252,-1.076387826250434,-0.8565747024523825,-1.2262124910182322,1.139435341672981,1.2579280846256444,-0.3812874435878863,0.06056411755390528,-1.2022946307818885,-0.5492849629855455,-0.9141845903729917,-1.0578809456618379,3.3224163561511033,0.49018292627949367,-0.8633105424005362,0.16135966547501418,-2.243870901850917,0.7885808823413614,-0.736724364848653,-0.4280979227566368,-0.6170871765769633,-0.6731421284899269,-0.6570536077709944,-0.5821605720031642,0.5341111105808377,0.498240573598915,1.5600390620435038,0.39022344904909756,0.049484371509946216
